item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Url,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Tags,Citekey,Editor,Language,Archive Location,eissn
4c1f5541-ced3-4fb8-8999-17fd00b127ee,85e3de8b23f21c61b786221199d9779e2e5e655d0ba2125e7a545010ce1c14c3,article,2026-04-22T20:34:10Z,2026-05-28T23:51:17Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1182/blood-2022-169118,,,,,1-s2.0-S0006497122048182-main.pdf,2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/4c1f5541-ced3-4fb8-8999-17fd00b127ee,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:4c1f5541-ced3-4fb8-8999-17fd00b127ee,"Göttert, Sascha","Poeck, Hendrik",Immunomodulatory Microbial Metabolites Identified in Allo-SCT Patients Protect from GvHD By Sting Dependent Modulation of Intestinal Tissue Homeostasis,"Göttert, Sascha; Thiele-Orberg, Erik; Fan, Kaiji; Ghimire, Sakhila; Heinrich, Paul; Herr, Wolfgang; Heidegger, Simon; Holler, Ernst; Poeck, Hendrik",Blood,0006-4971,http://dx.doi.org/10.1182/blood-2022-169118,,2022,Blood,7336-7337,Supplement 1,140,SecondPassAI-Include,göttert2022immunomodulatory-4c1,,,,
55db7e53-f8d7-4420-8324-bbabeacd5baf,20144d9bd6c5e6ba479ed641bbc9fe82585c43df8dab15033189929b6a44c69c,article,2026-04-22T20:34:10Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.64898/2026.02.19.706769,,41756883,PMC12934721,,2026.02.19.706769.full.pdf,2026,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/55db7e53-f8d7-4420-8324-bbabeacd5baf,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:55db7e53-f8d7-4420-8324-bbabeacd5baf,"Wirbel, Jakob","Bhatt, Ami S.",Differential effects of two common GVHD prophylaxis regimens on the gut microbiome: Results from the BMT CTN 1801 study,"Wirbel, Jakob; Saber, Wael; Martens, Michael J.; Peled, Jonathan U.; Andermann, Tessa M.; Fei, Teng; Brooks, Erin F.; Doyle, Boryana; Pincus, Nathan B.; Jenq, Robert R.; Bar, Merav; Bolaños-Meade, Javier; Bratrude, Brandi; Chhabra, Saurabh; Choi, Sung Won; Clark, William; Das, Suman; Elmariah, Hany; Gooptu, Mahasweta; Holtan, Shernan G.; Jones, Richard J.; Levine, John E.; Logan, Brent R.; Malki, Monzr M. Al; Murthy, Hemant S.; Rashidi, Armin; Rezvani, Andrew R.; Riches, Marcie L.; Runaas, Lyndsey; Sandhu, Karamjeet; Spahn, Ashley; Sung, Anthony D.; den Brink, Marcel R.M. van; Horowitz, Mary M.; Hamadani, Mehdi; Kean, Leslie S.; Perales, Miguel-Angel; Bhatt, Ami S.",bioRxiv,,http://dx.doi.org/10.64898/2026.02.19.706769,"Allogeneic hematopoietic cell transplantation (allo-HCT) is a potentially curative treatment for many hematological malignancies, but graft-versus-host disease (GVHD) is a common complication. Low gut microbiome diversity is associated with higher GVHD risk and shorter survival in multiple studies. Recently, the BMT CTN 1703 clinical trial demonstrated superiority of a GVHD-prophylaxis regimen including post-transplant cyclophosphamide (PTCy) compared to the standard prophylaxis (tacrolimus and methotrexate, Tac/MTX) in terms of GVHD-free, relapse-free survival at one year among reduced intensity conditioning allo-HCT recipients. However, the effect of PTCy on the gut microbiome and its association with clinical outcome have not been described. Here, we report on a companion randomized clinical controlled trial (BMT CTN 1801), which collected 2575 longitudinal stool samples from 304 study participants. Samples were obtained up to weekly up to day 84 post allo-HCT and at less frequent intervals thereafter, up to 2 years. Microbiome diversity and absolute microbial load were lower in the PTCy group compared to the Tac/MTX group on days 14–28 post-HCT. However, diversity at the timepoint closest to neutrophil engraftment was not significantly associated with non-relapse mortality after one year or other clinical outcomes, contrary to expectations from previous studies. Microbial domination events, when a single species exceeds 30% relative abundance, were comparable across treatment arms and reflected both pathogen blooms as well as less severe disruptions of the microbial community. Clostridium scindens and secondary bile acid metabolism pathways were less prevalent in the PTCy arm than in the Tac/MTX arm post-HCT, yet presence of secondary bile acid metabolism pathways was associated with a lower risk of chronic GVHD. Given that PTCy was associated with a greater disruption of the microbiome as measured by diversity, absolute microbial abundance, and bile acid metabolism capability, but better clinical outcomes overall, these data suggest that the importance of the microbiome in modulating the host immune systems after allo-HCT is specific to different types of GVHD prophylaxis.",2026,bioRxiv,2026.02.19.706769,,,SecondPassAI-Include,wirbel2026differential-55d,,,,
b2372e52-87ae-4688-a605-958de6a03f06,d32ebebb24e9be9c6e91e349acd9193cb6584b5106e1810066fa0834c221be21,article,2026-04-22T20:34:10Z,2026-05-28T23:51:18Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.4167/jbv.2016.46.4.307,,,,,"synapse.koreamed.org 5/7/2026, 3:05:16 PM.pdf",2016,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/b2372e52-87ae-4688-a605-958de6a03f06,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:b2372e52-87ae-4688-a605-958de6a03f06,Kim,Yu-Hee,Gut Microbiota in Graft-versus-Host Disease,Kim; Yu-Hee,Journal of Bacteriology and Virology,1598-2467,http://dx.doi.org/10.4167/jbv.2016.46.4.307,"Gut microbiota inhabit the host gastrointestinal (GI) tract and play roles in many aspects of metabolic and immunologic homeostasis. Understanding about gut microbiota composition in health and disease is accumulating with the advances in gene sequencing technology. Graft-versus-host disease (GVHD) is a major complication after allogenic bone marrow transplantation (allo-BMT), a gold standard clinical procedure to treat hematologic disorders such as leukemia and lymphomas. Recent studies have shown that a disturbance in the gut microbiota affects GVHD prognosis. Decrease in a compositional diversity is suggested as an independent predictor of GVHD and colonization of noncommensal Enterococcus is shown to be involved in unpleasant treatment outcomes. This article describes current understanding about allo-BMT-induced gut microbiota changes and its involvement in the incidence of GVHD. In addition, several putative therapeutic strategies to decrease GVHD-related mortality after allo-BMT are discussed.",2016,J. Bacteriol. Virol.,307-311,4,46,SecondPassAI-Include,kim2016gut-b23,,,,
e6ee618f-ee00-4673-b830-6f861e7cb67b,a559f31bf1b7d7885dd74a9a0ee9598992f4bcefcca8eec9d4f2e87a15686d78,article,2026-04-22T20:34:09Z,2026-05-28T23:51:17Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1182/blood-2024-205921,,,,,"ashpublications.org 5/7/2026, 1:26:34 PM.pdf",2024,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/e6ee618f-ee00-4673-b830-6f861e7cb67b,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:e6ee618f-ee00-4673-b830-6f861e7cb67b,"Göttert, Sascha","Poeck, Hendrik",Immunomodulatory Microbial Metabolites Protect Against Graft-Vs-Host Disease and Enhance Anti-Leukemia Responses in Mice and Patients Receiving Stem Cell Transplantation,"Göttert, Sascha; Thiele-Orberg, Erik; Fan, Kaiji; Heinrich, Paul; Wolff, Daniel; Weber, Daniela; Bassermann, Florian; Hoffmann, Petra; Edinger, Matthias; Koehler, Natalie; Gessner, André; Herr, Wolfgang; Heidegger, Simon M; Holler, Ernst; Poeck, Hendrik",Blood,0006-4971,http://dx.doi.org/10.1182/blood-2024-205921,"Background: The success of allogeneic hematopoietic stem cell transplantation (allo-HSCT) hangs on a delicate balance between preventing graft-versus-host disease (GvHD) while simultaneously promoting the elimination of residual malignant cells by an allogeneic immune reaction of donor T cells (graft-versus-leukemia (GvL)). Microbiome diversity and composition have been associated with clinical outcomes after allo-HSCT, including overall survival and incidence of GvHD [1-3]. Still, little is known about whether and how the microbiome modulates GvL. Our group recently established an “Immuno-Modulatory Metabolite Risk Index (IMM-RI)” comprised of microbiota-derived immuno-modulatory metabolites (IMMs) that were predictive of overall survival and relapse in patients receiving allo-HSCT [4]. The effect of IMMs has been partially attributed to type-I interferon (IFN-I) responses, which have been associated with positive or negative outcomes on GvHD, depending on the timing of IFN-I activation. We hypothesized microbiota-derived metabolites engage IFN-I signaling in epithelial and immune cells, poising them to modulate GvHD and GvL. To address the underlying cellular and molecular mechanisms, we screened for IMMs in allo-HSCT patients and tested them as treatment in patient ex vivo and murine in vivo models. Methods Stool samples from patients receiving allo-HSCT were obtained at Rechts der Isar, Munich, and University Hospital Regensburg per IRB-approved study protocols (German Clinical Trials Register (DRKS00034175)). We quantified levels of microbiota-derived metabolites by mass spectrometry. IMMs detected in patients were tested as treatment in murine and human immune cells, intestinal crypt-derived organoids, and organoid/T cell co-culture assays. To test for the requirement for IFN-I signaling, we stimulated WT or IFN-I-signaling-impaired organoids (MAVS-/-, STINGgt/gt, IFNaR-/-) or used small molecule inhibitors and analyzed them regarding growth performance, intestinal stem cell (ISC) numbers, and by scRNAseq. IMMs were used to treat intestinal damage and major mismatch GvHD mouse models. Outcomes were assessed using a novel organoid recovery assay in addition to established read-outs (histology, barrier integrity, immune infiltrate). IMM treatment was also performed in germ-free or antibiotic-induced dysbiosis models to test for the requirement of microbiome signals. Results: We demonstrate that IMMs correlate with improved overall survival and reduced relapse rates in allo-HSCT patients. In preclinical models, IMM treatment showed dose-dependent effects. Low-dose IMM moderately enhanced graft-vs-leukemia responses and prevented graft-vs.-host disease by protecting the intestinal barrier and promoting intestinal regeneration, while high doses promoted T cell activation and risked hyperacute GvHD. IMM treatment remained effective despite broad-spectrum antibiotic treatment, but not in germ-free mice. Mechanistically, IMM promoted mTORC1-dependent activation and proliferation of ISC, with the innate immune receptor STING required to mitigate metabolic stress and maintain an undifferentiated stem cell state. Consequently, the protective effect of IMMs was abrogated in STING-deficient mice. Conclusions: Our findings underscore the potential of IMM's epithelial- and immune-modulating properties, paving the way for the design of microbiome-based therapies that could significantly improve outcomes in allo-HSCT and potentially other cancer immunotherapies. References Peled, J.U., et al., Microbiota as Predictor of Mortality in Allogeneic Hematopoietic-Cell Transplantation. New England Journal of Medicine, 2020. 382(9): p. 822-834. Shono, Y., et al., Increased GVHD-related mortality with broad-spectrum antibiotic use after allogeneic hematopoietic stem cell transplantation in human patients and mice. Science Translational Medicine, 2016. 8(339): p. 339ra71-339ra71. Weber, D., et al., Microbiota Disruption Induced by Early Use of Broad-Spectrum Antibiotics Is an Independent Risk Factor of Outcome after Allogeneic Stem Cell Transplantation. Biology of Blood and Marrow Transplantation, 2017. 23(5): p. 845-852. Thiele Orberg, E., et al., Bacteria and bacteriophage consortia are associated with protective intestinal metabolites in patients receiving stem cell transplantation. Nature Cancer, 2024.",2024,Blood,264-264,Supplement 1,144,SecondPassAI-Include,göttert2024immunomodulatory-e6e,,,,
cd9906f1-eb1a-486b-8fed-58dc659b8b6c,2ef012122cc5e1ed01225fea953e42ad9b85d9139046bb47964f9f94a8cde5c9,article,2026-04-22T20:34:08Z,2026-05-28T23:51:18Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.4061/2010/814326,,21188220,PMC3003997,,International Journal of Inflammation - 2010 - Holler - The Role of Bacteria and Pattern Recognition Receptors in GvHD.pdf,2010,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/cd9906f1-eb1a-486b-8fed-58dc659b8b6c,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:cd9906f1-eb1a-486b-8fed-58dc659b8b6c,"Holler, E.","Rogler, G.",The Role of Bacteria and Pattern Recognition Receptors in GvHD,"Holler, E.; Landfried, K.; Meier, J.; Hausmann, M.; Rogler, G.",International Journal of Inflammation,2090-8040,http://dx.doi.org/10.4061/2010/814326,"Graft‐versus‐Host Disease (GvHD) is the most serious complication of allogeneic stem cell transplantation (SCT) and results from an activation of donor lymphocytes by recipient antigen‐presenting cells (APCs). For a long time, it has been postulated that the intestinal microflora and endotoxin exert a crucial step in this APC activation, as there is early and severe gastrointestinal damage induced by pretransplant conditioning. With the detailed description of pathogen‐associated molecular patterns and pathogen recognition receptors single nucleotide polymorphisms of TLRs and especially NOD2 have been identified as potential risk factors of GvHD and transplant related complications thus further supporting the crucial role of innate immunity in SCT, related complications. Gastrointestinal decontamination and neutralization of endotoxin have been used to interfere with this early axis of activation with some success but more specific approaches of modulation of innate immunity are needed for further improvement of clinical outcome.",2010,Int. J. Inflamm.,814326,1,2010,SecondPassAI-Include,holler2010role-cd9,,,,
8687f1e0-1188-4024-a348-e534cea9864d,43968d67942315af4609918fc7f5c565b13715463e28f42abc765695e9d18ff1,article,2026-04-22T20:34:07Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1182/blood-2018-99-110270,,,,,1-s2.0-S0006497119381704-main.pdf,2018,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/8687f1e0-1188-4024-a348-e534cea9864d,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:8687f1e0-1188-4024-a348-e534cea9864d,"Shouval, Roni","Nagler, Arnon",Repeated Courses of Orally Administered Fecal Microbiota Transplantation for the Treatment of Steroid Resistant and Steroid Dependent Intestinal Acute Graft Vs. Host Disease: A Pilot Study (NCT 03214289),"Shouval, Roni; Youngster, Ilan; Geva, Mika; Eshel, Adi; Danylesko, Ivetta; Shimoni, Avichai; Beider, Katia; Fein, Joshua A; Sharon, Itai; Koren, Omry; Nagler, Arnon",Blood,0006-4971,http://dx.doi.org/10.1182/blood-2018-99-110270,"Background: Steroid-resistant (SR) intestinal acute graft versus host disease (aGVHD) is a devastating complication of allogeneic hematopoietic stem cell transplantation. Preliminary reports suggest that fecal microbiota transplantation (FMT) administered through a nasogastric tube or colonoscopy may be an effective treatment. We report the results of a single-arm pilot study (NCT 03214289) using FMT in capsules to treat SR or steroid dependent (SD) intestinal aGVHD. Methods: The primary outcome was the occurrence of severe adverse events (SAEs) at 28 days post last FMT course. Secondary outcomes included GVHD response. Complete response (CR) was defined as resolution of gastrointestinal symptoms or reduction of steroid dose to 5 mg of prednisone. Partial response was defined as a decrease in severity of GVHD by at least one stage or a ≥40% reduction in steroid dose. Patients were eligible if they had SR or SD gut aGVHD without active infection or neutropenia. Per-protocol, participants received a course of 30 frozen capsules of fecal matter over two consecutive days. FMT courses could be repeated from the same or a different donor, at the treating physician's discretion. Capsules are produced from healthy unrelated donors who underwent vigorous screening. They are taken orally and are flavorless and odor-free. To characterize the impact of the FMT on the gut microbiota, stool samples of recipients were serially collected and underwent 16s rRNA sequencing. Results: To date, we have enrolled 7 patients with intestinal aGVHD (6 SR, 1 SD) (Table). The median dose of methylprednisolone (MP) was 1 mg/kg (interquartile range [IQR] 0.8-1.3 mg/kg). FMT was administered at a median of 39 days (IQR 21-58 days) from aGVHD diagnosis. A total of 15 courses of FMT were given. Patients received a range of 1-3 FMT courses (median 2). The capsules were well tolerated. Patient #1 developed Enterococcus Faecium bacteremia 2 days following the second FMT. To track the source of bacteremia, we performed targeted metagenomic sequencing. The enterococcus strain from the blood culture was identified in the recipient's pre-FMT stool sample but not in the FMT inoculum (i.e., capsule), confirming that the bacteremia was not an FMT complication. Similarly, patient #6 developed Pseudomonas aeruginosa bacteremia 3 days after the 2nd FMT. 16s rRNA sequencing of the donor capsule failed to demonstrate Pseudomonas taxa. No other SAEs suspected to be related to the FMT were observed. Two patients achieved a CR with complete resolution of GVHD symptoms. Patient #6 had a partial improvement following the 1st FMT, with a reduction of MP from 2 mg/kg to 1.3 mg/kg. Three days after the 2nd FMT, she developed fatal pseudomonas bacteremia, not related to the FMT as detailed above. At last follow-up (median 61 days, IQR 40-99), 3/7 patients were alive. Three patients died from consequences of active GVHD, while one patients who responded to FMT and was free of GVHD, succumbed to an invasive Aspergillus infection of the brain. 16s rRNA sequencing of stool samples revealed bacterial domination (i.e., occupation of at least 40% of the microbiota by a single predominating taxon) of Escherichia(E) coli in four patients before FMT, with a major reduction following therapy. FMT was associated with the introduction of new bacteria and an increase in bacterial diversity in the recipient's stool (Figure). Conclusions: We demonstrate for the first time the utility of fecal microbiota transplantation in orally administered capsules for the treatment of severe intestinal acute GVHD. The capsules were well tolerated and safe. Metagenomic sequencing proved that a bacterial infection following FMT was not related to the procedure. Sequencing of the stool sample revealed bacterial domination with E.coli in 4/7 patients prior to the first FMT. Following FMT, bacterial diversity increased. Finally, 2/7 patients attained a complete response following therapy, suggesting a potential role of FMT in patient management. Figure. (A) Heatmap of operational taxonomics units (OTU). Each column marks a sequenced stool sample at a specific time point and rows individual taxas. The color code indicates relative abundance. Dotted lines represent an FMT course. Before FMT all patients, aside from patient #6, had markedly reduced diversity, with enrichment of OTUs following treatment. (B). Change of bacterial diversity, measured by the Shanon diversity index before and after FMTs. Disclosures No relevant conflicts of interest to declare.",2018,Blood,2121,Supplement 1,132,SecondPassAI-Include,shouval2018repeated-868,,,,
ee6c93b4-8983-4867-97c1-e6a550312f08,93ed5caba311d5e5e18f21ad0ab77ac9d5f04fac2f03f5b73cbc0829b98c8827,article,2026-04-22T20:34:07Z,2026-05-28T23:51:16Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1172/jci90592,,28581444,PMC5490758,,Altered homeostatic regulation of innate and adaptive immunity in lower gastrointestinal tract GVHD pathogenesis.pdf,2017,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/ee6c93b4-8983-4867-97c1-e6a550312f08,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:ee6c93b4-8983-4867-97c1-e6a550312f08,"Ferrara, James L.M.","Serody, Jonathan S.",Altered homeostatic regulation of innate and adaptive immunity in lower gastrointestinal tract GVHD pathogenesis,"Ferrara, James L.M.; Smith, Christopher M.; Sheets, Julia; Reddy, Pavan; Serody, Jonathan S.",Journal of Clinical Investigation,0021-9738,http://dx.doi.org/10.1172/jci90592,"Lower gastrointestinal (GI) tract graft-versus-host disease (GVHD) is the predominant cause of morbidity and mortality from GVHD after allogeneic stem cell transplantation. Recent data indicate that lower GI tract GVHD is a complicated process mediated by donor/host antigenic disparities. This process is exacerbated by significant changes to the microbiome, and innate and adaptive immune responses that are critical to the induction of disease, persistence of inflammation, and a lack of response to therapy. Here, we discuss new insights into the biology of lower GI tract GVHD and focus on intrinsic pathways and regulatory mechanisms crucial to normal intestinal function. We then describe multiple instances in which these homeostatic mechanisms are altered by donor T cells or conditioning therapy, resulting in exacerbation of GVHD. We also discuss data suggesting that some of these mechanisms produce biomarkers that could be informative as to the severity of GVHD and its response to therapy. Finally, novel therapies that might restore homeostasis in the GI tract during GVHD are highlighted.",2017,J. Clin. Investig.,2441-2451,7,127,SecondPassAI-Include,ferrara2017altered-ee6,,,,
fdba0f0d-86a3-483e-9e41-4e22fa235856,f25a5c29a019b6b08be594db9bd985364d0a1bf2b6d715049086a8eb03c24f87,article,2026-04-22T20:34:07Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1016/j.coi.2025.102649,,40865409,,,1-s2.0-S0952791525001256-main.pdf,2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fdba0f0d-86a3-483e-9e41-4e22fa235856,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fdba0f0d-86a3-483e-9e41-4e22fa235856,"Ye, Yishan","Mohty, Mohamad",Emerging novel therapies for steroid-refractory acute graft-versus-host disease: recent advances and future directions,"Ye, Yishan; Hao, Wenjing; Malard, Florent; Mohty, Mohamad",Current Opinion in Immunology,0952-7915,http://dx.doi.org/10.1016/j.coi.2025.102649,"Acute graft-versus-host disease (aGVHD) is a significant complication of allogeneic hematopoietic cell transplantation (allo-HCT), characterized by immune-mediated tissue damage from donor immune cells. Standard treatment of aGVHD involves systemic corticosteroids, but many patients do not respond adequately, with 30%–50% of patients being steroid refractory (SR-aGVHD) leading to poor outcomes. This highlights the need for effective second-line therapies. Ruxolitinib, a JAK1/2 inhibitor, has emerged as a key treatment, demonstrating superior overall response rates in SR-aGVHD compared to best available therapies. However, resistance and intolerance to ruxolitinib necessitate exploring novel and combination therapies such as apraglutide, neihulizumab, and other targeted agents, which have shown promising results in clinical trials. Additionally, nonpharmacologic approaches, including microbiotherapy, mesenchymal stromal cells, or alpha-1 antitrypsin, are also being investigated for their immunomodulatory potential. The future direction is to develop personalized treatment strategies that incorporate biomarkers and diverse therapeutic modalities. The aim is to enhance disease management, aiming for sustainable control and improved quality of life in patients facing the challenges of SR-aGVHD.",2025,Curr. Opin. Immunol.,102649,,96,SecondPassAI-Include,ye2025emerging-fdb,,,,
5e6cd1fc-0b5f-44bb-9c9c-6c7d746133b6,535cedb15fcf9bbd8c887b31295338b1e23a04a8fbf4570fccfb6ed3194a01f3,article,2026-04-22T20:34:06Z,2026-05-28T23:51:17Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1016/j.cell.2022.09.007,,36179667,PMC9542352,,"pmc.ncbi.nlm.nih.gov 5/7/2026, 1:02:35 PM.pdf",2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5e6cd1fc-0b5f-44bb-9c9c-6c7d746133b6,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:5e6cd1fc-0b5f-44bb-9c9c-6c7d746133b6,"Hayase, Eiko","Jenq, Robert R.",Mucus-degrading Bacteroides link carbapenems to aggravated graft-versus-host disease,"Hayase, Eiko; Hayase, Tomo; Jamal, Mohamed A.; Miyama, Takahiko; Chang, Chia-Chi; Ortega, Miriam R.; Ahmed, Saira S.; Karmouch, Jennifer L.; Sanchez, Christopher A.; Brown, Alexandria N.; El-Himri, Rawan K.; Flores, Ivonne I.; McDaniel, Lauren K.; Pham, Dung; Halsey, Taylor; Frenk, Annette C.; Chapa, Valerie A.; Heckel, Brooke E.; Jin, Yimei; Tsai, Wen-Bin; Prasad, Rishika; Tan, Lin; Veillon, Lucas; Ajami, Nadim J.; Wargo, Jennifer A.; Galloway-Peña, Jessica; Shelburne, Samuel; Chemaly, Roy F.; Davey, Lauren; Glowacki, Robert W.P.; Liu, Chen; Rondon, Gabriela; Alousi, Amin M.; Molldrem, Jeffrey J.; Champlin, Richard E.; Shpall, Elizabeth J.; Valdivia, Raphael H.; Martens, Eric C.; Lorenzi, Philip L.; Jenq, Robert R.",Cell,0092-8674,http://dx.doi.org/10.1016/j.cell.2022.09.007,"The intestinal microbiota is an important modulator of graft-versus-host disease (GVHD), which often complicates allogeneic hematopoietic stem cell transplantation (allo-HSCT). Broad-spectrum antibiotics such as carbapenems increase the risk for intestinal GVHD, but mechanisms are not well understood. In this study, we found that treatment with meropenem, a commonly used carbapenem, aggravates colonic GVHD in mice via the expansion of Bacteroides thetaiotaomicron (BT). BT has a broad ability to degrade dietary polysaccharides and host mucin glycans. BT in meropenem-treated allogeneic mice demonstrated upregulated expression of enzymes involved in the degradation of mucin glycans. These mice also had thinning of the colonic mucus layer and decreased levels of xylose in colonic luminal contents. Interestingly, oral xylose supplementation significantly prevented thinning of the colonic mucus layer in meropenem-treated mice. Specific nutritional supplementation strategies, including xylose supplementation, may combat antibiotic-mediated microbiome injury to reduce the risk for intestinal GVHD in allo-HSCT patients.",2022,Cell,3705-3719.e14,20,185,SecondPassAI-Include,hayase2022mucusdegrading-5e6,,,,
5a9e66c0-0908-49c5-b25d-52b0da9a5f59,288a7877f986306da4ddea2666b7dfe701cff827ef2bdbd80e3263d024561340,article,2026-04-22T20:34:05Z,2026-06-01T23:10:32Z,sophie.huebler@utah.edu (Sophie Huebler),2026-06-01T23:06:09Z,True,,,False,,10.1038/s41598-021-93571-4,,34253759,PMC8275574,,"www-nature-com.ezproxy.lib.utah.edu 5/7/2026, 12:55:01 PM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5a9e66c0-0908-49c5-b25d-52b0da9a5f59,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:5a9e66c0-0908-49c5-b25d-52b0da9a5f59,"Masetti, Riccardo","Pession, Andrea",Early modifications of the gut microbiome in children with hepatic sinusoidal obstruction syndrome after hematopoietic stem cell transplantation,"Masetti, Riccardo; Biagi, Elena; Zama, Daniele; Muratore, Edoardo; D’Amico, Federica; Leardini, Davide; Turroni, Silvia; Prete, Arcangelo; Brigidi, Patrizia; Pession, Andrea",Scientific Reports,2045-2322,http://dx.doi.org/10.1038/s41598-021-93571-4,"Hepatic sinusoidal obstruction syndrome (SOS/VOD) represents a dramatic complication of hematopoietic stem cell transplantation (HSCT), particularly in children. Recent evidence has suggested a role for the gut microbiome (GM) in the context of HSCT and its related complications, but no data are available on the relationship between GM and SOS/VOD. Here, we conducted a retrospective case–control study in allo-HSCT pediatric patients developing or not SOS/VOD and profiled their GM over time, from before the transplant up to 72 days after. A rich and diverse GM before HSCT was found to be associated with a reduced likelihood of developing SOS/VOD. Furthermore, prior to transplant, patients not developing SOS/VOD showed an enrichment in some typically health-associated commensals, such as Bacteroides, Ruminococcaceae and Lachnospiraceae. Their levels remained overall higher until post-transplant. This high-diversity configuration resembles that described in other studies for other HSCT-related complications, including graft-versus-host disease, potentially representing a common protective GM feature against HSCT complications.",2021,Sci. Rep.,14307,1,11,"SecondPassAI-EdgeCase-Include,SecondPassAI-EdgeCaseReason-GVHDNotPrimary,ThirdPass-Include",masetti2021early-5a9,,,,
