item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Url,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Tags,Citekey,Editor,Language,Archive Location,eissn
ab7a8320-b288-49e4-a733-8acda9301e19,84cedaae5bb3579259d39adeef33400388cab014363cca8cf3ca76700632bc1e,article,2026-04-22T20:34:09Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1007/s40778-014-0006-9,,,,,"login.ezproxy.lib.utah.edu 5/7/2026, 1:25:56 PM.pdf",2015,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/ab7a8320-b288-49e4-a733-8acda9301e19,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:ab7a8320-b288-49e4-a733-8acda9301e19,"Sporrer, Daniela","Holler, Ernst",The Microbiome and Allogeneic Stem Cell Transplantation,"Sporrer, Daniela; Gessner, Andre; Hehlgans, Thomas; Oefner, Peter J.; Holler, Ernst",Current Stem Cell Reports,2198-7866,http://dx.doi.org/10.1007/s40778-014-0006-9,"Graft-versus-host disease (GvHD) is the major cause of mortality and morbidity after allogeneic stem cell transplantation. Recently, deep sequencing of the hypervariable regions of the 16S rRNA gene in stool specimens significantly enhanced our understanding of a likely pathophysiologic role of the microbiome in GvHD. Here, we summarize the indirect and direct evidence for a microbiome involvement. Indirect evidence for a role of the intestinal microbiota has been provided by experiments in germ-free mice and single nucleotide polymorphism analysis of receptors of innate immunity. Direct 16S rRNA sequencing showed a substantial loss of diversity in stool specimens from patients with GvHD, which is associated with inferior outcomes. We discuss mechanisms such as interference with antimicrobial peptides and potential approaches to reduce complications by microbiome modulation.",2015,Curr. Stem Cell Rep.,53-59,1,1,SecondPassAI-Include,sporrer2015microbiome-ab7,,,,
e07d4ca3-8479-4a80-a9f7-c6719b0b0535,805eaa3260da73f1379acf84f4e10c7bccf2e320c9a1f6bd4b6b9205995f3e88,article,2026-04-22T20:34:09Z,2026-05-28T23:51:20Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1007/s40778-014-0002-0,,,,,"login.ezproxy.lib.utah.edu 5/7/2026, 1:26:30 PM.pdf",2015,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/e07d4ca3-8479-4a80-a9f7-c6719b0b0535,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:e07d4ca3-8479-4a80-a9f7-c6719b0b0535,"Mathewson, Nathan","Reddy, Pavan",The Microbiome and Graft Versus Host Disease,"Mathewson, Nathan; Reddy, Pavan",Current Stem Cell Reports,2198-7866,http://dx.doi.org/10.1007/s40778-014-0002-0,"Allogeneic hematopoietic bone marrow transplantation (BMT) is an established and curative treatment for many aggressive hematological malignancies. However, the success of allogeneic BMT is limited by graft versus host disease (GVHD) due to the attack of recipient organs. There is growing evidence that the commensal microbiota is dysregulated following allogeneic BMT. Recent studies have made significant strides in examining the role of the host and donor microbiome on GVHD severity and pathogenesis. In this review, we summarize the current knowledge of the complex roles of the microbiome on GVHD, as well as the role of the metabolome through which it confers its effects.",2015,Curr. Stem Cell Rep.,39-47,1,1,SecondPassAI-Include,mathewson2015microbiome-e07,,,,
eecb0439-cf90-4652-aa23-1b309dc11940,352f52402d35bd58498119c88bfa0c8d2683519f42942218bdc1eed354f0da8b,article,2026-04-22T20:34:09Z,2026-05-28T23:51:16Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.3389/fmicb.2020.01642,,32793150,PMC7387665,,The Butyrogenic and Lactic Bacteria of the Gut Microbiota Determine the Outcome of Allogenic Hematopoietic Cell Transplant.pdf,2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/eecb0439-cf90-4652-aa23-1b309dc11940,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:eecb0439-cf90-4652-aa23-1b309dc11940,"Devaux, Christian Albert","Raoult, Didier",The Butyrogenic and Lactic Bacteria of the Gut Microbiota Determine the Outcome of Allogenic Hematopoietic Cell Transplant,"Devaux, Christian Albert; Million, Matthieu; Raoult, Didier",Frontiers in Microbiology,1664-302X,http://dx.doi.org/10.3389/fmicb.2020.01642,"Graft versus host disease (GVHD) is a post-transplant pathology in which donor-derived T cells present in the Peyer’s patches target the cell-surface alloantigens of the recipient, causing host tissue damages. Therefore, the GVHD has long been considered only a purely immunological process whose prevention requires an immunosuppressive treatment. However, since the early 2010s, the impact of gut microbiota on GVHD has received increased attention. Both a surprising fall in gut microbiota diversity and a shift toward Enterobacteriaceae were described in this disease. Recently, unexpected results were reported that further link GVHD with changes in bacterial composition in the gut and disruption of intestinal epithelial tight junctions leading to abnormal intestinal barrier permeability. Patients receiving allogenic hematopoietic stem cell transplant (allo-HCT) as treatment of hematologic malignancies showed a decrease of the overall diversity of the gut microbiota that affects Clostridia and Blautia spp. and a predominance of lactic acid bacteria (LAB) of the Enterococcus genus, in particular the lactose auxotroph Enterococcus faecium. The reduced microbiota diversity (likely including Actinobacteria, such as Bifidobacterium adolescentis that cross feed butyrogenic bacteria) deprives the butyrogenic bacteria (such as Roseburia intestinalis or Eubacterium) of their capacity to metabolize acetate to butyrate. Indeed, administration of butyrate protects against the GVHD. Here, we review the data highlighting the possible link between GVHD and lactase defect, accumulation of lactose in the gut lumen, reduction of Reg3 antimicrobial peptides, narrower enzyme equipment of bacteria that predominate post-transplant, proliferation of En. faecium that use lactose as metabolic fuels, induction of innate and adaptive immune response against these bacteria which maintains an inflammatory process, elevated expression of myosin light chain kinase 210 (MLCK210) and subsequent disruption of intestinal barrier, and translocation of microbial products (lactate) or transmigration of LAB within the liver. The analysis of data from the literature confirms that the gut microbiota plays a major role in the GVHD. Moreover, the most recent publications uncover that the LAB, butyrogenic bacteria and bacterial cross feeding were the missing pieces in the puzzle. This opens new bacteria-based strategies in the treatment of GVHD.",2020,Front. Microbiol.,1642,,11,SecondPassAI-Include,devaux2020butyrogenic-eec,,,,
c6d6fafc-0533-4e85-a88e-e7a69aaa7268,0f3f4f2c83ec8923178102b5c8f59ba20f0371885fc65b46ed12ff4c186334a0,article,2026-04-22T20:34:07Z,2026-05-28T23:51:20Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.3389/fnut.2023.1075778,,36875838,PMC9975569,,"pmc.ncbi.nlm.nih.gov 5/7/2026, 1:12:36 PM.pdf",2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/c6d6fafc-0533-4e85-a88e-e7a69aaa7268,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:c6d6fafc-0533-4e85-a88e-e7a69aaa7268,"Muratore, Edoardo","Zama, Daniele",The emerging role of nutritional support in the supportive care of pediatric patients undergoing hematopoietic stem cell transplantation,"Muratore, Edoardo; Leardini, Davide; Baccelli, Francesco; Venturelli, Francesco; Cerasi, Sara; Zanaroli, Andrea; Lanari, Marcello; Prete, Arcangelo; Masetti, Riccardo; Zama, Daniele",Frontiers in Nutrition,2296-861X,http://dx.doi.org/10.3389/fnut.2023.1075778,"Allogeneic Hematopoietic Stem Cell Transplantation (allo-HSCT) represents a potentially curative strategy for many oncological, hematological, metabolic, and immunological diseases in children. The continuous effort in ameliorating supportive care represents one of the cornerstones in the improvement of outcome in these patients. Nowadays, more than ever nutritional support can be considered a key feature. Oral feeding in the early post-transplant period is severely impaired because of mucositis due to conditioning regimen, characterized by, mainly by vomiting, anorexia, and diarrhea. Gastrointestinal acute graft-versus-host-disease (GvHD), infections and associated treatments, and other medications, such as opioids and calcineurin inhibitors, have also been correlated with decreased oral intake. The consequent reduction in caloric intake combined with the catabolic effect of therapies and transplantation-related complications with consequent extended immobilization, results in a rapid deterioration of nutritional status, which is associated with decreased overall survival and higher complication rates during treatment. Thus, nutritional support during the early post-transplantation period becomes an essential and challenging issue for allo-HSCT recipients. In this context, the role of nutrition in the modulation of the intestinal flora is also emerging as a key player in the pathophysiology of the main complications of HSCT. The pediatric setting is characterized by less evidence, considering the challenge of addressing nutritional needs in this specific population, and many questions are still unanswered. Thus, we perform a narrative review regarding all aspects of nutritional support in pediatric allo-HSCT recipients, addressing the assessment of nutritional status, the relationship between nutritional status and clinical outcomes and the evaluation of the nutritional support, ranging from specific diets to artificial feeding.",2023,Front. Nutr.,1075778,,10,SecondPassAI-Include,muratore2023emerging-c6d,,,,
c6dfef71-1693-4924-9cf5-cee919b47cf7,f40a0d632f86887e0b81ec02e877631910a67eccf480b5bd91eaea4bd18ebf65,article,2026-04-22T20:34:07Z,2026-05-28T23:51:19Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.3389/fphar.2020.588449,,33343357,PMC7748087,,"pmc.ncbi.nlm.nih.gov 5/7/2026, 1:12:40 PM.pdf",2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/c6dfef71-1693-4924-9cf5-cee919b47cf7,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:c6dfef71-1693-4924-9cf5-cee919b47cf7,"Kumari, Reena","Hildebrandt, Gerhard C.",Metabolic Reprogramming—A New Era How to Prevent and Treat Graft Versus Host Disease After Allogeneic Hematopoietic Stem Cell Transplantation Has Begun,"Kumari, Reena; Palaniyandi, Senthilnathan; Hildebrandt, Gerhard C.",Frontiers in Pharmacology,1663-9812,http://dx.doi.org/10.3389/fphar.2020.588449,"Allogeneic hematopoietic stem cell transplantation (HSCT) is the solitary therapeutic therapy for many types of hematological cancers. The benefits of this procedure are challenged by graft vs. host disease (GVHD), causing significant morbidity and mortality. Recent advances in the metabolomics field have revolutionized our understanding of complex human diseases, clinical diagnostics and allow to trace the de novo biosynthesis of metabolites. There is growing evidence for metabolomics playing a role in different aspects of GVHD, and therefore metabolomic reprogramming presents a novel tool for this disease. Pre-transplant cytokine profiles and metabolic status of allogeneic transplant recipients is shown to be linked with a threat of acute GVHD. Immune reactions underlying the pathophysiology of GVHD involve higher proliferation and migration of immune cells to the target site, requiring shifts in energy supply and demand. Metabolic changes and reduced availability of oxygen result in tissue and cellular hypoxia which is extensive enough to trigger transcriptional and translational changes. T cells, major players in acute GVHD pathophysiology, show increased glucose uptake and glycolytic activity. Effector T (Teff) cells activated during nutrient limiting conditions in vitro or multiplying during GVHD in vivo, depend more on oxidative phosphorylation (OXPHOS) and fatty acid oxidation (FAO). Dyslipidemia, such as the increase of medium and long chain fatty and polyunsaturated acids in plasma of GVHD patients, has been observed. Sphingolipids associate with inflammatory conditions and cancer. Chronic GVHD (cGVHD) patients show reduced branched-chain amino acids (BCAAs) and increased sulfur-containing metabolites post HSCT. Microbiota-derived metabolites such as aryl hydrocarbon receptor (AhR) ligands, bile acids, plasmalogens and short chain fatty acids vary significantly and affect allogeneic immune responses during acute GVHD. Considering the multitude of possibilities, how altered metabolomics are involved in GVHD biology, multi-timepoints related and multivariable biomarker panels for prognosticating and understanding GVHD are needed. In this review, we will discuss the recent work addressing metabolomics reprogramming to control GVHD in detail.",2020,Front. Pharmacol.,588449,,11,SecondPassAI-Include,kumari2020metabolic-c6d,,,,
4009eca5-a9f7-433e-a309-0fa30bbd9e43,8c030edf29faa6614eb2665d1973c6d5aced0ab7fbfacd6f69478d495e93a306,article,2026-04-22T20:34:06Z,2026-05-28T23:51:21Z,sophie.huebler@utah.edu (Sophie Huebler),2026-06-11T16:21:12Z,True,,,False,,10.1038/s41568-026-00910-6,,41748753,,,"login.ezproxy.lib.utah.edu 5/7/2026, 1:01:16 PM.pdf",2026,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/4009eca5-a9f7-433e-a309-0fa30bbd9e43,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:4009eca5-a9f7-433e-a309-0fa30bbd9e43,"Paredes, Jenny","den Brink, Marcel R. M. van",The intestinal microbiota as a key modulator of acute graft-versus-host disease,"Paredes, Jenny; Schmiester, Maren; Jenq, Robert; den Brink, Marcel R. M. van",Nature Reviews Cancer,1474-175X,http://dx.doi.org/10.1038/s41568-026-00910-6,"Although allogeneic haematopoietic cell transplantation (allo-HCT) is a curative therapy for various malignant diseases, severe complications such as graft-versus-host disease (GVHD) limit its use. The intestinal microbiome has long been known to modulate allo-HCT outcomes. Studies in the past two decades alone have uncovered a complex interplay between the microbial repertoire and the host immune system during allo-HCT. Preclinical studies have characterized the crosstalk between the microbiome and the immune response of the host, discovered associations between microbial taxa and the integrity of the mucosal intestinal barrier, and investigated the role of microbial metabolites in GVHD. Clinical studies have demonstrated that dysbiosis is an independent predictor of both transplantation-related and GVHD-related mortality, and ongoing trials are investigating microbiota-focused approaches to improve clinical outcomes and reduce GVHD severity after allo-HCT, paving the way for therapeutic applications of microbiome research. We anticipate that these insights will support the development of personalized therapies for patients receiving allo-HCT, integrating microbiome profiles with individual risk data. In this Review, we summarize current preclinical and clinical studies, providing a comprehensive account of translational efforts in this highly dynamic field.",2026,Nat. Rev. Cancer,328-350,5,26,SecondPassAI-Include,paredes2026intestinal-400,,,,
b2664f8e-efdb-44f5-a9df-cba5bce44da4,e5e815a9e88368abff693755c22816dfac0af00eeb4e3a77d66511c5c929cd67,article,2026-04-22T20:34:06Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.6004/jadpro.2022.13.1.5,,35173989,PMC8805809,,"pmc.ncbi.nlm.nih.gov 5/7/2026, 1:07:05 PM.pdf",2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/b2664f8e-efdb-44f5-a9df-cba5bce44da4,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:b2664f8e-efdb-44f5-a9df-cba5bce44da4,"Thomas, Jessica","Dains, Joyce E.",Antibiotic Therapy and Gastrointestinal Graft-Versus-Host Disease in the Allogeneic Stem Cell Transplantation Population,"Thomas, Jessica; Bowe, Christi; Dains, Joyce E.",Journal of the Advanced Practitioner in Oncology,2150-0878,http://dx.doi.org/10.6004/jadpro.2022.13.1.5,"Hematopoietic stem cell transplantation patients undergo rigorous courses of myeloablative chemotherapy that increase vulnerability for infections. Complications can arise in the form of graft-vs.-host disease (GvHD) manifesting in various organs, including the skin, lung, liver, and gastrointestinal (GI) tract. Antibiotic therapy is generally begun in order to prevent further complications from infection but may increase the risk for acute GI GvHD. Studies that investigated antibiotic therapy and the subsequent occurrence of GI GvHD in allogeneic stem cell transplantation (aSCT) patients were reviewed. PubMed, Scopus, and CINAHL databases were utilized. Articles published between January 1, 2009, and December 15, 2019, were included in this review. A total of 1,142 articles were retrieved. Duplicates, reviews, letters to the editors, irrelevant interventions/outcomes, and non-English articles were excluded. Inclusion criteria included individuals who were undergoing an aSCT and received antibiotic therapy. A total of seven articles were included for this review after applying the inclusion and exclusion criteria. The use of broad-spectrum antibiotics increased the risk of developing GI GvHD. Stool analysis when available showed a decrease in the diversity of the gut microbiome, which in turn led to the increase in acute GvHD. The increased risk of GvHD may have implications for the standard of care therapy, which includes treatment, for infections during SCTs. Providers will need to weigh the risk vs. benefit of antibiotic therapy and exercise judicious selection of antibiotics prior to engraftment.",2022,J. Adv. Pr. Oncol.,61-69,1,13,SecondPassAI-Include,thomas2022antibiotic-b26,,,,
cb6dda59-21cd-4109-8c40-d56d6f49187d,49d1794a09f21fed599b555ed00bd4b6cfc9ef8236c0d4716889bdcce502787a,article,2026-04-22T20:34:06Z,2026-05-28T23:51:22Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.1016/j.bbmt.2016.01.004,,26899274,,,"s3.us-east-1.amazonaws.com 5/7/2026, 1:09:08 PM.pdf",2016,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/cb6dda59-21cd-4109-8c40-d56d6f49187d,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:cb6dda59-21cd-4109-8c40-d56d6f49187d,"Teshima, Takanori","Zeiser, Robert",Reprint of: Acute Graft-versus-Host Disease: Novel Biological Insights,"Teshima, Takanori; Reddy, Pavan; Zeiser, Robert",Biology of Blood and Marrow Transplantation,1083-8791,http://dx.doi.org/10.1016/j.bbmt.2016.01.004,"Graft-versus-host disease (GVHD) continues to be a leading cause of morbidity and mortality after allogeneic hematopoietic stem cell transplantation. Recent insights into intestinal homeostasis and uncovering of new pathways and targets have greatly reconciled our understanding of GVHD pathophysiology and will reshape contemporary GVHD prophylaxis and treatment. Gastrointestinal (GI) GVHD is the major cause of mortality. Emerging data indicate that intestinal stem cells (ISCs) and their niche Paneth cells are targeted, resulting in dysregulation of the intestinal homeostasis and microbial ecology. The microbiota and their metabolites shape the immune system and intestinal homeostasis, and they may alter host susceptibility to GVHD. Protection of the ISC niche system and modification of the intestinal microbiota and metabolome to restore intestinal homeostasis may, thus, represent a novel approach to modulate GVHD and infection. Damage to the intestine plays a central role in amplifying systemic GVHD by propagating a proinflammatory cytokine milieu. Molecular targeting to inhibit kinase signaling may be a promising approach to treat GVHD, ideally via targeting the redundant effect of multiple cytokines on immune cells and enterocytes. In this review, we discuss insights on the biology of GI GVHD, interaction of microflora and metabolome with the hosts, identification of potential new target organs, and identification and targeting of novel T cell–signaling pathways. Better understanding of GVHD biology will, thus, pave a way to develop novel treatment strategies with great clinical benefits.",2016,Biol. Blood Marrow Transplant.,S3-S8,3,22,SecondPassAI-Include,teshima2016reprint-cb6,,,,
21f51aea-b413-4bc8-8c4a-56072b38aed2,c0db544b36fdfb0171d3e5ec08a715d827984491b215135b1180790c17d7f2e6,article,2026-04-22T20:34:05Z,2026-05-28T23:51:21Z,sophie.huebler@utah.edu (Sophie Huebler),,False,,,False,,10.3390/immuno5010010,,,,,immuno-05-00010.pdf,2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/21f51aea-b413-4bc8-8c4a-56072b38aed2,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:21f51aea-b413-4bc8-8c4a-56072b38aed2,"Pinzon-Leal, Paula","Zapata, Juan C.","The Microbiome, Inflammation, and GVHD Axis: The Balance Between the “Gut” and the Bad","Pinzon-Leal, Paula; Gutierrez-Barbosa, Hernando; Medina-Moreno, Sandra; Zapata, Juan C.",Immuno,2673-5601,http://dx.doi.org/10.3390/immuno5010010,"Hematopoietic stem cell transplantation is one of the most intricate immune therapies used for patients with hematological diseases or immune disorders. In addition to the inherent immunosuppression from their primary condition, many of these patients usually receive cytotoxic chemotherapy, radiation therapy, broad-spectrum antibiotics, or experience extended nutritional perturbations. These factors collectively lead to inflammation and the disruption of gut microbiota. Additionally, about 40–60% of patients undergoing fully HLA-matched allogeneic transplantation are expected to develop acute graft-versus-host disease (aGVHD), even with prophylactic measures such as calcineurin inhibitors, methotrexate/mycophenolate, or post-transplant cyclophosphamide treatment. Recent research has elucidated the complex interplay between immune effectors in the gastrointestinal tract and microbial populations within a proinflammatory peri-transplant environment, revealing its significant effect on survival and post-transplant complications such as aGVHD. This review will explore the relationship between dysbiosis during allogeneic transplantation and mechanisms that can help clarify the link between gut microbiota and the risk of GVHD, along with emerging therapeutic strategies aimed at addressing dysbiosis during hematopoietic stem cell transplantation.",2025,Immuno,10,1,5,"Prompt Gen,Screen2.2,SecondPassAI-Include",pinzonleal2025microbiome-21f,,,,
4c7473ea-044b-4e0d-a53f-2a6b4e063de7,7ec3cc25fd1d5cc4ea2cb13a6d00c50cbfac31e2bc39839421c7ab005ab3c6ed,article,2026-04-22T20:34:05Z,2026-06-01T22:58:53Z,sophie.huebler@utah.edu (Sophie Huebler),2026-06-01T22:57:27Z,True,Requested full text. ,,False,,10.1007/s12254-025-01091-y,,,,,1954705.pdf,2026,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/4c7473ea-044b-4e0d-a53f-2a6b4e063de7,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:4c7473ea-044b-4e0d-a53f-2a6b4e063de7,"Nikoloudis, Alexander","Clausen, Johannes",Allogeneic hematopoietic stem cell transplantation (allo-HCT) remains a key curative treatment for acute myeloid leukemia (AML),"Nikoloudis, Alexander; Machherndl-Spandl, Sigrid; Clausen, Johannes",memo - Magazine of European Medical Oncology,1865-5041,http://dx.doi.org/10.1007/s12254-025-01091-y,"This review summarizes the current state of evidence from peer-reviewed publications and relevant conference presentations from 2023–2025 and highlights the impact of patient selection, donor selection, conditioning, measures to prevent graft-versus-host disease (GvHD), maintenance therapy, monitoring of measurable residual disease (MRD), and supportive measures on the transplant outcome. Narrative review with current randomized, large retrospective studies and important abstracts on adult acute myeloid leukemia (AML) patients who have undergone stem cell transplantation (allo-HCT). Conference contributions are included in the evaluation if mature data are still lacking evaluation. We see the greatest benefit of allo-HCT in patients with unfavorable genetics or MRD persistence after initial complete remission. MRD-negative patients with favorable genetics achieve long-term cure, in some cases even without transplantation [1, 2]. In several studies, haploidentical transplants with posttransplant cyclophosphamide (PTCy) have achieved results similar to those of HLA-identical siblings or unrelated donors; however, registry data report higher nonrelapse mortality (NRM) or poorer overall survival (OS) in individual settings. In mismatched unrelated donor transplantation, PTCy was superior to rabbit antithymocyte globulin (rATG) for NRM and OS. With iomab‑B (radioimmunological approach), older patients with relapsed/refractory AML can receive targeted curative treatment. Sorafenib as maintenance therapy after allo-HCT improves relapse-free survival and OS in FLT3-ITD-mutated AML, while a benefit from gilteritinib after allo-HCT was particularly shown for MRD-positive patients. APR-246 (eprenetapopt): Phase II data support its use as maintenance therapy after allo-HCT and early pilot studies with enasidenib or ivosidenib report good tolerability and efficacy in small cohorts. MRD monitoring after HCT identifies molecular relapse and patients at high risk for overt relapse who may benefit from pre-emptive interventions; letermovir reduces CMV disease (not reactivation) to < 4%, higher gut microbiome diversity correlates with lower GvHD risk. Whether prophylactic fecal microbiota transfer (FMT) may reduce GvHD remains unproven in randomized trials. In addition to ELN risk criteria and MRD status for accurate risk stratification, the wider availability of alternative donors thanks to PTCy-based GvHD prophylaxis, targeted maintenance therapy, and improved supportive care increase the curative potential of allo-HCT in AML.",2026,memo - Mag. Eur. Méd. Oncol.,33-38,1,19,"SecondPassAI-EdgeCase-Include,SecondPassAI-EdgeCaseReason-DiversityMetricsOnly,ThirdPass-Include",nikoloudis2026allogeneic-4c7,,,,
