item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Abstract,Date,Journal Abbreviation,Issue,Volume,Language,Tags,eissn,Pages,Archive Location,Citekey
8a001eab-f7ac-4d95-9689-5fd91adef60e,7131405ea82f58a9e1580a35511760f7747edadb1706f9627348e08ce3b3602a,article,2026-04-22T20:24:36Z,2026-05-06T17:37:33Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:26:07Z,true,,,false,,10.3390/ijms27052331,,41828553,,,ijms-27-02331.pdf,2026,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/8a001eab-f7ac-4d95-9689-5fd91adef60e,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:8a001eab-f7ac-4d95-9689-5fd91adef60e,"Alba, Claudio","Herranz, Carmen",Metataxonomic Analysis and Fatty Acid Profiling of Feces from Children Undergoing       Hematopoietic Stem Cell Transplantation.,"Alba, Claudio; Palomino, Laura; Vergara, Beatriz; Rodríguez-Belvis, Marta Velasco; Aragón, Alberto; Zaghlul, Marianna A Di Campli; Jurado, Rubén; Martín-Fernández, Carmen; Vázquez-Gómez, Julio A; González-Vicent, Marta; Molina-Angulo, Blanca; Sánchez-Llorente, Paula; García-Hernández, Paloma; Rodríguez, Juan M; Muñoz-Codoceo, Rosa A; Herranz, Carmen",International journal of molecular sciences,1661-6596,"Allogeneic hematopoietic stem cell transplantation (HSCT) is a medical procedure       to treat hematologic malignancies and restore bone marrow function. However, this       approach may lead to graft-versus-host disease (GvHD), a major cause of mortality       and morbidity after allogeneic HSCT. Some studies have suggested the involvement       of gut microbiota in the development and prognosis of GvHD. In this context, the       main objective of this study was to compare the fecal microbiome composition and       short-chain profile of pediatric patients who underwent successful HSCT,       developed GvHD or died. The bacterial composition was analyzed using 16S rRNA       gene sequencing, while short-chain fatty acids (SCFAs) were quantified by gas       chromatography. Fecal samples at engraftment were mainly characterized by a loss       of bacterial diversity, a depletion of sequences belonging to the genus Blautia       and significantly lower concentrations of fecal butyrate and acetate compared       with those obtained before HSCT and 100 days after HSCT. Our findings confirm       that children experiencing GvHD after HSCT have distinct gut microbiota and SCFA       profiles, which might contribute to developing new microbiota-targeted strategies       for GvHD prevention during HSCT procedures.",2026 Mar 2,Int J Mol Sci,5,27,eng,"Prompt Gen,Screen1",1422-0067,,,
da9d125d-a73f-483e-952a-c9aed24d161e,fdefafc05ae8aa4dba93dbaa9ddd514f5df4486c94c7fc3cf97d9f70883ee714,article,2026-04-22T20:24:36Z,2026-05-06T17:37:42Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:25:08Z,true,,,false,,10.1111/petr.14375,,35946349,,,Pediatric Transplantation - 2022 - Alrugaib - Antimicrobial prophylaxis and the rate of blood stream infections and.pdf,2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/da9d125d-a73f-483e-952a-c9aed24d161e,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:da9d125d-a73f-483e-952a-c9aed24d161e,"Alrugaib, Trad","Essa, Mohammed F",Antimicrobial prophylaxis and the rate of blood stream infections and       Clostridioides difficile in pediatric stem cell transplantation: A single-center       retrospective study.,"Alrugaib, Trad; Alsultan, Abdulrahman; Elbashir, Enas; Albdah, Bayan; Alharbi, Musaed; Essa, Mohammed F",Pediatric transplantation,1397-3142,"BACKGROUND: The use of prophylactic antibiotics in the pre-engraftment period to       minimize the risk of bacteremia is debatable given concerns of Clostridioides       difficile (C. diff), antibiotics resistance, and disruption of gut microbiota.       METHODS: We retrospectively reviewed the rate and characteristics of bacteremia       and C. diff infections within the first 100 days post-HSCT in all pediatric       patients who received routine antibacterial prophylaxis during HSCT from 2015 to       2018. C. diff infection was defined by the presence of three or more unformed       stools in 24 h and positive stool test for C. diff or its toxins. RESULTS: One       hundred and thirty-five (100 allogeneic and 35 autologous) transplants in 123       patients were eligible for analysis. Median age at transplant was 7.1 (range       0.2-13.7), 67 (55%) were women, and diagnosis was malignant condition in 68       patients. Median time to neutrophil engraftment was 18 days (13-23). Cefepime or       piperacillin-tazobactam prophylaxis was used in 105 (78%) and 28 (21%) of       patients, respectively. Only five (3%) patients had bacteremia during the       pre-engraftment period, and 13 (11%) patients developed bacteremia       postengraftment. Septic shock was present in only one patient pre-engraftment and       was due to gram-negative bacteria. All patients who developed bacteremia received       MAC. Thirteen patients (10%) of patients fulfilled C. diff infection definition.       There was no mortality related to bacterial infections among our patients.       CONCLUSIONS: The use of antibiotic prophylaxis was associated with low rate of       bacteremia in the pre-engraftment period and a 10% risk of C. diff infections.       More studies are needed to better evaluate the efficacy of antibiotic prophylaxis       in HSCT patients.",2023 Feb,Pediatr Transplant,1,27,eng,"Prompt Gen,Screen1",1397-3142,e14375,,
fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,14af33a44fd6e5b477f073259c2e3ca0204534ff32860c3e172d4386f946e03d,article,2026-04-22T20:24:36Z,2026-05-06T17:37:50Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:23:57Z,true,,,false,,10.1016/j.jtct.2021.07.009,,34274493,,,"s3.us-east-1.amazonaws.com 4/23/2026, 11:47:22 AM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,"Andermann, Tessa M","Bhatt, Ami S",A Fructo-Oligosaccharide Prebiotic Is Well Tolerated in Adults Undergoing       Allogeneic Hematopoietic Stem Cell Transplantation: A Phase I Dose-Escalation       Trial.,"Andermann, Tessa M; Fouladi, Farnaz; Tamburini, Fiona B; Sahaf, Bita; Tkachenko, Ekaterina; Greene, Courtney; Buckley, Matthew T; Brooks, Erin F; Hedlin, Haley; Arai, Sally; Mackall, Crystal L; Miklos, David; Negrin, Robert S; Fodor, Anthony A; Rezvani, Andrew R; Bhatt, Ami S",Transplantation and cellular therapy,2666-6375,"Alterations of the gut microbiota after allogeneic hematopoietic cell       transplantation (allo-HCT) are a key factor in the development of       transplant-related complications such as graft-versus-host disease (GVHD).       Interventions that preserve the gut microbiome hold promise to improve       HCT-associated morbidity and mortality. Murine models demonstrate that prebiotics       such as fructo-oligosaccharides (FOSs) may increase gut levels of short-chain       fatty acids (SCFAs) such as butyrate and consequently induce proliferation of       immunomodulatory FOXP3(+)CD4(+) regulatory T cells (Tregs), which impact GVHD       risk. We conducted a pilot phase I trial to investigate the maximum tolerated       dose of FOS in patients undergoing reduced-intensity allo-HCT (n = 15) compared       with concurrent controls (n = 16). We administered the FOS starting at       pretransplant conditioning and continuing for a total of 21 days. We       characterized the gut microbiome using shotgun metagenomic sequencing, measured       stool short-chain fatty acids (SCFAs) using liquid chromatography-mass       spectrometry, and determined peripheral T cell concentrations using cytometry by       time-of-flight. We found that FOS was safe and well-tolerated at 10 g/d without       significant adverse effects in patients undergoing allo-HCT. Community-level gut       microbiota composition differed significantly on the day of transplant (day 0)       between patients receiving FOS and concurrent controls; however, FOS-associated       alterations of the gut microbiota were not sustained after transplant. Although       the impact of FOS was fleeting, transplantation itself impacted a substantial       number of taxa over time. In our small pilot trial, no significant differences       were observed in gut microbial metabolic pathways, stool SCFAs, or peripheral       Tregs, although Tregs trended higher in those patients who received FOS. A marker       of CD4(+) T cell activation (namely, CTLA4(+)) was significantly higher in       patients receiving FOS, whereas a non-significant trend existed for FOP3(+)CD4(+)       Treg cells, which were higher in those receiving FOS compared with controls. FOS       is well tolerated at 10 g/d in patients undergoing reduced-intensity allo-HCT.       Although the alterations in gut microbiota and peripheral immune cell composition       in those receiving FOS are intriguing, additional studies are required to       investigate the use of prebiotics in HCT recipients.",2021 Nov,Transplant Cell Ther,11,27,eng,"Prompt Gen,Screen1",2666-6367,932.e1-932.e11,,
5fca44e1-4a2a-4fe5-b1a7-518192252fdf,ca21c3658a0e1da51f92154d9454890107597288aa326d8f2aa38dd14bb0fd1c,article,2026-04-22T20:24:36Z,2026-05-06T17:37:59Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:22:28Z,true,,,false,,10.1126/scitranslmed.abj2829,,35613281,,,scitranslmed.abj2829.pdf,2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5fca44e1-4a2a-4fe5-b1a7-518192252fdf,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:5fca44e1-4a2a-4fe5-b1a7-518192252fdf,"Andrlová, Hana","Markey, Kate A",MAIT and Vδ2 unconventional T cells are supported by a diverse intestinal       microbiome and correlate with favorable patient outcome after allogeneic HCT.,"Andrlová, Hana; Miltiadous, Oriana; Kousa, Anastasia I; Dai, Anqi; DeWolf, Susan; Violante, Sara; Park, Hee-Yon; Janaki-Raman, Sudha; Gardner, Rui; Daker, Sary El; Slingerland, John; Giardina, Paul; Clurman, Annelie; Gomes, Antonio L C; Nguyen, Chi; da Silva, Marina Burgos; Armijo, Gabriel K; Lee, Nicole; Zappasodi, Roberta; Chaligne, Ronan; Masilionis, Ignas; Fontana, Emily; Ponce, Doris; Cho, Christina; Bush, Amy; Hill, Lauren; Chao, Nelson; Sung, Anthony D; Giralt, Sergio; Vidal, Esther H; Hosszu, Kinga K; Devlin, Sean M; Peled, Jonathan U; Cross, Justin R; Perales, Miguel-Angel; Godfrey, Dale I; den Brink, Marcel R M van; Markey, Kate A",Science translational medicine,1946-6234,"Microbial diversity is associated with improved outcomes in recipients of       allogeneic hematopoietic cell transplantation (allo-HCT), but the mechanism       underlying this observation is unclear. In a cohort of 174 patients who underwent       allo-HCT, we demonstrate that a diverse intestinal microbiome early after       allo-HCT is associated with an increased number of innate-like mucosal-associated       invariant T (MAIT) cells, which are in turn associated with improved overall       survival and less acute graft-versus-host disease (aGVHD). Immune profiling of       conventional and unconventional immune cell subsets revealed that the prevalence       of Vδ2 cells, the major circulating subpopulation of γδ T cells, closely       correlated with the frequency of MAIT cells and was associated with less aGVHD.       Analysis of these populations using both single-cell transcriptomics and flow       cytometry suggested a shift toward activated phenotypes and a gain of cytotoxic       and effector functions after transplantation. A diverse intestinal microbiome       with the capacity to produce activating ligands for MAIT and Vδ2 cells appeared       to be necessary for the maintenance of these populations after allo-HCT. These       data suggest an immunological link between intestinal microbial diversity,       microbe-derived ligands, and maintenance of unconventional T cells.",2022 May 25,Sci Transl Med,646,14,eng,"Prompt Gen,Screen1",1946-6234,eabj2829,,
bc549c6b-e233-4fdd-affc-f2b11c079fb7,d51324e3952853c55aeb0d57357f9929d3184d16ef9f4be312a4d33250659f6b,article,2026-04-22T20:24:36Z,2026-05-06T17:38:07Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.11406/rinketsu.63.1261,,36198552,,,,2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/bc549c6b-e233-4fdd-affc-f2b11c079fb7,,"Ara, Takahide","Hashimoto, Daigo",[GVHD: pathophysiology and novel agents].,"Ara, Takahide; Hashimoto, Daigo",[Rinsho ketsueki] The Japanese journal of clinical hematology,0485-1439,"Graft-versus-host disease (GVHD) is a potentially life-threatening complication       of allogeneic hematopoietic stem cell transplantation (allo-SCT). Recent advances       in understanding the GVHD pathophysiology promoted development of novel       therapeutic agents for GVHD. In acute GVHD, emerging evidence suggested that it       targets tissue stem cells in the skin, liver, and gut, resulting in treatment       refractoriness. Furthermore, antimicrobial peptide deficiency, nutritional status       alteration of the gut microbiota, and antibiotic administration lead to gut       dysbiosis, which is related to GVHD onset and treatment-related mortality after       allo-SCT. In this review, recent advances in understanding the GVHD       pathophysiology are summarized, and novel agents for the treatment and       prophylaxis of acute and chronic GVHD are introduced.",2022,Rinsho Ketsueki,9,63,jpn,"Prompt Gen,Screen1",0485-1439,1261-1269,,
fb92dfaf-6803-4697-980d-9b7edfc13bad,3d90e6c193c11c759649375ffdabf34e9ab7905614c8a734fd060c80759ceff9,article,2026-04-22T20:24:36Z,2026-05-06T17:38:13Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:19:07Z,true,,,false,,10.3389/fimmu.2021.713631,,34512636,,,"s3.us-east-1.amazonaws.com 4/23/2026, 11:45:48 AM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fb92dfaf-6803-4697-980d-9b7edfc13bad,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fb92dfaf-6803-4697-980d-9b7edfc13bad,"Ara, Takahide","Hashimoto, Daigo",Novel Insights Into the Mechanism of GVHD-Induced Tissue Damage.,"Ara, Takahide; Hashimoto, Daigo",Frontiers in immunology,1664-3224,"Prophylaxis for and treatment of graft-versus-host disease (GVHD) are essential       for successful allogeneic hematopoietic stem cell transplantation (allo-SCT) and       mainly consist of immunosuppressants such as calcineurin inhibitors. However,       profound immunosuppression can lead to tumor relapse and infectious       complications, which emphasizes the necessity of developing novel management       strategies for GVHD. Emerging evidence has revealed that tissue-specific       mechanisms maintaining tissue homeostasis and promoting tissue tolerance to       combat GVHD are damaged after allo-SCT, resulting in exacerbation and treatment       refractoriness of GVHD. In the gastrointestinal tract, epithelial regeneration       derived from intestinal stem cells (ISCs), a microenvironment that maintains       healthy gut microbiota, and physical and chemical mucosal barrier functions       against pathogens are damaged by conditioning regimens and/or GVHD. The       administration of growth factors for cells that maintain intestinal homeostasis,       such as interleukin-22 (IL-22) for ISCs, R-spondin 1 (R-Spo1) for ISCs and Paneth       cells, and interleukin-25 (IL-25) for goblet cells, mitigates murine GVHD. In       this review, we summarize recent advances in the understanding of GVHD-induced       tissue damage and emerging strategies for the management of GVHD.",2021,Front Immunol,,12,eng,"Prompt Gen,Screen1",1664-3224,713631,,
5444d1e8-a0c1-4f04-898a-32da8b3444ed,4a58e9483a5933a4f4db519bb9b1a1c1c24364abddf20a9b77f9c73da3787c27,article,2026-04-22T20:24:36Z,2026-05-06T17:38:22Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:18:22Z,true,,,false,,10.61622/rbgo/2025rbgo471,,41341925,,,"pmc.ncbi.nlm.nih.gov 4/23/2026, 11:12:23 AM.pdf",2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5444d1e8-a0c1-4f04-898a-32da8b3444ed,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:5444d1e8-a0c1-4f04-898a-32da8b3444ed,"Araújo, Luiza de Amorim de Carvalho","Peixoto, Raquel Autran Coelho",Vulvar and Vaginal Graft-Versus-Host Disease: prevalence and repercussions on       vaginal microbiota.,"Araújo, Luiza de Amorim de Carvalho; Rebouças, Karinne Cisne Fernandes; Duarte, Fernando Barroso; José, Eleutério; Peixoto, Raquel Autran Coelho",Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira       das Sociedades de Ginecologia e Obstetricia,0100-7203,"OBJECTIVE: Allogeneic bone marrow transplantation (BMT) carries the risk of the       donor's cells recognizing the recipient as abnormal, triggering Graft Versus Host       Disease (GVHD). This study aimed to understand the prevalence and gynecological       complications, including vaginal microbiota evaluation. METHODS: A descriptive       cross-sectional study was carried out from December 2022 to October 2023.       Post-allogeneic BMT patients underwent gynecological evaluation at the Assis       Chateaubriand Maternity School in Fortaleza-Ceará, Brazil, composed of structured       interview and physical examination, which included collection of fresh       examination of vaginal content, gram bacterioscopy and cervicovaginal cytology.       RESULTS: A total of 22 patients between 21 and 61 years old (average: 38) were       evaluated, with an average of 1028 (± 979) days post BMT. Of these patients,       whether or not they had Vulvar and Vaginal Graft Versus Host Disease (VVGVHD), 15       reported various gynecological complaints (dryness being the most common). Of the       total, twelve showed signs of genital atrophy on examination. A 45% prevalence of       VVGVHD was found, with vulvar and vaginal involvement of 100% and 60%,       respectively. Burning and dyspareunia symptoms were more prevalent in patients       with VVGVHD than in those without it (p<0.05); there was no difference in Human       Papillomavirus (HPV) induced lesions between the two groups. However, compared to       the population not undergoing allogeneic BMT, these patients had a higher       prevalence of induced HPV lesions and intermediate vaginal flora. CONCLUSION: The       findings described in the present work are consistent with other studies       available in recent literature. In conclusion, VVGVHD is a potentially mutilating       condition, with a significant prevalence among post-BMT patients.",2025,Rev Bras Ginecol Obstet,,47,eng,"Prompt Gen,Screen1",0100-7203,,,
9e5d0f81-c2da-47ef-a4a5-5a7d7f56b099,900da310d2ed6ce193344f31256c8e680ce90623529ef4757d5f63a9d6845d3e,article,2025-06-12T21:18:10Z,2026-05-06T17:38:31Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:11:16Z,true,,,false,,10.1186/s40168-024-01948-0,,39511587,PMC11542268,,Multimodal analysis identifies microbiome changes linked to stem cell transplantation-associated diseases.pdf,2024,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/9e5d0f81-c2da-47ef-a4a5-5a7d7f56b099,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:9e5d0f81-c2da-47ef-a4a5-5a7d7f56b099,"Artacho, Alejandro","Ubeda, Carles",Multimodal analysis identifies microbiome changes linked to stem cell transplantation-associated diseases,"Artacho, Alejandro; González-Torres, Cintya; Gómez-Cebrián, Nuria; Moles-Poveda, Paula; Pons, Javier; Jiménez, Nuria; Casanova, María Jinglei; Montoro, Juan; Balaguer, Aitana; Villalba, Marta; Chorão, Pedro; Puchades-Carrasco, Leonor; Sanz, Jaime; Ubeda, Carles",Microbiome,2049-2618,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is one of the most efficient therapeutic options available to cure many hematological malignancies. However, severe complications derived from this procedure, including graft-versus-host disease (GVHD) and infections, can limit its success and negatively impact survival. Previous studies have shown that alterations in the microbiome are associated with the development of allo-HSCT-derived complications. However, most studies relied on single techniques that can only analyze a unique aspect of the microbiome, which hinders our ability to understand how microbiome alterations drive allo-HSCT-associated diseases. Here, we have applied multiple “omic” techniques (16S rRNA and shotgun sequencing, targeted and un-targeted metabolomics) in combination with machine learning approaches to define the most significant microbiome changes following allo-HSCT at multiple modalities (bacterial taxa, encoded functions, and derived metabolites). In addition, multivariate approaches were applied to study interactions among the various microbiome modalities (the interactome). Our results show that the microbiome of transplanted patients exhibits substantial changes in all studied modalities. These include depletion of beneficial microbes, mainly from the Clostridiales order, loss of their bacterial encoded functions required for the synthesis of key metabolites, and a reduction in metabolic end products such as short chain fatty acids (SCFAs). These changes were followed by an expansion of bacteria that frequently cause infections after allo-HSCT, including several Staphylococcus species, which benefit from the reduction of bacteriostatic SCFAs. Additionally, we found specific alterations in all microbiome modalities that distinguished those patients who subsequently developed GVHD, including depletion of anti-inflammatory commensals, protective reactive oxygen detoxifying enzymes, and immunoregulatory metabolites such as acetate or malonate. Moreover, extensive shifts in the homeostatic relationship between bacteria and their metabolic products (e.g., Faecalibacterium and butyrate) were detected mainly in patients who later developed GVHD. We have identified specific microbiome changes at different modalities (microbial taxa, their encoded genes, and synthetized metabolites) and at the interface between them (the interactome) that precede the development of complications associated with allo-HSCT. These identified microbial features provide novel targets for the design of microbiome-based strategies to prevent diseases associated with stem cell transplantation. Bx_7phuTozz8yFUTR9cZV4Video Abstract Video Abstract",2024 Nov 7,Microbiome,1,12,eng,"Prompt Gen,SCFA,Screen1",2049-2618,229,,
d12c0ae4-6318-4314-8c9a-b3779fc80beb,740008d0f99504d20079387810f09588f85c2cc0a44a17136a224f77da6cb8fb,article,2026-04-22T20:24:36Z,2026-05-06T17:38:38Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:09:35Z,true,,,false,,10.1080/17474086.2020.1831382,,32996342,,,Reducing infectious complications after allogeneic stem cell transplant.pdf,2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/d12c0ae4-6318-4314-8c9a-b3779fc80beb,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:d12c0ae4-6318-4314-8c9a-b3779fc80beb,"Bacigalupo, Andrea","Pagano, Livio",Reducing infectious complications after allogeneic stem cell transplant.,"Bacigalupo, Andrea; Metafuni, Elisabetta; Amato, Viviana; Algaba, Ester Marquez; Pagano, Livio",Expert review of hematology,1747-4086,"INTRODUCTION: Infections remain a significant problem, in patients undergoing an       allogeneic hematopoietic stem-cell transplant (HSCT) and efforts have been made       over the years, to reduce the incidence, morbidity and mortality of infectious       complications. AREAS COVERED: This manuscript is focused on the epidemiology,       risk factors and prevention of infections after allogeneic HSCT. A systematic       literature review was performed using the PubMed database, between November 2019       and January 2020, with the following MeSH terms: stem-cell transplantation,       infection, fungal, bacterial, viral, prophylaxis, vaccines, prevention. The       authors reviewed all the publications, and following a common revision, a summary       report was made and results were divided in three sections: bacterial, fungal and       viral infections. EXPERT OPINION: Different infections occur in the early,       intermediate and late post-transplant period, due to distinct risk factors.       Improved diagnostic techniques, pre-emtive therapy and better prophylaxis of       immunologic complications, have reduced the morbidity and mortality of       infections. The role of the gut microbiota is under careful scrutiny and may       further help us to identify high-risk patients.",2020 Nov,Expert Rev Hematol,11,13,eng,"Prompt Gen,Screen1",1747-4094,1235-1251,,
57990ee6-2204-492c-9010-19877294a185,2e1192244d3f98d5439ca60345c627617af66c46fa416038dfb1d6e62bbedf12,article,2026-04-22T20:24:36Z,2026-05-06T17:38:45Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:07:31Z,true,,,false,,10.1016/j.exphem.2025.104833,,40523420,,,1-s2.0-S0301472X25001249-main.pdf,2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/57990ee6-2204-492c-9010-19877294a185,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:57990ee6-2204-492c-9010-19877294a185,"Bai, Wenxuan","Zhao, Mingyi",A new anchor point for gut microbiome to regulate complications of allogeneic       hematopoietic stem cell transplantation: oxidative stress.,"Bai, Wenxuan; Jiang, Tiebin; Tang, Lanlan; Shao, Chuhan; Wei, Mamingxi; Wang, Zisai; Zhao, Mingyi",Experimental hematology,0301-472X,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is a cure for many       malignant hematologic and metabolic diseases, whose complications are an       unignorable cause of long-term prognosis. Pretreatment chemoradiotherapy       administered before and after transplantation alters the state of the bone marrow       hematopoietic microenvironment. Under the stress of hematopoietic injury, a large       number of hematopoietic stem cells (HSCs) proliferate and differentiate,       producing large amounts of reactive oxygen species (ROS). In addition, the       chemotherapeutic pretreatment drugs also cause oxidative stress (OS) themselves,       which can indirectly exacerbate OS of the bone marrow microenvironment. The bone       marrow hematopoietic microenvironment and local OS affect the development of       infections, relapse, graft-versus-host disease (GVHD), poor graft function (PGF),       persistent thrombocytopenia (PT), chronic fatigue syndrome (CFS), bronchiolitis       obliterans syndrome (BOS), and transplant-associated thrombotic microangiopathy       (TA-TMA). Recent studies have demonstrated that the gut microbiome (GM) and its       metabolites such as short-chain fatty acids (SCFAs), secondary bile acids,       trimethylamine (TMA) and signaling molecules such as H(2)S and NO can enter the       bloodstream through the intestinal epithelium and reach all parts of the body.       This review describes the impact of OS on the development of allo-HSCT       complications. In this article, we will elucidate the mechanism of OS on       allo-HSCT complications, summarize the interaction between GM and OS in the body,       and highlight the role of GM regulation of OS in allo-HSCT complications to offer       new strategies for the prevention and treatment of allo-HSCT complications.",2025 Oct,Exp Hematol,,150,eng,"Prompt Gen,Screen1",0301-472X,104833,,
