Title,Abstract
Conditioning Regimens are Associated with Distinct Patterns of Microbiota Injury       in Allogeneic Hematopoietic Cell Transplantation.,"PURPOSE: The gut microbiota is subject to multiple insults in allogeneic       hematopoietic cell transplantation (allo-HCT) recipients. We hypothesized that       preparative conditioning regimens contribute to microbiota perturbation in       allo-HCT. EXPERIMENTAL DESIGN: This was a retrospective study that evaluated the       relationship between conditioning regimens exposure in 1,188 allo-HCT recipients       and the gut microbiome. Stool samples collected from 20 days before       transplantation up to 30 days after were profiled using 16S rRNA sequencing.       Microbiota injury was quantified by changes in α-diversity. RESULTS: We       identified distinct patterns of microbiota injury that varied by conditioning       regimen. Diversity loss was graded into three levels of conditioning-associated       microbiota injury (CMBI) in a multivariable model that included antibiotic       exposures. High-intensity regimens, such as total body irradiation       (TBI)-thiotepa-cyclophosphamide, were associated with the greatest injury (CMBI       III). In contrast, the nonmyeloablative regimen fludarabine-cyclophosphamide with       low-dose TBI (Flu/Cy/TBI200) had a low-grade injury (CMBI I). The risk of acute       GVHD correlated with CMBI degree. Pretransplant microbial compositions were best       preserved with Flu/Cy/TBI200, whereas other regimens were associated with loss of       commensal bacteria and expansion of Enterococcus. CONCLUSIONS: Our findings       support an interaction between conditioning at the regimen level and the extent       of microbiota injury."
Patterns of salivary microbiota injury and oral mucositis in recipients of       allogeneic hematopoietic stem cell transplantation.,"Oral mucositis (OM) is a common debilitating dose-limiting toxicity of cancer       treatment, including hematopoietic stem cell transplantation (HSCT). We       hypothesized that the oral microbiome is disturbed during allogeneic HSCT,       partially accounting for the variability in OM severity. Using 16S ribosomal RNA       gene sequence analysis, metabolomic profiling, and computational methods, we       characterized the behavior of the salivary microbiome and metabolome of 184       patients pre- and post-HSCT. Transplantation was associated with a decrease in       oral α diversity in all patients. In contrast to the gut microbiome, an       association with overall survival was not detected. Among 135 patients given       methotrexate for graft-versus-host disease prophylaxis pre-HSCT, Kingella and       Atopobium abundance correlated with future development of severe OM.       Posttransplant, Methylobacterium species were significantly enriched in patients       with severe OM. Moreover, the oral microbiome and metabolome of severe OM       patients underwent distinct changes post-HSCT, compared with patients with no or       mild OM. Changes in specific metabolites were well explained by microbial       composition, and the common metabolic pathway was the polyamines pathway, which       is essential for epithelial homeostasis. Together, our findings suggest that       salivary microbial composition and metabolites are associated with the       development of OM, offering new insights on pathophysiology and potential avenues       of intervention."
Microbiome-based prediction of allogeneic hematopoietic stem cell transplantation outcome,"Allogeneic hematopoietic stem cell transplantation (HSCT) is potentially curative for hematologic malignancies but is frequently complicated by relapse and immune-mediated complications, such as graft-versus-host disease (GVHD). Emerging evidence suggests a role for the intestinal and oral microbiome in modulating HSCT outcomes, yet predictive models incorporating microbiome data remain limited. We applied the RATIO (suRvival Analysis lefT barrIer lOss) model to longitudinal stool and saliva microbiome data from 204 adult HSCT recipients to predict the timing of seven outcomes: overall survival (OS), non-relapse mortality (NRM), relapse, acute GVHD (grades II–IV and III–IV), chronic GVHD, and oral chronic GVHD. A total of 514 stool and 1291 saliva samples were collected over 70 weeks post-HSCT. Model performance was evaluated using the concordance index (CI) and Spearman correlation coefficient (SCC), with SHAP (SHapley Additive exPlanations) analysis used for model interpretability. Oral and stool microbial dysbiosis peaked within the first 2 weeks post-HSCT, followed by partial recovery. Using the RATIO model, we found that microbiome features from early time points (weeks 1–2) were most predictive of short-term complications such as acute GVHD, while later samples (weeks 36–70) were more informative for long-term outcomes, including overall survival. RATIO outperformed traditional survival models (Cox and Random Survival Forest) across most outcomes (median CI > 0.65), with stool microbiota showing greater predictive power than saliva. SHAP analysis identified specific stool genera, including Collinsella and Eggerthella, associated with shorter time to various complications. External validation using a pediatric GVHD cohort confirmed the model’s generalizability and reproducibility. External validation using a pediatric HSCT cohort (n = 90) confirmed the reproducibility and generalizability of these microbiome-based predictions. Microbiome profiling of stool and saliva samples offers robust, time-sensitive prediction of post-HSCT complications. The RATIO model enables interpretable, time-to-event prediction across multiple outcomes and may inform microbiome-guided interventions to improve transplant success."
Intestinal microbiota predict HSCT outcome,
Preservation of the fecal microbiome is associated with reduced severity of       graft-versus-host disease.,"Following allogeneic hematopoietic cell transplantation (allo-HCT), the       gastrointestinal (GI) tract is frequently affected by acute graft-versus-host       disease (aGVHD), the pathophysiology of which is associated with a dysbiotic       microbiome. Since microbial composition varies along the length of the GI tract,       the authors hypothesized that microbiome features correlate with the pattern of       organ involvement after allo-HCT. We evaluated 266 allo-HCT recipients from whom       1303 stool samples were profiled by 16S ribosomal gene sequencing. Patients were       classified according to which organs were affected by aGVHD. In the 20 days prior       to disease onset, GVHD patients had lower abundances of members of the class       Clostridia, lower counts of butyrate producers, and lower ratios of       strict-to-facultative (S/F) anaerobic bacteria compared with allograft recipients       who were free of GVHD. GI GVHD patients showed significant reduction in microbial       diversity preonset. Patients with lower GI aGVHD had lower S/F anaerobe ratios       compared with those with isolated upper GI aGVHD. In the 20 days after disease       onset, dysbiosis was observed only in GVHD patients with GI involvement,       particularly those with lower-tract disease. Importantly, Clostridial and       butyrate-producer abundance as well as S/F anaerobe ratio were predictors of       longer overall survival; higher abundance of butyrate producers and higher S/F       anaerobe ratio were associated with decreased risk of GVHD-related death. These       findings suggest that the intestinal microbiome can serve as a biomarker for       outcomes of allo-HCT patients with GVHD."
Preservation of the fecal microbiome is associated withreduced severity of graft-versus-host disease.,
Redefining 'self': the role of microflora (commensals) mismatch in the       development of GvHD after allogeneic stem cell transplantation and some possible       remedies.,The discovery of human leukocyte antigen (HLA) molecules and their role in       allorecognition has facilitated the initiation of allogeneic stem cell       transplantation in human beings. HLA mismatch to a large extent explains the       phenomenon of graft rejection and graft versus host disease (GvHD). Incidence of       GvHD even in syngeneic transplants suggests a role for extra genetic factors in       the causation of GvHD. We hereby propose a hypothesis that the definition of       'self' (in the immunological sense) should be broadened to include both       genetically determined molecules (e.g. HLA) and the microbial flora that colonize       an individual. This hypothesis explains several observations about GvHD which can       not fully be accounted for by the HLA mismatch theory and gives some clues       towards circumventing GvHD.
Mortality and microbial diversity after allogeneic hematopoietic stem cell transplantation: secondary analysis of a randomized nutritional intervention trial,
An infectious diseases perspective on the microbiome and allogeneic stem cell       transplant.,"PURPOSE OF REVIEW: The gut microbiome presents a novel source of diagnostic and       therapeutic potential to modify post allogeneic stem cell transplant       complications. There is an explosion of interest in microbiome research, mostly       in the form of single-centre prospective time-series cohorts utilizing a variety       of sampling frequencies and metagenomic technologies to sequence the microbiome.       The purpose of this review is to summarize important recent publications and       contextualize them within what has already been described in this rapidly growing       field. RECENT FINDING: Results from observational human cohort and animal       transplant models add to the growing body of evidence that the microbiome       modulates the immunopathogenesis of posttransplant complications. This is       particularly the case for recipients of grafts replete with T cells where the       evidence that acute graft-versus-host disease is mediated by anaerobic       commensal-associated short-chain fatty acids, which interact with       mucosa-associated (CD4FOXP3) T-regulatory cells. SUMMARY: Future human research       into the role of the microbiome in allogeneic stem transplant should incorporate       rigorous and considered experimental design in addition to next-generation       sequencing technology to better portray microbiome functional potential and       active gene expression. In combination with host immune phenotyping, which would       facilitate a robust understanding of the host--microbiome interaction that is       required before meaningful translation into clinical diagnostics and therapeutics       can be expected."
Microbes matter in pediatric allo-HSCT,
