Title,Abstract
Metataxonomic Analysis and Fatty Acid Profiling of Feces from Children Undergoing       Hematopoietic Stem Cell Transplantation.,"Allogeneic hematopoietic stem cell transplantation (HSCT) is a medical procedure       to treat hematologic malignancies and restore bone marrow function. However, this       approach may lead to graft-versus-host disease (GvHD), a major cause of mortality       and morbidity after allogeneic HSCT. Some studies have suggested the involvement       of gut microbiota in the development and prognosis of GvHD. In this context, the       main objective of this study was to compare the fecal microbiome composition and       short-chain profile of pediatric patients who underwent successful HSCT,       developed GvHD or died. The bacterial composition was analyzed using 16S rRNA       gene sequencing, while short-chain fatty acids (SCFAs) were quantified by gas       chromatography. Fecal samples at engraftment were mainly characterized by a loss       of bacterial diversity, a depletion of sequences belonging to the genus Blautia       and significantly lower concentrations of fecal butyrate and acetate compared       with those obtained before HSCT and 100 days after HSCT. Our findings confirm       that children experiencing GvHD after HSCT have distinct gut microbiota and SCFA       profiles, which might contribute to developing new microbiota-targeted strategies       for GvHD prevention during HSCT procedures."
Antimicrobial prophylaxis and the rate of blood stream infections and       Clostridioides difficile in pediatric stem cell transplantation: A single-center       retrospective study.,"BACKGROUND: The use of prophylactic antibiotics in the pre-engraftment period to       minimize the risk of bacteremia is debatable given concerns of Clostridioides       difficile (C. diff), antibiotics resistance, and disruption of gut microbiota.       METHODS: We retrospectively reviewed the rate and characteristics of bacteremia       and C. diff infections within the first 100 days post-HSCT in all pediatric       patients who received routine antibacterial prophylaxis during HSCT from 2015 to       2018. C. diff infection was defined by the presence of three or more unformed       stools in 24 h and positive stool test for C. diff or its toxins. RESULTS: One       hundred and thirty-five (100 allogeneic and 35 autologous) transplants in 123       patients were eligible for analysis. Median age at transplant was 7.1 (range       0.2-13.7), 67 (55%) were women, and diagnosis was malignant condition in 68       patients. Median time to neutrophil engraftment was 18 days (13-23). Cefepime or       piperacillin-tazobactam prophylaxis was used in 105 (78%) and 28 (21%) of       patients, respectively. Only five (3%) patients had bacteremia during the       pre-engraftment period, and 13 (11%) patients developed bacteremia       postengraftment. Septic shock was present in only one patient pre-engraftment and       was due to gram-negative bacteria. All patients who developed bacteremia received       MAC. Thirteen patients (10%) of patients fulfilled C. diff infection definition.       There was no mortality related to bacterial infections among our patients.       CONCLUSIONS: The use of antibiotic prophylaxis was associated with low rate of       bacteremia in the pre-engraftment period and a 10% risk of C. diff infections.       More studies are needed to better evaluate the efficacy of antibiotic prophylaxis       in HSCT patients."
A Fructo-Oligosaccharide Prebiotic Is Well Tolerated in Adults Undergoing       Allogeneic Hematopoietic Stem Cell Transplantation: A Phase I Dose-Escalation       Trial.,"Alterations of the gut microbiota after allogeneic hematopoietic cell       transplantation (allo-HCT) are a key factor in the development of       transplant-related complications such as graft-versus-host disease (GVHD).       Interventions that preserve the gut microbiome hold promise to improve       HCT-associated morbidity and mortality. Murine models demonstrate that prebiotics       such as fructo-oligosaccharides (FOSs) may increase gut levels of short-chain       fatty acids (SCFAs) such as butyrate and consequently induce proliferation of       immunomodulatory FOXP3(+)CD4(+) regulatory T cells (Tregs), which impact GVHD       risk. We conducted a pilot phase I trial to investigate the maximum tolerated       dose of FOS in patients undergoing reduced-intensity allo-HCT (n = 15) compared       with concurrent controls (n = 16). We administered the FOS starting at       pretransplant conditioning and continuing for a total of 21 days. We       characterized the gut microbiome using shotgun metagenomic sequencing, measured       stool short-chain fatty acids (SCFAs) using liquid chromatography-mass       spectrometry, and determined peripheral T cell concentrations using cytometry by       time-of-flight. We found that FOS was safe and well-tolerated at 10 g/d without       significant adverse effects in patients undergoing allo-HCT. Community-level gut       microbiota composition differed significantly on the day of transplant (day 0)       between patients receiving FOS and concurrent controls; however, FOS-associated       alterations of the gut microbiota were not sustained after transplant. Although       the impact of FOS was fleeting, transplantation itself impacted a substantial       number of taxa over time. In our small pilot trial, no significant differences       were observed in gut microbial metabolic pathways, stool SCFAs, or peripheral       Tregs, although Tregs trended higher in those patients who received FOS. A marker       of CD4(+) T cell activation (namely, CTLA4(+)) was significantly higher in       patients receiving FOS, whereas a non-significant trend existed for FOP3(+)CD4(+)       Treg cells, which were higher in those receiving FOS compared with controls. FOS       is well tolerated at 10 g/d in patients undergoing reduced-intensity allo-HCT.       Although the alterations in gut microbiota and peripheral immune cell composition       in those receiving FOS are intriguing, additional studies are required to       investigate the use of prebiotics in HCT recipients."
MAIT and Vδ2 unconventional T cells are supported by a diverse intestinal       microbiome and correlate with favorable patient outcome after allogeneic HCT.,"Microbial diversity is associated with improved outcomes in recipients of       allogeneic hematopoietic cell transplantation (allo-HCT), but the mechanism       underlying this observation is unclear. In a cohort of 174 patients who underwent       allo-HCT, we demonstrate that a diverse intestinal microbiome early after       allo-HCT is associated with an increased number of innate-like mucosal-associated       invariant T (MAIT) cells, which are in turn associated with improved overall       survival and less acute graft-versus-host disease (aGVHD). Immune profiling of       conventional and unconventional immune cell subsets revealed that the prevalence       of Vδ2 cells, the major circulating subpopulation of γδ T cells, closely       correlated with the frequency of MAIT cells and was associated with less aGVHD.       Analysis of these populations using both single-cell transcriptomics and flow       cytometry suggested a shift toward activated phenotypes and a gain of cytotoxic       and effector functions after transplantation. A diverse intestinal microbiome       with the capacity to produce activating ligands for MAIT and Vδ2 cells appeared       to be necessary for the maintenance of these populations after allo-HCT. These       data suggest an immunological link between intestinal microbial diversity,       microbe-derived ligands, and maintenance of unconventional T cells."
[GVHD: pathophysiology and novel agents].,"Graft-versus-host disease (GVHD) is a potentially life-threatening complication       of allogeneic hematopoietic stem cell transplantation (allo-SCT). Recent advances       in understanding the GVHD pathophysiology promoted development of novel       therapeutic agents for GVHD. In acute GVHD, emerging evidence suggested that it       targets tissue stem cells in the skin, liver, and gut, resulting in treatment       refractoriness. Furthermore, antimicrobial peptide deficiency, nutritional status       alteration of the gut microbiota, and antibiotic administration lead to gut       dysbiosis, which is related to GVHD onset and treatment-related mortality after       allo-SCT. In this review, recent advances in understanding the GVHD       pathophysiology are summarized, and novel agents for the treatment and       prophylaxis of acute and chronic GVHD are introduced."
Novel Insights Into the Mechanism of GVHD-Induced Tissue Damage.,"Prophylaxis for and treatment of graft-versus-host disease (GVHD) are essential       for successful allogeneic hematopoietic stem cell transplantation (allo-SCT) and       mainly consist of immunosuppressants such as calcineurin inhibitors. However,       profound immunosuppression can lead to tumor relapse and infectious       complications, which emphasizes the necessity of developing novel management       strategies for GVHD. Emerging evidence has revealed that tissue-specific       mechanisms maintaining tissue homeostasis and promoting tissue tolerance to       combat GVHD are damaged after allo-SCT, resulting in exacerbation and treatment       refractoriness of GVHD. In the gastrointestinal tract, epithelial regeneration       derived from intestinal stem cells (ISCs), a microenvironment that maintains       healthy gut microbiota, and physical and chemical mucosal barrier functions       against pathogens are damaged by conditioning regimens and/or GVHD. The       administration of growth factors for cells that maintain intestinal homeostasis,       such as interleukin-22 (IL-22) for ISCs, R-spondin 1 (R-Spo1) for ISCs and Paneth       cells, and interleukin-25 (IL-25) for goblet cells, mitigates murine GVHD. In       this review, we summarize recent advances in the understanding of GVHD-induced       tissue damage and emerging strategies for the management of GVHD."
Vulvar and Vaginal Graft-Versus-Host Disease: prevalence and repercussions on       vaginal microbiota.,"OBJECTIVE: Allogeneic bone marrow transplantation (BMT) carries the risk of the       donor's cells recognizing the recipient as abnormal, triggering Graft Versus Host       Disease (GVHD). This study aimed to understand the prevalence and gynecological       complications, including vaginal microbiota evaluation. METHODS: A descriptive       cross-sectional study was carried out from December 2022 to October 2023.       Post-allogeneic BMT patients underwent gynecological evaluation at the Assis       Chateaubriand Maternity School in Fortaleza-Ceará, Brazil, composed of structured       interview and physical examination, which included collection of fresh       examination of vaginal content, gram bacterioscopy and cervicovaginal cytology.       RESULTS: A total of 22 patients between 21 and 61 years old (average: 38) were       evaluated, with an average of 1028 (± 979) days post BMT. Of these patients,       whether or not they had Vulvar and Vaginal Graft Versus Host Disease (VVGVHD), 15       reported various gynecological complaints (dryness being the most common). Of the       total, twelve showed signs of genital atrophy on examination. A 45% prevalence of       VVGVHD was found, with vulvar and vaginal involvement of 100% and 60%,       respectively. Burning and dyspareunia symptoms were more prevalent in patients       with VVGVHD than in those without it (p<0.05); there was no difference in Human       Papillomavirus (HPV) induced lesions between the two groups. However, compared to       the population not undergoing allogeneic BMT, these patients had a higher       prevalence of induced HPV lesions and intermediate vaginal flora. CONCLUSION: The       findings described in the present work are consistent with other studies       available in recent literature. In conclusion, VVGVHD is a potentially mutilating       condition, with a significant prevalence among post-BMT patients."
Multimodal analysis identifies microbiome changes linked to stem cell transplantation-associated diseases,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is one of the most efficient therapeutic options available to cure many hematological malignancies. However, severe complications derived from this procedure, including graft-versus-host disease (GVHD) and infections, can limit its success and negatively impact survival. Previous studies have shown that alterations in the microbiome are associated with the development of allo-HSCT-derived complications. However, most studies relied on single techniques that can only analyze a unique aspect of the microbiome, which hinders our ability to understand how microbiome alterations drive allo-HSCT-associated diseases. Here, we have applied multiple “omic” techniques (16S rRNA and shotgun sequencing, targeted and un-targeted metabolomics) in combination with machine learning approaches to define the most significant microbiome changes following allo-HSCT at multiple modalities (bacterial taxa, encoded functions, and derived metabolites). In addition, multivariate approaches were applied to study interactions among the various microbiome modalities (the interactome). Our results show that the microbiome of transplanted patients exhibits substantial changes in all studied modalities. These include depletion of beneficial microbes, mainly from the Clostridiales order, loss of their bacterial encoded functions required for the synthesis of key metabolites, and a reduction in metabolic end products such as short chain fatty acids (SCFAs). These changes were followed by an expansion of bacteria that frequently cause infections after allo-HSCT, including several Staphylococcus species, which benefit from the reduction of bacteriostatic SCFAs. Additionally, we found specific alterations in all microbiome modalities that distinguished those patients who subsequently developed GVHD, including depletion of anti-inflammatory commensals, protective reactive oxygen detoxifying enzymes, and immunoregulatory metabolites such as acetate or malonate. Moreover, extensive shifts in the homeostatic relationship between bacteria and their metabolic products (e.g., Faecalibacterium and butyrate) were detected mainly in patients who later developed GVHD. We have identified specific microbiome changes at different modalities (microbial taxa, their encoded genes, and synthetized metabolites) and at the interface between them (the interactome) that precede the development of complications associated with allo-HSCT. These identified microbial features provide novel targets for the design of microbiome-based strategies to prevent diseases associated with stem cell transplantation. Bx_7phuTozz8yFUTR9cZV4Video Abstract Video Abstract"
Reducing infectious complications after allogeneic stem cell transplant.,"INTRODUCTION: Infections remain a significant problem, in patients undergoing an       allogeneic hematopoietic stem-cell transplant (HSCT) and efforts have been made       over the years, to reduce the incidence, morbidity and mortality of infectious       complications. AREAS COVERED: This manuscript is focused on the epidemiology,       risk factors and prevention of infections after allogeneic HSCT. A systematic       literature review was performed using the PubMed database, between November 2019       and January 2020, with the following MeSH terms: stem-cell transplantation,       infection, fungal, bacterial, viral, prophylaxis, vaccines, prevention. The       authors reviewed all the publications, and following a common revision, a summary       report was made and results were divided in three sections: bacterial, fungal and       viral infections. EXPERT OPINION: Different infections occur in the early,       intermediate and late post-transplant period, due to distinct risk factors.       Improved diagnostic techniques, pre-emtive therapy and better prophylaxis of       immunologic complications, have reduced the morbidity and mortality of       infections. The role of the gut microbiota is under careful scrutiny and may       further help us to identify high-risk patients."
A new anchor point for gut microbiome to regulate complications of allogeneic       hematopoietic stem cell transplantation: oxidative stress.,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is a cure for many       malignant hematologic and metabolic diseases, whose complications are an       unignorable cause of long-term prognosis. Pretreatment chemoradiotherapy       administered before and after transplantation alters the state of the bone marrow       hematopoietic microenvironment. Under the stress of hematopoietic injury, a large       number of hematopoietic stem cells (HSCs) proliferate and differentiate,       producing large amounts of reactive oxygen species (ROS). In addition, the       chemotherapeutic pretreatment drugs also cause oxidative stress (OS) themselves,       which can indirectly exacerbate OS of the bone marrow microenvironment. The bone       marrow hematopoietic microenvironment and local OS affect the development of       infections, relapse, graft-versus-host disease (GVHD), poor graft function (PGF),       persistent thrombocytopenia (PT), chronic fatigue syndrome (CFS), bronchiolitis       obliterans syndrome (BOS), and transplant-associated thrombotic microangiopathy       (TA-TMA). Recent studies have demonstrated that the gut microbiome (GM) and its       metabolites such as short-chain fatty acids (SCFAs), secondary bile acids,       trimethylamine (TMA) and signaling molecules such as H(2)S and NO can enter the       bloodstream through the intestinal epithelium and reach all parts of the body.       This review describes the impact of OS on the development of allo-HSCT       complications. In this article, we will elucidate the mechanism of OS on       allo-HSCT complications, summarize the interaction between GM and OS in the body,       and highlight the role of GM regulation of OS in allo-HSCT complications to offer       new strategies for the prevention and treatment of allo-HSCT complications."
