item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Language,Tags,Citekey,eissn,Url,Editor,Archive Location
3b57a912-7e50-4982-8426-25263ae72edb,6cde0f9481b1014efe9a876b4b725abcfcfa7a04d7dd7c7a51065494970669a7,article,2026-04-22T20:24:33Z,2026-05-12T21:22:27Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.3760/cma.j.cn112137-20250711-01704,,41611279,,,异基因造血干细胞移植后脑脊液细环病毒阳性患者的临床特征及预后影响因素分析.pdf,2026,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/3b57a912-7e50-4982-8426-25263ae72edb,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:3b57a912-7e50-4982-8426-25263ae72edb,"Ma, X J","Liu, H X",[Clinical characteristics and prognostic factors in patients with cerebrospinal fluid torque teno virus positivity after allogeneic hematopoietic stem cell transplantation].,"Ma, X J; Wang, F; Han, X T; Fang, F; Han, L Y; Liu, H X",Zhonghua yi xue za zhi,0376-2491,"Objective: To investigate the clinical characteristics and prognostic factors for patients with cerebrospinal fluid positivity for torque teno virus (TTV) after allogeneic hematopoietic stem cell transplantation (allo-HSCT). Methods: A retrospective analysis was conducted on the patients who received allo-HSCT at Hebei Yanda Lu Daopei Hospital from 2022 to 2023 year and showed positive cerebrospinal fluid metagenomic next-generation sequencing (mNGS) results post-transplantation, with their clinical data collected accordingly. The patients were categorized into TTV-negative and TTV-positive groups based on the detection of TTV in cerebrospinal fluid. The TTV-positive group was further subdivided into low-RPM [TTV reads per million sequencing reads (TTV-RPM)<1] and high-RPM (TTV-RPM≥1) subgroups using the threshold of TTV-RPM. The patients were followed until December 9, 2025, to investigate the clinical features of cerebrospinal fluid TTV positive patients after allo-HSCT. The survival curve was drawn to compare the difference of survival rate between groups. The influencing factors of patient prognosis were analyzed using a multivariate Cox regression model. Results: A total of 134 patients were enrolled: sixty in the TTV-negative group, including 35 males and 25 females, aged [M (Q1, Q3)] 30 (14, 42) years, and 74 in the TTV-positive group, including 45 males and 29 females, aged 24 (15, 40) years. Within the TTV-positive group, 44 were classified as low-RPM subgroup and 30 as high-RPM subgroup. Baseline characteristics, including gender, age, primary disease, donor type, neutrophil engraftment time, platelet engraftment time, whether acute graft-versus-host disease (aGVHD) occurred, and other microbial infections in cerebrospinal fluid, showed no significant differences between the TTV-negative and TTV-positive groups, or between the low-RPM and high-RPM subgroups (all P>0.05). The median follow-up time was 30.0(18.0, 35.4) months, the median survival period was not reached in the low-RPM subgroup, while that in the high-RPM subgroup was 25.6 months (95%CI: 5.3-45.9), and the 3-year survival rate was lower than that in the low-RPM subgroup (41.1% vs 76.8%, P=0.014). Multivariate Cox regression analysis confirmed high TTV-RPM level (≥1) in cerebrospinal fluid as a risk factor for mortality in allo-HSCT patients (HR=2.57, 95%CI: 1.09-6.08). Conclusions: There is no difference in clinical characteristics among allo-HSCT patients with or without TTV infection or with different TTV viral loads. A high TTV-RPM value (≥1) in cerebrospinal fluid is a risk factor for mortality in allo-HSCT patients.",2026 Feb 3,Zhonghua yi xue za zhi,455-460,5,106,chi,,ma2026clinical-3b5,0376-2491,,,
ff218cf7-2aa7-4b09-8ffb-f911d3266e89,8dd1dafdd89e43bbbdb07e12916ffd93aebf836b3d3377673e202a2734a07997,article,2026-04-22T20:24:34Z,2026-05-19T16:00:00Z,sophie.huebler@utah.edu (Sophie Huebler),,false,Requested full text.,,false,,,,28536321,,,1954700.pdf,2017,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/ff218cf7-2aa7-4b09-8ffb-f911d3266e89,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:ff218cf7-2aa7-4b09-8ffb-f911d3266e89,"Hayase, Eiko","Teshima, Takanori",[Disruption of gut immune system caused by damage of intestinal stem cells and their niche in graft-versus-host disease after allogeneic hematopoietic stem cell transplantation.],"Hayase, Eiko; Teshima, Takanori",Clinical calcium,0917-5857,"Allogeneic hematopoietic stem cell transplantation(allo-SCT)is curative therapy for various hematological diseases. Graft-versus-host disease(GVHD)and infection remain the main problems in allo-SCT. Gastrointestinal tract is targeted by GVHD. In intestinal GVHD, intestinal stem cells and Paneth cells reside at the base of crypts are damaged by donor T cells. These damage leads to disruption of intestinal mucosal barrier and intestinal dysbiosis, resulting in more exaggerated GVHD. Recently, we and others have reported that R-Spondin1 and interleukin-22 as factors regenerated intestinal tissue homeostasis in murine model of bone marrow transplantation. It is important to understand biology of various cells targeted by intestinal GVHD and develop novel methods to protect them from GVHD damage.",2017,Clin. calcium,829-833,6,27,jpn,,hayase2017disruption-ff2,0917-5857,,,
e3e738a2-40a6-493d-9e53-1c282fcfa8a8,fdf4bd93b72f8d5358efa2d9c6bc3a9d2367b1225c96cff19bbd1a2b7a7ab405,article,2026-04-22T20:24:33Z,2026-05-12T21:23:31Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.19746/j.cnki.issn.1009-2137.2025.03.044,,40613191,,,EBSCO-FullText-05_12_2026.pdf,2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/e3e738a2-40a6-493d-9e53-1c282fcfa8a8,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:e3e738a2-40a6-493d-9e53-1c282fcfa8a8,"Kong, Lei-Lei","Li, Jian","[Recent Advances in Research on the Relationship between Gut Microbiota, Its Metabolites, and Acute Myeloid Leukemia--Review].","Kong, Lei-Lei; Li, Jian",Zhongguo shi yan xue ye xue za zhi,1009-2137,"Gut microbiota and its metabolites are associated with a variety of hematological malignancies, including acute myeloid leukemia (AML). AML patients commonly suffer from imbalances in intestinal homeostasis before and after chemotherapy and allogeneic hematopoietic stem cell transplantation (allo-HSCT). The diversity and abundance of gut microbiota, as well as the levels of metabolites, may be biomarkers for predicting the occurrence of infection and graft-versus-host disease (GVHD) in AML patients. In order to offer a theoretical foundation for optimizing treatment strategies for AML patients, this review summarized the latest research progress on gut microbiota and its metabolites in relation to the occurrence, development, treatment and prognosis of AML.",2025 Jun,Zhongguo shi yan xue ye xue za zhi,913-917,3,33,chi,,kong2025recent-e3e,1009-2137,,,
cf57b364-c434-4e9e-aff4-fc6640c13ec4,6669ae393e56fd41d574b8538fb4518d07df09d808fa765c7adbbc0ef6f4f75b,article,2026-04-22T20:24:35Z,2026-05-12T22:03:52Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.7534/j.issn.1009-2137.2019.01.039,,30738477,,,EBSCO-FullText-05_12_2026 (1).pdf,2019,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/cf57b364-c434-4e9e-aff4-fc6640c13ec4,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:cf57b364-c434-4e9e-aff4-fc6640c13ec4,"Chen, Xiao-Yu","Wang, Shun-Qing",[Relationship Between the Change of Microbial Diversity and Gastrointestinal Graft-Versus-Host Disease Following Allogeneic Hematopoietic Stem Cell Transplantation].,"Chen, Xiao-Yu; Wang, Shun-Qing",Zhongguo shi yan xue ye xue za zhi,1009-2137,"OBJECTIVE: To investigate the change of microbial diversity and its relation with gastrointestinal (GI) graft-versus-host disease (GVHD) following allogeneic hematopoietic stem cell transplantation (allo-HSCT). METHODS: Fecal samples were collected at the time point of 2 weeks before transplantation (pre-transplant group), 1 month after transplantation (post-tranplant group) and onset of GI GVHD in 65 hematonosis patients, which were also collected in 26 donors and 10 healthy subjects (control group). 16S rRNA was extracted from fecal microbiotas whose V4 variable region was amplified. The amplification products were sequenced in Illumina HiSeq 2500 platform, and the sequencing results were analyzed and compared. RESULTS: The microbial diversity was 5.70（3.74, 10.60）in pre-transplant group, 7.30（4.89, 11.41）in control group, and the differences between them were not statistically significant. The microbial diversity was 3.88（2.39, 6.49）in post-transplant group, lower than that in control group and pre-transplant group. After transplantation, the microbial diversity was 4.24（2.47, 7.16）in the patients without GI GVHD, while the microbial diverosity was 2.90 (1.48, 5.64) in patients subsequently suffered from GI GVHD, but the differences between them were not statistically significant. The microbial diversity was 2.13（1.76, 3.75）onset of GI GVHD, which was lower than that without GI GVHD. CONCLUSION: Intestinal microbial diversity decreases after allo-HSCT, and is associated with with Gl GVHD.",2019 Feb,Zhongguo shi yan xue ye xue za zhi,239-245,1,27,chi,"Prompt Gen,Screen4",chen2019relationship-cf5,1009-2137,,,
fcbbd5be-7475-4711-9484-c0662d4567d2,976c5fc9519f2401a5ff349b0942595b9de582e7e2baecc04df95316e4b3e473,article,2026-04-22T20:24:30Z,2026-05-12T21:01:21Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1556/650.2019.31403,,31081358,,,650-article-p774.pdf,2019,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fcbbd5be-7475-4711-9484-c0662d4567d2,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fcbbd5be-7475-4711-9484-c0662d4567d2,"Szerafin, László","Jakó, János",A bélflóra hematológiai vonatkozásai,"Szerafin, László; Jakó, János",Orvosi Hetilap,0030-6002,"Abstract: The relationship between the gut flora and various diseases (obesity, diabetes mellitus, metabolic disorders, allergic and autoimmune diseases, inflammatory bowel diseases, liver failure, infections, certain neuropsychiatric disorders, tumors) has been highlighted in recent years. Depletion of microbiotics inhibits bone marrow healing. Infections and their antibiotic treatment may also affect hematopoiesis. Intestinal flora may also affect the severity of the graft-versus-host disease and may also play a role in the pathogenesis of immunthrombocytopenia through the T-regulator cells. The study summarizes the features of the gut flora, the effects of microbiotics on bone marrow healing, the course of infections, allogeneic bone marrow transplantation, graft-versus-host disease, lymphoma and the results of related research and therapeutic options. The authors briefly discuss the possible linkage between intestinal flora and immunthrombocytopenia and the effectiveness of the immunotherapy of tumors and its effect on the von Willebrand-factor synthesis. They draw attention on the importance of maintaining microbiotics diversity. Orv Hetil. 2019; 160(20): 774–779.",2019 May,Orvosi Hetil.,774-779,20,160,hun,,szerafin2019bélflóra-fcb,0030-6002,http://dx.doi.org/10.1556/650.2019.31403,,
02635473-df0c-4b01-8128-5bec57eb9299,7858ab905df8c75e268621269ea20a639ddf9a0a21d8ed2f029e3946d7461f41,article,2026-04-22T20:34:06Z,2026-05-07T19:01:14Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1182/blood-2023-185580,,,,,1-s2.0-S0006497123136263-main.pdf,2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/02635473-df0c-4b01-8128-5bec57eb9299,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:02635473-df0c-4b01-8128-5bec57eb9299,"Lipan, Lavinia Eugenia","Tanase, Alina Daniela",A Complex Relationship between Clostridium Difficile Infection and Graft Versus Hoste Disease: Fundeni Clinical Institute Experience,"Lipan, Lavinia Eugenia; Enache, Alexandra Oana; Colita, Anca; Craciun, Oana; Stefan, Laura Diana; Tanase, Alina Daniela",Blood,0006-4971,"Introduction: Clostridium difficile infection (CDI) is a common complication in patients who have undergone hematopoietic stem cell transplantation (HSCT) due to prolonged hospitalization, prolonged neutropenia, use of broad-spectrum antibiotics, mucosal damage, changes in gut microbiota and compromised immunity. The incidence of CDI in patients undergoing allogeneic HSCT varies between 12 and 34% in the literature and has gradually increased in recent years in Europe North America due to the NAP1 strain. In the patient who has experienced allogeneic HSCT, diagnostic testing for CDI should include both nucleic acid amplification test (NAAT) and enzyme immunoassays (EIA) for toxins A and B, because detection of toxins A and B tests have a sensitivity of 75-80%. 5 In HSCT patients, CDI appears to be strongly associated with graft versus host disease (GVHD), gut GVHD and/or severe GVHD, but this has not been universally demonstrated. The aim: For this reason, we wanted to see whether patients who developed a CDI between day 0 and day 100 were at higher risk for gut GVHD or for severe GVHD. Results: Between January 2017 and August 2022, we performed 290 of allogeneic hematopoietic stem cell transplant procedures, in the Fundeni Clinical Institute. 50/290 developed CDI within the first 100 days after HSCT and before the diagnosis of intestinal GVHD, and 240/290 did not develop CDI. 16/50 (32%) of those with CDI developed acute GVHD, respectively 402/240 (43%) of those without CDI. From these 13/16, respectively 50/102 hade gut involvement. Of the 118 patients with acute GVHD, 13/16 in the group with CDI, respectively 30/102 in the group without CDI were assigned to severe acute GVDH (grade III and IV). Mortality due to gut GVHD in the group with CDI was 46%, respectively 14% in the group without CDI. In conclusion: CDI is not a risk factor for GVHD, but gut damage is usually associated. CDI infection is associated with severe forms of GVHD, and the implication of the digestive tract in these patients increases mortality. Also, often in the patient with digestive GVHD, CDI can coexist, making them difficult to treat.",2023,Blood,7030,Supplement 1,142,,,lipan2023complex-026,,http://dx.doi.org/10.1182/blood-2023-185580,,
012d2a7a-cc78-4576-b12c-29b678a4789b,58cb23728a19194f47322ae4bcb180334bb2c68e91af6256440a4dae92e1939c,article,2026-04-22T20:34:05Z,2026-05-07T18:54:26Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.3390/jcm14238351,,41375654,PMC12693016,,jcm-14-08351-v2.pdf,2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/012d2a7a-cc78-4576-b12c-29b678a4789b,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:012d2a7a-cc78-4576-b12c-29b678a4789b,"Junior, Alexandre Soares Ferreira","de Oliveira, Gislane Lelis Vilela","A Distinct Intestinal Domination Fingerprint in Patients Undergoing Allo-HSCT: Dynamics, Predictors and Implications on Clinical Outcomes","Junior, Alexandre Soares Ferreira; Alvarez, Danielle Amanda Niz; Souza, Larissa da Silva; Silva, Nathalia Linares; Machado, Luiza Dias; Hirai, Welinton Yoshio; Ciconelli, Rozana Mesquita; Feliciano, Joao Victor Piccolo; Colturato, Iago; Barros, George Maurício Navarro; Scheinberg, Phillip; Chao, Nelson Jen An.; de Oliveira, Gislane Lelis Vilela",Journal of Clinical Medicine,2077-0383,"Background: Although Enterococcus domination has been extensively evaluated in the context of allogeneic hematopoietic stem cell transplantation (allo-HSCT), the prevalence and clinical implications of other dominant genera remain poorly understood. Objective: In this study, we sought to determine the dynamics, predictors and clinical implications of intestinal domination in Brazilian patients undergoing allo-HSCT. Methods: In a prospective study of four Brazilian centers, fecal specimens were collected longitudinally prior to allo-HSCT until six months post-transplantation. To identify intestinal domination, we performed 16S rRNA gene sequencing using the Illumina platform. We then evaluated the impact of intestinal domination on overall survival and acute Graft-versus-Host-Disease (aGvHD) incidence. Finally, to identify predictors of intestinal domination, we performed a logistic regression model. Results: A total of 192 fecal specimens were collected from 69 patients. No significant changes in alpha or beta diversity were observed over the course of allo-HSCT. Among the 192 specimens, 131 (68%) presented intestinal domination. The top four dominant genera were Bacteroides, Akkermansia, Phascolarctobacterium, and Escherichia-Shigella. No significant associations were found between domination by these genera and either overall survival or aGvHD incidence. Furthermore, no patient-level characteristics, including age, sex, underlying disease, conditioning regimen, or stem cell source, reliably predicted intestinal domination. Conclusions: Our findings reveal a unique intestinal domination fingerprint in Brazilian patients and highlight the importance of geographic context in interpreting microbiota–outcome associations in allo-HSCT settings.",2025,J. Clin. Med.,8351,23,14,,,junior2025distinct-012,,http://dx.doi.org/10.3390/jcm14238351,,
fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,14af33a44fd6e5b477f073259c2e3ca0204534ff32860c3e172d4386f946e03d,article,2026-04-22T20:24:36Z,2026-05-07T18:35:10Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T17:23:57Z,true,,,false,,10.1016/j.jtct.2021.07.009,,34274493,PMC8556222,,"s3.us-east-1.amazonaws.com 4/23/2026, 11:47:22 AM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fd5a92f2-8290-449d-96ab-dfe04bc6a8fd,"Andermann, Tessa M.","Bhatt, Ami S.",A Fructo-Oligosaccharide Prebiotic Is Well Tolerated in Adults Undergoing Allogeneic Hematopoietic Stem Cell Transplantation: A Phase I Dose-Escalation Trial,"Andermann, Tessa M.; Fouladi, Farnaz; Tamburini, Fiona B.; Sahaf, Bita; Tkachenko, Ekaterina; Greene, Courtney; Buckley, Matthew T.; Brooks, Erin F.; Hedlin, Haley; Arai, Sally; Mackall, Crystal L.; Miklos, David; Negrin, Robert S.; Fodor, Anthony A.; Rezvani, Andrew R.; Bhatt, Ami S.",Transplantation and Cellular Therapy,2666-6367,"Alterations of the gut microbiota after allogeneic hematopoietic cell transplantation (allo-HCT) are a key factor in the development of transplant-related complications such as graft-versus-host disease (GVHD). Interventions that preserve the gut microbiome hold promise to improve HCT-associated morbidity and mortality. Murine models demonstrate that prebiotics such as fructo-oligosaccharides (FOSs) may increase gut levels of short-chain fatty acids (SCFAs) such as butyrate and consequently induce proliferation of immunomodulatory FOXP3+CD4+ regulatory T cells (Tregs), which impact GVHD risk. We conducted a pilot phase I trial to investigate the maximum tolerated dose of FOS in patients undergoing reduced-intensity allo-HCT (n = 15) compared with concurrent controls (n = 16). We administered the FOS starting at pretransplant conditioning and continuing for a total of 21 days. We characterized the gut microbiome using shotgun metagenomic sequencing, measured stool short-chain fatty acids (SCFAs) using liquid chromatography–mass spectrometry, and determined peripheral T cell concentrations using cytometry by time-of-flight. We found that FOS was safe and well-tolerated at 10 g/d without significant adverse effects in patients undergoing allo-HCT. Community-level gut microbiota composition differed significantly on the day of transplant (day 0) between patients receiving FOS and concurrent controls; however, FOS-associated alterations of the gut microbiota were not sustained after transplant. Although the impact of FOS was fleeting, transplantation itself impacted a substantial number of taxa over time. In our small pilot trial, no significant differences were observed in gut microbial metabolic pathways, stool SCFAs, or peripheral Tregs, although Tregs trended higher in those patients who received FOS. A marker of CD4+ T cell activation (namely, CTLA4+) was significantly higher in patients receiving FOS, whereas a non-significant trend existed for FOP3+CD4+ Treg cells, which were higher in those receiving FOS compared with controls. FOS is well tolerated at 10 g/d in patients undergoing reduced-intensity allo-HCT. Although the alterations in gut microbiota and peripheral immune cell composition in those receiving FOS are intriguing, additional studies are required to investigate the use of prebiotics in HCT recipients.",2021 Nov,Transplant. Cell. Ther.,932.e1-932.e11,11,27,eng,"Prompt Gen,Screen1",andermann2021fructooligosaccharide-fd5,2666-6367,http://dx.doi.org/10.1016/j.jtct.2021.07.009,,
c2fe1c10-15f3-42c2-88fc-f5fd5c61ab48,3bdd2a8127c0419138f343a58ef3e3f69166827696bccbb83f78a1b94d14f836,article,2025-06-12T21:43:28Z,2026-05-07T18:35:10Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1016/j.bbmt.2015.11.017,,26643031,,,1-s2.0-S1083879115007442-main.pdf,2016,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/c2fe1c10-15f3-42c2-88fc-f5fd5c61ab48,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:c2fe1c10-15f3-42c2-88fc-f5fd5c61ab48,"Rayes, Ahmad","Davies, Stella M.",A Genetic Modifier of the Gut Microbiome Influences the Risk of Graft-versus-Host Disease and Bacteremia After Hematopoietic Stem Cell Transplantation,"Rayes, Ahmad; Morrow, Ardythe L.; Payton, Leslie R.; Lake, Kelly E.; Lane, Adam; Davies, Stella M.",Biology of Blood and Marrow Transplantation,1083-8791,"The human gut microbiome is involved in vital biological functions, such as maintenance of immune homeostasis and modulation of intestinal development and enhanced metabolic capabilities. Disturbances of the intestinal microbiota have been associated with development and progression of inflammatory conditions, including graft-versus-host disease (GVHD). The fucosyltransferase 2 (FUT2) gene produces an enzyme that is responsible for the synthesis of the H antigen in body fluids and on the intestinal mucosa. FUT2 genotype has been shown to modify the gut microbiome. We hypothesized that FUT2 genotype influences risk of GVHD and bacterial translocation after allogeneic hematopoietic stem cell transplantation (HSCT). FUT2 genotype was determined in 150 consecutive patients receiving allogeneic HSCT at our center. We abstracted clinical characteristics and outcomes from the transplantation database. Cumulative risk of any acute GVHD varied by FUT2 genotype, with decreased risk in those with A/A genotype and increased risk in those with G/G genotype. In contrast, the cumulative incidence of bacteremia was increased in those with A/A genotype. We conclude that the FUT2 genotype influences risk of acute GVHD and bacteremia after HSCT. We hypothesize that the mechanisms involve altered intestinal surface glycosylation and microbial composition but this requires additional study.",2016,Biol. Blood Marrow Transplant.,418-422,3,22,eng,,rayes2016genetic-c2f,1083-8791,http://dx.doi.org/10.1016/j.bbmt.2015.11.017,,
b19009e9-63b6-4a43-82e3-50660c5c80fa,0a9fb4d536e5bad8d5ca85ccbf7990a75d38b22046806ac1975b7ab26371c026,article,2025-08-09T23:24:56Z,2026-05-07T18:35:10Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-19T17:30:07Z,true,,,false,,10.1111/ajt.15654,,31605563,PMC7154648,,"s3.us-east-1.amazonaws.com 8/9/2025, 5:25:10 PM.pdf",2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/b19009e9-63b6-4a43-82e3-50660c5c80fa,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:b19009e9-63b6-4a43-82e3-50660c5c80fa,"Han, Lijie","Peng, Jie",A gut microbiota score predicting acute graft‐versus‐host disease following myeloablative allogeneic hematopoietic stem cell transplantation,"Han, Lijie; Zhao, Ke; Li, Yuanyuan; Han, Haohao; Zhou, Lizhi; Ma, Ping; Fan, Zhiping; Sun, Hui; Jin, Hua; Jiang, Zhongxing; Liu, Qifa; Peng, Jie",American Journal of Transplantation,1600-6135,"Although studies have reported that intestinal microbiota are associated with acute graft‐versus‐host disease (aGVHD), they lacked a satisfactory method for predicting aGVHD. We collected stool and blood samples at day 15 posttransplant from 150 patients from two centers who underwent myeloablative conditioning allogeneic hematopoietic stem cell transplantation (allo‐HSCT). Stool microbiota were detected by 16S ribosomal RNA gene sequencing; inflammatory factors and T lymphocytes were detected by multiplex immunoassays and flow cytometry, respectively. A gut microbiota score (GMS) from a LASSO (least absolute shrinkage and selection operator) model was developed and validated to predict aGVHD. In the discovery cohort, the GMS could predict II‐IV aGVHD (area under the receiver operating characteristic [ROC] curve [AUC] = 0.904, P < .0001). Furthermore, the validation model was consistent with the discovery set (AUC = 0.887, P < .0001). Regulatory T/T‐helper 17 (Treg/Th17) cells ratio in the low GMS subgroup was higher compared with the high GMS (P = .012), and the validation set is consistent with the discovery set (P = .003). In addition, high cytokine levels were associated with high GMS. In conclusion, the GMS at neutrophil engraftment could predict aGVHD, and it was a potential and novel method. The GMS was associated with the inflammatory factor and Treg/Th17 balance. Gut microbiota models could predict acute graft‐versus‐host disease after allogeneic transplantation.",2020 Apr,Am. J. Transplant.,1014-1027,4,20,eng,unsure,han2020gut-b19,1600-6135,http://dx.doi.org/10.1111/ajt.15654,,
