item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Language,Tags,Citekey,eissn,Url,Editor,Archive Location
7de013a4-9c21-4d90-8d0e-a18db15027ca,d2ccc618868d1e294b66c04b38e4b5ab2f5f4fd5738ed61e6f3e33ed5a85f145,article,2026-04-22T20:34:08Z,2026-05-14T17:52:27Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1182/blood-2018-99-115510,,,,,1-s2.0-S0006497119361130-main.pdf,2018,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/7de013a4-9c21-4d90-8d0e-a18db15027ca,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:7de013a4-9c21-4d90-8d0e-a18db15027ca,"Ara, Takahide","Teshima, Takanori",Intestinal Goblet Cells Play a Protective Role Against GVHD Via a Lypd8-Dependent Manner after Allogeneic Hematopoietic Stem Cell Transplantation,"Ara, Takahide; Hashimoto, Daigo; Hayase, Eiko; Clara, Noizat; Okumura, Ryu; Takeda, Kiyoshi; Teshima, Takanori",Blood,0006-4971,"[Introduction] Emerging evidences suggest that perturbations in the gut microbiota are associated with graft-versus-host disease (GVHD), and dominance of Enterobacteriaceae is related to poor prognosis after allogeneic hematopoietic stem cell transplantation (SCT) (Taur Y, Blood. 2014; 124:1174-1182). We recently reported that degree of goblet-cell loss was significantly corelated with poor prognosis in 90 patients who underwent SCT in our institute (Ara, et al. 2018 Tandem BMT meeting #220). Goblet cells play a critical role in forming the mucus layer that constitutes not only physical but also chemical barrier, by retaining antimicrobial peptides, against invading microbes from gut lumen. In the current study, we explored the mechanism by which goblet cells protect recipients against GVHD, especially focusing on the role of antimicrobial peptide Lypd8 that is produced by colon epithelial cells and specifically suppresses motilities and biotranslocation of flagellated bacteria including harmful Enterobacteriaceae. [Methods] Mice were lethally irradiated and injected with 5 × 106 bone marrow cells and 7.5 × 106 splenocytes from allogeneic or syngeneic donors on day 0. Recipient mice were intraperitoneally injected with 0.3 mg recombinant mouse IL-25 (rmIL-25) or vehicle from day -6 to 0. [Results] In the B6 → B6D2F1 model, goblet cells in the colon were significantly decreased in association with severe GVHD (Figure A). Fluorescent in situ hybridization (FISH) using the universal bacterial probe EUB338 showed bacterial translocation to the colonic mucosa after SCT. Quantitative PCR targeting bacterial 16S rRNA confirmed that bacterial load in the lamina propria was significantly increased in allogeneic mice compared to syngeneic controls and naive mice (Figure B). Immunofluorescent staining showed Lypd8 at the border of the inner mucus layer and colonic epithelial cells was reduced in allogeneic mice. To evaluate role of Lypd8 in GVHD, lethally irradiated B6-Lypd8-/- mice and wild type (WT) B6 controls were transplanted from BALB/c mice. Both FISH and quantitative PCR showed an increased bacterial translocation into the colonic mucosa in Lypd8-deficient recipients compared to WT recipients (Figure C), indicating that Lypd8 plays a protective role against bacterial translocation into the colonic mucosa. In association with enhanced bacterial translocation, significantly more donor T cells were infiltrated into the gut and liver in Lypd8-/- recipients compared to WT controls (Figure D). Strikingly, GVHD was significantly more severe with shorter survival in B6-Lypd8-/- mice compared to WT recipients (Figure E). GVHD exacerbation in Lypd8-/- mice was reproduced when Lypd8-/- recipients were co-housed with WT recipients for 4 weeks before SCT, excluding the virulent microbiota in Lypd8-/- mice as the potential mechanism of GVHD exacerbation in these mice. Finally, we tested if the goblet-cell protection could attenuate GVHD. Pre-transplant administration of IL-25 mitigated goblet-cell loss and bacterial translocation, reduced plasma levels of IFN-g and IL-6, and ameliorated GVHD mortality. Protective effects of pre-transplant IL-25 was abrogated when Lypd8-/- mice were used as recipients, suggesting that goblet cells protect recipients against GVHD via a Lypd8-dependent manner. [Conclusion] Our results demonstrated that goblet cells suppress bacterial translocation into the colon mucosa and play a protective role against GVHD via a Lypd8-dependent manner. Since increase in flagellated bacteria in the gut could be associated with GVHD exacerbation, goblet cells and Lypd8 could be potentially prophylactic and therapeutic targets for GVHD. Figures: (A) The amount of goblet cells in the colon of allogeneic or syngeneic recipients, or naïve mice are shown. (B) Colon samples were harvested from syngeneic and allogeneic recipients on day +7 after SCT. DNA was extracted from colon samples after removing epithelial cells by incubating with EDTA and subjected to quantitative PCR with 16S rRNA specific primers. (C-E) WT or Lypd8-/- B6 mice were lethally irradiated and transplanted from allogeneic BALB/c mice. Bacterial load in the colon lamina propria (C) and absolute numbers of donor T cells in the liver and colon (D) on day +5, and survival curves (E) after SCT are shown. *; p<0.05, **; p<0.01, ***; p<0.005. Disclosures No relevant conflicts of interest to declare.",2018,Blood,64,Supplement 1,132,,"Prompt Gen,Screen2.2,SecondPassAI-Exclude,SecondPassAI-ExcludeReason-NonHuman, SecondPassAI-Exclude,SecondPassAI-ExcludeReason-NonHuman",ara2018intestinal-7de,,http://dx.doi.org/10.1182/blood-2018-99-115510,,
c3c3454d-295d-4f76-baa5-dccca98d4c12,be509fd54e367ad903b9617830909d994da61fe7d66f4b6750a53ecb58a987cb,article,2025-08-24T22:44:03Z,2026-05-07T18:35:12Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T16:51:34Z,TRUE,,,FALSE,,10.3324/haematol.2018.198549,,30733264,PMC6669143,,9017-Article Text-64956-1-10-20200724.pdf,2019,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/c3c3454d-295d-4f76-baa5-dccca98d4c12,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:c3c3454d-295d-4f76-baa5-dccca98d4c12,"Battipaglia, Giorgia","Mohty, Mohamad",Fecal microbiota transplantation before or after allogeneic hematopoietic transplantation in patients with hematologic malignancies carrying multidrug-resistance bacteria,"Battipaglia, Giorgia; Malard, Florent; Rubio, Marie Therèse; Ruggeri, Annalisa; Mamez, Anne Claire; Brissot, Eolia; Giannotti, Federica; Dulery, Remy; Joly, Anne Christine; Baylatry, Minh Tam; Kossmann, Marie Jeanne; Tankovic, Jacques; Beaugerie, Laurent; Sokol, Harry; Mohty, Mohamad",Haematologica,1592-8721,"Fecal microbiota transplantation is an effective treatment in recurrent Clostridium difficile infection. Promising results to eradicate multidrug-resistant bacteria have also been reported with this procedure, but there are safety concerns in immunocompromised patients. We report results in ten adult patients colonized with multidrug-resistant bacteria, undergoing fecal microbiota transplantation before (n=4) or after (n=6) allogeneic hematopoietic stem cell transplantation for hematologic malignancies. were obtained from healthy related or unrelated donors. Fecal material was delivered either by enema or via nasogastric tube. Patients were colonized or had infections from either carbapenemase-producing bacteria (n=8) or vancomycin-resistant enterococci (n=2). Median age at fecal microbiota transplantation was 48 (range, 16-64) years. Three patients needed a second transplant from the same donor due to initial failure of the procedure. With a median follow up of 13 (range, 4-40) months, decolonization was achieved in seven of ten patients. In all patients, fecal micro-biota transplantation was safe: one patient presented with constipation during the first five days after FMT and two patients had grade I diarrhea. One case of gut grade III acute graft-versus-host disease occurred after fecal microbiota transplantation. In patients carrying or infected by multidrug-resistant bacteria, fecal microbiota transplantation is an effective and safe decolonization strategy, even in those with hematologic malignancies undergoing hematopoietic stem cell transplantation.",2019 Aug,Haematologica,1682-1688,8,104,eng,"\{SCFA\},Prompt Gen,SCFA,Screen1, SecondPassAI-Exclude, SecondPassAI-ExcludeReason-UnmeasuredGutMicrobiome, SecondPassAI-ExcludeReason-NoGVHDOutcome",battipaglia2019fecal-c3c,0390-6078,http://dx.doi.org/10.3324/haematol.2018.198549,,
a2c031b2-d98c-4b52-b4e6-ae891e5e6d62,2bd34f022a2a8f2afd659b698af93a704e771c01fcbf8412b1a85e53223a41b7,article,2026-04-22T20:24:36Z,2026-05-07T18:35:12Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T18:14:27Z,TRUE,,,FALSE,,10.1038/s41375-022-01712-z,,36224329,,,"login.ezproxy.lib.utah.edu 4/23/2026, 11:33:36 AM.pdf",2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/a2c031b2-d98c-4b52-b4e6-ae891e5e6d62,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:a2c031b2-d98c-4b52-b4e6-ae891e5e6d62,"Bayer, Nadine","Stary, Georg",Disturbances in microbial skin recolonization and cutaneous immune response following allogeneic stem cell transfer,"Bayer, Nadine; Hausmann, Bela; Pandey, Ram Vinay; Deckert, Florian; Gail, Laura-Marie; Strobl, Johanna; Pjevac, Petra; Krall, Christoph; Unterluggauer, Luisa; Redl, Anna; Bachmayr, Victoria; Kleissl, Lisa; Nehr, Marion; Kirkegaard, Rasmus; Makristathis, Athanasios; Watzenboeck, Martin L.; Nica, Robert; Staud, Clement; Hammerl, Lukas; Wohlfarth, Philipp; Ecker, Rupert C.; Knapp, Sylvia; Rabitsch, Werner; Berry, David; Stary, Georg",Leukemia,0887-6924,"The composition of the gut microbiome influences the clinical course after allogeneic hematopoietic stem cell transplantation (HSCT), but little is known about the relevance of skin microorganisms. In a single-center, observational study, we recruited a cohort of 50 patients before undergoing conditioning treatment and took both stool and skin samples up to one year after HSCT. We could confirm intestinal dysbiosis following HSCT and report that the skin microbiome is likewise perturbed in HSCT-recipients. Overall bacterial colonization of the skin was decreased after conditioning. Particularly patients that developed acute skin graft-versus-host disease (aGVHD) presented with an overabundance of Staphylococcus spp. In addition, a loss in alpha diversity was indicative of aGVHD development already before disease onset and correlated with disease severity. Further, co-localization of CD45+ leukocytes and staphylococci was observed in the skin of aGVHD patients even before disease development and paralleled with upregulated genes required for antigen-presentation in mononuclear phagocytes. Overall, our data reveal disturbances of the skin microbiome as well as cutaneous immune response in HSCT recipients with changes associated with cutaneous aGVHD.",2022 Nov,Leukemia,2705-2714,11,36,eng,"Prompt Gen,Screen2, SecondPassAI-Include",bayer2022disturbances-a2c,0887-6924,http://dx.doi.org/10.1038/s41375-022-01712-z,,
6649bc62-c724-426a-85bb-cfae863d7665,a2be6d73ff0378b81e8e5595543ebfb5ba9b0cd6bdce210253147cc3ce4b9902,article,2026-04-22T20:24:36Z,2026-05-07T18:35:12Z,sophie.huebler@utah.edu (Sophie Huebler),2026-05-06T18:18:35Z,TRUE,,,FALSE,,10.1186/s12967-022-03303-z,,35216600,PMC8881869,,"login.ezproxy.lib.utah.edu 4/23/2026, 11:33:32 AM.pdf",2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/6649bc62-c724-426a-85bb-cfae863d7665,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:6649bc62-c724-426a-85bb-cfae863d7665,"Beak, Jin-Ah","Cho, Mi-La",FK506 and Lactobacillus acidophilus ameliorate acute graft-versus-host disease by modulating the T helper 17/regulatory T-cell balance,"Beak, Jin-Ah; Park, Min-Jung; Kim, Se-Young; Jhun, JooYeon; Woo, Jin Seok; Choi, Jeong Won; Na, Hyun Sik; Lee, Soon Kyu; Choi, Jong Young; Cho, Mi-La",Journal of Translational Medicine,1479-5876,"Graft-versus-host disease (GvHD) is a critical complication after allogeneic hematopoietic stem cell transplantation (HSCT). The immunosuppressants given to patients undergoing allogeneic HSCT disturb the microbiome and the host immune system, potentially leading to dysbiosis and inflammation, and may affect immune function and bone marrow transplantation. The intestinal microbiome is a target for the development of novel therapies for GvHD. Lactobacillus species are widely used supplements to induce production of antimicrobial and anti-inflammatory factors. We determined the effect of the combination of Lactobacillus acidophilus and FK506 on GvHD following major histocompatibility complex-mismatched bone marrow transplantation. The combination treatment suppressed IFN-γ and IL-17-producing T cell differentiation, but increased Foxp3+Treg differentiation and IL-10 production. Also, the combination treatment and combination treated-induced Treg cells modulated the proliferation of murine alloreactive T cells in vitro. Additionally, the combination treatment upregulated Treg-related genes—Nt5e, Foxp3, Ikzf2, Nrp1 and Itgb8—in murine CD4+-T cells. The combination treatment also alleviated GvHD clinically and histopathologically by controlling the effector T cell and Treg balance in vivo. Moreover, the combination treatment decreased Th17 differentiation significantly and significantly upregulated Foxp3 and IL-10 expression in peripheral blood mononuclear cells from healthy controls and liver transplantation (LT) patients. Therefore, the combination of L. acidophilus and FK506 is effective and safe for patients undergoing allogeneic hematopoietic stem cell transplantation.",2022 Feb 25,J. Transl. Med.,104,1,20,eng,"Prompt Gen,Screen2, SecondPassAI-Exclude,SecondPassAI-ExcludeReason-NonHuman,SecondPassAI-ExcludeReason-UnmeasuredGutMicrobiome",beak2022fk506-664,1479-5876,http://dx.doi.org/10.1186/s12967-022-03303-z,,
046065a6-d9af-4496-8fbf-3c323e6a2d38,3ead71e0c1bf9d6f01c4ef68754a518ba4aa26d68c9bf8f8f4c9f56ae32796e7,article,2025-06-12T21:40:47Z,2026-05-07T18:35:11Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.20900/immunometab20210004,,33552594,PMC7864222,,"s3.us-east-1.amazonaws.com 6/12/2025, 4:09:08 PM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/046065a6-d9af-4496-8fbf-3c323e6a2d38,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:046065a6-d9af-4496-8fbf-3c323e6a2d38,"Fiorenza, Salvatore","Turtle, Cameron J.","Associations between the Gut Microbiota, Immune Reconstitution, and Outcomes of Allogeneic Hematopoietic Stem Cell Transplantation","Fiorenza, Salvatore; Turtle, Cameron J.",Immunometabolism,2084-6835,"Immune reconstitution following allogeneic hematopoietic stem cell transplantation (allo-HSCT) sets the stage for the goal of a successful transplant—the prevention of disease relapse without graft versus host disease (GVHD) and opportunistic infection. In both epidemiologic studies and in controlled animal studies, it is known that the gut microbiome (GM) can profoundly influence normal innate and adaptive immune development and can be altered by microbial transfer and antibiotics. Following allo-HSCT the GM has been shown to influence clinical outcomes but published associations between the GM and immune reconstitution post-allo-HSCT are lacking. In this viewpoint we propose that the extensive knowledge garnered from studying normal immune development can serve as a framework for studying immune development post-allo-HSCT. We summarize existing studies addressing the effect of the GM on immune ontogeny and draw associations with immune reconstitution and the GM post-allo-HSCT.",2021,Immunometabolism,e210004,1,3,,SecondPassAI-Include,fiorenza2021associations-046,,http://dx.doi.org/10.20900/immunometab20210004,,
7ed5d45c-d8d1-443a-8e33-0d923f4f4662,7ef2cdcf5ab08e3b17be3588036513d5010e0c4167317fe7f176b54b7ba400c4,article,2026-04-22T20:34:06Z,2026-05-07T19:04:49Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1007/s40139-018-0186-6,,30595970,PMC6290699,,"login.ezproxy.lib.utah.edu 5/7/2026, 1:04:48 PM.pdf",2018,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/7ed5d45c-d8d1-443a-8e33-0d923f4f4662,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:7ed5d45c-d8d1-443a-8e33-0d923f4f4662,"Villa, Nancy Y.","McFadden, Grant",Virotherapy as Potential Adjunct Therapy for Graft-Vs-Host Disease,"Villa, Nancy Y.; McFadden, Grant",Current Pathobiology Reports,2167-485X,"This review discusses the pathophysiology, risk factors, and the advances in the prevention or treatment of graft-vs-host disease (GvHD) by exploiting adjunct virotherapy. In addition, nonviral adjunct therapeutic options for the prevention of GvHD in the context of allogeneic hematopoietic stem cell transplantation (allo-HSCT) are discussed. The role of oncolytic viruses to treat different HSCT-eligible hematological cancers is also considered and correlated with the issue of GvHD in the context of allo-HSCT. Emerging therapies focused on the prevention or treatment of GvHD include the use of regulatory T cells (Tregs), mesenchymal stem cells (MSCs), microbiome manipulation, B cell inhibitors, among others. Our lab and others have reported that an oncolytic DNA virus from the Poxviridae family, called myxoma virus (MYXV), not only exhibits oncolytic activity against various hematologic malignancies like multiple myeloma (MM) or acute myeloid leukemia (AML) but also, in addition, ex vivo MYXV treatment of human allogeneic-bone marrow transplants (allo-BMT), or allo-peripheral blood mononuclear cell (allo-PBMC) transplants can abrogate GvHD in xenografted mice without impairing graft-vs-tumor (GvT) effects against residual cancer. To date, this is the first and the only oncolytic virus with a dual potential of mediating oncolysis against a residual cancer target and also inhibiting or preventing GvHD following allo-HSCT. This review discusses how oncolytic virotherapy can be applied as a potential adjunct therapy for the potential treatment of GvHD. In addition, we highlight major emerging nonviral therapies currently studied for the treatment or prevention of GvHD. We also review the emerging oncolytic virotherapies against different hematological cancers currently eligible for allo-HSCT and highlight the potential role of the oncolytic virus MYXV to decrease GvHD while maintaining or enhancing the positive benefits of GvT.",2018,Curr. Pathobiol. Rep.,247-263,4,6,,"SecondPassAI-Exclude,SecondPassAI-ExcludeReason-PassingMentionOnly",villa2018virotherapy-7ed,,http://dx.doi.org/10.1007/s40139-018-0186-6,,
cc18e910-4081-42a6-add7-3c42fb864413,6a8ca5abb55b6d085d6c03f048e2171e4c1ee1e5a075269d7fad1833bbbb1dba,article,2026-04-22T20:24:29Z,2026-05-07T18:35:15Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1007/bf01969527,,2105890,,,"login.ezproxy.lib.utah.edu 4/23/2026, 12:45:10 PM.pdf",1990,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/cc18e910-4081-42a6-add7-3c42fb864413,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:cc18e910-4081-42a6-add7-3c42fb864413,"Vossen, J. M.","Dooren, L. J.",Prevention of infection and graft-versus-host disease by suppression of intestinal microflora in children treated with allogeneic bone marrow transplantation,"Vossen, J. M.; Heidt, P. J.; den Berg, H. van; Gerritsen, E. J. A.; Hermans, J.; Dooren, L. J.",European Journal of Clinical Microbiology and Infectious Diseases,0934-9723,"The effect of suppression with antimicrobial agents of the intestinal microflora of paediatric bone marrow graft recipients on severe bacterial and fungal infections and on moderate to severe acute graft-versus-host disease was studied retrospectively. Data on 65 cases of bone marrow transplantation for either severe bone marrow failure or leukaemia, performed in a strict protective environment with either complete or selective gastrointestinal decontamination, were evaluated. All bone marrow grafts were from HLA-identical siblings and were not depleted of T-lymphocytes. Twenty percent of the recipients had one or more episodes of septicaemia during the granulocytopenic period after transplantation, mostly due to gram-positive bacteria. Only five children died due to infection, in each case caused by a microorganism originating from the endogenous flora. Complete gastrointestinal decontamination was superior to selective gastrointestinal decontamination in preventing infectious complications (p<0.001). The same was the case for the prevention of acute graft-versus-host disease of grade II or higher, which was observed in 7 of 40 (17.5 %) completely decontaminated children versus 9 of 18 (50 %) selectively decontaminated children evaluable for graft-versus-host disease (p<0.01). It is concluded that complete gastrointestinal decontamination in a strict protective environment is a feasible and very effective method for preventing severe infections and acute graft-versus-host disease after allogeneic bone marrow transplantation in children and adolescents; it resulted in a low transplantation-related mortality of 26 % and a good quality of survival in 69 % of the graft recipients.",1990 Jan,Eur. J. Clin. Microbiol. Infect. Dis.,14-23,1,9,eng,SecondPassAI-Include,vossen1990prevention-cc1,0934-9723,http://dx.doi.org/10.1007/bf01969527,,
3c273b37-fb90-4d99-b894-cce16a1f3514,d3eef27a7831d8e09ae2421bf84ba041d4863ed07d676dec7cb046fb5754c429,article,2026-04-22T20:24:29Z,2026-05-07T18:35:11Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1371/journal.pone.0105706,,25180821,PMC4152127,,"journals.plos.org 4/23/2026, 12:38:30 PM.pdf",2014,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/3c273b37-fb90-4d99-b894-cce16a1f3514,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:3c273b37-fb90-4d99-b894-cce16a1f3514,"Vossen, Jaak M.","Heidt, Peter J.",Complete Suppression of the Gut Microbiome Prevents Acute Graft-Versus-Host Disease following Allogeneic Bone Marrow Transplantation,"Vossen, Jaak M.; Guiot, Harry F. L.; Lankester, Arjan C.; Vossen, Ann C. T. M.; Bredius, Robbert G. M.; Wolterbeek, Ron; Bakker, Hanny D. J.; Heidt, Peter J.",PLoS ONE,1932-6203,"The hypothesis that elimination of facultative and strict anaerobic microorganisms from the gastro-intestinal tract by antimicrobial drugs in the period of time around allogeneic bone marrow transplantation (BMT) prevents acute graft-versus-host disease (GVHD), was examined in a cohort of 112 children grafted between 1989 and 2002 for hematological malignancies. All patients received T-cell replete marrow from human leukocyte antigens (HLA) matched sibling donors under identical transplantation conditions. To eliminate microorganisms from the gastro-intestinal tract, total gastro-intestinal decontamination (GID) was applied by high doses of non-absorbable antimicrobial drugs while the graft recipient was maintained in strict protective isolation. About half of the children (51%) proved to be successfully decontaminated, and about half (49%) unsuccessfully. One recipient got acute GVHD in the first group and 8 in the second group (p = 0.013). The degree of success of total GID was decisive for the occurrence of acute GVHD, irrespective of the presence of other risk factors such as higher age of recipient and/or donor, female donor for male recipient and carriership or reactivation of herpesviruses. Our results demonstrate that successful total GID of the graft recipient prevents moderate to severe acute GVHD. We suppose that substantial translocation of gastro-intestinal microorganisms or parts of these, functioning as microbial-associated molecular patterns (MAMP's), triggering macrophages/dendritic cells via pattern recognizing receptors (PRR's) is prohibited. As a consequence the initiation and progression of an inflammatory process leading to acute GVHD is inhibited.",2014,PLoS ONE,e105706,9,9,eng,SecondPassAI-Include,vossen2014complete-3c2,1932-6203,http://dx.doi.org/10.1371/journal.pone.0105706,"[""Stefan Bereswill""]",
1bbae6b0-837f-47a3-bb15-ce822069cd7e,f792f568f9568ba7f9119b8c0ccde1fba841100ccbc8b7eb0a76709b46ee9e68,article,2025-06-12T21:47:20Z,2026-05-07T18:35:17Z,sophie.huebler@utah.edu (Sophie Huebler),2026-02-25T22:13:36Z,TRUE,,,FALSE,,10.1007/s00277-023-05460-7,,37770617,,,"login.ezproxy.lib.utah.edu 6/12/2025, 3:47:23 PM.pdf",2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/1bbae6b0-837f-47a3-bb15-ce822069cd7e,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:1bbae6b0-837f-47a3-bb15-ce822069cd7e,"Wang, Shufen","Xiao, Haowen",The association of intestinal microbiota diversity and outcomes of allogeneic hematopoietic cell transplantation: a systematic review and meta-analysis,"Wang, Shufen; Yue, Xiaoyan; Zhou, Hongyu; Chen, Xu; Chen, Huiqiao; Hu, Liangning; Pan, Wenjue; Zhao, Xiujie; Xiao, Haowen",Annals of Hematology,0939-5555,"Growing evidence suggests that highly intestinal microbiota diversity modulates host inflammation and promotes immune tolerance. Several studies have reported that patients undergoing allo-HSCT have experienced microbiota disruption that is characterized by expansion of potentially pathogenic bacteria and loss of microbiota diversity. Thus, the primary aim of this meta-analysis was to determine the association of intestinal microbiota diversity and outcomes after allo-HSCT, and the secondary aim was to analyze the associations of some specific microbiota abundances with the outcomes of allo-HSCT. Electronic databases of Pubmed, Embase, Web of Science, and Cochrane Library were searched from inception to August 2023, and 17 studies were found eligible. The pooled estimate suggested that higher intestinal microbiota diversity was significantly associated with overall survival (OS) benefit (HR = 0.66, 95% CI: 0.55–0.78), as well as decreased risk of transplant-related mortality (HR = 0.56, 95% CI: 0.41–0.76), and lower incidence of grade II-IV aGVHD (HR = 0.41, 95% CI: 0.27–0.63). Furthermore, higher abundance of Clostridiales was associated with a superior OS (HR = 0.40, 95% CI: 0.18–0.87), while higher abundance of Enterococcus (HR = 2.03, 95% CI: 1.55–2.65), γ-proteobacteria (HR = 2.82, 95% CI: 1.53–5.20), and Candida (HR = 3.80, 95% CI: 1.32–10.94) was an adverse prognostic factor for OS. Overall, this meta-analysis highlights the protective role of higher intestinal microbiota diversity on outcomes after allo-HSCT during both pre-transplant and post-transplant periods. Some specific microbiota can be useful in the identification of patients at risk of mortality, offering new tools for individualized pre-emptive or therapeutic strategies to improve allo-HSCT outcomes.",2023 Dec,Ann. Hematol.,3555-3566,12,102,eng,"metaanalysis, SecondPassAI-Include",wang2023association-1bb,0939-5555,http://dx.doi.org/10.1007/s00277-023-05460-7,,
fe4e3fbd-bae4-4e9d-82ac-c40a5f7ee23d,d3ce6b023c49252ca370e340f07b14a68e2179e3fa0049f3469755929a831d43,article,2026-04-22T20:26:13Z,2026-05-07T18:35:12Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.3760/cma.j.issn.0253-2727.2019.10.011,,31775486,PMC7364982,,"pmc.ncbi.nlm.nih.gov 4/23/2026, 12:14:38 PM.pdf",2019,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fe4e3fbd-bae4-4e9d-82ac-c40a5f7ee23d,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:fe4e3fbd-bae4-4e9d-82ac-c40a5f7ee23d,"Wang, Qian","Song, Yongping",Fecal microbiota transplantation for patients with refractory diarrhea after allogeneic hematopoietic stem cell transplantation,"Wang, Qian; Fu, Yuewen; Wang, Yongqi; Ai, Hao; Yuan, Fangfang; Wei, Xudong; Song, Yongping",Chinese Journal of Hematology,0253-2727,"ObjectiveTo explore the availability and safety of fecal microbiota transplantation for patients with refractory diarrhea after allogeneic hematopoietic stem cell transplantation (allo-HSCT).MethodsFour acute leukemia patients suffered from refractory diarrhea after allo-HSCT. One of them was refractory intestinal infection, the others were intestinal graft versus host disease. One or two doses of fecal microbiota, 3.4-6.0 U for one dose, were infused via nasal-jejunal tube. The curative effect and side effects were reviewed.ResultsThree cases achieved complete remission while 1 was stable disease. The side effects included fever, abdominal pain and diarrhea, which all were Ⅰ grade.ConclusionFecal microbiota transplantation was effective and safe for refractory diarrhea after allo-HSCT.",2019,Chin. J. Hematol.,853-855,10,40,chi,"SecondPassAI-EdgeCase-Exclude, SecondPassAI-ExcludeReason-UnmeasuredGutMicrobiome, SecondPassAI-EdgeCaseReason-Language",wang2019fecal-9f0,,,,MEDLINE:31775486
