item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Language,Tags,Citekey,eissn,Url,Editor,Archive Location
93d4bf06-8359-4c40-ad83-a6ec08fa6b65,16b44f598602a4711807fdd3af5a078d2e274931ae9c8fc70f4416b5ac4be63a,article,2026-04-22T20:24:33Z,2026-05-07T18:35:17Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1097/ppo.0000000000000645,,36957977,PMC10037670,,"pmc.ncbi.nlm.nih.gov 4/23/2026, 11:25:38 AM.pdf",2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/93d4bf06-8359-4c40-ad83-a6ec08fa6b65,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:93d4bf06-8359-4c40-ad83-a6ec08fa6b65,"Malard, Florent","Jenq, Robert R.",The Microbiome and Its Impact on Allogeneic Hematopoietic Cell Transplantation,"Malard, Florent; Jenq, Robert R.",The Cancer Journal,1528-9117,"Allogeneic hematopoietic cell transplantation (alloHCT) is a standard curative therapy for a variety of benign and malignant hematological diseases. Previously, patients who underwent alloHCT were at high risk for complications with potentially life-threatening toxicities, including a variety of opportunistic infections as well as acute and chronic manifestations of graft-versus-host disease (GVHD), where the transplanted immune system can produce inflammatory damage to the patient. With recent advances, including newer conditioning regimens, advances in viral and fungal infection prophylaxis, and novel GVHD prophylactic and treatment strategies, improvements in clinical outcomes have steadily improved. One modality with great potential that has yet to be fully realized is targeting the microbiome to further improve clinical outcomes. In recent years, the intestinal microbiota, which includes bacteria, fungi, viruses, and other microbes that reside within the intestinal tract, has become established as a potent modulator of alloHCT outcomes. The composition of intestinal bacteria, in particular, has been found in large multicenter prospective studies to be strongly associated with GVHD, treatment-related mortality, and overall survival. Murine studies have demonstrated a causal relationship between intestinal microbiota injury and aggravated GVHD, and more recently, clinical interventional studies of repleting the intestinal microbiota with fecal microbiota transplantation have emerged as effective therapies for GVHD. How the composition of the intestinal bacterial microbiota, which is often highly variable in alloHCT patients, can modulate GVHD and other outcomes is not fully understood. Recent studies, however, have begun to make substantial headway, including identifying particular bacterial subsets and/or bacterial-derived metabolites that can mediate harm or benefit. Here, the authors review recent studies that have improved our mechanistic understanding of the relationship between the microbiota and alloHCT outcomes, as well as studies that are beginning to establish strategies to modulate the microbiota with the hope of optimizing clinical outcomes.",2023 Mar-Apr 01, Cancer J.,75-83,2,29,eng,SecondPassAI-Include,malard2023microbiome-93d,1528-9117,http://dx.doi.org/10.1097/ppo.0000000000000645,,
912ccb7b-a7c0-485b-b1fd-39e84ba01dc5,9f92f1bb59bd0f7080ba8020669611bee67aac03fa226823cd873044cc0c8b70,article,2026-04-22T20:34:03Z,2026-05-07T18:35:11Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.4049/jimmunol.181.9.6132,,18941203,,,"academic-oup-com.ezproxy.lib.utah.edu 4/23/2026, 12:57:59 PM.pdf",2008,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/912ccb7b-a7c0-485b-b1fd-39e84ba01dc5,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:912ccb7b-a7c0-485b-b1fd-39e84ba01dc5,"Calcaterra, Claudia","Balsari, Andrea",Critical Role of TLR9 in Acute Graft-versus-Host Disease,"Calcaterra, Claudia; Sfondrini, Lucia; Rossini, Anna; Sommariva, Michele; Rumio, Cristiano; Ménard, Sylvie; Balsari, Andrea",The Journal of Immunology,0022-1767,"Graft-vs-host disease (GVHD) is a major complication after allogeneic bone marrow transplantation. Different studies have demonstrated that intestinal bacterial breakdown products and loss of gastrointestinal tract integrity, both induced by conditioning regiments, are critical in the pathogenesis of acute GVHD. Using C57BL/6 knockout mice, we evaluated the role of TLR4 and TLR9, which recognize bacterial LPS and DNA, respectively, in the GVHD associated with allogeneic bone marrow transplantation. When myeloablative-irradiated TLR9 knockout (TLR9−/−) mice were used as graft recipients, survival and clinical score of acute GVHD were improved as compared with the wild-type recipient mice (18/30 vs 1/31 mice still alive at day 70 in a total of four experiments); while no differences were observed using recipient TLR4 knockout (TLR4−/−) mice. The reduced mortality and morbidity in TLR9−/− mice related with reduced stimulatory activity of TLR9−/− spleen APCs after conditioning and reduced proliferation of allogeneic donor T cells. Experiments using TLR9+/+ into TLR9−/− and TLR9−/− into TLR9+/+ chimeric mice as recipients indicated a critical role for nonhematopoietic TLR9+/+ cells interacting with bacterial breakdown products released in myeloablated mice. Altogether these data reveal a novel important role of TLR9 in GVHD, a finding that might provide tools to reduce this complication of allogeneic transplantation.",2008, J. Immunol.,6132-6139,9,181,,"SecondPassAI-Exclude,SecondPassAI-ExcludeReason-NonHuman",calcaterra2008critical-912,,http://dx.doi.org/10.4049/jimmunol.181.9.6132,,
0ad09556-da2a-4b82-92e7-346d4379f00c,a82d63c217561a30b023eea53a2335182fa8a0c1f46e75c16872556dd0203b6d,article,2026-04-22T20:24:33Z,2026-05-07T18:35:16Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.4049/jimmunol.1900681,,32041784,,,"academic-oup-com.ezproxy.lib.utah.edu 4/23/2026, 11:58:42 AM.pdf",2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/0ad09556-da2a-4b82-92e7-346d4379f00c,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:0ad09556-da2a-4b82-92e7-346d4379f00c,"Konuma, Takaaki","Tojo, Arinobu",Reconstitution of Circulating Mucosal-Associated Invariant T Cells after Allogeneic Hematopoietic Cell Transplantation: Its Association with the Riboflavin Synthetic Pathway of Gut Microbiota in Cord Blood Transplant Recipients,"Konuma, Takaaki; Kohara, Chisato; Watanabe, Eri; Takahashi, Shunsuke; Ozawa, Genki; Suzuki, Kei; Mizukami, Motoko; Nagai, Etsuko; Jimbo, Koji; Kaito, Yuta; Isobe, Masamichi; Kato, Seiko; Takahashi, Satoshi; Chiba, Asako; Miyake, Sachiko; Tojo, Arinobu",The Journal of Immunology,0022-1767,"Abstract Mucosal-associated invariant T (MAIT) cells are a type of innate lymphocyte and recognize riboflavin (vitamin B2) synthesis products presented by MHC-related protein 1. We investigated long-term reconstitution of MAIT cells and its association with chronic graft-versus-host disease (cGVHD) in a cross-sectional cohort of 173 adult patients after allogeneic hematopoietic cell transplantation. According to donor source, the number of MAIT cells significantly correlated with time after cord blood transplantation (CBT) but not with time after bone marrow transplantation or peripheral blood stem cell transplantation. The number of MAIT cells was significantly lower in patients with cGVHD compared with patients without cGVHD. We also examined the association between MAIT cell reconstitution and gut microbiota as evaluated by 16S ribosomal sequencing of stool samples 1 mo post-CBT in 27 adult patients undergoing CBT. The diversity of gut microbiota was positively correlated with better MAIT cell reconstitution after CBT. Phylogenetic Investigation of Communities by Reconstruction of Unobserved States analysis indicated that amounts of ribB and ribA genes were significantly higher in the microbiomes of patients with subsequent MAIT cell reconstitution after CBT. In conclusion, long-term MAIT cell reconstitution is dependent on the type of donor source. Our data also unveiled an important role for the interaction of circulating MAIT cells with gut microbiota in humans.",2020 Mar 15, J. Immunol.,1462-1473,6,204,eng,"SecondPassAI-EdgeCase-Include, SecondPassAI-EdgeCaseReason-GVHDNotPrimary",konuma2020reconstitution-0ad,0022-1767,http://dx.doi.org/10.4049/jimmunol.1900681,,
f4c49596-5d2a-49c6-a874-890c9fbff65d,c5c7c26e02f76b8ecc1468d2073b1f92180135ba191c8d050c42c163ddd99765,article,2025-10-20T18:15:11Z,2026-05-07T18:35:16Z,sophie.huebler@utah.edu (Sophie Huebler),2025-10-30T22:16:51Z,true,,,false,,10.1093/infdis/jix011,,28498996,PMC5426375,,lee2017protective.pdf,2017,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/f4c49596-5d2a-49c6-a874-890c9fbff65d,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:f4c49596-5d2a-49c6-a874-890c9fbff65d,"Lee, Yeon Joo","Taur, Ying",Protective Factors in the Intestinal Microbiome Against Clostridium difficile Infection in Recipients of Allogeneic Hematopoietic Stem Cell Transplantation,"Lee, Yeon Joo; Arguello, Esther S.; Jenq, Robert R.; Littmann, Eric; Kim, Grace J.; Miller, Liza C.; Ling, Lilan; Figueroa, Cesar; Robilotti, Elizabeth; Perales, Miguel-Angel; Barker, Juliet N.; Giralt, Sergio; den Brink, Marcel R. M. van; Pamer, Eric G.; Taur, Ying",The Journal of Infectious Diseases,0022-1899,"Clostridium difficile infection (CDI) is a frequent complication in recipients of allogeneic hematopoietic stem cell transplantation (allo-HSCT), who receive intensive treatments that significantly disrupt the intestinal microbiota. In this study, we examined the microbiota composition of allo-HSCT recipients to identify bacterial colonizers that confer protection against CDI after engraftment. Feces collected from adult recipients allo-HSCT at engraftment were analyzed; 16S ribosomal RNA genes were sequenced and analyzed from each sample. Bacterial taxa with protective effects against development of CDI were identified by means of linear discriminant analysis effect size analysis and then further assessed with clinical predictors of CDI using survival analysis. A total of 234 allo-HSCT recipients were studied; postengraftment CDI developed in 53 (22.6%). Within the composition of the microbiota, the presence of 3 distinct bacterial taxa was correlated with protection against CDI: Bacteroidetes, Lachnospiraceae, and Ruminococcaceae. Colonization with these groups at engraftment was associated with a 60% lower risk of CDI, independent of clinical factors. Colonization with these 3 bacterial groups is associated with a lower risk of CDI. These groups have been shown to be vital components of the intestinal microbiota. Targeted efforts to maintain them may help minimize the risk of CDI in this at-risk population.",2017, J. Infect. Dis.,1117-1123,7,215,,"\{SCFA\},Liao cited,SCFA,SecondPassAI-Exclude,SecondPassAI-ExcludeReason-NoGVHDOutcome",lee2017protective-f4c,,http://dx.doi.org/10.1093/infdis/jix011,,
aef59f92-ab99-40ef-bb3b-80abc0eb07e4,ec2319cbd7045a51894adc081a2ad54fa3a70dae9b5797ae837471e2ba184b45,article,2025-06-12T21:39:11Z,2026-05-07T18:35:14Z,sophie.huebler@utah.edu (Sophie Huebler),2025-08-01T22:24:10Z,true,,,false,,10.1093/infdis/jiad190,,37249910,PMC10469318,,"ct.prod.getft.io 6/12/2025, 4:05:26 PM.pdf",2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/aef59f92-ab99-40ef-bb3b-80abc0eb07e4,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:aef59f92-ab99-40ef-bb3b-80abc0eb07e4,"Margolis, Elisa B","Hayden, Randall T",Microbiota Predict Infections and Acute Graft-Versus-Host Disease After Pediatric Allogeneic Hematopoietic Stem Cell Transplantation,"Margolis, Elisa B; Maron, Gabriela; Sun, Yilun; Dallas, Ronald H; Allison, Kim J; Ferrolino, Jose; Ross, Hailey S; Davis, Amy E; Jia, Qidong; Turner, Paige; Mackay, Victoria; Morin, Cara E; Triplett, Brandon M; Klein, Eileen J; Englund, Janet A; Tang, Li; Hayden, Randall T",The Journal of Infectious Diseases,0022-1899,"Despite preventive measures, infections continue to pose significant risks to pediatric allogeneic hematopoietic cell transplantation (allo-HCT) recipients. The gut microbiota has been linked to clinical outcomes following adult allo-HCT. This study evaluated whether similar disruptions or differing microbiota patterns were associated with infection risk in pediatric allo-HCT. In a prospective observational study, fecal samples were obtained from 74 children before conditioning and upon neutrophil recovery. Microbiome signatures identified through sequencing were examined for their associations with infections or acute graft-versus-host disease (aGVHD) in the first-year post-HCT using Cox proportional hazards analysis. Microbiome disruption in adults, did not predict infection risk in pediatric allo-HCT. Unique microbiota signatures were associated with different infections or aGVHD. A ratio of strict and facultative anaerobes (eg, Lachnoclostridium, Parabacteroides) prior to conditioning predicted bacteremia risk (Cox hazard ratio [HR], 3.89). A distinct ratio of oral (eg, Rothia, Veillonella) to intestinal anaerobes (eg, Anaerobutyricum, Romboutsia) at neutrophil recovery predicted likelihood of bacterial infections (Cox HR, 1.81) and viral enterocolitis (Cox HR, 1.96). Interactions between medical interventions, pediatric hosts, and microbial communities contribute to microbiota signatures that predict infections. Further multicenter study is necessary to validate the generalizability of these ratios as biomarkers. Gut microbial communities can predict which children after hematopoietic cell transplantation will have infections or acute graft-versus-host disease. These ratios of gut community members can be used to focus prevention and treatment on children at highest risks for complications.",2023, J. Infect. Dis.,627-636,5,228,eng,SecondPassAI-Include,margolis2023microbiota-aef,0022-1899,http://dx.doi.org/10.1093/infdis/jiad190,,
a228041d-2f5c-4006-9fe9-a9177c903db0,03b0e7f9e3f91f60e2c7ad062ac2d43f7c620b8f3488c141134357667c2de8d4,article,2026-04-22T20:34:03Z,2026-05-07T18:35:11Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1093/infdis/jiae117,,38527372,PMC11011173,,"ct.prod.getft.io 4/23/2026, 12:59:06 PM.pdf",2024,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/a228041d-2f5c-4006-9fe9-a9177c903db0,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:a228041d-2f5c-4006-9fe9-a9177c903db0,,,Correction to: Microbiota Predict Infections and Acute Graft-Versus-Host Disease After Pediatric Allogeneic Hematopoietic Stem Cell Transplantation,,The Journal of Infectious Diseases,0022-1899,,2024, J. Infect. Dis.,1246-1246,4,229,,"SecondPassAI-Exclude, SecondPassAI-ExcludeReason-CorrectionNotice, SecondPassAI-NovelReason",noauthor2024correction-a22,,http://dx.doi.org/10.1093/infdis/jiae117,,
"88d130ad-7726-44ef-80cc-5cb9db4e8c73","8ea61871fe79d6acc23da7b3de00cfc728b89307212a7a64e4b3c5e54e140b85","article","2026-04-22T20:26:13Z","2026-05-07T18:35:17Z","sophie.huebler@utah.edu (Sophie Huebler)","","false","","","false","","10.4166/kjg.2025.049","","40709417","PMC12305082","","pmc.ncbi.nlm.nih.gov 4/23/2026, 11:12:40 AM.pdf","2025","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/88d130ad-7726-44ef-80cc-5cb9db4e8c73","https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:88d130ad-7726-44ef-80cc-5cb9db4e8c73","Lee, Seung Bum","Lee, Seung Bum","급성 위장관 이식편대숙주병: 진단, 치료 및 마이크로바이옴 기반 접근에 대한 소화기내과 의사의 최신 역할","Lee, Seung Bum","The Korean Journal of Gastroenterology","1598-9992","Acute graft-versus-host disease (GVHD) is a major complication following allogeneic hematopoietic stem cell transplantation. Steroid-refractory cases have poor outcomes, so an accurate diagnosis, particularly differentiation from cytomegalovirus colitis, is critical. Ruxolitinib is the standard second-line therapy, while Vedolizumab has shown potential in gut-specific modulation. Recent studies have reported that reduced microbiome diversity and the loss of short-chain fatty acid-producing bacteria are linked to acute GVHD severity and mortality. Fecal microbiota transplantation may offer benefit in selected steroid-refractory cases, but the evidence remains limited and variable. Gastroenterologists play an essential role in diagnosis and microbiome-guided care. A personalized approach incorporating microbial biomarkers may improve the future outcomes.","2025"," Korean J. Gastroenterol.","268-273","3","85","kor","SecondPassAI-EdgeCase-Include,SecondPassAI-EdgeCaseReason-Language","lee2025급성-199","","http://dx.doi.org/10.4166/kjg.2025.049","","WOS:001552144700006"
35200579-487f-49c5-8e96-e840e068dd01,dd7dc4826d9017dcb1ca272fde356344ee8c1e312b264e27a680c2a5e18beec3,article,2026-04-22T20:26:13Z,2026-05-07T18:35:12Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.3904/kjm.2021.96.4.358,,,,,"s3.us-east-1.amazonaws.com 4/23/2026, 11:47:29 AM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/35200579-487f-49c5-8e96-e840e068dd01,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:35200579-487f-49c5-8e96-e840e068dd01,"Yeon, Sang Hoon","Song, Ik-Chan",Fecal Microbiota Transplantation for Treating Steroid-Refractory Acute Graft-versus-Host Disease of the Gut,"Yeon, Sang Hoon; Lee, Myung-Won; Jo, Deog-Yeon; Heo, Bu-Yeon; Kwon, Jaeyul; Song, Ik-Chan",The Korean Journal of Medicine,1738-9364,"Restoring the microbiota via fecal microbiota transplantation (FMT) can be an effective treatment for steroid-refractory acute graft-versus-host disease (GVHD) of the gut. Here, we report two adult patients who underwent FMT to treat steroid-refractory acute GVHD of the gut. The first patient was a 43-year-old man who underwent allogeneic hematopoietic stem cell transplantation (HSCT) with cells from a matched sibling donor. The second patient was a 70-year-old woman who underwent haplo-identical HSCT with cells from her son. Gut GVHD developed at 7 and 4 weeks after HSCT, respectively. After undergoing FMT, the clinical symptoms improved; the first patient had a complete response and the second patient had a partial response. Microbial analyses using RNA gene sequencing showed that a diverse fecal microbiome was recovered by 4 weeks after FMT. FMT should be considered an effective therapeutic option for managing steroid-refractory acute GVHD of the gut.",2021, Korean J. Med.,358-362,4,96,,"SecondPassAI-EdgeCase-Include, SecondPassAI-EdgeCaseReason-Language",yeon2021fecal-352,,http://dx.doi.org/10.3904/kjm.2021.96.4.358,,KJD:ART002774669
efe0909a-80ff-4bdb-84de-a431de343303,2dd7a83c9b9462b844f6120beea88d0a2c8ea7f81a96cd0e156dceb469e06927,article,2026-04-22T20:24:33Z,2026-05-12T21:34:24Z,sophie.huebler@utah.edu (Sophie Huebler),,false,,,false,,10.1016/s2352-3026(22)00223-x,,36174640,,,1-s2.0-S235230262200223X.pdf,2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/efe0909a-80ff-4bdb-84de-a431de343303,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:efe0909a-80ff-4bdb-84de-a431de343303,"Malard, Florent","Mohty, Mohamad",Faecal microbiota transplantation in patients with haematological malignancies undergoing cellular therapies: from translational research to routine clinical practice,"Malard, Florent; Gaugler, Béatrice; Mohty, Mohamad",The Lancet Haematology,2352-3026,"The effect of the gut microbiota on patients’ outcomes after allogeneic haematopoietic cell transplantation (HCT) is now well established. In particular, gut microbiota dysbiosis has been associated with acute graft-versus-host disease (GVHD). Furthermore, increasing data also suggest an effect of the gut microbiota on outcome after autologous HCT and CAR T cells. In fact, the bacterial gut microbiota interplays with the immune system and contributes to immunological complication and antitumour response to treatment. Therefore, faecal microbiota transplantation has been evaluated in patients with haematological malignancies for various indications, including Clostridioides difficile infection, eradication of multidrug-resistant bacteria, and steroid refractory acute GVHD. In addition, use of prophylactic faecal microbiota transplantation to restore the gut microbiota and improve patients’ outcomes is being developed in the setting of allogeneic HCT, but also probably very soon in patients receiving autologous HCT or CAR T cells.",2022 Oct, Lancet Haematol.,e776-e785,10,9,eng,SecondPassAI-Include,malard2022faecal-efe,2352-3026,http://dx.doi.org/10.1016/s2352-3026(22)00223-x,,
cc2a42e1-4279-4752-8766-14d2a5245e15,9861ac305259712de9213c3b32f99a1b5d3468bca9f85f4673357a9ee6bd32c9,article,2026-04-22T20:24:32Z,2026-05-13T17:34:57Z,sophie.huebler@utah.edu (Sophie Huebler),,false,Requested full text.,,false,,10.2174/1389557515666150722110547,,26202191,,,1954689.pdf,2015,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/cc2a42e1-4279-4752-8766-14d2a5245e15,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:cc2a42e1-4279-4752-8766-14d2a5245e15,"Qayed, Muna","Horan, John T",The Role of Intestinal Microbiota in Graft versus Host Disease,"Qayed, Muna; Horan, John T",Mini-Reviews in Medicinal Chemistry,1389-5575,"Graft versus host disease (GVHD) remains a major life threatening complication and one of the primary barriers to successful allogeneic hematopoietic stem cell transplantation, limiting its application in nonmalignant conditions. Immunosuppression is used for prevention and treatment of GVHD, dampening the graft versus leukemia effect. Intestinal bacteria play a major role in inflammation and augmenting the GVHD cytokine response. Early studies in murine models showed that manipulating the presence of intestinal flora or counteracting its byproducts could limit GVHD. Thus multiple clinical trials targeting gut decontamination were conducted, with the aims of modulating inflammation and protecting against GVHD, with mixed results. More recent work has improved our understanding of the role of intestinal microbiota in the maintenance of innate immunity, mucosal integrity and limiting inflammation. This review offers a summary of this data, with a discussion of potential therapeutic interventions manipulating the intestinal microbiota.",2015,Mini-Rev. Med. Chem.,193-199,3,16,eng,SecondPassAI-Include,qayed2015role-cc2,1389-5575,http://dx.doi.org/10.2174/1389557515666150722110547,,
