"","ID","First_Author","Year","Journal_Abrev","Title","Decision","Library URL","doi","pmid"
"1","14af33a44fd6e5b477f073259c2e3ca0204534ff32860c3e172d4386f946e03d","Andermann, Tessa M.",2021,"Transplant. Cell. Ther.","A Fructo-Oligosaccharide Prebiotic Is Well Tolerated in Adults Undergoing Allogeneic Hematopoietic Stem Cell Transplantation: A Phase I Dose-Escalation Trial","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fd5a92f2-8290-449d-96ab-dfe04bc6a8fd","10.1016/j.jtct.2021.07.009",34274493
"2","2e1192244d3f98d5439ca60345c627617af66c46fa416038dfb1d6e62bbedf12","Bai, Wenxuan",2025,"Exp. Hematol.","A new anchor point for gut microbiome to regulate complications of allogeneic hematopoietic stem cell transplantation: oxidative stress","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/57990ee6-2204-492c-9010-19877294a185","10.1016/j.exphem.2025.104833",40523420
"3","022b0ed0dd06d28b585d1e77f89efc9247a778d0f417717775a0321723616c3c","Din, Muhammad Azhar Ud",2025,"Mol. Med.","Advancing therapeutic strategies for graft-versus-host disease by targeting gut microbiome dynamics in allogeneic hematopoietic stem cell transplantation: current evidence and future directions","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/8f702059-b8c7-424e-a5f1-0805c44dab82","10.1186/s10020-024-01060-x",39754054
"4","6a46799485cc5020db3972279ad87f1db937d19ad76076bc68bd24b33e7a7955","Butters, Coen",2023,"Expert Rev. Anti-Infect. Ther.","Adverse effects of antibiotics in children with cancer: are short-course antibiotics for febrile neutropenia part of the solution?","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/87250b64-5033-45c3-8f36-8be2b5741a7a","10.1080/14787210.2023.2171987",36694289
"5","166113166274bba7a9404c2b56c630b47bd7fd636897c36ff1b5b1018bfe8c7c","Beckman, M. F.",2021,"Support. Care Cancer","Allogenic stem cell transplant-associated acute graft versus host disease: a computational drug discovery text mining approach using oral and gut microbiome signatures","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/96606a6f-1fa6-46f8-8fb5-34976e548990","10.1007/s00520-020-05821-2",33094358
"6","8ebb54b5e8a6075e6233ed9f5f6ea831471b22a0107f603572401b88af375167","Gavriilaki, Eleni",2024,"Int. J. Mol. Sci.","Alteration of Gut Microbiota Composition and Diversity in Acute and/or Chronic Graft-versus-Host Disease Following Hematopoietic Stem Cell Transplantation: A Prospective Cohort Study","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/43f8cd34-bda2-4109-9a0b-c0b0b8db8379","10.3390/ijms25115789",38891979
"7","93ed5caba311d5e5e18f21ad0ab77ac9d5f04fac2f03f5b73cbc0829b98c8827","Ferrara, James L.M.",2017,"J. Clin. Investig.","Altered homeostatic regulation of innate and adaptive immunity in lower gastrointestinal tract GVHD pathogenesis","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/ee6c93b4-8983-4867-97c1-e6a550312f08","10.1172/jci90592",28581444
"8","acb9b66e93f21e4bddde71312ad1160c24914754268b5338d9abef2c1019e209","Fujimoto, Kosuke",2024,"Nature","An enterococcal phage-derived enzyme suppresses graft-versus-host disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/3784aeed-686b-43a7-9b05-33edfc7b01fe","10.1038/s41586-024-07667-8",38987594
"9","f0395fb5625c840a16b53fadcff5b2993705617dcdb925975a02d78d98c0c3e5","Faraci, M.",2024,"Sci. Rep.","Association between oral and fecal microbiome dysbiosis and treatment complications in pediatric patients undergoing allogeneic hematopoietic stem cell transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5e4da785-33fa-4bb8-8478-9112154951c2","10.1038/s41598-024-55690-6",38509104
"10","1c593194549befd2aedc8e9fe1844811bfeaad57c1674c648523cd4f482dead4","Bansal, Rajat",2019,"Blood","Autologous Transplant Recipients Have a Healthier Gut Microbiota at Baseline and Faster Recovery from Microbiome Injury Compared to Allogeneic Transplant Recipients","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/35ee8045-26f1-43c7-8992-54197e6e592d","10.1182/blood-2019-129304",NA
