item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),creator (Read-Only),last read (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,First author,Last author,Title,Author,Journal,ISSN,Abstract,Date,Journal Abbreviation,Pages,Issue,Volume,Tags,Citekey
10934188-4fc9-4595-b9da-3e0e9fd32075,,article,2026-03-18T19:19:08Z,2026-03-18T19:20:41Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1182/blood.2022016926,,35984904,,,,2022,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/10934188-4fc9-4595-b9da-3e0e9fd32075,,"Vallet, Nicolas","Michonneau, David",Azithromycin promotes relapse by disrupting immune and metabolic networks after allogeneic stem cell transplantation,"Vallet, Nicolas; Le Grand, Sophie; Bondeelle, Louise; Hoareau, Bénédicte; Corneau, Aurélien; Bouteiller, Delphine; Tournier, Simon; Derivry, Lucille; Bohineust, Armelle; Tourret, Marie; Gibert, Delphine; Mayeur, Ethan; Itzykson, Raphael; Pacchiardi, Kim; Ingram, Brian; Cassonnet, Stéphane; Lepage, Patricia; de Latour, Régis Peffault; Socié, Gérard; Bergeron, Anne; Michonneau, David",Blood,0006-4971," Administration of azithromycin after allogeneic hematopoietic stem cell transplantation for hematologic malignancies has been associated with relapse in a randomized phase 3 controlled clinical trial. Studying 240 samples from patients randomized in this trial is a unique opportunity to better understand the mechanisms underlying relapse, the first cause of mortality after transplantation. We used multi-omics on patients’ samples to decipher immune alterations associated with azithromycin intake and post-transplantation relapsed malignancies. Azithromycin was associated with a network of altered energy metabolism pathways and immune subsets, including T cells biased toward immunomodulatory and exhausted profiles. In vitro, azithromycin exposure inhibited T-cell cytotoxicity against tumor cells and impaired T-cell metabolism through glycolysis inhibition, down-regulation of mitochondrial genes, and up-regulation of immunomodulatory genes, notably SOCS1. These results highlight that azithromycin directly affects immune cells that favor relapse, which raises caution about long-term use of azithromycin treatment in patients at high risk of malignancies. The ALLOZITHRO trial was registered at www.clinicaltrials.gov as #NCT01959100.",2022,Blood,2500-2513,23,140,,
3784aeed-686b-43a7-9b05-33edfc7b01fe,,article,2026-01-26T20:23:58Z,2026-03-09T21:56:29Z,sophie.huebler@utah.edu (Sophie Huebler),2026-03-18T17:26:44Z,TRUE,,,FALSE,,10.1038/s41586-024-07667-8,,38987594,PMC11291292,,"www.nature.com 1/26/2026, 1:24:05 PM.pdf",2024,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/3784aeed-686b-43a7-9b05-33edfc7b01fe,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:3784aeed-686b-43a7-9b05-33edfc7b01fe,"Fujimoto, Kosuke","Uematsu, Satoshi",An enterococcal phage-derived enzyme suppresses graft-versus-host disease,"Fujimoto, Kosuke; Hayashi, Tetsuya; Yamamoto, Mako; Sato, Noriaki; Shimohigoshi, Masaki; Miyaoka, Daichi; Yokota, Chieko; Watanabe, Miki; Hisaki, Yuki; Kamei, Yukari; Yokoyama, Yuki; Yabuno, Takato; Hirose, Asao; Nakamae, Mika; Nakamae, Hirohisa; Uematsu, Miho; Sato, Shintaro; Yamaguchi, Kiyoshi; Furukawa, Yoichi; Akeda, Yukihiro; Hino, Masayuki; Imoto, Seiya; Uematsu, Satoshi",Nature,0028-0836,"Changes in the gut microbiome have pivotal roles in the pathogenesis of acute graft-versus-host disease (aGVHD) after allogenic haematopoietic cell transplantation (allo-HCT)1–6. However, effective methods for safely resolving gut dysbiosis have not yet been established. An expansion of the pathogen Enterococcus faecalis in the intestine, associated with dysbiosis, has been shown to be a risk factor for aGVHD7–10. Here we analyse the intestinal microbiome of patients with allo-HCT, and find that E. faecalis escapes elimination and proliferates in the intestine by forming biofilms, rather than by acquiring drug-resistance genes. We isolated cytolysin-positive highly pathogenic E. faecalis from faecal samples and identified an anti-E. faecalis enzyme derived from E. faecalis-specific bacteriophages by analysing bacterial whole-genome sequencing data. The antibacterial enzyme had lytic activity against the biofilm of E. faecalis in vitro and in vivo. Furthermore, in aGVHD-induced gnotobiotic mice that were colonized with E. faecalis or with patient faecal samples characterized by the domination of Enterococcus, levels of intestinal cytolysin-positive E.faecalis were decreased and survival was significantly increased in the group that was treated with the E. faecalis-specific enzyme, compared with controls. Thus, administration of a phage-derived antibacterial enzyme that is specific to biofilm-forming pathogenic E. faecalis—which is difficult to eliminate with existing antibiotics—might provide an approach to protect against aGVHD. An analysis of the intestinal microbiome of people who have undergone allogenic haematopoietic cell transplantation shows that an enzyme derived from a bacteriophage has specific antibacterial activity against Enterococcus faecalis, and suppresses E. faecalis-associated graft-versus-host disease.",,Nature,174-181,8023,632,,Fujimoto2024
39fa9735-45f8-4330-ae2b-5a3fbb3dcc76,,article,2025-11-21T22:04:55Z,2026-03-05T22:32:57Z,sophie.huebler@utah.edu (Sophie Huebler),2026-04-01T17:11:50Z,TRUE,,,TRUE,,10.1038/bmt.2017.200,,28967895,,,"login.ezproxy.lib.utah.edu 11/21/2025, 3:05:11 PM.pdf",2017,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/39fa9735-45f8-4330-ae2b-5a3fbb3dcc76,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:39fa9735-45f8-4330-ae2b-5a3fbb3dcc76,"Liu, C","Nguyen, V H",Associations between acute gastrointestinal GvHD and the baseline gut microbiota of allogeneic hematopoietic stem cell transplant recipients and donors,"Liu, C; Frank, D N; Horch, M; Chau, S; Ir, D; Horch, E A; Tretina, K; van Besien, K; Lozupone, C A; Nguyen, V H",Bone Marrow Transplantation,0268-3369,"Growing evidence suggests that host-microbiota interactions influence GvHD risk following allogeneic hematopoietic stem cell transplant. However, little is known about the influence of the transplant recipient’s pre-conditioning microbiota nor the influence of the transplant donor’s microbiota. Our study examines associations between acute gastrointestinal GvHD (agGvHD) and 16S rRNA fecal bacterial profiles in a prospective cohort of N=57 recipients before preparative conditioning, as well as N=22 of their paired HLA-matched sibling donors. On average, recipients had lower fecal bacterial diversity (P=0.0002) and different phylogenetic membership (UniFrac P=0.001) than the healthy transplant donors. Recipients with lower phylogenetic diversity had higher overall mortality rates (hazard ratio=0.37, P=0.008), but no statistically significant difference in agGvHD risk. In contrast, high bacterial donor diversity was associated with decreased agGvHD risk (odds ratio=0.12, P=0.038). Further investigation is warranted as to whether selection of hematopoietic stem cell transplant donors with high gut microbiota diversity and/or other specific compositional attributes may reduce agGvHD incidence, and by what mechanisms.",,Bone Marrow Transplant.,1643-1650,12,52,,Liu2017
020881ad-42bc-4f92-bf20-9d0dee45564e,,article,2025-11-21T21:54:48Z,2025-11-21T21:54:50Z,sophie.huebler@utah.edu (Sophie Huebler),2025-11-25T18:56:52Z,TRUE,,,FALSE,,10.1101/2020.04.08.20058198,,,,,Targeting the gut microbiome in allogeneic hematopoietic stem cell transplantation.pdf,2020,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/020881ad-42bc-4f92-bf20-9d0dee45564e,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:020881ad-42bc-4f92-bf20-9d0dee45564e,"de Leeuw, Marcel A.","Duval, Manuel X.",Targeting the gut microbiome in allogeneic hematopoietic stem cell transplantation,"de Leeuw, Marcel A.; Duval, Manuel X.",medRxiv,,"Gut microbiota (GM) composition has been associated with acute Graft-versus-Host Disease (aGvHD), however, current knowledge is insufficient to target the GM. A relevant series of microbiome data sets were combined and reanalyzed, with resolution of species level changes in the GM. GM composition was found strongly correlated with aGvHD status after one month post stem cell infusion (R2=0.51). The predicted average biological safety level, indicative of antibiotic resistance, was found increased in aGvHD cases (p=1.6E-4). Using in silico modelling, we formulated a probiotic composition putatively competing with mortality and aGvHD associated species. Supplementation with Bifidobacterium longum and Bifidobacterium breve is proposed as a prophylactic treatment alongside with prebiotics and an adapted antibiotics course.",2020,medRxiv,2020.04.08.20058198,,,,
7ed4d620-2246-4128-b566-3e7e8cdcf4c7,,article,2025-11-18T22:47:44Z,2025-11-18T22:47:44Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1182/blood-2018-99-111764,,,,,1-s2.0-S0006497119381698-main.pdf,2018,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/7ed4d620-2246-4128-b566-3e7e8cdcf4c7,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:7ed4d620-2246-4128-b566-3e7e8cdcf4c7,"Greinix, Hildegard T.","Nicolaus, Kroger",Incidence of Acute Graft-Versus-Host Disease and Survival after Allogeneic Hematopoietic Cell Transplantation over Time: A Study from the Transplant Complications and Chronic Malignancies Working Party of the EBMT,"Greinix, Hildegard T.; Eikema, Dirk-Jan; Koster, Linda; Penack, Olaf; Yakoub-Agha, Ibrahim; Montoto, Silvia; Chabannon, Christian; Styczynski, Jan; Nagler, Arnon; Robin, Marie; Robinson, Stephen; Chalandon, Yves; Mikulska, Malgorzata; Schönland, Stefan; Peric, Zinaida; Ruggeri, Annalisa; Lanza, Francesco; Mohty, Mohamad; Basak, Grzegorz W; Nicolaus, Kroger",Blood,0006-4971,"INTRODUCTION Acute graft-versus-host disease (aGvHD) remains a serious complication of allogeneic hematopoietic cell transplantation (HCT) and negatively impacts on patients' outcome. Over recent years improvements in GvHD prophylaxis, HLA typing, donor selection, treatment and supportive care have been achieved. However, it is unknown whether these changes have resulted in improved outcome of patients undergoing allogeneic HCT and particularly in those patients diagnosed with aGvHD and in need of systemic immunosuppressive therapy. METHODS We examined outcome following diagnosis of grades II-IV and grades III-IV aGvHD according to time period and investigated effects according to maximum overall grade of aGvHD. Between 1990 and 2015, 126 838 patients with a median age of 46.4 (range, 18-83.8) years with malignant disease received a first allogeneic sibling (53.9%) or unrelated donor (46.1%) blood (74.5%) or marrow (25.5%) transplant after myeloablative (58.9%) or reduced-intensity (41.1%) conditioning. Sixty-two percent of patients were in complete remission (CR) at HCT. RESULTS Incidences of aGvHD grades II-IV by 100 days significantly (p<0.001) decreased from 40% for 1990-1995, to 37% for 1996-2000, 31% for 2001-2005, 29% for 2006-2010 and 28% for 2010-2015. In univariate analysis for the whole study population, incidence of aGvHD grades II-IV was higher in patients with an unrelated donor (33% vs 29%, p<0.001), a female donor compared to a male donor for a male recipient (33% vs 31%, p<0.001), and patients not in CR at HCT (33% vs 29%, p<0.001) whereas reduced-intensity conditioning (RIC) (27% vs 33%, p<0.001), and in vivo T-cell depletion (TCD) (27% vs 33%, p<0.001) were associated with a lower incidence. Incidences of aGvHD grades III-IV by 100 days significantly (p<0.001) decreased from 17% for 1990-1995, to 15% for 1996-2000, 13% for 2001-2005, 11% for 2006-2010 and 11% for 2010-2015. The median (range) follow-up was 217.6 (213.4-221.7) months, 169.9 (167.6-172.9) months, 129 (127.3-130.8) months, 81.3 (80.5-82.1) months and 29.7 (29.2-30.2) months for 1990-1995, 1996-2000, 2001-2005, 2006-2010 and 2010-2015. For the total study population, 3-year overall survival (OS) significantly (p<0.001) increased from 49% for 1990-1995, to 50% for 1996-2000, 51% for 2001-2005, 53% for 2006-2010 and 54% for 2010-2015, respectively. 3-year nonrelapse mortality (NRM) significantly (p<0.001) decreased from 33% for 1990-1995, to 29% for 1996-2000, 24% for 2001-2005, 23% for 2006-2010 and 23% for 2010-2015. In univariate analysis, OS was better after related donor HCT (55% vs. 49%, p<0.001), and HCT in CR (58% vs 41%, p<0.001) whereas female donor compared to male donor for a male recipient (50% vs 52%, p<0.001), use of antithymocyte globulin (ATG) (51% vs 53%, p<0.001), and in vivo TCD (51% vs 55%, p<0.001) were associated with worse OS. The OS of patients experiencing aGvHD grades II-IV was 66% at 6 months and decreased to 43% at 36 months after HCT. Survival at 36 months after aGvHD grades II-IV increased significantly (p<0.001) from 39% to 40%, 43%, 44% and 45% after HCT in the periods 1990-1995, 1996-2000, 2001-2005, 2006-2010 and 2010-2015. In univariate analysis, aGvHD grades II-IV-associated 3-year OS was significantly improved after myeloablative conditioning (45% vs 41%, p<0.001), related donor HCT (45% vs. 41%, p<0.001), and HCT in CR compared to no CR (49% vs 33%, p<0.001) whereas female donor for a male recipient (40% vs 43%, p<0.001), use of ATG (42% vs 44%, p<0.001), and in vivo TCD (41% vs 45%, p<0.001) were associated with worse aGvHD-associated OS. aGvHD grades III-IV-associated OS was 46% at 6 months and decreased to 27% 36 months after HCT. Survival at 36 months after aGvHD grades III-IV increased significantly (p<0.001) from 49% to 50%, 51%, 53% and 54% after HCT in the periods 1990-1995, 1996-2000, 2001-2005, 2006-2010 and 2010-2015. In univariate analysis, aGvHD grades III-IV-associated 3-year OS was improved after related donor HCT (29% vs. 25%, p<0.001), and HCT in CR compared to no CR (31% vs 26%, p<0.001) whereas use of ATG (25% vs 28%, p<0.001), and in vivo TCD (25% vs 29%, p<0.001) were associated with worse aGvHD grades III-IV-associated OS. CONCLUSIONS Incidences of aGvHD grades II-IV and grades III-IV decreased over time and aGvHD-associated survival increased over recent years resulting in improved survival of patients undergoing allogeneic HCT for malignant disease. Disclosures Greinix: Gilead: Speakers Bureau; Roche: Speakers Bureau; Therakos: Speakers Bureau; Novartis: Consultancy, Speakers Bureau; Amgen: Consultancy, Speakers Bureau; Celgene: Consultancy. Chalandon: Roche: Membership on an entity's Board of Directors or advisory committees, Other: Travel costs. Mohty: MaaT Pharma: Consultancy, Honoraria.",,Blood,2120,Supplement 1,132,,
2de61fc6-deb1-4330-95a8-e5d2a7afd74e,,article,2025-11-03T18:25:31Z,2025-11-03T18:25:36Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1016/j.cell.2023.05.007,,37295406,PMC10390075,,"s3.us-east-1.amazonaws.com 11/3/2025, 11:25:34 AM.pdf",2023,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/2de61fc6-deb1-4330-95a8-e5d2a7afd74e,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:2de61fc6-deb1-4330-95a8-e5d2a7afd74e,"Nguyen, Chi L.","den Brink, Marcel R.M. van","High-resolution analyses of associations between medications, microbiome, and mortality in cancer patients","Nguyen, Chi L.; Markey, Kate A.; Miltiadous, Oriana; Dai, Anqi; Waters, Nicholas; Sadeghi, Keimya; Fei, Teng; Shouval, Roni; Taylor, Bradford P.; Liao, Chen; Slingerland, John B.; Slingerland, Ann E.; Clurman, Annelie G.; Maloy, Molly A.; Bohannon, Lauren; Giardina, Paul A.; Brereton, Daniel G.; Armijo, Gabriel K.; Fontana, Emily; Gradissimo, Ana; Gyurkocza, Boglarka; Sung, Anthony D.; Chao, Nelson J.; Devlin, Sean M.; Taur, Ying; Giralt, Sergio A.; Perales, Miguel-Angel; Xavier, Joao B.; Pamer, Eric G.; Peled, Jonathan U.; Gomes, Antonio L.C.; den Brink, Marcel R.M. van",Cell,0092-8674,"Discerning the effect of pharmacological exposures on intestinal bacterial communities in cancer patients is challenging. Here, we deconvoluted the relationship between drug exposures and changes in microbial composition by developing and applying a new computational method, PARADIGM (parameters associated with dynamics of gut microbiota), to a large set of longitudinal fecal microbiome profiles with detailed medication-administration records from patients undergoing allogeneic hematopoietic cell transplantation. We observed that several non-antibiotic drugs, including laxatives, antiemetics, and opioids, are associated with increased Enterococcus relative abundance and decreased alpha diversity. Shotgun metagenomic sequencing further demonstrated subspecies competition, leading to increased dominant-strain genetic convergence during allo-HCT that is significantly associated with antibiotic exposures. We integrated drug-microbiome associations to predict clinical outcomes in two validation cohorts on the basis of drug exposures alone, suggesting that this approach can generate biologically and clinically relevant insights into how pharmacological exposures can perturb or preserve microbiota composition. The application of a computational method called PARADIGM to a large dataset of cancer patients’ longitudinal fecal specimens and detailed daily medication records reveals associations between drug exposures and the intestinal microbiota that recapitulate in vitro findings and are also predictive of clinical outcomes.",,Cell,2705-2718.e17,12,186,,
e1432ab6-fde1-4322-b00b-d024e3129376,,article,2025-08-24T22:33:11Z,2025-08-24T22:33:30Z,sophie.huebler@utah.edu (Sophie Huebler),2026-02-25T22:13:11Z,TRUE,,,FALSE,,10.1080/19490976.2021.1966262,,34455917,PMC8436969,,The emerging roles of the gut microbiome in allogeneic hematopoietic stem cell transplantation.pdf,2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/e1432ab6-fde1-4322-b00b-d024e3129376,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:e1432ab6-fde1-4322-b00b-d024e3129376,"Khuat, Lam T.","Murphy, William J.",The emerging roles of the gut microbiome in allogeneic hematopoietic stem cell transplantation,"Khuat, Lam T.; Dave, Maneesh; Murphy, William J.",Gut Microbes,1949-0976,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is used for the treatment of hematologic cancers and disorders. However, graft-versus-host disease (GVHD) in which the donor immune cells attack the genetically-disparate recipient is a significant cause of morbidity. Acute GVHD is an inflammatory condition and the gastrointestinal system is a major organ affected but is also tied to beneficial graft-versus-tumor (GVT) effects. There is increasing interest on the role of the microbiome on immune function as well as on cancer progression and immunotherapy outcomes. However, there are still significant unanswered questions on the role the microbiome plays in GVHD progression or how to exploit the microbiome in GVHD prevention or treatment. In this review, concepts of HSCT with the focus on GVHD pathogenesis as well as issues in preclinical models used to study GVHD will be discussed with an emphasis on the impact of the microbiome. Factors affecting the microbiome and GVHD outcome such as obesity are also examined. The bridging of preclinical models and clinical outcomes in relation to the role of the microbiome will also be discussed along with possibilities for therapeutic exploitation.",,Gut Microbes,1966262,1,13,,
94f24cf0-bd72-4df1-bedd-5bb379123734,,article,2025-08-10T01:27:57Z,2025-08-10T01:28:21Z,sophie.huebler@utah.edu (Sophie Huebler),,FALSE,,,FALSE,,10.1038/s41588-020-00763-1,,33462485,PMC8515199,,"login.ezproxy.lib.utah.edu 8/9/2025, 7:28:21 PM.pdf",2021,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/94f24cf0-bd72-4df1-bedd-5bb379123734,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:94f24cf0-bd72-4df1-bedd-5bb379123734,"Kurilshikov, Alexander","Zhernakova, Alexandra",Large-scale association analyses identify host factors influencing human gut microbiome composition,"Kurilshikov, Alexander; Medina-Gomez, Carolina; Bacigalupe, Rodrigo; Radjabzadeh, Djawad; Wang, Jun; Demirkan, Ayse; Le Roy, Caroline I.; Garay, Juan Antonio Raygoza; Finnicum, Casey T.; Liu, Xingrong; Zhernakova, Daria V.; Bonder, Marc Jan; Hansen, Tue H.; Frost, Fabian; Rühlemann, Malte C.; Turpin, Williams; Moon, Jee-Young; Kim, Han-Na; Lüll, Kreete; Barkan, Elad; Shah, Shiraz A.; Fornage, Myriam; Szopinska-Tokov, Joanna; Wallen, Zachary D.; Borisevich, Dmitrii; Agreus, Lars; Andreasson, Anna; Bang, Corinna; Bedrani, Larbi; Bell, Jordana T.; Bisgaard, Hans; Boehnke, Michael; Boomsma, Dorret I.; Burk, Robert D.; Claringbould, Annique; Croitoru, Kenneth; Davies, Gareth E.; van Duijn, Cornelia M.; Duijts, Liesbeth; Falony, Gwen; Fu, Jingyuan; Graaf, Adriaan van der; Hansen, Torben; Homuth, Georg; Hughes, David A.; Ijzerman, Richard G.; Jackson, Matthew A.; Jaddoe, Vincent W. V.; Joossens, Marie; Jørgensen, Torben; Keszthelyi, Daniel; Knight, Rob; Laakso, Markku; Laudes, Matthias; Launer, Lenore J.; Lieb, Wolfgang; Lusis, Aldons J.; Masclee, Ad A. M.; Moll, Henriette A.; Mujagic, Zlatan; Qibin, Qi; Rothschild, Daphna; Shin, Hocheol; Sørensen, Søren J.; Steves, Claire J.; Thorsen, Jonathan; Timpson, Nicholas J.; Tito, Raul Y.; Vieira-Silva, Sara; Völker, Uwe; Völzke, Henry; Võsa, Urmo; Wade, Kaitlin H.; Walter, Susanna; Watanabe, Kyoko; Weiss, Stefan; Weiss, Frank U.; Weissbrod, Omer; Westra, Harm-Jan; Willemsen, Gonneke; Payami, Haydeh; Jonkers, Daisy M. A. E.; Vasquez, Alejandro Arias; de Geus, Eco J. C.; Meyer, Katie A.; Stokholm, Jakob; Segal, Eran; Org, Elin; Wijmenga, Cisca; Kim, Hyung-Lae; Kaplan, Robert C.; Spector, Tim D.; Uitterlinden, Andre G.; Rivadeneira, Fernando; Franke, Andre; Lerch, Markus M.; Franke, Lude; Sanna, Serena; D’Amato, Mauro; Pedersen, Oluf; Paterson, Andrew D.; Kraaij, Robert; Raes, Jeroen; Zhernakova, Alexandra",Nature Genetics,1061-4036,"To study the effect of host genetics on gut microbiome composition, the MiBioGen consortium curated and analyzed genome-wide genotypes and 16S fecal microbiome data from 18,340 individuals (24 cohorts). Microbial composition showed high variability across cohorts: only 9 of 410 genera were detected in more than 95% of samples. A genome-wide association study of host genetic variation regarding microbial taxa identified 31 loci affecting the microbiome at a genome-wide significant (P < 5 × 10−8) threshold. One locus, the lactase (LCT) gene locus, reached study-wide significance (genome-wide association study signal: P = 1.28 × 10−20), and it showed an age-dependent association with Bifidobacterium abundance. Other associations were suggestive (1.95 × 10−10 < P < 5 × 10−8) but enriched for taxa showing high heritability and for genes expressed in the intestine and brain. A phenome-wide association study and Mendelian randomization identified enrichment of microbiome trait loci in the metabolic, nutrition and environment domains and suggested the microbiome might have causal effects in ulcerative colitis and rheumatoid arthritis. Analysis of human genotypes and 16S microbiome data of 18,473 individuals from 25 cohorts through a genome-wide association study, a phenome-wide association study and Mendelian randomization identifies host genetic and microbial trait associations.",,Nat. Genet.,156-165,2,53,Available,
f7503aa1-3e1f-4c02-87ab-fb390ba0c066,,article,2025-08-10T01:21:26Z,2025-08-10T01:21:48Z,sophie.huebler@utah.edu (Sophie Huebler),2025-11-25T20:30:57Z,TRUE,,,FALSE,,10.1038/s41467-025-56375-y,,39863610,PMC11762788,,"login.ezproxy.lib.utah.edu 8/9/2025, 7:21:27 PM.pdf",2025,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/f7503aa1-3e1f-4c02-87ab-fb390ba0c066,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:f7503aa1-3e1f-4c02-87ab-fb390ba0c066,"Reddi, Swetha","Rashidi, Armin",Fecal microbiota transplantation to prevent acute graft-versus-host disease: pre-planned interim analysis of donor effect,"Reddi, Swetha; Senyshyn, Liliia; Ebadi, Maryam; Podlesny, Daniel; Minot, Samuel S.; Gooley, Ted; Kabage, Amanda J.; Hill, Geoffrey R.; Lee, Stephanie J.; Khoruts, Alexander; Rashidi, Armin",Nature Communications,,"Gut microbiota disruptions after allogeneic hematopoietic cell transplantation (alloHCT) are associated with increased risk of acute graft-versus-host disease (aGVHD). We designed a randomized, double-blind placebo-controlled trial to test whether healthy-donor fecal microbiota transplantation (FMT) early after alloHCT reduces the incidence of severe aGVHD. Here, we report the results from the single-arm run-in phase which identified the best of 3 stool donors for the randomized phase. The primary and key secondary endpoints were microbiota engraftment and severe aGVHD, respectively. Three cohorts of patients (20 total) received FMT, each from a different donor. FMT was safe and effective in restoring microbiota diversity and commensal species. Microbiota engraftment, determined from shotgun sequencing data, correlated with larger microbiota compositional shifts toward donor and better clinical outcomes. Donor 3 yielded a median engraftment rate of 66%, higher than donors 1 (P = 0.02) and 2 (P = 0.03) in multivariable analysis. Three patients developed severe aGVHD; all 3 had received FMT from donor 1. Donor 3 was selected as the sole donor for the randomized phase. Our findings suggest a clinically relevant donor effect and demonstrate feasibility of evidence-based donor selection. FMT is a holistic microbiota restoration approach that can be performed as a precision therapeutic. ClinicalTrials.gov identifier NCT06026371",,Nat. Commun.,1034,1,16,Available,
b7746dbd-3158-4e96-afa0-93cec8a668ef,,article,2025-08-10T01:04:21Z,2025-10-27T19:58:18Z,sophie.huebler@utah.edu (Sophie Huebler),2025-10-27T19:54:38Z,TRUE,"Bioproject 812584
Accession: PRJNA812584",,FALSE,,10.1016/j.bbmt.2015.04.016,,25977230,PMC4516127,,1-s2.0-S1083879115002931-main.pdf,2015,https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/b7746dbd-3158-4e96-afa0-93cec8a668ef,https://www.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8:b7746dbd-3158-4e96-afa0-93cec8a668ef,"Jenq, Robert R.","den Brink, Marcel R.M. van",Intestinal Blautia Is Associated with Reduced Death from Graft-versus-Host Disease,"Jenq, Robert R.; Taur, Ying; Devlin, Sean M.; Ponce, Doris M.; Goldberg, Jenna D.; Ahr, Katya F.; Littmann, Eric R.; Ling, Lilan; Gobourne, Asia C.; Miller, Liza C.; Docampo, Melissa D.; Peled, Jonathan U.; Arpaia, Nicholas; Cross, Justin R.; Peets, Tatanisha K.; Lumish, Melissa A.; Shono, Yusuke; Dudakov, Jarrod A.; Poeck, Hendrik; Hanash, Alan M.; Barker, Juliet N.; Perales, Miguel-Angel; Giralt, Sergio A.; Pamer, Eric G.; den Brink, Marcel R.M. van",Biology of Blood and Marrow Transplantation,1083-8791," The relationship between intestinal microbiota composition and acute graft-versus-host disease (GVHD) after allogeneic blood/marrow transplantation (allo-BMT) is not well understood. Intestinal bacteria have long been thought to contribute to GVHD pathophysiology, but recent animal studies in nontransplant settings have found that anti-inflammatory effects are mediated by certain subpopulations of intestinal commensals. Hypothesizing that a more nuanced relationship may exist between the intestinal bacteria and GVHD, we evaluated the fecal bacterial composition of 64 patients 12 days after BMT. We found that increased bacterial diversity was associated with reduced GVHD-related mortality. Furthermore, harboring increased amounts of bacteria belonging to the genus Blautia was associated with reduced GVHD lethality in this cohort and was confirmed in another independent cohort of 51 patients from the same institution. Blautia abundance was also associated with improved overall survival. We evaluated the abundance of Blautia with respect to clinical factors and found that loss of Blautia was associated with treatment with antibiotics that inhibit anaerobic bacteria and receiving total parenteral nutrition for longer durations. We conclude that increased abundance of commensal bacteria belonging to the Blautia genus is associated with reduced lethal GVHD and improved overall survival.",,Biol. Blood Marrow Transplant.,1373-1383,8,21,"Available,Liao cited,SCFA",blautia_jenq2015
