Feature ID	Taxon
GB-GCA-905373835.1-CAJPUN010000008.1	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; Saccharimonadaceae; Saccharimonas; Saccharimonas aalborgensis
GB-GCA-015257555.1-JABZJY010000003.1	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; Nanosynbacteraceae; Nanosynbacter; 
MJ006-2-barcode74-umi84879bins-ubs-5	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
GB-GCA-009719285.1-WNCD01000184.1	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
RS-GCF-002885675.1-NZ-PJKZ01000003.1	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
MJ006-2-barcode58-umi110984bins-ubs-4	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
MJ006-2-barcode58-umi167768bins-ubs-3	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
MJ006-1-barcode35-umi150744bins-ubs-3	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
AJ575430	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales_B_877923; Weeksellaceae; Cloacibacterium; NA
MJ010-1-barcode30-umi163389bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Prevotella; Prevotella sp902801425
RS-GCF-013166535.1-NZ-JABKKK010000031.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Prevotella; Prevotella sp902776665
MJ006-2-barcode50-umi150083bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Prevotella; Prevotella bivia
