"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Original_Name"
"ASV4","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia biwaensis","RS-GCF-008572665.1-NZ-VVXZ01000155.1"
"ASV7","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila_D_776786","MJ006-1-barcode35-umi150744bins-ubs-3"
"ASV43","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-900217715.1-NZ-OBMS01000001.1"
"ASV44","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-000273275.1-NZ-JH724268.1--2"
"ASV64","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956","Bacteroides_H_857956 cellulosilyticus","RS-GCF-015554445.1-NZ-JADNIN010000006.1"
"ASV70","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-007556425.1-NZ-RWHY01000133.1"
"ASV73","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956","Bacteroides_H_857956 thetaiotaomicron","GB-GCA-000980475.1-LARM01000066.1"
"ASV76","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-000178275.1-NZ-ADMO01000058.1"
"ASV79","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-003602705.1-NZ-QTLK01000079.1"
"ASV81","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956","Bacteroides_H_857956 caccae","RS-GCF-019052575.1-NZ-JAHQVA010000078.1"
"ASV86","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA,"RS-GCF-001405735.1-NZ-CZBG01000049.1"
"ASV108","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola_A","Phocaeicola_A vulgatus","RS-GCF-019130915.1-NZ-JAHOLF010000125.1"
"ASV112","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola_A",NA,"GB-GCA-008669045.1-RQAJ01000001.1"
"ASV113","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola_A","Phocaeicola_A massiliensis","AY126616"
"ASV164","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066","Parabacteroides_B_862066 distasonis","RS-GCF-015667355.1-NZ-JADPDX010000086.1"
"ASV178","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066","Parabacteroides_B_862066 distasonis","MJ006-2-barcode54-umi268101bins-ubs-3"
"ASV184","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066","Parabacteroides_B_862066 distasonis","RS-GCF-015547935.1-NZ-JADMWC010000052.1"
"ASV190","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066",NA,"RS-GCF-004569355.1-NZ-SPPR01000066.1"
"ASV212","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter_865974","Odoribacter splanchnicus","RS-GCF-018784285.1-NZ-WQOB01000007.1"
"ASV233","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes_A_871400",NA,"RS-GCF-009663755.1-NZ-RDBS01000044.1"
"ASV238","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes_A_871400",NA,"GB-GCA-000980475.1-LARM01000062.1"
"ASV250","Bacteria","Campylobacterota_A","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter_B","Campylobacter_B gracilis","GB-GCA-905373295.1-CAJPSJ010000093.1"
"ASV267","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales_505101","Rhizobiaceae",NA,NA,"AM422371"
