"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV7","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"ASV44","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides_H_857956",NA
"ASV108","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola_A",NA
"ASV164","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066",NA
"ASV212","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter_865974",NA
"ASV233","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes_A_871400",NA
"ASV250","Bacteria","Campylobacterota_A","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter_B",NA
"ASV290","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_A_595421","Comamonas_F_589250",NA
"ASV406","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lacticaseibacillus",NA
"ASV408","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV425","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus",NA
"ASV468","Bacteria","Bacillota_I","Bacilli_A","Staphylococcales","Gemellaceae","Gemella",NA
"ASV514","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Coprobacillaceae","Thomasclavelia",NA
"ASV531","Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Clostridium_T",NA
"ASV573","Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921","Intestinibacter",NA
"ASV624","Bacteria","Bacillota_A_368345","Clostridia_258483","UBA1381","UBA1381","Hominilimicola",NA
"ASV652","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Butyricicoccaceae","Agathobaculum",NA
"ASV666","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Limivicinus",NA
