Feature ID	Taxon
GB-GCA-015257555.1-JABZJY010000003.1	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; Nanosynbacteraceae; Nanosynbacter; 
RS-GCF-008572665.1-NZ-VVXZ01000155.1	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia biwaensis
GB-GCA-009719285.1-WNCD01000184.1	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
MJ006-1-barcode35-umi150744bins-ubs-3	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
RS-GCF-013166535.1-NZ-JABKKK010000031.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Prevotella; Prevotella sp902776665
MJ006-1-barcode45-umi150897bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 uniformis
RS-GCF-900217715.1-NZ-OBMS01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-000273275.1-NZ-JH724268.1--2	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode74-umi167704bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode62-umi94507bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
RS-GCF-015554445.1-NZ-JADNIN010000006.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 cellulosilyticus
GB-GCA-003762605.1-RIBA01000042.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 acidifaciens
RS-GCF-007556425.1-NZ-RWHY01000133.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
GB-GCA-000980475.1-LARM01000066.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 thetaiotaomicron
RS-GCF-000178275.1-NZ-ADMO01000058.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-003602705.1-NZ-QTLK01000079.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-019052575.1-NZ-JAHQVA010000078.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 caccae
RS-GCF-015556825.1-NZ-JADNNE010000085.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-001405735.1-NZ-CZBG01000049.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-018785965.1-NZ-WTXO01000164.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode40-umi54882bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode69-umi180908bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 nordii
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-019132155.1-NZ-JAHONJ010000125.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
GB-GCA-008669045.1-RQAJ01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
AY126616	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
RS-GCF-003458915.1-NZ-QRTR01000015.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
RS-GCF-016902315.1-NZ-JACJLS010000083.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
GB-GCA-004801755.1-SSTL01000077.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Lepagella; Lepagella muris_A
GB-GCA-011960395.1-BLMH01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Lepagella; Lepagella muris_A
GB-GCA-009911555.1-QWKE01000141.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Duncaniella; Duncaniella muris
MG970331	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Paramuribaculum; Paramuribaculum intestinale
RS-GCF-015667355.1-NZ-JADPDX010000086.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
GB-GCA-000980385.1-LARF01000116.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
MJ006-2-barcode54-umi268101bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
RS-GCF-015547935.1-NZ-JADMWC010000052.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
RS-GCF-004569355.1-NZ-SPPR01000066.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; NA
RS-GCF-015548455.1-NZ-JADMXA010000042.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 johnsonii
AB238928	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 merdae
RS-GCF-018784285.1-NZ-WQOB01000007.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; Odoribacter_865974; Odoribacter splanchnicus
GB-GCA-003471845.1-QRKF01000046.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; Butyricimonas; NA
GB-GCA-000980245.1-LARE01000167.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871404; Alistipes_A_871404 ihumii
AB600999	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871404; Alistipes_A_871404 indistinctus
LC468801	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871400; Alistipes_A_871400 dispar
RS-GCF-008422885.1-NZ-VVKB01000025.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871400; Alistipes_A_871400 finegoldii
RS-GCF-009663755.1-NZ-RDBS01000044.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871400; NA
GB-GCA-000980475.1-LARM01000062.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871400; NA
AY387670	Bacteria; Deferribacterota; Deferribacteres; Deferribacterales; Mucispirillaceae; Mucispirillum; Mucispirillum schaedleri
GB-GCA-910577155.1-CAJTMS010000039.1	Bacteria; Desulfobacterota_G_459543; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Mailhella; Mailhella massiliensis
GB-GCA-905373295.1-CAJPSJ010000093.1	Bacteria; Campylobacterota_A; Campylobacteria; Campylobacterales; Campylobacteraceae; Campylobacter_B; Campylobacter_B gracilis
AM422371	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhizobiales_505101; Rhizobiaceae; NA; NA
GB-GCA-002905915.1-MLEP01000147.1	Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae_A_595421; Comamonas_F_589250; NA
RS-GCF-001810545.1-NZ-KV801801.1	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales_737866; Pasteurellaceae; NA; NA
AJ867049	Bacteria; Desulfobacterota_G_459543; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Bilophila; Bilophila wadsworthia
GB-GCA-900539315.1-UQBL01000026.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; NA; NA; NA
RS-GCF-001703875.1-NZ-MBLT01000492.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Lactobacillaceae; Limosilactobacillus; NA
RS-GCF-009679795.1-NZ-WKPZ01000065.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; NA
GB-GCA-000155935.2-GL531761.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Lactobacillaceae; Lactobacillus; NA
RS-GCF-001455265.1-NZ-LKPE01000028.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; NA; NA
RS-GCF-002157665.1-NZ-BDOS01000001.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus mutans
GB-GCA-900767615.1-CAAFZU010000193.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
MJ006-1-barcode39-umi126066bins-ubs-3	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-018619375.1-NZ-JAHHFT010000043.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-001036655.1-NZ-LEJW01000088.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
MJ006-1-barcode47-umi70306bins-ubs-6	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-003943615.1-NZ-RJPZ01000011.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-003942595.1-NZ-RJNL01000019.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-014435245.1-NZ-JAAPAW010000035.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-003942365.1-NZ-RJMR01000019.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-902160305.1-NZ-CABGND010000002.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Enterococcaceae; NA; NA
RS-GCF-014853615.1-NZ-JACZAP010000041.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Enterococcaceae; NA; NA
RS-GCF-000204355.1-NZ-GL883585.1	Bacteria; Bacillota_I; Bacilli_A; Staphylococcales; Gemellaceae; Gemella; NA
RS-GCF-001052115.1-NZ-JWDE01000118.1	Bacteria; Bacillota_I; Bacilli_A; Staphylococcales; Gemellaceae; Gemella; NA
KJ852652	Bacteria; Bacillota_I; Bacilli_A; Bacillales_H_361473; NA; NA; NA
MJ006-2-barcode65-umi152961bins-ubs-3	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Erysipelotrichaceae; Bulleidia; NA
AB649277	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Erysipelotrichaceae; Amedibacillus; Amedibacillus dolichus
GB-GCA-900762515.1-CAAFHA010000156.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; Faecalibacillus; NA
RS-GCF-015560315.1-NZ-JADMRP010000002.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; Thomasclavelia; Thomasclavelia ramosa
RS-GCF-019052595.1-NZ-JAHQUW010000259.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; Thomasclavelia; Thomasclavelia ramosa
RS-GCF-002160725.1-NZ-NFLD01000076.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; ; 
RS-GCF-000186525.1-NZ-GL636591.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; Coprobacillus; NA
MT500785	Bacteria; Bacillota_I; Bacilli_A; MOL361; Turicibacteraceae; Turicibacter; NA
GB-GCA-016742415.1-JAEPEL010000544.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Clostridiales; Clostridiaceae_222000; Clostridium_T; NA
RS-GCF-001949725.1-NZ-MASC01000067.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Clostridiales; Clostridiaceae_222000; NA; NA
