Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR28352819,AMPLICON,597,120022553,PRJNA1088414,SAMN40468649,Metagenome or environmental,84444097,FISABIO,2016,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958305,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,59_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:19:00Z,1,59_post_16S,patient_59_post_transplant,SRP495415
SRR28352820,AMPLICON,598,93222578,PRJNA1088414,SAMN40468648,Metagenome or environmental,56608450,FISABIO,2016,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958304,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,58_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,58_pre_16S,patient_58_pre_transplant,SRP495415
SRR28352821,AMPLICON,597,95842037,PRJNA1088414,SAMN40468567,Metagenome or environmental,61337585,FISABIO,2016,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958303,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,104_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,104_pre_16S,patient_104_pre_transplant,SRP495415
SRR28352822,AMPLICON,598,94265231,PRJNA1088414,SAMN40468647,Metagenome or environmental,57057033,FISABIO,2016,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958302,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,58_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,58_post_16S,patient_58_post_transplant,SRP495415
SRR28352823,AMPLICON,598,129416464,PRJNA1088414,SAMN40468646,Metagenome or environmental,91056462,FISABIO,2016,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958301,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,57_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,57_pre_16S,patient_57_pre_transplant,SRP495415
SRR28352824,AMPLICON,597,88406583,PRJNA1088414,SAMN40468645,Metagenome or environmental,54400309,FISABIO,2016,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958300,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,56_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,56_pre_16S,patient_56_pre_transplant,SRP495415
SRR28352825,AMPLICON,598,118372546,PRJNA1088414,SAMN40468644,Metagenome or environmental,83345330,FISABIO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958299,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,56_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,56_post_16S,patient_56_post_transplant,SRP495415
SRR28352826,AMPLICON,598,78365339,PRJNA1088414,SAMN40468643,Metagenome or environmental,49118909,FISABIO,2016,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23958298,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,55_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,55_pre_16S,patient_55_pre_transplant,SRP495415
SRR28352827,AMPLICON,598,104438497,PRJNA1088414,SAMN40468642,Metagenome or environmental,72566960,FISABIO,2016,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23958297,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,55_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,55_post_16S,patient_55_post_transplant,SRP495415
SRR28352828,AMPLICON,597,77421828,PRJNA1088414,SAMN40468641,Metagenome or environmental,48376679,FISABIO,2016,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958296,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,54_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,54_pre_16S,patient_54_pre_transplant,SRP495415
SRR28352829,AMPLICON,597,119609097,PRJNA1088414,SAMN40468640,Metagenome or environmental,83472955,FISABIO,2016,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23958295,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,53_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,53_pre_16S,patient_53_pre_transplant,SRP495415
