sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR28352819	90720	45454	50.1	45087	44217	48.74	43563	48.02
SRR28352820	154256	111988	72.6	111681	110845	71.86	102918	66.72
SRR28352821	158851	110025	69.26	109721	108794	68.49	104297	65.66
SRR28352822	155864	115033	73.8	114698	113795	73.01	112729	72.33
SRR28352823	96667	46327	47.92	44584	42142	43.6	41054	42.47
SRR28352824	146531	102621	70.03	101926	100761	68.76	95767	65.36
SRR28352825	89913	44715	49.73	44482	43929	48.86	41211	45.83
SRR28352826	129595	87817	67.76	87349	86259	66.56	80666	62.24
SRR28352827	78785	38644	49.05	38471	38125	48.39	36485	46.31
SRR28352828	128219	88870	69.31	87102	83709	65.29	78650	61.34
SRR28352829	89804	45813	51.01	45573	44465	49.51	39608	44.1
SRR28352830	63768	27103	42.5	27024	26791	42.01	26592	41.7
SRR28352831	111575	63096	56.55	62840	62124	55.68	60053	53.82
SRR28352832	180666	114714	63.5	114239	112154	62.08	107409	59.45
SRR28352833	155259	113191	72.9	113010	112374	72.38	106825	68.8
SRR28352834	154204	91144	59.11	89688	87402	56.68	82611	53.57
SRR28352835	78235	38974	49.82	38638	37289	47.66	35476	45.35
SRR28352836	85842	59143	68.9	58845	57503	66.99	49318	57.45
SRR28352837	321252	220423	68.61	220094	215340	67.03	197420	61.45
SRR28352838	184074	111848	60.76	110104	107280	58.28	103186	56.06
SRR28352839	49195	25423	51.68	25335	24927	50.67	22012	44.74
SRR28352840	52493	23601	44.96	23286	22786	43.41	22126	42.15
SRR28352841	127202	89874	70.65	89263	87757	68.99	84065	66.09
SRR28352842	33273	12861	38.65	12834	12824	38.54	12772	38.39
SRR28352843	127106	83652	65.81	83059	81774	64.34	79144	62.27
SRR28352844	42457	16499	38.86	16466	16431	38.7	16339	38.48
SRR28352845	171151	118307	69.12	118085	117581	68.7	116769	68.23
SRR28352846	42845	16425	38.34	16291	16035	37.43	15869	37.04
SRR28352847	152727	107365	70.3	107008	105588	69.14	100351	65.71
SRR28352848	46572	14650	31.46	14495	14387	30.89	14270	30.64
SRR28352849	131633	85473	64.93	84743	83117	63.14	79759	60.59
SRR28352850	81449	41510	50.96	40704	39030	47.92	38177	46.87
SRR28352851	99100	52133	52.61	51454	50207	50.66	46818	47.24
SRR28352852	72992	36342	49.79	36100	35529	48.68	34454	47.2
SRR28352853	65518	43437	66.3	42566	41280	63.01	40163	61.3
SRR28352854	99139	40064	40.41	39912	39707	40.05	39556	39.9
SRR28352855	106411	80526	75.67	80180	79480	74.69	77208	72.56
SRR28352856	64059	28457	44.42	28385	28198	44.02	28181	43.99
SRR28352857	228732	75678	33.09	74529	70215	30.7	61085	26.71
SRR28352858	84679	39727	46.91	39149	38124	45.02	36719	43.36
SRR28352859	120250	82477	68.59	81994	79390	66.02	73122	60.81
SRR28352860	56195	28632	50.95	28402	27942	49.72	26828	47.74
SRR28352861	131175	94301	71.89	93488	91408	69.68	80062	61.03
SRR28352862	48370	35543	73.48	35281	34818	71.98	32112	66.39
SRR28352863	61029	41630	68.21	41262	40660	66.62	40136	65.77
SRR28352864	87489	63983	73.13	63808	63349	72.41	58089	66.4
SRR28352865	182371	59541	32.65	58857	56998	31.25	54531	29.9
SRR28352866	81975	59967	73.15	59291	58184	70.98	56582	69.02
SRR28352867	155355	21780	14.02	21548	20150	12.97	19759	12.72
SRR28352868	116225	7888	6.79	7784	7225	6.22	6675	5.74
SRR28352869	86154	54689	63.48	54400	53621	62.24	50931	59.12
SRR28352870	91504	70255	76.78	69420	67519	73.79	63127	68.99
SRR28352871	83075	65044	78.3	64751	63827	76.83	58832	70.82
SRR28352872	165086	107677	65.22	107251	105355	63.82	103087	62.44
SRR28352873	84487	64472	76.31	64127	63302	74.93	59082	69.93
SRR28352874	190922	137264	71.9	136625	133295	69.82	119671	62.68
SRR28352875	193631	92227	47.63	90414	85716	44.27	75469	38.98
SRR28352876	224251	121905	54.36	120437	116183	51.81	107165	47.79
SRR28352877	128703	89913	69.86	89623	88767	68.97	85758	66.63
SRR28352878	128713	81986	63.7	81632	80874	62.83	78701	61.14
SRR28352879	66761	44980	67.37	44851	44660	66.9	43359	64.95
SRR28352880	160077	101946	63.69	101578	100161	62.57	93377	58.33
SRR28352881	156933	110145	70.19	109960	109029	69.47	105531	67.25
SRR28352882	128669	78463	60.98	77192	75079	58.35	73376	57.03
SRR28352883	132052	83292	63.08	83110	82711	62.64	82532	62.5
SRR28352884	83209	53342	64.11	52413	51155	61.48	49673	59.7
SRR28352885	99636	62693	62.92	62313	61861	62.09	61517	61.74
SRR28352886	109600	66027	60.24	65562	64540	58.89	63562	57.99
SRR28352887	127228	78818	61.95	78426	77637	61.02	77220	60.69
SRR28352888	156410	93434	59.74	92899	91415	58.45	90527	57.88
SRR28352889	156534	96955	61.94	96144	94818	60.57	92693	59.22
SRR28352890	228070	110822	48.59	108687	104170	45.67	94943	41.63
SRR28352891	65182	32415	49.73	32166	31330	48.07	28583	43.85
SRR28352892	117872	85080	72.18	84902	83169	70.56	80681	68.45
SRR28352893	106090	42644	40.2	41893	40883	38.54	39650	37.37
SRR28352894	170994	103596	60.58	102817	100828	58.97	97119	56.8
SRR28352895	27520	15232	55.35	15170	14835	53.91	14509	52.72
SRR28352896	242104	32433	13.4	32262	30424	12.57	27885	11.52
SRR28352897	88860	42284	47.58	41653	40165	45.2	39169	44.08
SRR28352898	68815	36145	52.52	35917	35335	51.35	33592	48.81
