sampleid,RS-GCF-900217715.1-NZ-OBMS01000001.1,G000779535,MJ006-2-barcode69-umi34671bins-ubs-9,RS-GCF-004099995.1-NZ-SCIF01000041.1,RS-GCF-009679795.1-NZ-WKPZ01000065.1,GB-GCA-000155935.2-GL531761.1,RS-GCF-001510975.1-NZ-CZPS01000041.1,RS-GCF-003591195.1-NZ-QYRQ01000004.1,RS-GCF-001455265.1-NZ-LKPE01000028.1,GB-GCA-900767615.1-CAAFZU010000193.1,RS-GCF-900104225.1-NZ-FNJK01000021.1,RS-GCF-018619375.1-NZ-JAHHFT010000043.1,MJ006-1-barcode47-umi70306bins-ubs-6,RS-GCF-902160305.1-NZ-CABGND010000002.1,RS-GCF-014853615.1-NZ-JACZAP010000041.1,RS-GCF-001052115.1-NZ-JWDE01000118.1,GB-GCA-016742415.1-JAEPEL010000544.1,RS-GCF-002301595.1-NZ-MOQF01000146.1,RS-GCF-013293385.1-NZ-JAAKAA010000059.1,RS-GCF-000808015.1-NZ-JWHR01000141.1,GB-GCA-018376935.1-JAHAAJ010000118.1,MJ006-1-barcode39-umi72580bins-ubs-5,MJ006-2-barcode58-umi242477bins-ubs-3,GB-GCA-905205225.1-CAJLCQ010000084.1,G902387315,LC371917,GB-GCA-900756345.1-CAAEJT010000082.1,RS-GCF-000469425.1-NZ-KI271465.1,LC522510,G900545585,GB-GCA-018052775.1-JAGPMS010000005.1,RS-GCF-900291485.1-NZ-OLKO01000008.1,AJ305238,MJ006-2-barcode57-umi34456bins-ubs-9,MJ006-2-barcode52-umi34422bins-ubs-9,MJ006-1-barcode39-umi142106bins-ubs-3,MJ006-1-barcode28-umi157746bins-ubs-3,RS-GCF-018784445.1-NZ-WQOH01000081.1,MJ006-1-barcode26-umi145558bins-ubs-3,RS-GCF-003460985.1-NZ-QTWF01000009.1,RS-GCF-016901815.1-NZ-JACSNR010000025.1,AY323228,MJ006-2-barcode65-umi128273bins-ubs-4,GB-GCA-018223415.1-JAGTTQ010000001.1--3,GB-GCA-900066735.1-FMFX01000027.1,MJ006-1-barcode41-umi228693bins-ubs-3,RS-GCF-003464105.1-NZ-QSDS01000060.1,RS-GCF-000210015.1-NC-021022.1,RS-GCF-003480145.1-NZ-QUIO01000097.1,G902167945,MJ006-1-barcode31-umi69421bins-ubs-7,G000156675,RS-GCF-003481175.1-NZ-QUKF01000070.1,G003481995,GB-GCA-000509125.1-BAII02000026.1,RS-GCF-003474085.1-NZ-QRNS01000091.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,RS-GCF-013304755.1-NZ-JAAITK010000014.1,GB-GCA-000509105.1-BAIF02000133.1,MJ006-1-barcode33-umi150609bins-ubs-3,RS-GCF-003603645.1-NZ-QVHD01000007.1,MJ005-barcode41-umi82693bins-ubs-3,RS-GCF-009759525.1-NZ-WGGT01000066.1,MJ020-1-barcode44-umi10522bins-ubs-36,MJ006-1-barcode39-umi116853bins-ubs-4,G000332875,GB-GCA-910574775.1-CAJTBX010000007.1,MJ006-1-barcode49-umi104059bins-ubs-5,RS-GCF-002847925.1-NZ-PKHW01000010.1,RS-GCF-002959815.1-NZ-PPCZ01000008.1,GB-GCA-900542515.1-UQOA01000002.1,RS-GCF-013408445.1-NZ-JACBZL010000001.1--4,RS-GCF-001812895.1-NZ-KV810708.1,RS-GCF-001814995.1-NZ-KV818677.1,AJ540309,AB818950,GB-GCA-000468795.1-AWPJ01000352.1,CP001726,AB566419
SRR10572405,0.1537431,0.0026046997,0.0005187464,0.02054166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015515515,0.0043157632,0.0,0.055445775,0.0,0.018759254,0.0105341,0.0,0.0,0.0,0.0015502482,0.004992876,0.0032705187,0.08239903,0.0,0.17940918,0.047388267,0.0029289683,0.0060388846,0.032199945,0.0,0.0561047,0.03330158,0.030385794,0.00086500833,0.002073747,0.0,0.0010358634,0.0,0.0,0.0,0.020204352,0.012023718,0.012275743,0.0053123627,0.0,0.0,0.002583449,0.0024090721,0.0125762895,0.0,0.011512444,0.0,0.00051904435,0.023801174,0.0,0.0,0.0,0.0,0.00034451293,0.019672407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003461094,0.0,0.11021907,0.009752771,0.0044882637
SRR10572412,0.0,0.0,0.0,0.0,0.0,0.0020204724,0.0,0.0,0.0006341655,0.007527663,0.0,0.0,0.0,0.0,0.0,0.0006293875,0.0,0.0,0.006042519,0.0,0.0238047,0.0,0.0,0.008556035,0.0,0.0,0.005866566,0.002932677,0.01657448,0.0,0.019716311,0.0,0.0,0.0,0.015215748,0.0070154956,0.1227932,0.33885297,0.042049304,0.0,0.0,0.0,0.0,0.0027180815,0.0,0.0,0.0,0.0,0.05021157,0.049216554,0.0,0.0,0.0,0.0,0.0,0.0,0.0018819515,0.0,0.0027371573,0.052343655,0.0,0.0,0.0,0.0,0.0,0.005880088,0.0008428457,0.00309475,0.0,0.0,0.021934833,0.0,0.0,0.0,0.0,0.0,0.17474099,0.014165803,0.0
SRR10572416,0.0,0.61675334,0.0,0.0,0.0,0.0,0.0010718529,0.0,0.0,0.0,0.0,0.0,0.0,0.085582525,0.0,0.0,0.0,0.0,0.0,0.0,0.27800658,0.0,0.0032175956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015368163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR10572423,0.0,0.31564027,0.0007345149,0.0,0.0,0.0,0.0,0.0,0.0,0.11586319,0.0,0.0043703183,0.0,0.06564136,0.0,0.0019528066,0.0,0.0,0.0,0.0,0.014983703,0.0,0.0,0.0,0.0,0.0,0.0026815815,0.0012186489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029502537,0.0,0.0,0.00048961706,0.0,0.011677039,0.018069735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028120989,0.0,0.015124007,0.0,0.0,0.0,0.0,0.0028886648,0.0,0.0075681442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002195172,0.0,0.0,0.0,0.03762882,0.0014702127,0.0,0.2721113,0.07661967,0.0
SRR10572429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002671491,0.0,0.0,0.0,0.0,0.0,0.016932713,0.0,0.0009941426,0.0,0.0,0.027112821,0.013656325,0.001869028,0.0,0.0018677557,0.005541853,0.06721762,0.0,0.08309433,0.013086419,0.0,0.009292323,0.024179822,0.2632402,0.030972417,0.0018840377,0.0,0.0034823858,0.0,0.0,0.0,0.0,0.0,0.003421372,0.0053251237,0.044135775,0.061361644,0.0,0.0,0.07408506,0.0021338835,0.0,0.018482959,0.028233038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012816687,0.039856385,0.0,0.0,0.0,0.0,0.069982044,0.0,0.0,0.0,0.0,0.0010846287,0.06267881,0.0060958643,0.0032110366
SRR10572433,0.0,0.4924205,0.0034935665,0.0,0.00964783,0.0,0.0,0.0,0.0,0.04131817,0.0,0.0,0.06367102,0.028382668,0.03089918,0.019405527,0.0,0.0,0.0033439423,0.0,0.0,0.0,0.0029725982,0.0,0.0,0.0,0.0024846199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024468843,0.0006216253,0.0,0.016036874,0.0,0.0,0.0,0.0,0.0014876623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013981003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20552723,0.0,0.0,0.0,0.0,0.0,0.0,0.02790638,0.008452138,0.0,0.0034786512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR10572436,0.0,0.20034301,0.0,0.0,0.002917706,0.0023298701,0.0,0.0,0.0,0.02547749,0.0,0.026687881,0.0,0.0024642232,0.012556027,0.0,0.23230052,0.0,0.00527865,0.0,0.0040909005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002171881,0.0,0.047429077,0.0,0.0,0.0,0.0006555077,0.0,0.017035013,0.0,0.001993583,0.0,0.0,0.0,0.0,0.0,0.0,0.0024829938,0.06822881,0.029582424,0.031756118,0.0,0.0,0.0,0.061590023,0.001317141,0.0048351684,0.0,0.0,0.010382142,0.0,0.0036870458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088058965,0.0,0.0037937642,0.18609323,0.011639211,0.0
SRR10572446,0.0,0.0055900225,0.0,0.0,0.0051074615,0.15999249,0.0,0.026032193,0.0,0.36296272,0.004392011,0.01878821,0.019529203,0.0,0.0,0.0011301243,0.0,0.0,0.022629814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009674054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011260126,0.0,0.0,0.0,0.0,0.0003024227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016267104,0.0,0.0,0.0,0.0,0.002585694,0.0,0.0020639966,0.0,0.0030650573,0.0017683532,0.0,0.007752028,0.0,0.0,0.0,0.34905252,0.0035355096,0.0
SRR10572452,0.0,0.32868943,0.0,0.0,0.0014065924,0.0,0.0,0.0,0.0,0.54373,0.0,0.011516052,0.0,0.0,0.050389532,0.0,0.0,0.0006912596,0.0121742105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231316,0.009089789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR10572458,0.0,0.004344314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047163114,0.0,0.014185357,0.0,0.12980498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011024472,0.001362955,0.0,0.0,0.0,0.0,0.0,0.0,0.18053554,0.0,0.46211675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017744487,0.0,0.0,0.0,0.04739758,0.0,0.0059766322,0.01567927,0.04035143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022984182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020014808,0.0,0.0
