sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR22325885	75522	52884	70.02	52832	1571	2.08	1571	2.08
SRR22325886	50171	33844	67.46	33617	13473	26.85	13293	26.5
SRR22325887	54026	36471	67.51	36255	4756	8.8	4704	8.71
SRR22325888	62167	39189	63.04	39036	4250	6.84	4238	6.82
SRR22325889	45919	32041	69.78	31853	4862	10.59	4330	9.43
SRR22325890	50797	34970	68.84	34924	405	0.8	405	0.8
SRR22325891	14611	9292	63.6	9281	5	0.03	5	0.03
SRR22325892	46656	31823	68.21	31690	11013	23.6	10774	23.09
SRR22325893	45908	30325	66.06	30162	10748	23.41	10275	22.38
SRR22325894	66467	43732	65.8	43644	39528	59.47	39429	59.32
SRR22325895	52685	37516	71.21	37416	4681	8.88	4652	8.83
SRR22325896	25413	16498	64.92	16480	65	0.26	65	0.26
SRR22325897	58750	40324	68.64	40270	33781	57.5	32030	54.52
SRR22325898	49976	36708	73.45	36527	6268	12.54	6229	12.46
SRR22325899	62783	41841	66.64	41738	7483	11.92	7459	11.88
SRR22325900	64349	43971	68.33	43768	8717	13.55	8619	13.39
SRR22325901	39208	26467	67.5	26436	1294	3.3	1294	3.3
SRR22325902	28428	18874	66.39	18819	2526	8.89	2525	8.88
SRR22325903	37502	25729	68.61	25538	6699	17.86	6522	17.39
SRR22325904	46442	30621	65.93	30500	14491	31.2	14219	30.62
SRR22325905	45067	31369	69.61	31096	5919	13.13	5851	12.98
SRR22325906	61494	44040	71.62	43864	11640	18.93	10796	17.56
SRR22325907	58748	41480	70.61	41388	9879	16.82	9870	16.8
SRR22325908	67404	42613	63.22	42263	13833	20.52	13515	20.05
SRR22325909	49443	32888	66.52	32769	18572	37.56	17160	34.71
SRR22325910	57874	38532	66.58	38398	19823	34.25	18983	32.8
SRR22325911	40140	27277	67.95	27152	14816	36.91	14802	36.88
SRR22325912	61177	41625	68.04	41417	17982	29.39	17601	28.77
SRR22325913	39942	28232	70.68	28081	8895	22.27	8857	22.17
SRR22325914	56006	37330	66.65	37137	21258	37.96	20971	37.44
SRR22325915	54590	38904	71.27	38797	4665	8.55	4663	8.54
SRR22325916	52166	37388	71.67	37096	3304	6.33	3134	6.01
SRR22325917	45373	32734	72.14	32658	5339	11.77	5220	11.5
SRR22325918	58194	40943	70.36	40797	4294	7.38	4275	7.35
SRR22325919	58882	41148	69.88	41036	4425	7.52	4423	7.51
SRR22325920	64856	40497	62.44	40412	11992	18.49	11967	18.45
SRR22325921	38082	24343	63.92	24263	11268	29.59	11268	29.59
SRR22325922	55626	37958	68.24	37814	9820	17.65	9689	17.42
SRR22325923	52459	37736	71.93	37625	7570	14.43	7401	14.11
SRR22325924	47126	32960	69.94	32878	4647	9.86	4527	9.61
SRR22325925	53557	36803	68.72	36697	3087	5.76	3078	5.75
SRR22325926	55142	39181	71.05	39037	5444	9.87	5444	9.87
SRR22325927	54535	38427	70.46	38280	12217	22.4	11156	20.46
SRR22325928	55837	39356	70.48	39177	7178	12.86	6744	12.08
SRR22325929	57698	40002	69.33	39813	13071	22.65	12846	22.26
SRR22325930	68657	44694	65.1	44483	14143	20.6	13512	19.68
SRR22325931	48033	33773	70.31	33646	13933	29.01	13163	27.4
SRR22325932	56690	39541	69.75	39503	749	1.32	749	1.32
SRR22325933	63592	43602	68.57	43517	7553	11.88	7553	11.88
SRR22325934	49952	32109	64.28	31983	13534	27.09	13521	27.07
SRR22325935	47576	32143	67.56	32003	6128	12.88	5826	12.25
SRR22325936	44567	30162	67.68	30033	4353	9.77	4351	9.76
SRR22325937	52170	34408	65.95	34295	9727	18.64	9652	18.5
SRR22325938	39907	27570	69.09	27490	6985	17.5	6937	17.38
SRR22325939	53240	37610	70.64	37589	0	0	0	0
SRR22325940	38775	26595	68.59	26514	8507	21.94	8453	21.8
SRR22325941	62031	40935	65.99	40778	4099	6.61	4099	6.61
