sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR28984048	35144	32940	93.73	32912	32747	93.18	32679	92.99
SRR28984052	101468	82243	81.05	82102	81831	80.65	81430	80.25
SRR28984053	101203	84146	83.15	83894	82957	81.97	69825	68.99
SRR28984054	159151	123043	77.31	120076	115291	72.44	100923	63.41
SRR28984055	129335	106902	82.66	105354	100614	77.79	72102	55.75
SRR28984056	119297	95326	79.91	95218	95002	79.63	94420	79.15
SRR28984057	140857	117524	83.43	117291	116462	82.68	114798	81.5
SRR28984058	103870	87440	84.18	87396	87118	83.87	86666	83.44
SRR28984059	133359	111754	83.8	111623	109362	82.01	94841	71.12
SRR28984060	109060	89167	81.76	88997	88638	81.27	86935	79.71
SRR28984061	95194	74069	77.81	72967	70767	74.34	42853	45.02
SRR28984062	64414	55685	86.45	51652	46514	72.21	30926	48.01
SRR28984063	133347	107478	80.6	106903	105145	78.85	94500	70.87
SRR28984064	101350	82142	81.05	81798	80681	79.61	76375	75.36
SRR28984065	117147	97248	83.01	97155	96633	82.49	94198	80.41
SRR28984066	102238	84161	82.32	83808	82820	81.01	78283	76.57
SRR28984067	26964	23987	88.96	23925	23882	88.57	23839	88.41
SRR28984068	93165	75934	81.5	74463	71823	77.09	61502	66.01
SRR28984069	64688	57837	89.41	57015	55686	86.08	50262	77.7
SRR28984070	111490	90559	81.23	89372	87744	78.7	77724	69.71
SRR28984071	112091	91581	81.7	90384	88207	78.69	78528	70.06
SRR28984072	122333	98147	80.23	97098	95127	77.76	83943	68.62
SRR28984073	121702	96263	79.1	95439	93812	77.08	85955	70.63
SRR28984074	114999	93028	80.89	92791	92046	80.04	83693	72.78
SRR28984075	109636	86103	78.54	84974	82505	75.25	68068	62.09
SRR28984076	85739	68879	80.34	67726	65414	76.29	53619	62.54
SRR28984077	117660	94365	80.2	93253	91211	77.52	71795	61.02
SRR28984078	43330	39644	91.49	39570	39487	91.13	39472	91.1
SRR28984079	132209	105690	79.94	104749	103014	77.92	83690	63.3
SRR28984080	128279	103479	80.67	102815	101471	79.1	84281	65.7
SRR28984081	97257	78479	80.69	77895	77171	79.35	59048	60.71
SRR28984082	82294	65928	80.11	65276	64258	78.08	44052	53.53
SRR28984083	105777	86347	81.63	85820	84632	80.01	74874	70.78
SRR28984084	91340	74227	81.26	73954	73600	80.58	63633	69.67
SRR28984085	82139	67837	82.59	67690	67450	82.12	59345	72.25
SRR28984086	100119	83371	83.27	83268	83082	82.98	78131	78.04
SRR28984087	124961	99930	79.97	99819	99756	79.83	99593	79.7
SRR28984088	111477	86355	77.46	85911	84631	75.92	77262	69.31
SRR28984089	23955	21703	90.6	21555	21379	89.25	21204	88.52
SRR28984090	101713	81184	79.82	80460	79140	77.81	69935	68.76
SRR28984091	53526	48063	89.79	46246	41734	77.97	25037	46.78
SRR28984092	123019	101827	82.77	101677	101049	82.14	100657	81.82
SRR28984093	61369	55401	90.28	54471	52847	86.11	49125	80.05
SRR28984094	31599	28713	90.87	28549	28313	89.6	26453	83.71
SRR28984095	163074	130446	79.99	129546	125969	77.25	83611	51.27
SRR28984096	83255	68061	81.75	67836	67136	80.64	55555	66.73
SRR28984097	88733	72122	81.28	71868	70965	79.98	65951	74.33
SRR28984098	39909	37059	92.86	37030	36850	92.34	36828	92.28
SRR28984099	65874	59988	91.06	59768	58659	89.05	47230	71.7
SRR28984100	21740	19402	89.25	19311	19000	87.4	18251	83.95
SRR28984101	40133	36939	92.04	36915	36777	91.64	36532	91.03
SRR28984102	29153	26323	90.29	26130	25789	88.46	25286	86.74
SRR28984103	92552	74875	80.9	74306	73757	79.69	66803	72.18
SRR28984104	84519	68266	80.77	67649	67127	79.42	54320	64.27
SRR28984105	86902	70470	81.09	70081	69581	80.07	59190	68.11
SRR28984106	75746	67654	89.32	65834	62547	82.57	47052	62.12
SRR28984107	77948	63084	80.93	62797	62327	79.96	52734	67.65
SRR28984108	60728	49148	80.93	48966	48726	80.24	44303	72.95
SRR28984109	38869	35174	90.49	34878	34275	88.18	30856	79.38
SRR28984110	185035	150783	81.49	150572	149524	80.81	135852	73.42
SRR28984113	144834	117681	81.25	116618	114244	78.88	107533	74.25
SRR28984125	99010	81986	82.81	81821	81137	81.95	80169	80.97
SRR28984139	296847	236629	79.71	236162	234196	78.89	218976	73.77
SRR28984150	59315	53710	90.55	53521	52997	89.35	47960	80.86
SRR28984164	63259	58691	92.78	58511	58134	91.9	54746	86.54
SRR28984175	121664	89003	73.15	88851	88472	72.72	85430	70.22
SRR28984176	192661	146029	75.8	145802	144671	75.09	140555	72.95
SRR28984177	122588	98122	80.04	97996	97047	79.17	92910	75.79
SRR28984178	59792	54324	90.85	54228	53959	90.24	52332	87.52
SRR28984179	126716	101876	80.4	101695	100606	79.39	94666	74.71
SRR28984180	134499	107179	79.69	107097	106594	79.25	106521	79.2
SRR28984181	151895	122019	80.33	121940	121333	79.88	121329	79.88
SRR28984182	150654	117470	77.97	117376	116702	77.46	114536	76.03
SRR28984183	94425	71787	76.03	71389	70277	74.43	64011	67.79
SRR28984184	150658	115550	76.7	114999	112554	74.71	98087	65.11
SRR28984185	133486	112033	83.93	111435	108563	81.33	83473	62.53
SRR28984186	134209	104438	77.82	104096	103665	77.24	102900	76.67
SRR28984187	107675	81798	75.97	81415	79879	74.19	67484	62.67
SRR28984188	94904	70679	74.47	70412	69416	73.14	63460	66.87
SRR28984189	81945	63326	77.28	62892	61872	75.5	53983	65.88
SRR28984190	126202	96992	76.85	96800	96636	76.57	96428	76.41
SRR28984191	142590	100602	70.55	99848	97638	68.47	80287	56.31
SRR28984192	102330	73731	72.05	71587	68324	66.77	61083	59.69
SRR28984193	76230	61803	81.07	61703	61567	80.76	60250	79.04
SRR28984194	167220	114745	68.62	114411	113681	67.98	112086	67.03
SRR28984195	161642	125278	77.5	124855	123769	76.57	117548	72.72
SRR28984196	218407	164029	75.1	163613	162491	74.4	154784	70.87
SRR28984197	108988	89566	82.18	89375	88693	81.38	84916	77.91
SRR28984198	115478	97075	84.06	96776	95685	82.86	75947	65.77
SRR28984199	26140	23930	91.55	23769	23257	88.97	22363	85.55
SRR28984200	126947	106770	84.11	106602	105774	83.32	93052	73.3
SRR28984201	90197	71027	78.75	70390	68653	76.11	58385	64.73
SRR28984202	122351	97521	79.71	97194	96308	78.71	91411	74.71
SRR28984203	103676	83882	80.91	83347	81706	78.81	69292	66.84
SRR28984204	94279	78837	83.62	78672	78074	82.81	71280	75.61
SRR28984205	105788	87546	82.76	87294	86298	81.58	75536	71.4
SRR28984206	115225	95964	83.28	95724	94902	82.36	80230	69.63
SRR28984207	102019	83850	82.19	83391	81770	80.15	65413	64.12
SRR28984208	150961	120954	80.12	120230	118543	78.53	105639	69.98
SRR28984209	122089	92019	75.37	89913	85089	69.69	56187	46.02
SRR28984210	23595	21336	90.43	21219	20999	89	20123	85.29
SRR28984211	110148	87128	79.1	86771	85315	77.45	78626	71.38
SRR28984212	106766	82328	77.11	81934	80686	75.57	67978	63.67
SRR28984213	109944	82626	75.15	81872	79953	72.72	66581	60.56
SRR28984214	133453	93369	69.96	93072	91949	68.9	87959	65.91
SRR28984215	100155	82367	82.24	81734	80017	79.89	70613	70.5
SRR28984216	97707	75806	77.59	74895	72631	74.34	53297	54.55
SRR28984217	114605	94528	82.48	93580	91370	79.73	66914	58.39
SRR28984218	117406	95637	81.46	95555	94885	80.82	89786	76.47
SRR28984219	100354	83488	83.19	83398	82808	82.52	82442	82.15
SRR28984220	138326	113373	81.96	111702	108750	78.62	100266	72.49
SRR28984221	109432	87009	79.51	86304	85069	77.74	67979	62.12
SRR28984222	90966	74135	81.5	73689	72546	79.75	68175	74.95
SRR28984223	166236	130290	78.38	129290	127016	76.41	116842	70.29
