sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SAMEA4506927	335072	307307	91.71	306575	18784	5.61	18714	5.59
SAMEA4506928	234585	220045	93.8	216961	210839	89.88	193933	82.67
SAMEA4506929	203670	190891	93.73	190481	190124	93.35	189877	93.23
SAMEA4506930	267472	253407	94.74	253042	251044	93.86	250737	93.74
SAMEA4506931	295093	275643	93.41	275281	274480	93.01	274087	92.88
SAMEA4506932	305796	283169	92.6	282812	282270	92.31	279819	91.51
SAMEA4506933	216793	203690	93.96	201959	198326	91.48	177214	81.74
SAMEA4506934	279198	262125	93.88	261666	260667	93.36	256988	92.05
SAMEA4506935	216709	204851	94.53	204145	202831	93.6	199061	91.86
SAMEA4506936	249011	232438	93.34	232004	229709	92.25	229401	92.12
SAMEA4506937	293862	275213	93.65	274053	272202	92.63	264287	89.94
SAMEA4506938	266172	250343	94.05	249510	248650	93.42	244659	91.92
SAMEA4506939	343634	313451	91.22	312766	33661	9.8	32863	9.56
SAMEA4506940	177266	166126	93.72	165407	163884	92.45	161714	91.23
SAMEA4506941	135473	127759	94.31	126975	125379	92.55	119710	88.36
SAMEA4506942	436811	402819	92.22	402452	118204	27.06	117837	26.98
SAMEA4506943	292836	276941	94.57	276488	275746	94.16	273369	93.35
SAMEA4506944	431729	403923	93.56	403552	216945	50.25	215261	49.86
SAMEA4506945	698450	645773	92.46	645288	147709	21.15	147708	21.15
SAMEA4506946	315116	297049	94.27	295840	293969	93.29	278726	88.45
SAMEA4506947	392378	369713	94.22	367735	363597	92.66	351436	89.57
SAMEA4506948	298237	278637	93.43	277705	18195	6.1	17914	6.01
SAMEA4506949	400602	375454	93.72	373954	25601	6.39	24170	6.03
SAMEA4506950	304519	287407	94.38	285827	282697	92.83	261415	85.85
SAMEA4506951	352213	327716	93.04	327276	14857	4.22	14724	4.18
SAMEA4506952	377619	351175	93	350870	24775	6.56	24568	6.51
SAMEA4506953	275962	259294	93.96	258449	256693	93.02	254222	92.12
SAMEA4506954	261682	246544	94.22	245757	244533	93.45	239291	91.44
SAMEA4506955	455177	419307	92.12	418901	22455	4.93	22450	4.93
SAMEA4506956	142575	134131	94.08	133962	133871	93.9	133552	93.67
SAMEA4506957	238619	221509	92.83	221246	58638	24.57	58606	24.56
SAMEA4506958	170973	160213	93.71	159990	159636	93.37	159514	93.3
SAMEA4506959	186371	174386	93.57	174064	173213	92.94	172867	92.75
SAMEA4506960	262982	249663	94.94	249217	248594	94.53	247896	94.26
SAMEA4506961	265942	249404	93.78	248849	248101	93.29	245241	92.22
SAMEA4506962	131651	124278	94.4	123109	119676	90.9	98664	74.94
SAMEA4506963	233262	220414	94.49	219777	218345	93.61	208006	89.17
SAMEA4506964	248854	232550	93.45	232220	229716	92.31	229143	92.08
SAMEA4506965	400507	376176	93.92	375466	57549	14.37	56044	13.99
SAMEA4506966	357822	329848	92.18	329336	31572	8.82	31523	8.81
SAMEA4506967	287437	259033	90.12	258628	31477	10.95	31278	10.88
SAMEA4506968	159501	149710	93.86	148850	147016	92.17	128323	80.45
SAMEA4506969	331594	304151	91.72	303151	21009	6.34	20449	6.17
SAMEA4506970	212692	198781	93.46	197253	194152	91.28	171857	80.8
SAMEA4506971	337275	313942	93.08	312346	32622	9.67	31242	9.26
SAMEA4506972	241515	223427	92.51	222330	8025	3.32	7878	3.26
SAMEA4506973	340688	309827	90.94	307957	13242	3.89	12587	3.69
SAMEA4506974	187122	176720	94.44	176194	175310	93.69	173399	92.67
SAMEA4506975	484929	456871	94.21	456520	262306	54.09	262265	54.08
SAMEA4506976	262241	245293	93.54	244095	30366	11.58	28759	10.97
SAMEA4506977	231932	218620	94.26	218196	217385	93.73	217371	93.72
SAMEA4506978	101990	95446	93.58	95172	94612	92.77	93858	92.03
SAMEA4506979	456907	424399	92.89	423894	23688	5.18	23653	5.18
SAMEA4506980	227190	213981	94.19	213687	212839	93.68	210554	92.68
SAMEA4506981	250292	237010	94.69	236696	235972	94.28	234471	93.68
SAMEA4506982	227313	209448	92.14	208848	206662	90.92	197839	87.03
SAMEA4506983	92070	87797	95.36	87532	87250	94.76	85884	93.28
SAMEA4506984	263257	247434	93.99	245521	241595	91.77	223126	84.76
SAMEA4506985	231694	218675	94.38	218262	217771	93.99	216486	93.44
SAMEA4506986	366242	342411	93.49	341938	26478	7.23	26473	7.23
SAMEA4506987	86787	78546	90.5	78223	78084	89.97	78084	89.97
SAMEA4506988	358165	331209	92.47	329962	30796	8.6	30129	8.41
SAMEA4506989	285298	267352	93.71	267012	264108	92.57	264037	92.55
SAMEA4506990	372369	344286	92.46	343594	65507	17.59	65243	17.52
SAMEA4506991	220317	204044	92.61	202679	7276	3.3	6841	3.11
SAMEA4506992	627953	577058	91.9	576313	93321	14.86	93319	14.86
SAMEA4506993	181630	167615	92.28	167189	166289	91.55	161276	88.79
SAMEA4506994	492057	465629	94.63	465042	464042	94.31	456960	92.87
SAMEA4506995	331918	311035	93.71	310718	62900	18.95	62825	18.93
SAMEA4506996	327574	306319	93.51	305952	27613	8.43	27566	8.42
SAMEA4506997	204099	191891	94.02	191102	189633	92.91	186780	91.51
SAMEA4506998	214304	202053	94.28	201487	200301	93.47	197309	92.07
SAMEA4506999	311690	291398	93.49	290971	15601	5.01	15551	4.99
SAMEA4507000	214796	201155	93.65	200786	200364	93.28	200347	93.27
SAMEA4507001	224316	211953	94.49	211283	210403	93.8	208931	93.14
SAMEA4507002	224150	211514	94.36	210809	208201	92.88	197291	88.02
SAMEA4507003	204920	193472	94.41	192959	192460	93.92	191861	93.63
SAMEA4507004	229529	211798	92.28	211417	210952	91.91	210019	91.5
SAMEA4507005	567452	529388	93.29	528967	87018	15.33	87009	15.33
