Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28984038,AMPLICON,600,91495224,PRJNA1109929,SAMN41306823,Metagenome or environmental,49495937,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513160,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 25,34.646870 N 135.5067002 E,Patient026_day15_09,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_09,SRP506877
SRR28984039,AMPLICON,600,103179533,PRJNA1109929,SAMN41306822,Metagenome or environmental,56003328,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513159,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 24,34.646870 N 135.5067002 E,Patient026_day15_08,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_08,SRP506877
SRR28984040,AMPLICON,600,96946207,PRJNA1109929,SAMN41306821,Metagenome or environmental,52672131,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24513158,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 23,34.646870 N 135.5067002 E,Patient026_day15_07,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_07,SRP506877
SRR28984041,AMPLICON,600,94666600,PRJNA1109929,SAMN41306820,Metagenome or environmental,50244024,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513157,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 22,34.646870 N 135.5067002 E,Patient026_day15_06,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_06,SRP506877
SRR28984042,AMPLICON,601,83365215,PRJNA1109929,SAMN41306818,Metagenome or environmental,45178314,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24513155,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 20,34.646870 N 135.5067002 E,Patient026_day15_04,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_04,SRP506877
SRR28984043,AMPLICON,600,100249189,PRJNA1109929,SAMN41306817,Metagenome or environmental,54234249,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513154,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 19,34.646870 N 135.5067002 E,Patient026_day15_03,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_03,SRP506877
SRR28984044,AMPLICON,600,92146604,PRJNA1109929,SAMN41306816,Metagenome or environmental,49885210,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513153,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 18,34.646870 N 135.5067002 E,Patient026_day15_02,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_02,SRP506877
SRR28984045,AMPLICON,600,101609421,PRJNA1109929,SAMN41306819,Metagenome or environmental,54673604,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24513156,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 21,34.646870 N 135.5067002 E,Patient026_day15_05,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_05,SRP506877
SRR28984046,AMPLICON,600,100853104,PRJNA1109929,SAMN41306815,Metagenome or environmental,54713500,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513152,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 17,34.646870 N 135.5067002 E,Patient026_day15_01,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day15_01,SRP506877
SRR28984047,AMPLICON,600,59775731,PRJNA1109929,SAMN41306814,Metagenome or environmental,31899830,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513151,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 16,34.646870 N 135.5067002 E,Patient026_day0_16,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day0_16,SRP506877
