"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"DQ805680.1.1307","Bacteria","Tenericutes","Mollicutes","RF9","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"JX644349.1.1500","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","uncultured bacterium"
"HQ716714.1.1460","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncultured","uncultured bacterium"
"JQ608193.1.1382","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","bacterium NLAE-zl-C492"
"GQ358500.1.1404","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured","uncultured Clostridiales bacterium"
"DQ801510.1.1377","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured","uncultured bacterium"
"FJ506930.1.1375","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured","uncultured bacterium"
"JQ469970.1.1406","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","uncultured bacterium"
"U13039.1.1496","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","Incertae Sedis","[Eubacterium] infirmum"
"GQ916518.1.1417","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquitalea","Aquitalea sp. AOLR28"
"DQ794028.1.1371","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured bacterium"
"JF151704.1.1366","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"EU779320.1.1391","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","uncultured bacterium"
"EU771949.1.1390","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","uncultured bacterium"
"EU462863.1.1393","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","uncultured bacterium"
"EU622720.1.1476","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","uncultured bacterium"
"JQ448431.1.1389","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"EU761652.1.1371","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","uncultured bacterium"
