Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id
ERR2666851,AMPLICON,561,2419645,PRJEB25221,SAMEA4762305,DTU-GE,1457983,DTU CGE,2010,public,"sra,fastq,run.zq","gs,ncbi,s3,ena","gs.us-east1,s3.us-east-1,ena,ncbi.public",2019-05-30,2019-05-30T04:03:50Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681965,SAMEA4762305,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample1,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762305,Sample1,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample1
ERR2666852,AMPLICON,547,2153498,PRJEB25221,SAMEA4762306,DTU-GE,1285473,DTU CGE,2010,public,"run.zq,fastq,sra","ncbi,gs,s3,ena","s3.us-east-1,ncbi.public,ena,gs.us-east1",2019-05-30,2019-05-30T04:03:50Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681966,SAMEA4762306,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample2,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762306,Sample2,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample2
ERR2666853,AMPLICON,546,2015986,PRJEB25221,SAMEA4762307,DTU-GE,1212705,DTU CGE,2010,public,"run.zq,sra,fastq","gs,ena,s3,ncbi","s3.us-east-1,ncbi.public,ena,gs.us-east1",2019-05-30,2019-05-30T04:03:50Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681967,SAMEA4762307,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample3,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762307,Sample3,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample3
ERR2666854,AMPLICON,530,2688264,PRJEB25221,SAMEA4762308,DTU-GE,1599955,DTU CGE,2010,public,"run.zq,fastq,sra","gs,s3,ncbi,ena","gs.us-east1,s3.us-east-1,ena,ncbi.public",2019-05-30,2019-05-30T04:03:50Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681968,SAMEA4762308,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample4,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762308,Sample4,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample4
ERR2666855,AMPLICON,434,8068004,PRJEB25221,SAMEA4762309,DTU-GE,4931811,DTU CGE,2010,public,"fastq,run.zq,sra","ncbi,ena,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,ena",2019-05-30,2019-05-30T04:03:50Z,2018-11-16,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681969,SAMEA4762309,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample5,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2022-07-26T18:43:00Z,2,SAMEA4762309,Sample5,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample5
ERR2666856,AMPLICON,520,3165990,PRJEB25221,SAMEA4762310,DTU-GE,2002718,DTU CGE,2010,public,"run.zq,sra,fastq","gs,ena,ncbi,s3","ncbi.public,gs.us-east1,ena,s3.us-east-1",2019-05-30,2019-05-30T04:03:50Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681970,SAMEA4762310,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:50Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample6,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762310,Sample6,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample6
ERR2666857,AMPLICON,531,2295065,PRJEB25221,SAMEA4762311,DTU-GE,1466691,DTU CGE,2010,public,"sra,run.zq,fastq","s3,ncbi,ena,gs","ena,ncbi.public,gs.us-east1,s3.us-east-1",2019-05-30,2019-05-30T04:03:51Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681971,SAMEA4762311,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:51Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample7,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762311,Sample7,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample7
ERR2666858,AMPLICON,502,2031556,PRJEB25221,SAMEA4762312,DTU-GE,1312502,DTU CGE,2010,public,"fastq,sra,run.zq","ncbi,gs,s3,ena","gs.us-east1,ncbi.public,ena,s3.us-east-1",2019-05-30,2019-05-30T04:03:51Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681972,SAMEA4762312,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:51Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample8,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762312,Sample8,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample8
ERR2666859,AMPLICON,535,1161895,PRJEB25221,SAMEA4762313,DTU-GE,773717,DTU CGE,2010,public,"fastq,run.zq,sra","ncbi,gs,ena,s3","ena,s3.us-east-1,ncbi.public,gs.us-east1",2019-05-30,2019-05-30T04:03:51Z,2019-06-13,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681973,SAMEA4762313,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:51Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample9,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2019-06-12T21:34:00Z,1,SAMEA4762313,Sample9,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample9
ERR2666860,AMPLICON,369,9729710,PRJEB25221,SAMEA4762314,DTU-GE,6513452,DTU CGE,2010,public,"fastq,sra,run.zq","ena,ncbi,gs,s3","gs.us-east1,ena,ncbi.public,s3.us-east-1",2019-05-30,2019-05-30T04:03:51Z,2018-11-16,2018-06-26T09:00:21Z,feces,feces,feces,ERX2681974,SAMEA4762314,Denmark,Europe,Denmark,55.695856,12.5704212,human-gut,DTU CGE,2019-05-30T04:03:51Z,2018-06-26T09:00:21Z,public,454 GS FLX Titanium,metagenome,Sample10,PAIRED,RANDOM,METAGENOMIC,metagenome,LS454,Specific gut microbiome members are associated with distinct immune markers in allogeneic hematopoietic stem cell transplantation,2019-05-31T00:00:00Z,2022-07-23T22:43:00Z,2,SAMEA4762314,Sample10,metagenome,454 GS-FLX Titanium pyrosequencing,ERP107116,Sample10
