Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR16879145,AMPLICON,410,42658814,PRJEB60178,SAMEA121983794,32991899,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264219,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000000616,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T17:41:00Z,1,SAMEA121983794,R000000616,human gut metagenome,ERP145235,R000000616
ERR16879146,AMPLICON,423,41244588,PRJEB60178,SAMEA121983795,32974787,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264220,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,ADM5,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T11:44:00Z,1,SAMEA121983795,ADM5,human gut metagenome,ERP145235,ADM5
ERR16879148,AMPLICON,419,13885620,PRJEB60178,SAMEA121983797,11370152,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264222,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000005979,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T11:44:00Z,1,SAMEA121983797,R000005979,human gut metagenome,ERP145235,R000005979
ERR16879149,AMPLICON,429,33370162,PRJEB60178,SAMEA121983798,26905577,UNIVERSITY HOSPITAL REGENSBURG,2020-09-03,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264223,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000008253,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T17:40:00Z,1,SAMEA121983798,R000008253,human gut metagenome,ERP145235,R000008253
ERR16879150,AMPLICON,414,53289833,PRJEB60178,SAMEA121983799,42767208,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264224,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000006212,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-20T00:00:00Z,2026-03-21T17:41:00Z,1,SAMEA121983799,R000006212,human gut metagenome,ERP145235,R000006212
ERR16879151,AMPLICON,432,29739274,PRJEB60178,SAMEA121983800,23996641,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264225,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,YW12,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-20T00:00:00Z,2026-03-21T17:41:00Z,1,SAMEA121983800,YW12,human gut metagenome,ERP145235,YW12
ERR16879152,AMPLICON,399,11123791,PRJEB60178,SAMEA121983801,9147782,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264226,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000006257,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T17:40:00Z,1,SAMEA121983801,R000006257,human gut metagenome,ERP145235,R000006257
ERR16879153,AMPLICON,427,18190453,PRJEB60178,SAMEA121983802,14824417,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264227,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000005641,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T11:44:00Z,1,SAMEA121983802,R000005641,human gut metagenome,ERP145235,R000005641
ERR16879155,AMPLICON,426,11204635,PRJEB60178,SAMEA121983804,8994572,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264229,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,AAY16,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T11:44:00Z,1,SAMEA121983804,AAY16,human gut metagenome,ERP145235,AAY16
ERR16879156,AMPLICON,422,31500689,PRJEB60178,SAMEA121983805,25351487,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264230,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,ADT10,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-20T00:00:00Z,2026-03-21T17:41:00Z,1,SAMEA121983805,ADT10,human gut metagenome,ERP145235,ADT10
ERR16879158,AMPLICON,398,31849108,PRJEB60178,SAMEA121983807,25370518,UNIVERSITY HOSPITAL REGENSBURG,2021,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264232,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000000279,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-19T00:00:00Z,2026-03-21T17:40:00Z,1,SAMEA121983807,R000000279,human gut metagenome,ERP145235,R000000279
ERR16879159,AMPLICON,451,35895661,PRJEB60178,SAMEA121983808,28784941,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264233,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000000151,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-20T00:00:00Z,2026-03-21T17:41:00Z,1,SAMEA121983808,R000000151,human gut metagenome,ERP145235,R000000151
ERR16879160,AMPLICON,420,31529553,PRJEB60178,SAMEA121983809,25490450,UNIVERSITY HOSPITAL REGENSBURG,2020,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2026-03-19,2026-03-19,2026-03-19,4,4,ERX16264234,Germany,Europe,Germany,University Hospital Regensburg,public,Ion Torrent S5,R000000841,SINGLE,PCR,METAGENOMIC,human gut metagenome,ION_TORRENT,2026-03-20T00:00:00Z,2026-03-21T17:40:00Z,1,SAMEA121983809,R000000841,human gut metagenome,ERP145235,R000000841
