Run	Sample_name	Richness	Shannon	Simpson	depth
ERR16879144	AAX11	67	2.7804906990106044	0.8694922585582191	55299
ERR16879145	R000000616	28	2.152649600497719	0.836746721540317	86296
ERR16879146	ADM5	16	1.5017284467912106	0.7105702570573664	73153
ERR16879147	R000002640	24	1.1663687219376309	0.5238621700619042	67853
ERR16879148	R000005979	24	2.6486020666693886	0.9077910381090812	22978
ERR16879149	R000008253	84	3.5256531986499158	0.9555347081307015	51444
ERR16879150	R000006212	79	3.320809257150159	0.9396613574848967	87039
ERR16879151	YW12	35	2.0953405398141687	0.7854044222169452	49152
ERR16879152	R000006257	72	3.295915626781743	0.9388274065216775	18233
ERR16879153	R000005641	13	2.0220311525350043	0.8517139326481604	29629
ERR16879155	AAY16	47	2.8459322257483723	0.8950098106739925	20611
ERR16879156	ADT10	33	2.6459602748481985	0.9092079728187616	55343
ERR16879157	R000000249	34	1.9193659745937641	0.7516016720558054	34698
ERR16879158	R000000279	23	1.8048237988552933	0.770243426143408	68378
ERR16879159	R000000151	63	2.813428923818203	0.8934879427211042	60385
ERR16879160	R000000841	23	1.9424646785593866	0.8318577513368205	56135
ERR16879161	AEG10	11	1.8394370438637628	0.7916514049638931	68651
ERR16879162	R000005619	36	2.702624191787956	0.8911320822102344	22775
ERR16879164	ABV8	33	2.656565491968278	0.9035139770939221	43373
ERR16879165	ACH6	14	1.449857616423791	0.6864280936431171	50673
ERR16879166	ACB21	16	1.557006993886617	0.7036763083804878	23487
ERR16879167	R000000491	76	3.2077525943845235	0.9220118871328365	63554
ERR16879168	R000000320	24	1.8844018385900485	0.7534802986659468	45065
ERR16879169	ACW10	72	2.74317228760783	0.8774416212276442	70695
ERR16879171	R000007092	47	2.701552590376666	0.8932355079191256	56374
ERR16879172	R000002648	13	1.749642917355368	0.7459352238131425	35370
ERR16879173	R000006272	21	1.7285898299029039	0.6604083661407947	27654
ERR16879174	R000006682	13	1.3335556428514757	0.6339860537198597	29678
ERR16879175	R000003837	28	2.4623503367011477	0.8703689198046287	52537
ERR16879176	R000004288	41	2.538730399413295	0.8385859736226382	76621
ERR16879177	R000003547	28	1.9758649449018681	0.7885495331061729	36228
ERR16879178	R000006019	30	2.549046063260818	0.8853876117117347	36256
ERR16879179	R000005775	37	2.3487782162941686	0.8548952059419884	55553
ERR16879180	R000008393	15	1.6404423528966325	0.7509362250299725	23033
ERR16879181	R000008411	18	1.7927213308768488	0.7782635223716081	36860
ERR16879182	R000008361	51	3.191027253575449	0.9421788466996124	45015
ERR16879183	R000008255	49	3.3407328215967067	0.9530573108688332	49119
ERR16879184	R000008215	15	1.492902977800918	0.6979183535822582	49700
ERR16879185	R000008823	43	2.498761969478103	0.8699592293026128	52424
ERR16879187	R000008488	33	2.1919881346552224	0.7974992616873697	18783
ERR16879188	R000009028	17	1.5627075222356277	0.7321506751731702	140619
ERR16879189	R000007369	19	1.6924696498318983	0.7643954325699696	15890
ERR16879190	R000009232	20	2.0031555320840173	0.8299097521040538	31277
ERR16879191	BDG5	20	2.084903321628066	0.8355068929285987	39705
ERR16879192	R000007489	20	1.9788147804897085	0.7727546913918901	48268
ERR16879193	BCT5	18	1.9168768299517902	0.766889202133685	20671
ERR16879194	R000009222	28	2.2183870307528806	0.8142236150483808	47324
ERR16879195	BDT5	13	1.7924736081835748	0.7870854980798154	38826
ERR16879196	BDW4_5	53	2.9280197893381983	0.9112810055196093	34621
ERR16879197	R000007304	31	2.402561709770199	0.8659327601001494	34998
ERR16879198	R000007319	189	4.597907020193091	0.9837609529529164	28768
ERR16879199	R000007327	29	2.1515936098519624	0.7942067268017924	35248
ERR16879200	R000005406	15	2.0103941247111212	0.8246372400852843	32497
