run_accession	sample_accession	sample_alias	instrument_model	library_layout	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes
ERR16879144	SAMEA121983793	AAX11	Ion Torrent S5	SINGLE	85913	37481415	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/044/ERR16879144/ERR16879144.fastq.gz	edb30022ffef7cdde9ff383aef6bf027	24722160
ERR16879145	SAMEA121983794	R000000616	Ion Torrent S5	SINGLE	104017	42658814	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/045/ERR16879145/ERR16879145.fastq.gz	03cb1d967bf5f43f27be9228585eec1e	26178914
ERR16879146	SAMEA121983795	ADM5	Ion Torrent S5	SINGLE	97338	41244588	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/046/ERR16879146/ERR16879146.fastq.gz	c1c2c9c952261e8fabd06e5a5a5e0d78	25545164
ERR16879148	SAMEA121983797	R000005979	Ion Torrent S5	SINGLE	33078	13885620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/048/ERR16879148/ERR16879148.fastq.gz	4a4b2d3d099a6feeaebc6f5f0eeada8d	9342726
ERR16879159	SAMEA121983808	R000000151	Ion Torrent S5	SINGLE	79473	35895661	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/059/ERR16879159/ERR16879159.fastq.gz	0d898af6c7f32f6870351841fc287113	23800612
ERR16879161	SAMEA121983810	AEG10	Ion Torrent S5	SINGLE	90893	38425012	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/061/ERR16879161/ERR16879161.fastq.gz	84891939fc958f4f608e6aac75254406	24079783
ERR16879166	SAMEA121983815	ACB21	Ion Torrent S5	SINGLE	39981	16323256	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/066/ERR16879166/ERR16879166.fastq.gz	13fb1b10fa9a40029bd195328a9fdbc8	10535164
ERR16879167	SAMEA121983816	R000000491	Ion Torrent S5	SINGLE	78671	33142562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/067/ERR16879167/ERR16879167.fastq.gz	e40e94766cb6b23a726d01ffa1a54794	21776119
ERR16879172	SAMEA121983821	R000002648	Ion Torrent S5	SINGLE	75251	28514472	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/072/ERR16879172/ERR16879172.fastq.gz	3373eb49c5ad97b5e1289ff2ba6f2c62	18819953
ERR16879178	SAMEA121983827	R000006019	Ion Torrent S5	SINGLE	51066	21252410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/078/ERR16879178/ERR16879178.fastq.gz	0d850ae1ea89d3c249e54ba1fcda0b05	14237785
ERR16879182	SAMEA121983831	R000008361	Ion Torrent S5	SINGLE	51467	21506349	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/082/ERR16879182/ERR16879182.fastq.gz	b025b3806b3a3604bb32c78893362096	14229825
