run	status	file
ERR16879144	ok	ERR16879144.fastq.gz
ERR16879145	ok	ERR16879145.fastq.gz
ERR16879146	ok	ERR16879146.fastq.gz
ERR16879148	ok	ERR16879148.fastq.gz
ERR16879159	ok	ERR16879159.fastq.gz
ERR16879161	ok	ERR16879161.fastq.gz
ERR16879166	ok	ERR16879166.fastq.gz
ERR16879167	ok	ERR16879167.fastq.gz
ERR16879172	ok	ERR16879172.fastq.gz
ERR16879178	ok	ERR16879178.fastq.gz
ERR16879182	ok	ERR16879182.fastq.gz
ERR16879187	ok	ERR16879187.fastq.gz
ERR16879192	ok	ERR16879192.fastq.gz
ERR16879195	ok	ERR16879195.fastq.gz
ERR16879199	ok	ERR16879199.fastq.gz
ERR16879150	ok	ERR16879150.fastq.gz
ERR16879152	ok	ERR16879152.fastq.gz
ERR16879153	ok	ERR16879153.fastq.gz
ERR16879155	ok	ERR16879155.fastq.gz
ERR16879158	ok	ERR16879158.fastq.gz
ERR16879160	ok	ERR16879160.fastq.gz
ERR16879162	ok	ERR16879162.fastq.gz
ERR16879164	ok	ERR16879164.fastq.gz
ERR16879165	ok	ERR16879165.fastq.gz
ERR16879171	ok	ERR16879171.fastq.gz
ERR16879173	ok	ERR16879173.fastq.gz
ERR16879174	ok	ERR16879174.fastq.gz
ERR16879175	ok	ERR16879175.fastq.gz
ERR16879179	ok	ERR16879179.fastq.gz
ERR16879181	ok	ERR16879181.fastq.gz
ERR16879183	ok	ERR16879183.fastq.gz
ERR16879184	ok	ERR16879184.fastq.gz
ERR16879185	ok	ERR16879185.fastq.gz
ERR16879194	ok	ERR16879194.fastq.gz
ERR16879147	ok	ERR16879147.fastq.gz
ERR16879149	ok	ERR16879149.fastq.gz
ERR16879151	ok	ERR16879151.fastq.gz
ERR16879156	ok	ERR16879156.fastq.gz
ERR16879157	ok	ERR16879157.fastq.gz
ERR16879168	ok	ERR16879168.fastq.gz
ERR16879169	ok	ERR16879169.fastq.gz
ERR16879176	ok	ERR16879176.fastq.gz
ERR16879177	ok	ERR16879177.fastq.gz
ERR16879180	ok	ERR16879180.fastq.gz
ERR16879188	ok	ERR16879188.fastq.gz
ERR16879189	ok	ERR16879189.fastq.gz
ERR16879190	ok	ERR16879190.fastq.gz
ERR16879191	ok	ERR16879191.fastq.gz
ERR16879193	ok	ERR16879193.fastq.gz
ERR16879196	ok	ERR16879196.fastq.gz
ERR16879197	ok	ERR16879197.fastq.gz
ERR16879198	ok	ERR16879198.fastq.gz
ERR16879200	ok	ERR16879200.fastq.gz
