sample	raw_reads	trimmomatic_reads	cutadapt_reads	fwd_primer_found	rev_primer_found
ERR16879144	85913	52362	50365	36323	13907
ERR16879145	104017	72383	70688	16767	49083
ERR16879146	97338	60601	57022	43011	16246
ERR16879147	90518	64751	57634	28836	29609
ERR16879148	33078	22449	20289	17103	4534
ERR16879149	77757	41322	39146	27149	12114
ERR16879150	128458	78392	72763	60530	15316
ERR16879151	68734	34524	33554	23482	8766
ERR16879152	27874	17695	16440	10395	6073
ERR16879153	42599	30243	27818	19696	8243
ERR16879155	26268	14884	14410	9362	4927
ERR16879156	74578	44640	42791	33094	11430
ERR16879157	43727	25423	23852	12769	10755
ERR16879158	79999	57568	53329	27042	24193
ERR16879159	79473	64233	61739	42791	18849
ERR16879160	74958	58110	56963	23437	30139
ERR16879161	90893	55109	51898	35913	17460
ERR16879162	37154	23976	21722	12375	9660
ERR16879164	62145	32388	31352	19839	10082
ERR16879165	69132	37685	35027	21234	14828
ERR16879166	39981	14686	14252	5552	7375
ERR16879167	78671	59721	55025	34335	22218
ERR16879168	66440	49041	47712	27220	16862
ERR16879169	94979	58474	56214	36001	20044
ERR16879171	80865	53772	49529	47216	6619
ERR16879172	75251	47963	43924	13097	14937
ERR16879173	39571	27418	26164	19133	6128
ERR16879174	37833	27046	24073	20654	4929
ERR16879175	66922	46868	43217	21791	20673
ERR16879176	104524	84288	81660	48730	33205
ERR16879177	46646	30295	28959	10123	17349
ERR16879178	51066	35562	33598	16810	14277
ERR16879179	64402	36028	35370	24873	10304
ERR16879180	26255	16569	15144	11850	4386
ERR16879181	41819	26796	24751	18746	7333
ERR16879182	51467	25722	25205	17418	7569
ERR16879183	60638	37872	37145	18556	16393
ERR16879184	58569	26902	26424	19018	8115
ERR16879185	71366	42958	40947	27734	12498
ERR16879187	21960	14874	12734	9787	3929
ERR16879188	171970	93527	91770	58958	26466
ERR16879189	18946	11116	10329	6422	4084
ERR16879190	36865	21579	20021	13898	6773
ERR16879191	46238	29388	29016	12626	13579
ERR16879192	53898	33102	31992	25439	7017
ERR16879193	27022	11248	10980	6080	4717
ERR16879194	58040	34780	33270	13115	17244
ERR16879195	47420	31304	30806	13860	14188
ERR16879196	43664	29582	29151	13310	13381
ERR16879197	43098	27349	26901	12946	11907
ERR16879198	42107	26403	26029	9214	13944
ERR16879199	44799	25910	25412	13795	10696
ERR16879200	40224	26593	26094	13438	10557
