	raw_in	filtered	denoised	nonchim
ERR16879144	50365	50330	50188	47656
ERR16879145	70688	70645	70530	62475
ERR16879146	57022	57006	56927	56503
ERR16879147	57634	57612	57542	45482
ERR16879148	20289	20285	20196	18763
ERR16879149	39146	39123	38872	33881
ERR16879150	72763	72747	72526	65700
ERR16879151	33554	33533	33397	30465
ERR16879152	16440	16414	16077	14137
ERR16879153	27818	27800	27785	21702
ERR16879155	14410	14392	14215	13472
ERR16879156	42791	42771	42590	41390
ERR16879157	23852	23823	23701	22525
ERR16879158	53329	53316	53245	50341
ERR16879159	61739	61658	61528	56381
ERR16879160	56963	56923	56855	50757
ERR16879161	51898	51885	51811	50958
ERR16879162	21722	21679	21593	18065
ERR16879164	31352	31329	31136	27336
ERR16879165	35027	34999	34915	34813
ERR16879166	14252	14205	14062	11189
ERR16879167	55025	54954	54749	47403
ERR16879168	47712	47675	47620	41215
ERR16879169	56214	56136	55938	52725
ERR16879171	49529	49477	49353	45805
ERR16879172	43924	43800	43775	40678
ERR16879173	26164	26153	26128	23727
ERR16879174	24073	24067	24025	23660
ERR16879175	43217	43117	43072	34910
ERR16879176	81660	81541	81495	71301
ERR16879177	28959	28944	28858	26763
ERR16879178	33598	33512	33442	29651
ERR16879179	35370	35364	35228	31618
ERR16879180	15144	15142	15054	14960
ERR16879181	24751	24740	24668	24472
ERR16879182	25205	25137	25038	22657
ERR16879183	37145	37079	37017	32627
ERR16879184	26424	26416	26347	23382
ERR16879185	40947	40927	40767	38983
ERR16879187	12734	12723	12534	12036
ERR16879188	91770	91746	91679	78109
ERR16879189	10329	10324	10268	10172
ERR16879190	20021	20013	19793	19736
ERR16879191	29016	28885	28822	25111
ERR16879192	31992	31988	31924	31334
ERR16879193	10980	10966	10876	9416
ERR16879194	33270	33241	33204	30150
ERR16879195	30806	30735	30653	28825
ERR16879196	29151	29006	28732	26138
ERR16879197	26901	26738	26612	25057
ERR16879198	26029	25918	24975	21034
ERR16879199	25412	25391	25325	21765
ERR16879200	26094	26030	25949	24465
