variant	obs_key	mode	total_cost	median_dist	n_exact_rich
nochim|ln|gini|pooled	nochim|ln|gini	pooled	98.4278465928117	1.65825609585995	0
prechimera|ln|gini|pooled	prechimera|ln|gini	pooled	94.4708134732194	1.44280161904325	1
nochim|log2|gini|pooled	nochim|log2|gini	pooled	114.590195672952	2.06993023567125	0
prechimera|log2|gini|pooled	prechimera|log2|gini	pooled	114.239747336153	1.81914225005645	1
nochim|log10|gini|pooled	nochim|log10|gini	pooled	138.106364953081	2.70475251329453	0
prechimera|log10|gini|pooled	prechimera|log10|gini	pooled	128.210206157029	2.2703710419401	2
nochim|ln|classic|pooled	nochim|ln|classic	pooled	128.820969179609	2.78502979940701	0
prechimera|ln|classic|pooled	prechimera|ln|classic	pooled	126.391509915895	2.83396762448454	0
nochim|log2|classic|pooled	nochim|log2|classic	pooled	136.619266224581	2.9188452639819	0
prechimera|log2|classic|pooled	prechimera|log2|classic	pooled	135.482922307628	3.07390658370792	1
nochim|log10|classic|pooled	nochim|log10|classic	pooled	144.061567792956	3.39712356858168	1
prechimera|log10|classic|pooled	prechimera|log10|classic	pooled	134.447664320283	3.2672203324457	1
nochim|ln|inverse|pooled	nochim|ln|inverse	pooled	108.168968122287	2.08654346418139	0
prechimera|ln|inverse|pooled	prechimera|ln|inverse	pooled	98.8419763373087	2.03945091050306	1
nochim|log2|inverse|pooled	nochim|log2|inverse	pooled	115.939873015529	2.40469940723764	0
prechimera|log2|inverse|pooled	prechimera|log2|inverse	pooled	109.148133910311	2.19544601618837	1
nochim|log10|inverse|pooled	nochim|log10|inverse	pooled	135.120903517578	2.67764980051693	0
prechimera|log10|inverse|pooled	prechimera|log10|inverse	pooled	118.531689884264	2.34099970592419	2
nochim|ln|gini|separate	nochim|ln|gini	separate	33.7467800508345	0.459378901223987	0
prechimera|ln|gini|separate	prechimera|ln|gini	separate	35.3553426215181	0.431860308289544	2
nochim|log2|gini|separate	nochim|log2|gini	separate	33.7467800508345	0.459378901223987	0
prechimera|log2|gini|separate	prechimera|log2|gini	separate	35.3553426215181	0.431860308289544	2
nochim|log10|gini|separate	nochim|log10|gini	separate	33.7467800508345	0.459378901223987	0
prechimera|log10|gini|separate	prechimera|log10|gini	separate	35.3553426215181	0.431860308289543	2
nochim|ln|classic|separate	nochim|ln|classic	separate	77.0197247589602	1.05933830306211	0
prechimera|ln|classic|separate	prechimera|ln|classic	separate	76.9811271219628	1.11978557784343	0
nochim|log2|classic|separate	nochim|log2|classic	separate	77.0197247589602	1.05933830306211	0
prechimera|log2|classic|separate	prechimera|log2|classic	separate	76.9811271219628	1.11978557784343	0
nochim|log10|classic|separate	nochim|log10|classic	separate	77.0197247589602	1.05933830306211	0
prechimera|log10|classic|separate	prechimera|log10|classic	separate	76.9811271219628	1.11978557784343	0
nochim|ln|inverse|separate	nochim|ln|inverse	separate	49.5998535732384	0.661704460032683	0
prechimera|ln|inverse|separate	prechimera|ln|inverse	separate	49.793149205552	0.654726168692559	1
nochim|log2|inverse|separate	nochim|log2|inverse	separate	49.5998535732384	0.661704460032682	0
prechimera|log2|inverse|separate	prechimera|log2|inverse	separate	49.793149205552	0.654726168692558	1
nochim|log10|inverse|separate	nochim|log10|inverse	separate	49.5998535732384	0.661704460032682	0
prechimera|log10|inverse|separate	prechimera|log10|inverse	separate	49.793149205552	0.654726168692558	1
nochim|ln|gini|rank	nochim|ln|gini	rank	4.68970803901906	0.0911764953000188	0
prechimera|ln|gini|rank	prechimera|ln|gini	rank	4.66271569736039	0.0828383099503085	3
nochim|log2|gini|rank	nochim|log2|gini	rank	4.68970803901906	0.0911764953000188	0
prechimera|log2|gini|rank	prechimera|log2|gini	rank	4.66271569736039	0.0828383099503085	3
nochim|log10|gini|rank	nochim|log10|gini	rank	4.68970803901906	0.0911764953000188	0
prechimera|log10|gini|rank	prechimera|log10|gini	rank	4.66271569736039	0.0828383099503085	3
nochim|ln|classic|rank	nochim|ln|classic	rank	20.2143556940288	0.442369791412782	0
prechimera|ln|classic|rank	prechimera|ln|classic	rank	20.3199168723754	0.424828327040438	1
nochim|log2|classic|rank	nochim|log2|classic	rank	20.2143556940288	0.442369791412782	0
prechimera|log2|classic|rank	prechimera|log2|classic	rank	20.3199168723754	0.424828327040438	1
nochim|log10|classic|rank	nochim|log10|classic	rank	20.2143556940288	0.442369791412782	0
prechimera|log10|classic|rank	prechimera|log10|classic	rank	20.3199168723754	0.424828327040438	1
nochim|ln|inverse|rank	nochim|ln|inverse	rank	4.68970803901906	0.0911764953000188	0
prechimera|ln|inverse|rank	prechimera|ln|inverse	rank	4.66271569736039	0.0828383099503085	3
nochim|log2|inverse|rank	nochim|log2|inverse	rank	4.68970803901906	0.0911764953000188	0
prechimera|log2|inverse|rank	prechimera|log2|inverse	rank	4.66271569736039	0.0828383099503085	3
nochim|log10|inverse|rank	nochim|log10|inverse	rank	4.68970803901906	0.0911764953000188	0
prechimera|log10|inverse|rank	prechimera|log10|inverse	rank	4.66271569736039	0.0828383099503085	3
