Run	Richness	Shannon	Simpson	depth
ERR16879144	78	2.97624423918893	0.88936109513318	50188
ERR16879145	37	2.39885379461152	0.866996948365004	70530
ERR16879146	24	1.66698969736228	0.735866650918918	56927
ERR16879147	37	1.6179384056608	0.700229954212632	57542
ERR16879148	40	2.86718474154681	0.909272227829776	20196
ERR16879149	136	3.88348809416292	0.964582655827448	38872
ERR16879150	117	3.46741419387193	0.936061040684776	72526
ERR16879151	47	2.20644653004328	0.745222731120076	33397
ERR16879152	116	4.04669677575369	0.972667764380436	16077
ERR16879153	25	2.57499238026527	0.892958206392701	27785
ERR16879155	54	2.9879584976148	0.917288161344134	14215
ERR16879156	43	3.0049068236066	0.929266580815202	42590
ERR16879157	51	2.46869817243266	0.850902235010697	23701
ERR16879158	39	2.12785011608233	0.814873391684802	53245
ERR16879159	96	3.24163129494143	0.927680038771979	61528
ERR16879160	31	2.29705325865804	0.883853261742622	56855
ERR16879161	23	1.98622769778669	0.790170429096309	51811
ERR16879162	66	3.31119447489061	0.945026962978574	21593
ERR16879164	56	3.0528639016244	0.922669000315824	31136
ERR16879165	19	1.90850657239299	0.810112216020048	34915
ERR16879166	25	2.09083401385834	0.834879357950743	14062
ERR16879167	105	3.4327579022256	0.938297149967557	54749
ERR16879168	36	2.54536841659319	0.871412931296183	47620
ERR16879169	100	3.05132420569139	0.889667216604375	55938
ERR16879171	64	2.78265644809984	0.885703617005949	49353
ERR16879172	23	1.98697918296259	0.795099043999007	43775
ERR16879173	34	1.86109808650226	0.638860976687758	26128
ERR16879174	22	1.83702804112187	0.740794502777955	24025
ERR16879175	43	2.8289838676939	0.904903859534966	43072
ERR16879176	76	3.12972069846009	0.905393544522405	81495
ERR16879177	41	2.38524062121529	0.854901542051897	28858
ERR16879178	47	2.67982184100716	0.89782928608421	33442
ERR16879179	47	2.74098702551217	0.903755261399635	35228
ERR16879180	17	1.78258106130331	0.759588478686771	15054
ERR16879181	20	1.94774441828743	0.788165314376049	24668
ERR16879182	71	3.52870790530302	0.957321160676733	25038
ERR16879183	75	3.70894530788326	0.966629295099269	37017
ERR16879184	20	1.82789446401481	0.794402678746383	26347
ERR16879185	59	2.66211362010453	0.868365243101736	40767
ERR16879187	53	2.46659724450404	0.826573510382062	12534
ERR16879188	29	1.78190905993515	0.731100356110767	91679
ERR16879189	18	1.88431131124259	0.819708857545707	10268
ERR16879190	26	2.07921469616884	0.814206331238928	19793
ERR16879191	23	2.29359991134727	0.864563840967192	28822
ERR16879192	34	2.27976720351591	0.827734244504172	31924
ERR16879193	24	2.44745130761198	0.869677944331101	10876
ERR16879194	49	2.56284973747939	0.856722926661264	33204
ERR16879195	21	2.16258437124224	0.859888751567679	30653
ERR16879196	75	3.31207139580158	0.940347677487852	28732
ERR16879197	39	2.73996445763632	0.907872874700516	26612
ERR16879198	250	5.04330743958933	0.990410900189479	24975
ERR16879199	41	2.80631750576135	0.895105557076856	25325
ERR16879200	23	2.35495681508235	0.880917606844165	25949
