Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_strain,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,treatment
SRR10948066,AMPLICON,552,68661361,PRJNA602524,SAMN13898088,Metagenome or environmental,42835941,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615194,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.1.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,GVHD.32.1.1,SRP243834,Control
SRR10948067,AMPLICON,552,92520867,PRJNA602524,SAMN13898087,Metagenome or environmental,55266369,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615193,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.ABX.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,GVHD.27.Obese.ABX.3,SRP243834,Obese.ABX
SRR10948068,AMPLICON,552,89494106,PRJNA602524,SAMN13898086,Metagenome or environmental,53756135,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615192,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.ABX.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,GVHD.27.Obese.ABX.2,SRP243834,Obese.ABX
SRR10948069,AMPLICON,552,85941759,PRJNA602524,SAMN13898085,Metagenome or environmental,52351611,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615191,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.ABX.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,GVHD.27.Obese.ABX.1,SRP243834,Obese.ABX
SRR10948070,AMPLICON,552,79021058,PRJNA602524,SAMN13898084,Metagenome or environmental,47663782,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615190,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,GVHD.27.Obese.3,SRP243834,Obese
SRR10948071,AMPLICON,552,71907408,PRJNA602524,SAMN13898128,Metagenome or environmental,41187987,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615189,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,D14.ABX.3-3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,D14.ABX.3-3,SRP243834,DIO.ABX
SRR10948072,AMPLICON,552,62598896,PRJNA602524,SAMN13898127,Metagenome or environmental,36259139,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615188,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,D14.ABX.3-2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,D14.ABX.3-2,SRP243834,DIO.ABX
SRR10948073,AMPLICON,552,58816066,PRJNA602524,SAMN13898126,Metagenome or environmental,33745954,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615187,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,D14.ABX.3-1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,D14.ABX.3-1,SRP243834,DIO.ABX
SRR10948074,AMPLICON,552,66641776,PRJNA602524,SAMN13898125,Metagenome or environmental,38018162,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615186,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD30.2-3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,GVHD30.2-3,SRP243834,DIO
SRR10948075,AMPLICON,552,63499145,PRJNA602524,SAMN13898124,Metagenome or environmental,36242017,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615185,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD30.2-2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,GVHD30.2-2,SRP243834,DIO
