run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688153	PRJEB16057	SAMEA4506928	408170	human gut metagenome	10564.0WRD31TT	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688153/10564.0WRD31TT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688153
ERR1688157	PRJEB16057	SAMEA4506932	408170	human gut metagenome	10564.341XO3HG	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688157/10564.341XO3HG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688157
ERR1688158	PRJEB16057	SAMEA4506933	408170	human gut metagenome	10564.3BU9LU2P	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688158/10564.3BU9LU2P.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688158
ERR1688159	PRJEB16057	SAMEA4506934	408170	human gut metagenome	10564.3XAL3UBS	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688159/10564.3XAL3UBS.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688159
ERR1688160	PRJEB16057	SAMEA4506935	408170	human gut metagenome	10564.42YFD61N	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688160/10564.42YFD61N.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688160
ERR1688161	PRJEB16057	SAMEA4506936	408170	human gut metagenome	10564.4784ZBIO	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688161/10564.4784ZBIO.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688161
ERR1688166	PRJEB16057	SAMEA4506941	408170	human gut metagenome	10564.8HDXIBAS	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688166/10564.8HDXIBAS.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688166
ERR1688169	PRJEB16057	SAMEA4506944	408170	human gut metagenome	10564.9D0DVCHL	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688169/10564.9D0DVCHL.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688169
ERR1688171	PRJEB16057	SAMEA4506946	408170	human gut metagenome	10564.9PY3RYTB	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688171/10564.9PY3RYTB.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688171
ERR1688173	PRJEB16057	SAMEA4506948	408170	human gut metagenome	10564.9XP5HOGY	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688173/10564.9XP5HOGY.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688173
ERR1688174	PRJEB16057	SAMEA4506949	408170	human gut metagenome	10564.AWGSVE2C	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688174/10564.AWGSVE2C.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688174
ERR1688176	PRJEB16057	SAMEA4506951	408170	human gut metagenome	10564.BGI6J297	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688176/10564.BGI6J297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688176
ERR1688179	PRJEB16057	SAMEA4506954	408170	human gut metagenome	10564.BM9MHXUD	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688179/10564.BM9MHXUD.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688179
