run_accession	study_accession	sample_accession	fastq_ftp
ERR1688153	PRJEB16057	SAMEA4506928	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688153/ERR1688153.fastq.gz
ERR1688157	PRJEB16057	SAMEA4506932	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688157/ERR1688157.fastq.gz
ERR1688158	PRJEB16057	SAMEA4506933	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688158/ERR1688158.fastq.gz
ERR1688159	PRJEB16057	SAMEA4506934	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688159/ERR1688159.fastq.gz
ERR1688160	PRJEB16057	SAMEA4506935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688160/ERR1688160.fastq.gz
ERR1688161	PRJEB16057	SAMEA4506936	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688161/ERR1688161.fastq.gz
ERR1688166	PRJEB16057	SAMEA4506941	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688166/ERR1688166.fastq.gz
ERR1688169	PRJEB16057	SAMEA4506944	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688169/ERR1688169.fastq.gz
ERR1688171	PRJEB16057	SAMEA4506946	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688171/ERR1688171.fastq.gz
ERR1688173	PRJEB16057	SAMEA4506948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688173/ERR1688173.fastq.gz
ERR1688174	PRJEB16057	SAMEA4506949	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688174/ERR1688174.fastq.gz
ERR1688176	PRJEB16057	SAMEA4506951	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688176/ERR1688176.fastq.gz
ERR1688179	PRJEB16057	SAMEA4506954	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688179/ERR1688179.fastq.gz
ERR1688182	PRJEB16057	SAMEA4506957	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688182/ERR1688182.fastq.gz
ERR1688184	PRJEB16057	SAMEA4506959	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688184/ERR1688184.fastq.gz
ERR1688185	PRJEB16057	SAMEA4506960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688185/ERR1688185.fastq.gz
ERR1688188	PRJEB16057	SAMEA4506963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688188/ERR1688188.fastq.gz
ERR1688189	PRJEB16057	SAMEA4506964	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688189/ERR1688189.fastq.gz
ERR1688195	PRJEB16057	SAMEA4506970	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688195/ERR1688195.fastq.gz
ERR1688197	PRJEB16057	SAMEA4506972	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688197/ERR1688197.fastq.gz
ERR1688201	PRJEB16057	SAMEA4506976	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688201/ERR1688201.fastq.gz
ERR1688202	PRJEB16057	SAMEA4506977	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688202/ERR1688202.fastq.gz
ERR1688204	PRJEB16057	SAMEA4506979	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688204/ERR1688204.fastq.gz
ERR1688206	PRJEB16057	SAMEA4506981	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688206/ERR1688206.fastq.gz
ERR1688210	PRJEB16057	SAMEA4506985	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688210/ERR1688210.fastq.gz
ERR1688213	PRJEB16057	SAMEA4506988	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688213/ERR1688213.fastq.gz
ERR1688214	PRJEB16057	SAMEA4506989	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688214/ERR1688214.fastq.gz
ERR1688216	PRJEB16057	SAMEA4506991	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688216/ERR1688216.fastq.gz
ERR1688217	PRJEB16057	SAMEA4506992	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688217/ERR1688217.fastq.gz
