sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SRR28352819	Artacho2024	200723	90720	45454	45087	44217	43563	43561	43414	
SRR28352820	Artacho2024	155655	154256	111988	111681	110845	102918	102916	102860	
SRR28352821	Artacho2024	160377	158851	110025	109721	108794	104297	104297	103515	
SRR28352822	Artacho2024	157387	155864	115033	114698	113795	112729	112729	112185	
SRR28352823	Artacho2024	216336	96667	46327	44584	42142	41054	40800	40365	
SRR28352824	Artacho2024	148052	146531	102621	101926	100761	95767	95760	92012	
SRR28352825	Artacho2024	197931	89913	44715	44482	43929	41211	41211	41199	
SRR28352826	Artacho2024	131013	129595	87817	87349	86259	80666	80666	80629	
SRR28352827	Artacho2024	174358	78785	38644	38471	38125	36485	36485	36441	
SRR28352828	Artacho2024	129531	128219	88870	87102	83709	78650	78639	76980	
SRR28352829	Artacho2024	200248	89804	45813	45573	44465	39608	39606	39606	
SRR28352830	Artacho2024	142754	63768	27103	27024	26791	26592	26592	26592	
SRR28352831	Artacho2024	247757	111575	63096	62840	62124	60053	60047	60026	
SRR28352832	Artacho2024	182428	180666	114714	114239	112154	107409	107396	107223	
SRR28352833	Artacho2024	156708	155259	113191	113010	112374	106825	106823	106819	
SRR28352834	Artacho2024	156013	154204	91144	89688	87402	82611	82217	81358	
SRR28352835	Artacho2024	173387	78235	38974	38638	37289	35476	35427	35296	
SRR28352836	Artacho2024	86777	85842	59143	58845	57503	49318	49318	44576	
SRR28352837	Artacho2024	324402	321252	220423	220094	215340	197420	197420	173972	
SRR28352838	Artacho2024	186112	184074	111848	110104	107280	103186	102860	101571	
SRR28352839	Artacho2024	110875	49195	25423	25335	24927	22012	22012	21931	
SRR28352840	Artacho2024	116504	52493	23601	23286	22786	22126	22112	21451	
SRR28352841	Artacho2024	128460	127202	89874	89263	87757	84065	84065	83928	
SRR28352842	Artacho2024	73110	33273	12861	12834	12824	12772	12772	12772	
SRR28352843	Artacho2024	128327	127106	83652	83059	81774	79144	79138	78752	
SRR28352844	Artacho2024	94173	42457	16499	16466	16431	16339	16118	16118	
SRR28352845	Artacho2024	173154	171151	118307	118085	117581	116769	116767	116758	
SRR28352846	Artacho2024	95084	42845	16425	16291	16035	15869	15869	15867	
SRR28352847	Artacho2024	154245	152727	107365	107008	105588	100351	100351	100215	
SRR28352848	Artacho2024	105215	46572	14650	14495	14387	14270	14270	14270	
SRR28352849	Artacho2024	133286	131633	85473	84743	83117	79759	79384	78233	
SRR28352850	Artacho2024	179806	81449	41510	40704	39030	38177	38064	35648	
SRR28352851	Artacho2024	218977	99100	52133	51454	50207	46818	46813	46546	
SRR28352852	Artacho2024	161686	72992	36342	36100	35529	34454	34448	34409	
SRR28352853	Artacho2024	66272	65518	43437	42566	41280	40163	40110	38602	
SRR28352854	Artacho2024	220458	99139	40064	39912	39707	39556	39556	39546	
SRR28352855	Artacho2024	107523	106411	80526	80180	79480	77208	76974	76672	
SRR28352856	Artacho2024	142123	64059	28457	28385	28198	28181	28181	28143	
SRR28352857	Artacho2024	232418	228732	75678	74529	70215	61085	61006	59318	
SRR28352858	Artacho2024	189117	84679	39727	39149	38124	36719	36699	36295	
SRR28352859	Artacho2024	121568	120250	82477	81994	79390	73122	73122	73099	
SRR28352860	Artacho2024	61230	56195	28632	28402	27942	26828	26828	26796	
SRR28352861	Artacho2024	132885	131175	94301	93488	91408	80062	80062	80060	
SRR28352862	Artacho2024	48744	48370	35543	35281	34818	32112	32109	32097	
SRR28352863	Artacho2024	61579	61029	41630	41262	40660	40136	40136	40120	
SRR28352864	Artacho2024	88926	87489	63983	63808	63349	58089	58089	58089	
SRR28352865	Artacho2024	184636	182371	59541	58857	56998	54531	54526	54500	
SRR28352866	Artacho2024	83005	81975	59967	59291	58184	56582	56550	55947	
SRR28352867	Artacho2024	166810	155355	21780	21548	20150	19759	19456	19450	
SRR28352868	Artacho2024	126441	116225	7888	7784	7225	6675	6675	6675	
SRR28352869	Artacho2024	86990	86154	54689	54400	53621	50931	50931	50851	
SRR28352870	Artacho2024	92324	91504	70255	69420	67519	63127	63090	62528	
SRR28352871	Artacho2024	83891	83075	65044	64751	63827	58832	58827	57893	
SRR28352872	Artacho2024	166503	165086	107677	107251	105355	103087	103037	102605	
SRR28352873	Artacho2024	85239	84487	64472	64127	63302	59082	59069	56257	
SRR28352874	Artacho2024	192782	190922	137264	136625	133295	119671	119669	118954	
SRR28352875	Artacho2024	195464	193631	92227	90414	85716	75469	74130	73437	
SRR28352876	Artacho2024	226298	224251	121905	120437	116183	107165	105369	103775	
SRR28352877	Artacho2024	129881	128703	89913	89623	88767	85758	85758	85753	
SRR28352878	Artacho2024	129889	128713	81986	81632	80874	78701	78699	78693	
SRR28352879	Artacho2024	67411	66761	44980	44851	44660	43359	43359	43344	
SRR28352880	Artacho2024	161753	160077	101946	101578	100161	93377	93377	93377	
SRR28352881	Artacho2024	158416	156933	110145	109960	109029	105531	105531	105531	
SRR28352882	Artacho2024	129987	128669	78463	77192	75079	73376	73076	70446	
SRR28352883	Artacho2024	133341	132052	83292	83110	82711	82532	82532	80482	
SRR28352884	Artacho2024	83901	83209	53342	52413	51155	49673	49562	48049	
SRR28352885	Artacho2024	100653	99636	62693	62313	61861	61517	61517	61463	
SRR28352886	Artacho2024	110593	109600	66027	65562	64540	63562	63492	62847	
SRR28352887	Artacho2024	128382	127228	78818	78426	77637	77220	77136	75972	
SRR28352888	Artacho2024	157933	156410	93434	92899	91415	90527	90509	90348	
SRR28352889	Artacho2024	158034	156534	96955	96144	94818	92693	92693	92685	
SRR28352890	Artacho2024	229978	228070	110822	108687	104170	94943	94733	93993	
SRR28352891	Artacho2024	147036	65182	32415	32166	31330	28583	28583	27095	
SRR28352892	Artacho2024	119046	117872	85080	84902	83169	80681	80681	80665	
SRR28352893	Artacho2024	107773	106090	42644	41893	40883	39650	39650	39210	
SRR28352894	Artacho2024	172585	170994	103596	102817	100828	97119	97119	94432	
SRR28352895	Artacho2024	60529	27520	15232	15170	14835	14509	14509	14509	
SRR28352896	Artacho2024	260080	242104	32433	32262	30424	27885	27885	27885	
SRR28352897	Artacho2024	197370	88860	42284	41653	40165	39169	39146	36191	
SRR28352898	Artacho2024	153359	68815	36145	35917	35335	33592	33586	33558	
SRR28352899	Artacho2024	154820	69414	38854	38573	37811	36470	36470	35058	
SRR28352900	Artacho2024	186282	83945	46570	46006	44946	42655	42580	42159	
SRR28352901	Artacho2024	133277	131874	92094	91341	90197	86465	86447	80566	
SRR28352902	Artacho2024	225727	100648	48586	47883	46841	44726	44716	39629	
SRR28352903	Artacho2024	183368	181378	125530	124832	122649	112179	112169	110830	
SRR28352904	Artacho2024	127432	126145	92688	92342	91540	89780	89776	89713	
SRR28352905	Artacho2024	181935	180444	115705	115023	113275	98869	98860	98809	
SRR28352906	Artacho2024	196399	88361	41478	41275	40205	36836	36836	36832	
SRR28352907	Artacho2024	179688	80106	41420	41173	40007	37919	37915	37284	
SRR28352908	Artacho2024	188589	84591	40642	40489	39386	38741	38741	38715	
SRR28352909	Artacho2024	188697	85058	40628	40499	39049	37960	37960	37958	
SRR28352910	Artacho2024	159924	158309	113200	112676	111614	98851	98851	98511	
SRR28352911	Artacho2024	169059	76261	41532	41325	40835	39185	39185	39183	
SRR28352912	Artacho2024	183608	181526	120084	118335	113737	102254	102254	98869	
SRR28352913	Artacho2024	307640	287287	32021	31815	30491	28576	28576	28184	
SRR28352914	Artacho2024	241064	224076	13544	13488	13205	12583	12583	12583	
SRR28352915	Artacho2024	172859	171089	124045	123398	121776	114815	114812	114751	
SRR28352916	Artacho2024	181158	179303	112450	110714	107825	103364	103344	96884	
SRR28352917	Artacho2024	133761	132363	93217	91777	89099	85116	84729	83603	
SRR28352918	Artacho2024	178471	79189	37077	36885	36415	34908	34908	34908	
SRR28352919	Artacho2024	164089	72497	31929	31780	31485	31225	31223	31216	
SRR28352920	Artacho2024	192902	85614	40629	40105	38833	36001	36001	35963	
SRR28352921	Artacho2024	164341	73002	31975	31830	31420	29882	29851	29842	
