sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped
SRR10572396	DAmico2019	15956	15830	13001	12728		11314	11282	11236
SRR10572397	DAmico2019	4816	4755	3806	3736		3647	3647	3629
SRR10572398	DAmico2019	29626	29346	24851	24365		22460	22442	22133
SRR10572399	DAmico2019	29594	29300	24301	23813		20954	20917	20546
SRR10572400	DAmico2019	29469	29182	24182	23856		23282	23225	22993
SRR10572401	DAmico2019	29687	29443	25532	25240		24390	24300	23890
SRR10572402	DAmico2019	21525	21370	18678	18493		17790	17779	17653
SRR10572403	DAmico2019	29724	29513	24940	24607		22767	22736	22597
SRR10572404	DAmico2019	29602	29296	24321	23682		20832	20770	20477
SRR10572405	DAmico2019	29587	29298	22859	22281		20942	20842	20522
SRR10572406	DAmico2019	14160	14008	11635	11511		11014	11014	10981
SRR10572407	DAmico2019	29597	29311	23244	22711		21522	21463	21029
SRR10572408	DAmico2019	29572	29244	23834	23516		21522	21501	21302
SRR10572409	DAmico2019	24382	24139	19049	18881		18663	18651	18602
SRR10572410	DAmico2019	7101	7036	5789	5679		5570	5567	5540
SRR10572411	DAmico2019	29496	29227	23613	23082		21185	20666	20374
SRR10572412	DAmico2019	24097	23876	19341	18847		18294	18117	17462
SRR10572413	DAmico2019	29530	29232	24072	23871		22099	22081	22022
SRR10572414	DAmico2019	29446	29184	24224	23787		22467	22433	21986
SRR10572415	DAmico2019	29536	29256	24236	23652		20869	20821	20474
SRR10572416	DAmico2019	19480	19284	14615	14351		13914	13865	13731
SRR10572417	DAmico2019	29437	29175	23412	23065		20107	20067	19647
SRR10572418	DAmico2019	20558	20371	16845	16428		14962	14951	14904
SRR10572419	DAmico2019	29670	29401	23901	23547		21653	21621	21459
SRR10572420	DAmico2019	29533	29229	23499	22785		20783	20732	19455
SRR10572421	DAmico2019	25804	25559	20835	20586		19365	19354	19218
SRR10572422	DAmico2019	18270	18107	14480	14293		13531	13523	13465
SRR10572423	DAmico2019	29377	29135	20853	20316		19305	19159	18807
SRR10572424	DAmico2019	29528	29237	23891	23540		22782	22753	22312
SRR10572425	DAmico2019	28907	28615	21140	20909		20694	20685	20650
SRR10572426	DAmico2019	29691	29430	25154	24820		22375	22345	22227
SRR10572427	DAmico2019	28754	28455	23569	23364		23169	23154	23057
SRR10572428	DAmico2019	29466	29227	23965	23706		22299	22142	21553
SRR10572429	DAmico2019	29695	29425	23894	23126		21836	21588	20880
SRR10572430	DAmico2019	29681	29385	23089	22357		21406	20870	20131
SRR10572431	DAmico2019	29726	29466	23504	23129		22460	22365	22073
SRR10572432	DAmico2019	9152	9070	7823	7560		7492	7211	5531
SRR10572433	DAmico2019	11904	11798	9864	9564		9099	9075	8965
SRR10572434	DAmico2019	29432	29178	23336	22737		21027	20567	16960
SRR10572435	DAmico2019	29132	28826	23943	23669		22625	22606	22485
SRR10572436	DAmico2019	21035	20875	15809	15482		14733	14683	14432
SRR10572437	DAmico2019	29564	29302	22783	22133		20294	20268	20053
SRR10572438	DAmico2019	29377	29098	23216	22623		20626	20618	20522
SRR10572439	DAmico2019	13979	13877	11259	10950		10153	10127	9990
SRR10572440	DAmico2019	29456	29164	22319	21705		19398	19383	19195
SRR10572441	DAmico2019	13801	13683	10958	10799		10303	10300	10268
SRR10572442	DAmico2019	11514	11094	8852	8720		7954	7954	7540
SRR10572443	DAmico2019	28854	28128	22633	22467		22460	22449	22080
SRR10572444	DAmico2019	29529	29245	22439	21765		20209	20110	19617
SRR10572445	DAmico2019	29678	29414	24555	23932		21640	21626	21472
SRR10572446	DAmico2019	22660	22480	17919	17640		16112	16096	15959
SRR10572447	DAmico2019	29714	29473	24312	23871		22046	21911	21484
SRR10572448	DAmico2019	29673	29399	23920	23291		20375	20281	19935
SRR10572449	DAmico2019	12152	12003	10833	10574		9841	9835	9570
SRR10572450	DAmico2019	29056	28314	22901	22691		21039	21030	18865
SRR10572451	DAmico2019	29261	28724	24566	24258		22534	22519	22255
SRR10572452	DAmico2019	29639	29333	24954	24533		22843	22800	22488
SRR10572453	DAmico2019	12581	12466	10612	10538		10242	10242	10205
SRR10572454	DAmico2019	29543	29242	23274	23047		21072	21068	20957
SRR10572455	DAmico2019	18382	18246	15282	15162		13913	13894	13861
SRR10572456	DAmico2019	14329	14237	12153	12103		11787	11787	11755
SRR10572457	DAmico2019	10564	10475	8653	8490		7773	7757	7678
SRR10572458	DAmico2019	13572	13441	10669	10430		10029	10018	9935
SRR10572459	DAmico2019	29678	29389	25274	25018		21926	21906	21834
SRR10572460	DAmico2019	29636	29388	24812	24419		20867	18983	18806
SRR10572461	DAmico2019	29774	29496	25533	25201		23279	23262	22998
SRR10572462	DAmico2019	8669	8613	7645	7119		6986	6982	6925
SRR10572463	DAmico2019	29583	29299	23262	22669		21170	20874	19788
SRR10572464	DAmico2019	27925	27669	22125	21565		20127	19857	19552
SRR10572465	DAmico2019	10563	10469	8362	8110		7614	7513	7380
SRR10572466	DAmico2019	17258	17108	13543	13229		12812	12797	12682
SRR10572467	DAmico2019	15023	14875	11871	11636		11174	11160	11051
SRR10572468	DAmico2019	11624	11538	10221	10110		9877	9875	9862
SRR10572469	DAmico2019	7052	6991	5692	5426		5217	5109	4530
SRR10572470	DAmico2019	25368	25153	20766	20135		19266	19178	17895
SRR10572471	DAmico2019	14903	14718	12201	11782		11341	11273	10580
SRR10572472	DAmico2019	29107	28799	21688	21458		21288	20785	20296
SRR10572473	DAmico2019	17219	17037	14002	13593		12987	12832	12086
SRR10572474	DAmico2019	21710	21537	17977	17675		16441	15517	15293
SRR10572475	DAmico2019	13308	13200	11258	11032		10782	10736	10554
SRR10572476	DAmico2019	22207	22003	16460	15897		14240	14185	13983
SRR10572477	DAmico2019	8052	7994	6493	6255		5987	5971	5923
SRR10572478	DAmico2019	5139	5108	4028	3859		3750	3747	3688
SRR10572479	DAmico2019	29248	29027	22433	21968		20417	20366	20174
SRR10572480	DAmico2019	29159	28874	22256	22025		20520	20497	20373
SRR10572481	DAmico2019	23231	23036	18270	18167		17832	17775	17728
SRR10572482	DAmico2019	29642	29371	23780	23176		21834	21637	20854
SRR10572483	DAmico2019	23419	23237	19363	19032		17341	17228	17102
SRR10572484	DAmico2019	29260	28995	23053	22659		20224	20191	19988
SRR10572485	DAmico2019	29614	29391	24950	24587		22591	22573	22387
SRR10572486	DAmico2019	29600	29380	24667	24252		20927	20880	20662
