sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SRR28984048	Fujimoto2024	35144	34987	32799	32782	32746	32679	32679	32677	
SRR28984052	Fujimoto2024	101468	100978	81372	81276	81073	80666	80666	80658	
SRR28984053	Fujimoto2024	101203	100449	83435	83194	82448	69352	69352	69345	
SRR28984054	Fujimoto2024	159151	157806	121196	118185	113782	99675	95824	50844	
SRR28984055	Fujimoto2024	129335	128378	105830	104336	99767	71487	71483	71311	
SRR28984056	Fujimoto2024	119297	118475	94570	94479	94290	93704	93704	93684	
SRR28984057	Fujimoto2024	140857	140017	116352	116186	115652	113908	113698	112585	
SRR28984058	Fujimoto2024	103870	103196	86674	86628	86428	85936	85936	85777	
SRR28984059	Fujimoto2024	133359	132377	110943	110797	109442	94480	94480	94441	
SRR28984060	Fujimoto2024	109060	108270	88509	88360	88047	86342	86342	86338	
SRR28984061	Fujimoto2024	95194	93401	73507	72449	70465	42628	42621	42008	
SRR28984062	Fujimoto2024	64414	63398	55216	51358	46614	30776	30031	28711	
SRR28984063	Fujimoto2024	133347	132318	106415	105879	104259	93620	93620	93440	
SRR28984064	Fujimoto2024	101350	100625	81366	81030	80041	75680	75680	75680	
SRR28984065	Fujimoto2024	117147	116166	96444	96359	95807	93458	93458	93245	
SRR28984066	Fujimoto2024	102238	101456	83404	83057	82129	77637	77632	77621	
SRR28984067	Fujimoto2024	26964	26817	23874	23841	23802	23760	23760	23729	
SRR28984068	Fujimoto2024	93165	92386	75151	73774	71331	60929	60918	60792	
SRR28984069	Fujimoto2024	64688	64165	57458	56669	55631	50153	50061	49495	
SRR28984070	Fujimoto2024	111490	110593	89642	88595	87016	77061	77057	76554	
SRR28984071	Fujimoto2024	112091	111549	90568	89412	87374	77734	77682	77475	
SRR28984072	Fujimoto2024	122333	121628	97078	96094	94173	83163	83161	82972	
SRR28984073	Fujimoto2024	121702	120987	95141	94316	92741	85129	85126	84679	
SRR28984074	Fujimoto2024	114999	114367	91969	91761	91205	82998	82998	82482	
SRR28984075	Fujimoto2024	109636	109030	85052	83914	81534	67397	67397	66962	
SRR28984076	Fujimoto2024	85739	85015	68204	67140	64869	53211	53193	53099	
SRR28984077	Fujimoto2024	117660	116579	93429	92400	90505	71213	71213	61129	
