sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped
ERR2666851	Ingham2019	4310		3762	3692		2976	2927	2624
ERR2666852	Ingham2019	3927		3473	3363		2734	2732	2612
ERR2666853	Ingham2019	3687		3267	3160		2884	2845	2733
ERR2666854	Ingham2019	5060		3064	2652		1682	1655	1412
ERR2666855	Ingham2019	18537		15978	15616		10299	10292	9354
ERR2666856	Ingham2019	6078		4794	4717		4665	4655	4611
ERR2666857	Ingham2019	4317		3673	3609		3355	3350	3350
ERR2666858	Ingham2019	4043		3343	3331		3326	3326	3324
ERR2666859	Ingham2019	2168		1640	1616		1616	1616	1611
ERR2666860	Ingham2019	26283		7985	7942		7942	7933	7903
ERR2666861	Ingham2019	6325		5773	5708		5589	5577	5466
ERR2666862	Ingham2019	4726		4197	4062		3230	3222	3073
ERR2666863	Ingham2019	6358		960	889		782	714	654
ERR2666864	Ingham2019	5061		3555	3499		3391	3232	3172
ERR2666865	Ingham2019	4049		193	150		110	74	45
ERR2666866	Ingham2019	4462		3754	3611		3256	3241	3185
ERR2666867	Ingham2019	4120		3653	3603		3492	3492	3343
ERR2666868	Ingham2019	7059		6295	6123		4175	4089	3950
ERR2666869	Ingham2019	7587		4784	4425		3610	3523	2690
ERR2666870	Ingham2019	8032		5070	4699		3667	3391	3175
ERR2666871	Ingham2019	3664		2148	1830		1710	1568	1470
ERR2666872	Ingham2019	3412		3023	3005		2984	2976	2964
ERR2666873	Ingham2019	3825		3381	3332		3332	3332	3318
ERR2666874	Ingham2019	5896		5381	5344		5329	5329	5309
ERR2666875	Ingham2019	3637		2502	2237		1995	1988	1852
ERR2666876	Ingham2019	4434		3942	3899		3899	3899	3807
ERR2666877	Ingham2019	3631		3240	3200		3171	3171	2958
ERR2666878	Ingham2019	10382		7850	7265		5216	5199	4909
ERR2666879	Ingham2019	7649		6758	6682		6595	6582	6325
ERR2666880	Ingham2019	7917		6314	6245		6242	5890	5864
ERR2666881	Ingham2019	17062		14394	14087		11064	10965	10577
ERR2666882	Ingham2019	5075		4271	4236		4236	4228	4228
ERR2666883	Ingham2019	4431		3077	2985		2930	2862	2440
ERR2666884	Ingham2019	6176		5249	5213		5204	5201	5191
ERR2666885	Ingham2019	5770		4881	4757		4507	4498	4381
ERR2666886	Ingham2019	5730		5173	5135		5135	5135	5127
ERR2666887	Ingham2019	16604		14772	14665		14661	14661	14627
ERR2666888	Ingham2019	1155		1019	1001		1001	996	987
ERR2666889	Ingham2019	683		561	553		553	551	549
ERR2666890	Ingham2019	607		497	486		486	486	486
ERR2666891	Ingham2019	7440		6013	5526		3672	3605	3131
ERR2666892	Ingham2019	6132		4981	4740		3114	3077	2913
ERR2666893	Ingham2019	7683		6257	6028		3765	3724	3540
ERR2666894	Ingham2019	3728		2888	2597		1965	1923	1827
ERR2666895	Ingham2019	2459		1978	1785		1692	1681	1632
ERR2666896	Ingham2019	3019		2596	2505		2363	2339	2226
ERR2666897	Ingham2019	12201		10135	9877		8478	8402	8148
ERR2666898	Ingham2019	6221		5408	5322		4759	4692	4613
ERR2666899	Ingham2019	2943		2538	2481		2007	1954	1867
ERR2666900	Ingham2019	7637		5919	5870		5870	5868	5854
ERR2666901	Ingham2019	8519		7524	7456		7407	7389	7282
ERR2666902	Ingham2019	9120		8130	8053		7416	7413	7200
ERR2666903	Ingham2019	7566		6533	6390		5388	5364	4899
ERR2666904	Ingham2019	7565		6214	6117		6070	6052	5887
ERR2666905	Ingham2019	6615		4814	4729		4624	4594	4164
ERR2666906	Ingham2019	15440		7564	7353		6505	6311	5072
ERR2666907	Ingham2019	18388		6428	5967		4220	4163	3591
ERR2666908	Ingham2019	20793		13511	12661		8333	8171	7675
ERR2666909	Ingham2019	8610		4368	4309		4100	3802	3670
ERR2666910	Ingham2019	11574		6807	6693		6131	5946	5587
ERR2666911	Ingham2019	11949		8212	8090		7151	6796	6592
ERR2666912	Ingham2019	16206		10598	8932		5328	4937	4348
ERR2666913	Ingham2019	12843		9505	8970		3677	3515	3248
ERR2666914	Ingham2019	19438		9604	9246		8682	8506	8377
ERR2666915	Ingham2019	3723		3176	2996		2476	2383	2265
ERR2666916	Ingham2019	2598		2261	2206		1819	1815	1789
ERR2666917	Ingham2019	2851		2506	2442		1877	1877	1743
ERR2666918	Ingham2019	16171		12462	11881		9564	9421	8950
ERR2666919	Ingham2019	10315		6901	6697		4152	3923	3544
ERR2666920	Ingham2019	18735		16551	16023		11564	11538	10713
ERR2666921	Ingham2019	8712		497	468		468	455	441
ERR2666922	Ingham2019	16705		14777	14267		8250	8109	7697
ERR2666923	Ingham2019	13524		12348	12263		11973	11940	11892
ERR2666924	Ingham2019	13458		11809	11683		9816	9731	8953
ERR2666925	Ingham2019	12860		6809	6605		6594	6590	6552
ERR2666926	Ingham2019	16475		12136	12020		12018	12010	10200
ERR2666927	Ingham2019	422		301	286		286	284	282
ERR2666928	Ingham2019	1651		1218	1088		1042	1039	1001
ERR2666929	Ingham2019	1143		991	952		905	903	900
ERR2666930	Ingham2019	11094		10001	9882		8383	8369	8099
ERR2666931	Ingham2019	6607		5613	5401		3410	3344	2934
ERR2666932	Ingham2019	5864		5159	5097		4918	4882	4708
ERR2666933	Ingham2019	5867		4382	3918		2742	2631	2194
ERR2666934	Ingham2019	2816		2389	2337		2337	2337	2337
ERR2666935	Ingham2019	7874		5689	4935		4056	3910	3673
ERR2666936	Ingham2019	8144		7124	7088		7077	7067	7011
ERR2666937	Ingham2019	6569		5699	5600		5036	5036	4603
ERR2666938	Ingham2019	6573		5675	5584		5206	5158	4960
ERR2666939	Ingham2019	10579		9616	9566		9541	9541	9410
ERR2666940	Ingham2019	11728		10172	10125		10022	9926	9831
ERR2666941	Ingham2019	13296		503	436		324	263	159
ERR2666942	Ingham2019	25397		18893	17948		9190	9049	8633
ERR2666943	Ingham2019	13817		12594	12418		10779	10741	10540
ERR2666944	Ingham2019	9822		8054	7751		7059	7018	6945
ERR2666945	Ingham2019	5407		4684	4658		4658	4658	4649
ERR2666946	Ingham2019	7136		6355	6229		5913	5842	5572
ERR2666947	Ingham2019	3773		3111	3099		3099	3099	3092
