sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped
ERR16879144	Jarosch2023	85913	82527	70597	70413		55299	55299	31644
ERR16879145	Jarosch2023	104017	99985	98677	98526		86296	85092	40128
ERR16879146	Jarosch2023	97338	91888	77684	77607		73153	73153	34211
ERR16879147	Jarosch2023	90518	84159	82198	82064		67853	67853	67772
ERR16879148	Jarosch2023	33078	32421	25189	25064		22978	22978	22369
ERR16879149	Jarosch2023	77757	74565	63711	62930		51444	51444	48259
ERR16879150	Jarosch2023	128458	121868	102471	101807		87039	87039	74927
ERR16879151	Jarosch2023	68734	66425	55145	54951		49152	49152	45940
ERR16879152	Jarosch2023	27874	27243	21330	20933		18233	18233	18127
ERR16879153	Jarosch2023	42599	41453	34535	34436		29629	29629	29629
ERR16879155	Jarosch2023	26268	25161	21867	21547		20611	20611	16982
ERR16879156	Jarosch2023	74578	72227	60811	60659		55343	55343	39920
ERR16879157	Jarosch2023	43727	41674	40662	40423		34698	34698	33072
ERR16879158	Jarosch2023	79999	74482	72766	72358		68378	68378	68051
ERR16879159	Jarosch2023	79473	77781	66410	66069		60385	60385	59368
ERR16879160	Jarosch2023	74958	73639	67843	67775		56135	56135	47589
ERR16879161	Jarosch2023	90893	86068	74232	74156		68651	68651	58786
ERR16879162	Jarosch2023	37154	35991	27748	27449		22775	22775	20948
ERR16879164	Jarosch2023	62145	59680	50387	50002		43373	43373	42100
ERR16879165	Jarosch2023	69132	66055	57415	57389		50673	50673	44015
ERR16879166	Jarosch2023	39981	37813	28835	28682		23487	23487	22778
ERR16879167	Jarosch2023	78671	75358	72888	72376		63554	63554	61693
ERR16879168	Jarosch2023	66440	64812	56687	56560		45065	45065	43987
ERR16879169	Jarosch2023	94979	90376	77940	76914		70695	70695	43569
ERR16879171	Jarosch2023	80865	79403	62323	62101		56374	56374	52010
ERR16879172	Jarosch2023	75251	65957	46789	46762		35370	35370	29602
ERR16879173	Jarosch2023	39571	38253	31663	31467		27654	27654	27486
ERR16879174	Jarosch2023	37833	37047	30515	30305		29678	29678	26812
ERR16879175	Jarosch2023	66922	63552	62199	62061		52537	52537	51468
ERR16879176	Jarosch2023	104524	103038	87907	87742		76621	76621	76597
ERR16879177	Jarosch2023	46646	44339	43509	43420		36228	36228	25854
ERR16879178	Jarosch2023	51066	49190	38331	38030		36256	36256	33225
ERR16879179	Jarosch2023	64402	62552	61412	61224		55553	55553	53704
ERR16879180	Jarosch2023	26255	25253	24429	24318		23033	23033	11403
ERR16879181	Jarosch2023	41819	40428	39335	39161		36860	36860	19120
ERR16879182	Jarosch2023	51467	50145	48795	48627		45015	45015	40731
ERR16879183	Jarosch2023	60638	58277	57109	56880		49119	48985	47086
ERR16879184	Jarosch2023	58569	57196	55953	55825		49700	49700	49574
ERR16879185	Jarosch2023	71366	67455	58020	57805		52424	52424	45202
ERR16879187	Jarosch2023	21960	20947	20256	19549		18783	18783	18556
ERR16879188	Jarosch2023	171970	163265	160830	160789		140619	140619	139233
ERR16879189	Jarosch2023	18946	17925	17500	17447		15890	15890	13921
ERR16879190	Jarosch2023	36865	35066	34143	33842		31277	31277	15961
ERR16879191	Jarosch2023	46238	43477	42458	42430		39705	39705	39150
ERR16879192	Jarosch2023	53898	52249	49979	49884		48268	48268	42380
ERR16879193	Jarosch2023	27022	25775	25089	24823		20671	20671	20600
ERR16879194	Jarosch2023	58040	52719	51743	51578		47324	47324	47259
ERR16879195	Jarosch2023	47420	44130	43257	43180		38826	38826	37593
ERR16879196	Jarosch2023	43664	41144	40269	39980		34621	34621	32856
ERR16879197	Jarosch2023	43098	40428	39548	39399		34998	34998	32390
ERR16879198	Jarosch2023	42107	39804	39090	37285		28768	28768	27425
ERR16879199	Jarosch2023	44799	42433	41676	41580		35248	35248	35074
ERR16879200	Jarosch2023	40224	37626	36809	36720		32497	32497	31457
