sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped
SRR22325885	Vallet2023	75522	68144	51358	51322	51206	50222	50178	50178
SRR22325886	Vallet2023	50171	45507	32656	32469	31624	28941	28941	28892
SRR22325887	Vallet2023	54026	48827	35054	34775	33725	32706	32699	32516
SRR22325888	Vallet2023	62167	55625	36490	36333	35715	35542	35483	35078
SRR22325889	Vallet2023	45919	42244	31122	30788	29290	23010	23010	23004
SRR22325890	Vallet2023	50797	47139	33398	33351	33173	33107	33107	32711
SRR22325891	Vallet2023	14611	13126	8833	8800	8787	8783	8783	7845
SRR22325892	Vallet2023	46656	43385	30503	30345	29589	28800	28796	24113
SRR22325893	Vallet2023	45908	41714	28849	28670	28368	24360	24360	24247
SRR22325894	Vallet2023	66467	61192	41996	41930	41755	41668	41668	38007
SRR22325895	Vallet2023	52685	48620	36400	36234	35117	31149	31149	31087
SRR22325896	Vallet2023	25413	23261	15566	15554	15539	15535	15535	15532
SRR22325897	Vallet2023	58750	54893	38894	38852	38470	35605	35605	35603
SRR22325898	Vallet2023	49976	47145	35535	35368	34128	30647	30601	29852
SRR22325899	Vallet2023	62783	55532	40389	40301	39708	39307	39307	38178
SRR22325900	Vallet2023	64349	58584	42548	42308	40408	36253	36253	35667
SRR22325901	Vallet2023	39208	36429	24768	24740	24680	24672	24672	24671
SRR22325902	Vallet2023	28428	25446	17989	17945	17839	17832	17793	17793
SRR22325903	Vallet2023	37502	34023	24955	24848	24242	22208	22208	22204
SRR22325904	Vallet2023	46442	41075	29570	29438	28658	27676	27676	27664
SRR22325905	Vallet2023	45067	42039	30240	29908	27741	24298	24233	23421
SRR22325906	Vallet2023	61494	57013	42630	42535	41907	37548	37548	37513
SRR22325907	Vallet2023	58748	54624	39914	39784	38993	38563	38345	37248
SRR22325908	Vallet2023	67404	58078	40784	40453	39001	36902	36857	35982
SRR22325909	Vallet2023	49443	45963	31280	31182	30817	28385	28385	28382
SRR22325910	Vallet2023	57874	54134	36675	36512	35747	34338	34338	34107
SRR22325911	Vallet2023	40140	37337	25994	25859	25608	24483	19581	6360
SRR22325912	Vallet2023	61177	56277	40035	39843	38772	37239	37230	37136
SRR22325913	Vallet2023	39942	37599	27185	27011	26404	24689	24689	24589
SRR22325914	Vallet2023	56006	50031	35961	35736	34995	33593	33587	32809
SRR22325915	Vallet2023	54590	50746	37487	37377	37105	35434	35434	35428
SRR22325916	Vallet2023	52166	48511	36218	35955	34876	26716	26707	26113
SRR22325917	Vallet2023	45373	42776	31602	31532	30840	28286	28286	28126
SRR22325918	Vallet2023	58194	52707	39654	39568	39177	37167	37167	36446
