study,column_name,meaning,notes
Artacho,sample-id,QIIME2 primary sample identifier; equals the SRA run accession (SRR) for this study,unique per sample — identifier
Artacho,Run,"SRA run accession (SRR...); unique per sequencing run, identical to sample-id here",unique per sample — identifier
Artacho,Experiment,SRA experiment accession (SRX...); groups runs from the same library preparation,unique per sample — identifier
Artacho,Library Name,"SRA submitter-assigned library name; encodes patient ID and timepoint (e.g., 59_post_16S)",unique per sample — identifier
DAmico,sample-id,QIIME2 primary sample identifier; equals the SRA run accession (SRR) for this study,unique per sample — identifier
DAmico,Assay Type,SRA library assay-type classification; value 'WGA' (whole-genome amplification) is SRA's generic label for amplicon libraries submitted without an explicit amplicon assay type,constant across all samples; constant value: WGA
DAmico,Bases,Total number of bases sequenced in the SRA run (bp),unique per sample — identifier
DAmico,BioProject,NCBI BioProject accession for this study (PRJNA592853),constant across all samples; constant value: PRJNA592853
DAmico,BioSample,NCBI BioSample accession (SAMN...); unique per physical sample in NCBI,unique per sample — identifier
DAmico,BioSampleModel,NCBI BioSample metadata schema applied to these submissions; 'Metagenome or environmental' is the standard schema for gut microbiome samples,constant across all samples; constant value: Metagenome or environmental
DAmico,Bytes,Compressed file size of the SRA run data (bytes),unique per sample — identifier
DAmico,Center Name,Name of the institution that submitted the data to SRA,constant across all samples; constant value: UNIVERSITY OF BOLOGNA
DAmico,Collection_Date,Sample collection date as recorded in SRA metadata,constant across all samples; constant value: not available — date not provided by submitters
DAmico,Consent,SRA data-access consent classification,constant across all samples; constant value: public
DAmico,Experiment,SRA experiment accession (SRX...); unique per sequencing library,unique per sample — identifier
DAmico,geo_loc_name_country,Country of sample collection as recorded in SRA metadata,constant across all samples; constant value: Italy — UNCERTAIN: constant in this study but analytically meaningful — may vary across studies at merge
DAmico,geo_loc_name_country_continent,Continent of sample collection as recorded in SRA metadata,constant across all samples; constant value: Europe — UNCERTAIN: constant in this study but analytically meaningful — may vary across studies at merge
