Feature ID	Taxon
MJ006-2-barcode74-umi84879bins-ubs-5	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
MJ006-1-barcode35-umi150744bins-ubs-3	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila_D_776786
RS-GCF-900217715.1-NZ-OBMS01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode61-umi62624bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode26-umi158194bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-000273275.1-NZ-JH724268.1--2	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-015554445.1-NZ-JADNIN010000006.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 cellulosilyticus
MJ006-2-barcode70-umi122440bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode64-umi55613bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
GB-GCA-008669045.1-RQAJ01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
RS-GCF-015551785.1-NZ-JADNDJ010000070.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
RS-GCF-004347525.1-NZ-SLTU01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
GB-GCA-000980245.1-LARE01000167.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes_A_871404; Alistipes_A_871404 ihumii
LC468789	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; NA; NA; NA
RS-GCF-009663755.1-NZ-RDBS01000044.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; NA; NA; NA
MJ006-1-barcode35-umi110232bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; NA; NA; NA
GB-GCA-905373295.1-CAJPSJ010000093.1	Bacteria; Campylobacterota_A; Campylobacteria; Campylobacterales; Campylobacteraceae; Campylobacter_B; Campylobacter_B gracilis
RS-GCF-002966755.1-NZ-CP020025.1--5	Bacteria; NA; NA; NA; NA; NA; NA
GB-GCA-013315935.1-CP054335.1--2	Bacteria; NA; NA; NA; NA; NA; NA
RS-GCF-000599705.1-NZ-CP007394.1--11	Unassigned; NA; NA; NA; NA; NA; NA
GB-GCA-900767615.1-CAAFZU010000193.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-001812015.1-NZ-KV807480.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
RS-GCF-018619375.1-NZ-JAHHFT010000043.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Streptococcaceae; Streptococcus; NA
MJ030-1-barcode26-umi86835bins-ubs-4	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Enterococcaceae; NA; NA
RS-GCF-001814125.1-NZ-KV814983.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Enterococcaceae; NA; NA
RS-GCF-014853615.1-NZ-JACZAP010000041.1	Bacteria; Bacillota_I; Bacilli_A; Lactobacillales; Enterococcaceae; NA; NA
KR364765	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; Longibaculum; NA
RS-GCF-002160725.1-NZ-NFLD01000076.1	Bacteria; Bacillota_I; Bacilli_A; Erysipelotrichales; Coprobacillaceae; NA; NA
GB-GCA-016742415.1-JAEPEL010000544.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Clostridiales; Clostridiaceae_222000; Clostridium_T; NA
RS-GCF-002301595.1-NZ-MOQF01000146.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Peptostreptococcaceae_256921; Clostridioides_A; Clostridioides_A difficile
RS-GCF-000808015.1-NZ-JWHR01000141.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Peptostreptococcaceae_256921; Terrisporobacter; NA
GB-GCA-018376935.1-JAHAAJ010000118.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Peptostreptococcaceae_256921; Intestinibacter; NA
MJ006-1-barcode46-umi31874bins-ubs-12	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Anaerovoracaceae; Lentihominibacter; Lentihominibacter butyrica
MJ006-1-barcode39-umi63437bins-ubs-7	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Anaerovoracaceae; Hominibacterium; Hominibacterium faecale
MJ006-1-barcode26-umi102566bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Anaerovoracaceae; NA; NA
MJ006-2-barcode65-umi141462bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Peptostreptococcales; Anaerovoracaceae; Emergencia; Emergencia timonensis
MJ006-1-barcode43-umi205212bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; UBA1381; UBA1381; Hominilimicola; Hominilimicola sp001941225
KY978733	Bacteria; Bacillota_A_368345; Clostridia_258483; Monoglobales; Monoglobaceae; Monoglobus; Monoglobus pectinilyticus
RS-GCF-018785515.1-NZ-WQPY01000015.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; Agathobaculum; Agathobaculum butyriciproducens
RS-GCF-003478645.1-NZ-QUFU01000071.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; Agathobaculum; Agathobaculum butyriciproducens
MJ006-2-barcode57-umi104473bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; Agathobaculum; Agathobaculum ammoniilyticum
MJ006-2-barcode58-umi242477bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; Agathobaculum; Agathobaculum ammoniilyticum
MJ006-2-barcode65-umi95747bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; NA; NA
MJ005-barcode65-umi53832bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Butyricicoccaceae; Butyricicoccus_A_77030; Butyricicoccus_A_77030 pullicaecorum
MJ006-1-barcode37-umi59724bins-ubs-6	Bacteria; Bacillota_A_368345; Clostridia_258483; NA; NA; NA; NA
MJ006-2-barcode63-umi35131bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; Lawsonibacter sp000177015
MJ006-2-barcode69-umi156603bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; Lawsonibacter sp000177015
RS-GCF-016899775.1-NZ-JACJJE010000125.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; Lawsonibacter sp000177015
GB-GCA-900066645.1-FMFR01000008.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; NA
RS-GCF-009911595.1-NZ-QWKG01000143.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; NA
LC371917	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; Lawsonibacter asaccharolyticus
GB-GCA-900756345.1-CAAEJT010000082.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; 
RS-GCF-015547855.1-NZ-JADMVZ010000093.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; 
RS-GCF-015671335.1-NZ-JADPCY010000242.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Lawsonibacter; 
KC311367	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Intestinimonas; Intestinimonas butyriciproducens
MJ006-2-barcode65-umi124081bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; NA; NA
MG963288	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Dysosmobacter; Dysosmobacter welbionis
RS-GCF-000469425.1-NZ-KI271465.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Dysosmobacter; Dysosmobacter welbionis
RS-GCF-016902445.1-NZ-JACSNX010000046.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Dysosmobacter; Dysosmobacter welbionis
LC522513	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Dysosmobacter; Dysosmobacter welbionis
GB-GCA-900545115.1-UQXN01000021.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Vescimonas; NA
LC522510	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Vescimonas; NA
MJ006-2-barcode63-umi134737bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; NA; NA
MJ006-1-barcode34-umi155007bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; NA; NA
MJ006-1-barcode40-umi104736bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Faecousia; Faecousia sp000434635
MJ006-1-barcode38-umi122084bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; NA; NA
MJ006-2-barcode65-umi125708bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Oscillospiraceae_88309; Faecousia; Faecousia sp000434635
MJ006-2-barcode58-umi188181bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; NA; NA
RS-GCF-900291485.1-NZ-OLKO01000008.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Ruminococcus_E; Ruminococcus_E bromii_B
MJ006-2-barcode69-umi170627bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Ruminococcus_E; Ruminococcus_E bromii_B
MJ030-1-barcode28-umi102937bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; NA; NA
AJ305238	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Clostridium_A_51961; NA
MJ006-1-barcode38-umi101890bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Acutalibacter; 
MJ006-1-barcode26-umi151360bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Hydrogeniiclostridium; 
MJ006-2-barcode57-umi34456bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Hydrogeniiclostridium; Hydrogeniiclostridium mannosilyticum
MJ006-1-barcode38-umi163059bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Anaeromassilibacillus; Anaeromassilibacillus sp001305115
MJ006-2-barcode52-umi34422bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Anaeromassilibacillus; Anaeromassilibacillus sp001305115
MJ006-2-barcode65-umi102995bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; NA; NA
MJ006-2-barcode71-umi33196bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; UMGS1071; UMGS1071 sp900548305
MJ005-barcode41-umi54088bins-ubs-6	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; UMGS1071; UMGS1071 sp900548305
GB-GCA-018364155.1-JAGZMM010000005.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; Solibaculum; 
MJ006-2-barcode65-umi93906bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; UBA5905; UBA5905 sp002437905
MJ006-1-barcode25-umi66634bins-ubs-6	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; UBA5905; 
MJ006-2-barcode65-umi108490bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Acutalibacteraceae; UBA5905; 
MJ006-2-barcode60-umi141800bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; Faecalibacterium prausnitzii
GB-GCA-014868765.1-WHEU01000011.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; NA
MJ006-1-barcode39-umi142106bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; NA
RS-GCF-001406755.1-NZ-CZBX01000028.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; NA
GB-GCA-900066275.1-FMFG01000089.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; NA
RS-GCF-902497365.1-NZ-LR699993.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Faecalibacterium; NA
MJ006-1-barcode28-umi157746bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Gemmiger_A_73129; Gemmiger_A_73129 qucibialis
RS-GCF-018784445.1-NZ-WQOH01000081.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Gemmiger_A_73129; NA
MJ006-1-barcode39-umi233032bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Gemmiger_A_73129; 
RS-GCF-016900095.1-NZ-JACJJP010000072.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Gemmiger_A_73129; NA
LN846908	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Fournierella; Fournierella massiliensis
RS-GCF-002161595.1-NZ-NFID01000035.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Fournierella; Fournierella massiliensis
MJ006-1-barcode26-umi145558bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Ruthenibacterium; Ruthenibacterium lactatiformans
MJ006-2-barcode63-umi136525bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Ruthenibacterium; 
MJ006-1-barcode45-umi227093bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Bittarella; Bittarella massiliensis
MJ005-barcode57-umi63382bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; NA; NA
MJ006-1-barcode30-umi119821bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Massilioclostridium; Massilioclostridium facile
MJ006-1-barcode35-umi45915bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Massiliimalia; Massiliimalia timonensis
RS-GCF-016901815.1-NZ-JACSNR010000025.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Merdimmobilis; 
MJ006-1-barcode38-umi137655bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Merdimmobilis; Merdimmobilis hominis
MJ006-1-barcode31-umi113975bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Anaerotruncus; 
AJ315980	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Anaerotruncus; Anaerotruncus colihominis
MJ006-1-barcode35-umi91399bins-ubs-6	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Anaerotruncus; Anaerotruncus colihominis
LT598596	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Negativibacillus; Negativibacillus massiliensis
MJ006-2-barcode53-umi133722bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Negativibacillus; Negativibacillus massiliensis
GB-GCA-014385095.1-JACRTC010000015.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Oscillospirales; Ruminococcaceae; Soleaferrea; 
MJ007-2-barcode58-umi1285bins-ubs-352	Bacteria; Bacillota_A_368345; Clostridia_258483; TANB77; CAG-508; ; 
HE603919	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
RS-GCF-902363795.1-NZ-CABJBJ010000122.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Hungatella_A_128155; NA
MJ005-barcode41-umi98238bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-1-barcode43-umi124055bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; 
EF564277	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster lavalensis
MJ006-1-barcode25-umi49470bins-ubs-9	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster aldenensis
MJ006-2-barcode65-umi128273bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster aldenensis
MJ005-barcode25-umi76363bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster aldenensis
RS-GCF-013304185.1-NZ-JAAISS010000139.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-012273195.1-NZ-CP050964.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-900108895.1-NZ-FOJH01000156.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-000371585.1-NZ-KB851059.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-003481765.1-NZ-QULR01000098.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster sp000431375
