#OTU ID	SRR22325885	SRR22325887	SRR22325889	SRR22325892	SRR22325897	SRR22325900	SRR22325902	SRR22325904	SRR22325908	SRR22325910	SRR22325911	SRR22325912	SRR22325915	SRR22325919	SRR22325921	SRR22325924	SRR22325926	SRR22325928	SRR22325931	SRR22325933	SRR22325934	SRR22325940	SRR22325943	SRR22325945	SRR22325946	SRR22325951	SRR22325954	SRR22325956	SRR22325957	SRR22325960	SRR22325961	SRR22325965	SRR22325966	SRR22325968	SRR22325971	SRR22325976	SRR22325979	SRR22325982	SRR22325984	SRR22325988	SRR22325989	SRR22325991	SRR22325992	SRR22325995	SRR22325998	SRR22325999	SRR22326000	SRR22326002	ERR1688157_ERR1688236	ERR1688161_ERR1688240	ERR1688164_ERR1688243	ERR1688165_ERR1688244	ERR1688167_ERR1688246	ERR1688180_ERR1688259	ERR1688181_ERR1688260	ERR1688183_ERR1688262	ERR1688188_ERR1688267	ERR1688192_ERR1688271	ERR1688193_ERR1688272	ERR1688201_ERR1688280	ERR1688205_ERR1688284	ERR1688215_ERR1688294	ERR1688216_ERR1688295	ERR1688233	ERR1688234	ERR1688235	ERR1688237	ERR1688238	ERR1688239	ERR1688245	ERR1688247	ERR1688248	ERR1688249	ERR1688250	ERR1688251	ERR1688253	ERR1688255	ERR1688256	ERR1688257	ERR1688261	ERR1688263	ERR1688265	ERR1688266	ERR1688268	ERR1688270	ERR1688273	ERR1688274	ERR1688276	ERR1688279	ERR1688282	ERR1688283	ERR1688285	ERR1688286	ERR1688287	ERR1688289	ERR1688291	ERR1688292	ERR1688293	ERR1688297	ERR1688299	ERR1688302	ERR1688304	ERR1688305	ERR1688306	ERR1688309	SRR28984060	SRR28984075	SRR28984090	SRR28984093	SRR28984101	SRR28984182	SRR28984190	SRR28984191	SRR28984197	SRR28984208	SRR28984210	SRR28984216	SRR28984219	SRR28984245	SRR28984260	SRR28984264	SRR28984270	SRR28984277	SRR28984285	SRR28984291	SRR28984304	SRR28984306	SRR28984321	SRR28984328	SRR28984329	SRR28984336	SRR28984342	SRR28984343	SRR28984352	SRR28984357	SRR28984368	SRR28984381	SRR28984399	SRR28984424	SRR28984440	SRR28984541	SRR28984707	SRR28984716
MJ006-2-barcode74-umi84879bins-ubs-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ006-1-barcode35-umi150744bins-ubs-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16235	0	0	2192	0	0	0	5561	0	0	0	0	0	0	0	0	0	0	6955	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5173	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	456	0	0	0	0	0	0	0	5643	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
RS-GCF-900217715.1-NZ-OBMS01000001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1948	0	0	3117	0	0	0	0	0	1283	0	0	0	0	0	1046	0	0	0	0	0	0	0	379	3242	0	0	2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	0	531	383	0
MJ006-2-barcode61-umi62624bins-ubs-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2484	0	0	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	0	0	0	0	0	0	0	0	0	5629	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	158	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ006-1-barcode26-umi158194bins-ubs-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS-GCF-000273275.1-NZ-JH724268.1--2	1	0	0	0	0	0	1	0	0	1	0	1	22	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	362	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2854	0
RS-GCF-015554445.1-NZ-JADNIN010000006.1	0	0	0	0	0	0	803	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	1042	1948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5049	128
MJ006-2-barcode70-umi122440bins-ubs-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3231	0	0	0	0	757	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
MJ006-2-barcode64-umi55613bins-ubs-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	1	0	10908	0	1	0	0	1	0	18	0	0	0	53	609	0	0	2779	0	0	0	5	0	0	0	5	0	0	1	0	1	1181	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	59	3145	0	347	1831	617	0	0	0	0	1	0	0	0	194	0	0	292	0	15	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1626	0	623	0	0	0	1	0	0	0	0	0	0	0	0	0	10022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8656	14034	0
