Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,INSDC_center_alias,Library Name,collection_date,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea)
ERR10966586,AMPLICON,409,16159843,PRJEB53547,SAMEA112745994,13098245,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403424,SAMEA112745994,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745994,MO16S_001,human metagenome,ERP138358,MO16S_001,University Hospital Regensburg,ERS14741256,,,,
ERR10966587,AMPLICON,414,17092666,PRJEB53547,SAMEA112745995,13868870,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403425,SAMEA112745995,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:55:00Z,2,SAMEA112745995,MO16S_002,human metagenome,ERP138358,MO16S_002,University Hospital Regensburg,ERS14741257,,,,
ERR10966588,AMPLICON,419,16949052,PRJEB53547,SAMEA112745996,13665709,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403426,SAMEA112745996,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745996,MO16S_003,human metagenome,ERP138358,MO16S_003,University Hospital Regensburg,ERS14741258,,,,
ERR10966589,AMPLICON,416,15428408,PRJEB53547,SAMEA112745997,12537637,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403427,SAMEA112745997,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745997,MO16S_004,human metagenome,ERP138358,MO16S_004,University Hospital Regensburg,ERS14741259,,,,
ERR10966590,AMPLICON,413,15894912,PRJEB53547,SAMEA112745998,12906420,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403428,SAMEA112745998,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112745998,MO16S_005,human metagenome,ERP138358,MO16S_005,University Hospital Regensburg,ERS14741260,,,,
ERR10966591,AMPLICON,406,15957181,PRJEB53547,SAMEA112745999,12973903,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403429,SAMEA112745999,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:10:00Z,1,SAMEA112745999,MO16S_006,human metagenome,ERP138358,MO16S_006,University Hospital Regensburg,ERS14741261,,,,
ERR10966592,AMPLICON,407,14536031,PRJEB53547,SAMEA112746000,11835261,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403430,SAMEA112746000,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746000,MO16S_007,human metagenome,ERP138358,MO16S_007,University Hospital Regensburg,ERS14741262,,,,
ERR10966593,AMPLICON,405,5475173,PRJEB53547,SAMEA112746001,4506631,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403431,SAMEA112746001,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T01:30:00Z,2,SAMEA112746001,MO16S_008,human metagenome,ERP138358,MO16S_008,University Hospital Regensburg,ERS14741263,,,,
ERR10966594,AMPLICON,412,17690555,PRJEB53547,SAMEA112746002,14295896,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403432,SAMEA112746002,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746002,MO16S_009,human metagenome,ERP138358,MO16S_009,University Hospital Regensburg,ERS14741264,,,,
ERR10966595,AMPLICON,417,15910695,PRJEB53547,SAMEA112746003,12838297,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403433,SAMEA112746003,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746003,MO16S_010,human metagenome,ERP138358,MO16S_010,University Hospital Regensburg,ERS14741265,,,,
ERR10966596,AMPLICON,434,13611983,PRJEB53547,SAMEA112746004,10888697,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403434,SAMEA112746004,University Hospital Regensburg,2023-03-05T12:22:36Z,2023-03-05T12:22:36Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:11:00Z,1,SAMEA112746004,MO16S_011,human metagenome,ERP138358,MO16S_011,University Hospital Regensburg,ERS14741266,,,,
