Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,case,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,Scientific_Name,SRA Study
ERR13060061,AMPLICON,240,21358198,PRJEB39834,SAMEA115537793,16210343,02,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431802,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-17T00:00:00Z,2024-07-20T23:28:00Z,1,K4389-70,patient,Homo sapiens,ERP123398
ERR13060084,AMPLICON,276,21411073,PRJEB39834,SAMEA115537816,16701269,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431825,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-17T00:00:00Z,2024-07-21T01:28:00Z,1,K8073-68,patient,Homo sapiens,ERP123398
ERR13060098,AMPLICON,274,9210212,PRJEB39834,SAMEA115537830,7426367,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431839,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-17T00:00:00Z,2024-07-20T23:31:00Z,1,A976-17,patient,Homo sapiens,ERP123398
ERR13060168,AMPLICON,236,15766272,PRJEB39834,SAMEA115537900,11485872,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431909,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-17T00:00:00Z,2024-07-21T01:29:00Z,1,K5175-91,patient,Homo sapiens,ERP123398
ERR13060033,AMPLICON,261,9962332,PRJEB39834,SAMEA115537765,7480283,01,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431774,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T09:20:00Z,1,K1836-109,patient,Homo sapiens,ERP123398
ERR13060086,AMPLICON,174,36937290,PRJEB39834,SAMEA115537818,27752723,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431827,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T01:50:00Z,1,K8073-74,patient,Homo sapiens,ERP123398
ERR13060095,AMPLICON,269,42510652,PRJEB39834,SAMEA115537827,33953918,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431836,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T16:23:00Z,1,A976-10,patient,Homo sapiens,ERP123398
ERR13060103,AMPLICON,279,9827238,PRJEB39834,SAMEA115537835,7408689,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431844,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T09:22:00Z,1,A976-34,patient,Homo sapiens,ERP123398
ERR13060109,AMPLICON,257,12766291,PRJEB39834,SAMEA115537841,9707527,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431850,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T16:21:00Z,1,A976-60,patient,Homo sapiens,ERP123398
ERR13060113,AMPLICON,276,13149696,PRJEB39834,SAMEA115537845,10344548,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431854,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-08-14T09:42:00Z,1,A976-64,patient,Homo sapiens,ERP123398
