Id,Label,node_type,valence,subject,subject_rank,subject_group,paper_role,doi,n_primary_cited,n_claims_supported,n_primaries_supporting,in_degree,out_degree
CLAIM_1,Polysaccharide A reduces GVHD,claim,favourable,Polysaccharide A (Bacteroides fragilis),metabolite,bacterial_product,,,,,5,5,0
CLAIM_2,SCFAs reduce GVHD,claim,favourable,SCFAs,metabolite,SCFA,,,,,9,9,0
CLAIM_3,Clostridia reduce GVHD,claim,favourable,Clostridia,class,Clostridia,,,,,7,7,0
CLAIM_4,Faecalibacterium prausnitzii reduces GVHD,claim,favourable,Faecalibacterium prausnitzii,species,Faecalibacterium,,,,,3,3,0
CLAIM_5,Bifidobacterium reduces GVHD,claim,favourable,Bifidobacterium,genus,Bifidobacterium,,,,,4,4,0
CLAIM_6,Lactobacillus reduces GVHD,claim,favourable,Lactobacillus,genus,Lactobacillus,,,,,2,2,0
CLAIM_7,Indole-3-aldehyde reduces GVHD,claim,favourable,Indole-3-aldehyde (IAld),metabolite,tryptophan,,,,,1,1,0
CLAIM_8,Bacteroides thetaiotaomicron exacerbates GVHD,claim,unfavourable,Bacteroides thetaiotaomicron,species,Bacteroides,,,,,1,1,0
CLAIM_9,Clostridium scindens reduces GVHD,claim,favourable,Clostridium scindens,species,Clostridia,,,,,2,2,0
CLAIM_10,Enterococcus exacerbates GVHD,claim,unfavourable,Enterococcus,genus,Enterococcus,,,,,6,6,0
CLAIM_11,Clostridiales reduce GVHD,claim,favourable,Clostridiales,order,Clostridia,,,,,3,3,0
CLAIM_12,Lactobacillus exacerbates GVHD,claim,unfavourable,Lactobacillus,genus,Lactobacillus,,,,,1,1,0
CLAIM_13,Akkermansia reduces GVHD,claim,favourable,Akkermansia,genus,Akkermansia,,,,,2,2,0
CLAIM_14,Akkermansia muciniphila reduces GVHD,claim,favourable,Akkermansia muciniphila,species,Akkermansia,,,,,1,1,0
CLAIM_15,Bacillus reduces GVHD,claim,favourable,Bacillus,genus,Bacillus,,,,,1,1,0
CLAIM_16,Bacteroides fragilis reduces GVHD,claim,favourable,Bacteroides fragilis,species,Bacteroides,,,,,5,5,0
CLAIM_17,Bacteroides ovatus reduces GVHD,claim,favourable,Bacteroides ovatus,species,Bacteroides,,,,,1,1,0
CLAIM_18,Blautia reduces GVHD,claim,favourable,Blautia,genus,Blautia,,,,,8,8,0
CLAIM_19,Clostridium butyricum reduces GVHD,claim,favourable,Clostridium butyricum,species,Clostridia,,,,,1,1,0
CLAIM_20,Coriobacteriaceae reduce GVHD,claim,favourable,Coriobacteriaceae,family,Coriobacteriaceae,,,,,1,1,0
CLAIM_21,Faecalibacterium duncaniae reduces GVHD,claim,favourable,Faecalibacterium duncaniae,species,Faecalibacterium,,,,,6,6,0
