citing_paper,citing_doi,local_number,full_citation,doi,N
Lakshmanan_2023,10.1097/TP.0000000000004629,1,"Lee SJ, Vogelsang G, Flowers ME. Chronic graft-versus-host disease. Biol Blood Marrow Transplant. 2003;9:215–233. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,4,"Turnbaugh PJ, Ley RE, Hamady M, et al. The human microbiome project. Nature. 2007;449:804–810. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,30,"Kota H, Chamberlain RS. Immunonutrition is associated with a decreased incidence of graft-versus-host disease in bone marrow transplant recipients: a meta-analysis. JPEN J Parenter Enteral Nutr. 2017;41:1286–1292. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,32,"Floch MH, Ringel Y, Walker WA, eds. The Microbiota in Gastrointestinal Pathophysiology Implications for Human Health, Prebiotics, Probiotics, and Dysbiosis. Elsevier Inc.; 2017.",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,33,"Ghorbani Y, Schwenger KJP, Sharma D, et al. Effect of faecal microbial transplant via colonoscopy in patients with severe obesity and insulin resistance: a randomized double-blind, placebo-controlled phase 2 trial. Diabetes Obes Metab. 2023;25:479–490. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,40,"Zhao L, Zhang F, Ding X, et al. Gut bacteria selectively promoted by dietary fibers alleviate type 2 diabetes. Science. 2018;359:1151–1156. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,58,"Stringer AM, Gibson RJ, Bowen JM, et al. Irinotecan-induced mucositis manifesting as diarrhoea corresponds with an amended intestinal flora and mucin profile. Int J Exp Pathol. 2009;90:489–499. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,64,"Peled JU, Gomes ALC, Devlin SM, et al. Microbiota as predictor of mortality in allogeneic hematopoietic-cell transplantation. N Engl J Med. 2020;382:822–834. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,71,"Mathewson ND, Jenq R, Mathew AV, et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat Immunol. 2016;17:505–513. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,91,"NIH National Center for Complemenary and Integrative Health. Probiotics: what you need to know. 2019. Available at https://www.nccih.nih.gov/health/probiotics-what-you-need-to-know. Accessed May 1, 2022.",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,92,"Soemarie YB, Milanda T, Barliana MI. Fermented foods as probiotics: a review. J Adv Pharm Technol Res. 2021;12:335–339. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,94,"Lee YK, Salminen S. Handbook of Probiotics and Prebiotics. 2nd ed. John Wiley & Sons, Inc.; 2008.",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,100,"American Cancer Society. Food safety during cancer treatment. 2019. Available at https://www.cancer.org/treatment/survivorship-during-and-after-treatment.... Accessed August 1, 2022.",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,103,"Abdi R, Joye IJ. Prebiotic potential of cereal components. Foods. 2021;10:2338. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,110,"Stein-Thoeringer CK, Nichols KB, Lazrak A, et al. Lactose drives Enterococcus expansion to promote graft-versus-host disease. Science. 2019;366:1143–1149. - PMC - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,116,"Anwar F, Alhayyani S, Al-Abbasi FA, et al. Pharmacological role of vitamin C in stress-induced cardiac dysfunction via alteration in gut microbiota. J Biochem Mol Toxicol. 2022;36:e22986. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,125,"Cho HJ, Shin DY, Kim JH, et al. Impact of vitamin D receptor gene polymorphisms on clinical outcomes of HLA-matched sibling hematopoietic stem cell transplantation. Clin Transplant. 2012;26:476–483. - PubMed",NA,25
Lakshmanan_2023,10.1097/TP.0000000000004629,128,"Chen C, Dong B, Wang Y, et al. The role of Bacillus acidophilus in osteoporosis and its roles in proliferation and differentiation. J Clin Lab Anal. 2020;34:e23471. - PMC - PubMed",NA,25
