citing_paper,citing_doi,local_number,full_citation,doi,N
Weber_2026,10.1038/s41409-026-02798-0,24,"Telesford KM, Yan W, Ochoa-Reparaz J, Pant A, Kircher C, Christy MA. A commensal symbiotic factor derived from Bacteroides fragilis promotes human CD39(+)Foxp3(+) T cells and Treg function. Gut Microbes. 2015;6:234–42. - DOI - PubMed - PMC",NA,6
Weber_2026,10.1038/s41409-026-02798-0,30,"Hang S, Paik D, Yao L, Kim E, Trinath J, Lu J. Bile acid metabolites control TH17 and Treg cell differentiation. Nature. 2019;576:143–8. - DOI - PubMed - PMC",NA,6
Weber_2026,10.1038/s41409-026-02798-0,36,"Atarashi K, Tanoue T, Shima T, Imaoka A, Kuwahara T, Momose Y. Induction of colonic regulatory T cells by indigenous Clostridium species. Science. 2011;331:337–41. - DOI - PubMed",NA,6
Weber_2026,10.1038/s41409-026-02798-0,46,"Stein-Thoeringer CK, Nichols KB, Lazrak A, Docampo MD, Slingerland AE, Slingerland JB. Lactose drives Enterococcus expansion to promote graft-versus-host disease. Science. 2019;366:1143–9. - DOI - PubMed - PMC",NA,6
Weber_2026,10.1038/s41409-026-02798-0,66,"Weber D, Meedt E, Ghimire S, Hiergeist A, Kern MAG, Höpting M, et al. “The antibiotic paradox” in allogeneic stem cell transplantation. Bone Marrow Transpl. 2025. https://doi.org/10.1038/s41409-025-02706-y . - DOI",NA,6
Weber_2026,10.1038/s41409-026-02798-0,72,"Andersen SPAAPD, Kennedy GA, Banks M, Flanagan BMBP, Henden AS. Prebiotic fibre enteral supplementation post allogeneic transplantation; feasibility and impact on the microbiome. Blood Adv. 2025. https://doi.org/10.1182/bloodadvances.2024015703 . - DOI - PubMed - PMC",NA,6
Hsu_2026,10.1016/j.critrevonc.2026.105229,1,"Faecal, 2021. Microbiota Transplantation for Prevention of Graft-versus-host Sisease After Allogeneic Stem Cell Transplantation for Haematological Malignancies, F. Ministry of Health and H. French Society of. Editors.",NA,4
Hsu_2026,10.1016/j.critrevonc.2026.105229,2,"Fecal Microbiota Transplantation to Improve Efficacy of Immune Checkpoint Inhibitors in Metastatic Lung Cancer, L.T.D. Biotax Labs and A. Israel Cancer, Editors. 2022.",NA,4
Hsu_2026,10.1016/j.critrevonc.2026.105229,3,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.,NA,4
Hsu_2026,10.1016/j.critrevonc.2026.105229,26,"Dean L, K.M., Mercaptopurine Therapy and TPMT and NUDT15 Genotype. Medical Genetics Summaries [Internet], 2012.",NA,4
Sohouli_2025,10.1016/j.trim.2025.102199,6,"A.R. Chilkulwar, D. Weber, R.R. Jenq, E. Holler, Microbiome and Allogeneic Hematopoietic Stem Cell Transplantation. Immune Biology of Allogeneic Hematopoietic Stem Cell Transplantation, Elsevier, 2019, pp. 141–154.",NA,1
PinzonLeal_2025,10.3390/immuno5010010,34,"Lampert, I.A.; Moore, R.H.; Huby, R.; Cohen, J. Observations on the role of endotoxin in graft-versus-host disease. Prog. Clin. Biol. Res. 1988, 272, 351–359.",NA,4
PinzonLeal_2025,10.3390/immuno5010010,35,"Vriesendorp, H.M.; Heidt, P.J.; Zurcher, C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp. Hematol. 1981, 9, 904–916.",NA,4
PinzonLeal_2025,10.3390/immuno5010010,61,"Nesher, L.; Rolston, K.V.I. Febrile Neutropenia in Transplant Recipients. In Principles and Practice of Transplant Infectious Diseases; Safdar, A., Ed.; Springer: New York, NY, USA, 2019; pp. 185–198.",NA,4
PinzonLeal_2025,10.3390/immuno5010010,71,"Shannon, C.E. The mathematical theory of communication. 1963. MD Comput. 1997, 14, 306–317.",NA,4
Limpert_2023,10.3389/fimmu.2023.1192084,79,"Zheng J, Taylor B, Chen X. Role of vitamin a in modulating graft-versus-Host disease. J Immunol Res Ther (2018) 3:124–8. - PMC - PubMed",NA,1
Gail_2023,10.3389/fimmu.2023.1199422,63,"Hakim FM. The immune system: effector and target of graft-versus-host-disease. In: Deeg HJ, Burakoff SJ, editors. Graft-vs.-Host disease. Marcel Dekker, New York: (1997). p. 257–89.",NA,1
Wolfe&Markey_2022,10.3389/fimmu.2022.988121,64,"Umesaki Y, Setoyama H, Matsumoto S, Okada Y. Expansion of alpha beta T-cell receptor-bearing intestinal intraepithelial lymphocytes after microbial colonization in germ-free mice and its independence from thymus. Immunology (1993) 79:32–7. - PMC - PubMed",NA,1
Muratore_2022,10.3389/fnut.2022.993668,1,"Carreras E, Dufour C, Mohty M, Kröger N. The EBMT Handbook?: Hematopoietic Stem Cell Transplantation and Cellular Therapies. Cham: Springer International Publishing; (2019). - PubMed",NA,4
Muratore_2022,10.3389/fnut.2022.993668,34,"Fabozzi F, Trovato CM, Diamanti A, Mastronuzzi A, Zecca M, Tripodi SI, et al. Management of nutritional needs in pediatric oncology?: a consensus statement. Cancers. (2022) 14:3378. - PMC - PubMed",NA,4
Muratore_2022,10.3389/fnut.2022.993668,54,"Yokoyama S, Fujimoto T, Mitomi T, Yabe M, Yabe H, Kato S. Use of total parenteral nutrition in pediatric bone marrow transplantation. Nutrition. (1989) 5:27–30. - PubMed",NA,4
Muratore_2022,10.3389/fnut.2022.993668,71,"Harvey RB, Andrews K, Droleskey RE, Kansagra KV, Stoll B, Burrin DG, et al. Qualitative and quantitative comparison of gut bacterial colonization in enterally and parenterally fed neonatal pigs. Curr Issues Intest Microbiol. (2006) 7:61–4. - PubMed",NA,4
Thomas_2022,10.6004/jadpro.2022.13.1.5,14,"Sahdev, I., & Abdel-Azim, H. (2016). Lanzkowsky's manual of pediatric hematology and oncology (6th ed.) (pp 577–604). Academic Press. [Google Scholar]",NA,1
Khuat_2021,10.1080/19490976.2021.1966262,7,7.Akiyama H. [Infectious complications following hematopoietic stem cell transplantation]. [Rinsho Ketsueki] Jpn J Clin Hematol. 2008;49:576–582. [PubMed] [Google Scholar],NA,4
Khuat_2021,10.1080/19490976.2021.1966262,78,"78.Kolb H, Sale GE, Lerner KG, Storb R, Thomas ED. Pathology of acute graft-versus-host disease in the dog. An autopsy study of ninety-five dogs. Am J Pathol. 1979;96:581–594. [PMC free article] [PubMed] [Google Scholar]",NA,4
Khuat_2021,10.1080/19490976.2021.1966262,92,"92.Van Bekkum DW, Knaan S. Role of bacterial microflora in development of intestinal lesions from graft-versus-host reaction. J Natl Cancer Inst. 1977;58:787–790. [DOI] [PubMed] [Google Scholar]",NA,4
Khuat_2021,10.1080/19490976.2021.1966262,93,"93.Jones JM, Wilson R, Bealmear PM. Mortality and gross pathology of secondary disease in germfree mouse radiation chimeras. Radiat Res. 1971;45:577–588. [PubMed] [Google Scholar]",NA,4
Hong_2021,10.3389/fimmu.2021.644982,8,"Barton-Burke M, Dwinell DM, Kafkas L, Lavalley C, Sands H, Proctor C, et al. Graft-versus-host disease: a complex long-term side effect of hematopoietic stem cell transplant. Oncol (Williston Park) (2008) 22(11 Suppl Nurse Ed):31–45. - PubMed",NA,6
Hong_2021,10.3389/fimmu.2021.644982,43,"Wall AJ, Rosenberg JL, Reilly RW. Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies. J Lab Clin Med (1971) 78(5):833–4. - PubMed",NA,6
Hong_2021,10.3389/fimmu.2021.644982,89,"Heidt PJ, Vossen JM. Experimental and clinical gnotobiotics: influence of the microflora on graft-versus-host disease after allogeneic bone marrow transplantation. J Med (1992) 23(3-4):161–73. - PubMed",NA,6
Hong_2021,10.3389/fimmu.2021.644982,90,"Bauer H, Horowitz RE, Levenson SM, Popper H. The response of the lymphatic tissue to the microbial flora. Studies on germfree mice. Am J Pathol (1963) 42:471–83. - PMC - PubMed",NA,6
Hong_2021,10.3389/fimmu.2021.644982,96,"Lampert IA, Moore RH, Huby R, Cohen J. Observations on the role of endotoxin in graft-versus-host disease. Prog Clin Biol Res (1988) 272:351–9. - PubMed",NA,6
Hong_2021,10.3389/fimmu.2021.644982,97,"Vriesendorp HM, Heidt PJ, Zurcher C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp Hematol (1981) 9(9):904–16. - PubMed",NA,6
Crossland_2020,10.3389/fimmu.2020.602547,69,"National Research Council (US) Committee on Assessing the Importance and Impact of Glycomics and Glycosciences Transforming Glycoscience: A Roadmap for the Future (2012). Washington (DC: National Academies Press (US; Available at: http://www.ncbi.nlm.nih.gov/books/NBK109958/ (Accessed July 8, 2020). - PubMed",NA,3
Crossland_2020,10.3389/fimmu.2020.602547,79,"Prenc E. N-glycosylation of immunoglobulin G in chronic graft-versus-host disease. PhD thesis (2019). Available at: http://medlib.mef.hr/3450/ (Accessed July 8, 2020).",NA,3
Crossland_2020,10.3389/fimmu.2020.602547,81,"Ardekani AM, Naeini MM. The Role of MicroRNAs in Human Diseases. Avicenna J Med Biotechnol (2010) 2:161–79. - PMC - PubMed",NA,3
Kohler_2019,10.3389/fimmu.2018.03179,1,"D'Souza, Fretham C. Current Uses and Outcomes of Hematopoietic Cell Transplantation (HCT): CIBMTR Summary Slides (2017). Available online at: http://www.cibmtr.org",NA,2
Kohler_2019,10.3389/fimmu.2018.03179,26,"Chiusolo P, Metafuni E, Paroni Sterbini F, Giammarco S, Masucci L, Leone G, et al. Gut microbiome changes after stem cell transplantation. Blood (2015) 126:1953.",NA,2
Raghunathan_2016,10.1186/s12967-016-1094-3,25,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004;47:109–116. - PMC - PubMed",NA,1
Chen_2015,10.1155/2015/145859,16,"16.Pasquini M. C., Wang Z., Horowitz M. M., Gale R. P. 2010 report from the Center for International Blood and Marrow Transplant Research (CIBMTR): current uses and outcomes of hematopoietic cell transplants for blood and bone marrow disorders. Clinical Transplantation. 2010:87–105. [PubMed] [Google Scholar]",NA,4
Chen_2015,10.1155/2015/145859,36,36.Billingham R. E. The biology of graft-versus-host reactions. Harvey Lectures. 1966;62:21–78. [PubMed] [Google Scholar],NA,4
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,1,"Jandhyala SM, Talukdar R, Subramanyam C, Vuyyuru H, Sasikala M, Nageshwar Reddy D. Role of the normal gut microbiota. World J Gastroenterol. 2015; 21:8787–803.",NA,5
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,4,"van Bekkum DW, Roodenburg J, Heidt PJ, van der Waaij D. Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal microflora. J Natl Cancer Inst. 1974; 52:401–4.",NA,5
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,14,"Mathewson ND, Jenq R, Mathew AV, Koenigsknecht M, Hanash A, Toubai T, et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat Immunol. 2016; 17:505–13.",NA,5
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,20,"Hendrickx AP, van Wamel WJ, Posthuma G, Bonten MJ, Willems RJ. Five genes encoding surface-exposed LPXTG proteins are enriched in hospital-adapted Enterococcus faecium clonal complex 17 isolates. J Bacteriol. 2007; 189:8321–32.",NA,5
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,24,"Kinnebrew MA, Ubeda C, Zenewicz LA, Smith N, Flavell RA, Pamer EG. Bacterial flagellin stimulates Toll-like receptor 5-dependent defense against vancomycin-resistant Enterococcus infection. J Infect Dis. 2010; 201:534–43.",NA,5
