citing_paper,citing_doi,local_number,full_citation,doi,N,doi_source,full_citation_clean,match_score
Weber_2026,10.1038/s41409-026-02798-0,24,"Telesford KM, Yan W, Ochoa-Reparaz J, Pant A, Kircher C, Christy MA. A commensal symbiotic factor derived from Bacteroides fragilis promotes human CD39(+)Foxp3(+) T cells and Treg function. Gut Microbes. 2015;6:234‚Äì42. -¬†DOI¬†-¬†PubMed¬†-¬†PMC",10.3410/f.725700728.793541256,6,crossref,"Telesford KM, Yan W, Ochoa-Reparaz J, Pant A, Kircher C, Christy MA. A commensal symbiotic factor derived from Bacteroides fragilis promotes human CD39(+)Foxp3(+) T cells and Treg function. Gut Microbes. 2015;6:234–42. - DOI - PubMed - PMC",100.0
Weber_2026,10.1038/s41409-026-02798-0,30,"Hang S, Paik D, Yao L, Kim E, Trinath J, Lu J. Bile acid metabolites control TH17 and Treg cell differentiation. Nature. 2019;576:143‚Äì8. -¬†DOI¬†-¬†PubMed¬†-¬†PMC",10.1038/s41586-019-1785-z,6,crossref,"Hang S, Paik D, Yao L, Kim E, Trinath J, Lu J. Bile acid metabolites control TH17 and Treg cell differentiation. Nature. 2019;576:143–8. - DOI - PubMed - PMC",100.0
Weber_2026,10.1038/s41409-026-02798-0,36,"Atarashi K, Tanoue T, Shima T, Imaoka A, Kuwahara T, Momose Y. Induction of colonic regulatory T cells by indigenous Clostridium species. Science. 2011;331:337‚Äì41. -¬†DOI¬†-¬†PubMed",10.1126/science.1198469,6,crossref,"Atarashi K, Tanoue T, Shima T, Imaoka A, Kuwahara T, Momose Y. Induction of colonic regulatory T cells by indigenous Clostridium species. Science. 2011;331:337–41. - DOI - PubMed",100.0
Weber_2026,10.1038/s41409-026-02798-0,46,"Stein-Thoeringer CK, Nichols KB, Lazrak A, Docampo MD, Slingerland AE, Slingerland JB. Lactose drives Enterococcus expansion to promote graft-versus-host disease. Science. 2019;366:1143‚Äì9. -¬†DOI¬†-¬†PubMed¬†-¬†PMC",10.1126/science.aax3760,6,crossref,"Stein-Thoeringer CK, Nichols KB, Lazrak A, Docampo MD, Slingerland AE, Slingerland JB. Lactose drives Enterococcus expansion to promote graft-versus-host disease. Science. 2019;366:1143–9. - DOI - PubMed - PMC",91.1
Weber_2026,10.1038/s41409-026-02798-0,66,"Weber D, Meedt E, Ghimire S, Hiergeist A, Kern MAG, H√∂pting M, et al. ‚ÄúThe antibiotic paradox‚Äù in allogeneic stem cell transplantation. Bone Marrow Transpl. 2025.¬†https://doi.org/10.1038/s41409-025-02706-y¬†. -¬†DOI",10.1038/s41409-025-02706-y,6,embedded,"Weber D, Meedt E, Ghimire S, Hiergeist A, Kern MAG, Höpting M, et al. ""The antibiotic paradox"" in allogeneic stem cell transplantation. Bone Marrow Transpl. 2025. https://doi.org/10.1038/s41409-025-02706-y . - DOI",100.0
Weber_2026,10.1038/s41409-026-02798-0,72,"Andersen SPAAPD, Kennedy GA, Banks M, Flanagan BMBP, Henden AS. Prebiotic fibre enteral supplementation post allogeneic transplantation; feasibility and impact on the microbiome. Blood Adv. 2025.¬†https://doi.org/10.1182/bloodadvances.2024015703¬†. -¬†DOI¬†-¬†PubMed¬†-¬†PMC",10.1182/bloodadvances.2024015703,6,embedded,"Andersen SPAAPD, Kennedy GA, Banks M, Flanagan BMBP, Henden AS. Prebiotic fibre enteral supplementation post allogeneic transplantation; feasibility and impact on the microbiome. Blood Adv. 2025. https://doi.org/10.1182/bloodadvances.2024015703 . - DOI - PubMed - PMC",100.0
Hsu_2026,10.1016/j.critrevonc.2026.105229,1,"Faecal, 2021. Microbiota Transplantation for Prevention of Graft-versus-host Sisease After Allogeneic Stem Cell Transplantation for Haematological Malignancies, F. Ministry of Health and H. French Society of. Editors.",,4,no_doi_expected,"Faecal, 2021. Microbiota Transplantation for Prevention of Graft-versus-host Sisease After Allogeneic Stem Cell Transplantation for Haematological Malignancies, F. Ministry of Health and H. French Society of. Editors.",84.3
Hsu_2026,10.1016/j.critrevonc.2026.105229,2,"Fecal Microbiota Transplantation to Improve Efficacy of Immune Checkpoint Inhibitors in Metastatic Lung Cancer, L.T.D. Biotax Labs and A. Israel Cancer, Editors. 2022.",10.1016/s1556-0864(23)00330-1,4,crossref,"Fecal Microbiota Transplantation to Improve Efficacy of Immune Checkpoint Inhibitors in Metastatic Lung Cancer, L.T.D. Biotax Labs and A. Israel Cancer, Editors. 2022.",100.0
Hsu_2026,10.1016/j.critrevonc.2026.105229,3,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.,,4,blank,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.,85.2
Hsu_2026,10.1016/j.critrevonc.2026.105229,26,"Dean L, K.M., Mercaptopurine Therapy and TPMT and NUDT15 Genotype. Medical Genetics Summaries [Internet], 2012.",,4,blank,"Dean L, K.M., Mercaptopurine Therapy and TPMT and NUDT15 Genotype. Medical Genetics Summaries [Internet], 2012.",59.5
