citing_paper,citing_doi,local_number,full_citation,doi,doi_source,full_citation_clean,match_score
Shono&vandenBrink_2018,10.1038/nrc.2018.10,8,"Bhatt AS et al. Sequence-based discovery of Bradyrhizobium enterica in cord colitis syndrome. N. Engl. J. Med 369, 517–528 (2013). - PMC - PubMed",10.3410/f.718061947.793487613,crossref,"Bhatt AS et al. Sequence-based discovery of Bradyrhizobium enterica in cord colitis syndrome. N. Engl. J. Med 369, 517–528 (2013). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,10,"van Bekkum DW, Roodenburg J, Heidt PJ & van der Waaij D Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal micro flora. J. Natl Cancer Institute 52, 401–404 (1974).",10.1093/jnci/52.2.401,crossref,"van Bekkum DW, Roodenburg J, Heidt PJ & van der Waaij D Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal micro flora. J. Natl Cancer Institute 52, 401–404 (1974).",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,16,"Peled JU et al. Intestinal microbiota and relapse after hematopoietic-cell transplantation. J. Clin. Oncol 35, 1650–1659 (2017).",10.1200/jco.2016.70.3348,crossref,"Peled JU et al. Intestinal microbiota and relapse after hematopoietic-cell transplantation. J. Clin. Oncol 35, 1650–1659 (2017).",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,25,"Qin J et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010). - PMC - PubMed",10.3410/f.2620956.2739060,crossref,"Qin J et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,31,"Kinnebrew MA et al. Early Clostridium difficile infection during allogeneic hematopoietic stem cell transplantation. PIoS ONE 9, e90158 (2014). - PMC - PubMed",10.1371/journal.pone.0090158,crossref,"Kinnebrew MA et al. Early Clostridium difficile infection during allogeneic hematopoietic stem cell transplantation. PIoS ONE 9, e90158 (2014). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,32,"Buffie CG et al. Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile. Nature 517, 205–208 (2015). - PMC - PubMed",10.3410/f.723553044.793508824,crossref,"Buffie CG et al. Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile. Nature 517, 205–208 (2015). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,34,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02269150 (2017). - PubMed,10.1081/e-elis4-120049545,crossref,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02269150 (2017). - PubMed,99.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,36,"Schwartz M, Gluck M & Koon S Norovirus gastroenteritis after fecal microbiota transplantation for treatment of Clostridium difficile infection despite asymptomatic donors and lack of sick contacts. Am. J. Gastroenterol 108, 1367 (2013). - PubMed",10.1038/ajg.2013.164,crossref,"Schwartz M, Gluck M & Koon S Norovirus gastroenteritis after fecal microbiota transplantation for treatment of Clostridium difficile infection despite asymptomatic donors and lack of sick contacts. Am. J. Gastroenterol 108, 1367 (2013). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,40,"Thaiss CA, Zmora N, Levy M & Elinav E The microbiome and innate immunity. Nature 535, 65–74 (2016). - PubMed",10.1038/nature18847,crossref,"Thaiss CA, Zmora N, Levy M & Elinav E The microbiome and innate immunity. Nature 535, 65–74 (2016). - PubMed",96.7
Shono&vandenBrink_2018,10.1038/nrc.2018.10,44,"Wang W, Xu S, Ren Z, Jiang J & Zheng S Gut microbiota and allogeneic transplantation. J. Transl Med 13, 275 (2015). - PMC - PubMed",10.1186/s12967-015-0640-8,crossref,"Wang W, Xu S, Ren Z, Jiang J & Zheng S Gut microbiota and allogeneic transplantation. J. Transl Med 13, 275 (2015). - PMC - PubMed",90.4
Shono&vandenBrink_2018,10.1038/nrc.2018.10,48,"Zeiser R, Socie G & Blazar BR Pathogenesis of acute graft-versus-host disease: from intestinal microbiota alterations to donor T cell activation. Br. J. Haematol 175, 191–207 (2016). - PubMed",10.1111/bjh.14295,crossref,"Zeiser R, Socie G & Blazar BR Pathogenesis of acute graft-versus-host disease: from intestinal microbiota alterations to donor T cell activation. Br. J. Haematol 175, 191–207 (2016). - PubMed",97.4
Shono&vandenBrink_2018,10.1038/nrc.2018.10,60,"Qiu J et al. The aryl hydrocarbon receptor regulates gut immunity through modulation of innate lymphoid cells. Immunity 36, 92–104 (2012). - PMC - PubMed",10.1016/j.immuni.2011.11.011,crossref,"Qiu J et al. The aryl hydrocarbon receptor regulates gut immunity through modulation of innate lymphoid cells. Immunity 36, 92–104 (2012). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,63,"Brandi K et al. Vancomycin-resistant enterococci exploit antibiotic-induced innate immune deficits. Nature 455, 804–807 (2008). - PMC - PubMed",10.1038/nature07250,crossref,"Brandi K et al. Vancomycin-resistant enterococci exploit antibiotic-induced innate immune deficits. Nature 455, 804–807 (2008). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,65,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02406651 (2015). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02406651 (2015). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,71,"Tanoue T & Honda K Induction of Treg cells in the mouse colonic mucosa: a central mechanism to maintain host-microbiota homeostasis. Semin. Immunol 24, 50–57 (2012). - PubMed",10.1016/j.smim.2011.11.009,crossref,"Tanoue T & Honda K Induction of Treg cells in the mouse colonic mucosa: a central mechanism to maintain host-microbiota homeostasis. Semin. Immunol 24, 50–57 (2012). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,75,"Mathewson ND et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat. Immunol 17, 505–513 (2016).",10.3410/f.726228354.793521429,crossref,"Mathewson ND et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat. Immunol 17, 505–513 (2016).",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,78,"Chiusolo P et al. Gut microbiome changes after stem cell transplantation. Blood 126, 1953 (2015).",10.1182/blood.v126.23.1953.1953,crossref,"Chiusolo P et al. Gut microbiome changes after stem cell transplantation. Blood 126, 1953 (2015).",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,79,"Tawara I et al. Influence of donor microbiota on the severity of experimental graft-versus-host-disease. Biol. Blood Marrow Transplant 19, 164–168 (2013). - PMC - PubMed",10.1016/j.bbmt.2012.09.001,crossref,"Tawara I et al. Influence of donor microbiota on the severity of experimental graft-versus-host-disease. Biol. Blood Marrow Transplant 19, 164–168 (2013). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,88,"Perez-Simon JA et al. Antibiotic prophylaxis with meropenem after allogeneic stem cell transplantation. Bone Marrow Transplant. 33, 183–187 (2004). - PubMed",10.1038/sj.bmt.1704335,crossref,"Perez-Simon JA et al. Antibiotic prophylaxis with meropenem after allogeneic stem cell transplantation. Bone Marrow Transplant. 33, 183–187 (2004). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,89,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03078010 (2017). - PubMed,10.1081/e-elis4-120049545,crossref,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03078010 (2017). - PubMed,99.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,95,"Reuter S et al. Impact of fluoroquinolone prophylaxis on reduced infection-related mortality among patients with neutropenia and hematologic malignancies. Clin. Infect. Dis 40, 1087–1093 (2005). - PubMed",10.1086/428732,crossref,"Reuter S et al. Impact of fluoroquinolone prophylaxis on reduced infection-related mortality among patients with neutropenia and hematologic malignancies. Clin. Infect. Dis 40, 1087–1093 (2005). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,101,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02641236 (2016). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02641236 (2016). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,106,"Smith PM et al. The microbial metabolites, short-chain fatty acids, regulate colonic Treg cell homeostasis. Science 341, 569–573 (2013). - PMC - PubMed",10.1126/science.1241165,crossref,"Smith PM et al. The microbial metabolites, short-chain fatty acids, regulate colonic Treg cell homeostasis. Science 341, 569–573 (2013). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,112,"Sivan A et al. Commensal Bifidobacterium promotes antitumor immunity and facilitates anti-PD-L1 efficacy. Science 350, 1084–1089 (2015). - PMC - PubMed",10.3410/f.725917835.793524116,crossref,"Sivan A et al. Commensal Bifidobacterium promotes antitumor immunity and facilitates anti-PD-L1 efficacy. Science 350, 1084–1089 (2015). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,113,"Vetizou M et al. Anticancer immunotherapy by CTLA-4 blockade relies on the gut microbiota. Science 350, 1079–1084 (2015). - PMC - PubMed",10.3410/f.725917293.793553582,crossref,"Vetizou M et al. Anticancer immunotherapy by CTLA-4 blockade relies on the gut microbiota. Science 350, 1079–1084 (2015). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,115,"Zitvogel L, Ayyoub M, Routy B & Kroemer G Microbiome and anticancer immunosurveillance. Cell 165, 276–287 (2016). - PubMed",,blank,"Zitvogel L, Ayyoub M, Routy B & Kroemer G Microbiome and anticancer immunosurveillance. Cell 165, 276–287 (2016). - PubMed",84.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,118,"Rajilic-Stojanovic M & de Vos WM The first 1000 cultured species of the human gastrointestinal microbiota. FEMS Microbiol. Rev 38, 996–1047 (2014). - PMC - PubMed",10.1111/1574-6976.12075,crossref,"Rajilic-Stojanovic M & de Vos WM The first 1000 cultured species of the human gastrointestinal microbiota. FEMS Microbiol. Rev 38, 996–1047 (2014). - PMC - PubMed",97.2
Shono&vandenBrink_2018,10.1038/nrc.2018.10,120,"Peled JU Jenq RR Holler B & van den Brink MR Role of gut flora after bone marrow transplantation. Nat. Microbiol 1, 16036 (2016). - PMC - PubMed",10.1038/nmicrobiol.2016.36,crossref,"Peled JU Jenq RR Holler B & van den Brink MR Role of gut flora after bone marrow transplantation. Nat. Microbiol 1, 16036 (2016). - PMC - PubMed",93.4
Shono&vandenBrink_2018,10.1038/nrc.2018.10,123,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02805075 (2016). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02805075 (2016). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,124,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02763033 (2016). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02763033 (2016). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,128,"Youngster I et al. Oral, capsulized, frozen fecal microbiota transplantation for relapsing Clostridium difficile infection. JAMA 312, 1772–1778 (2014). - PubMed",10.1001/jama.2014.13875,crossref,"Youngster I et al. Oral, capsulized, frozen fecal microbiota transplantation for relapsing Clostridium difficile infection. JAMA 312, 1772–1778 (2014). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,129,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02733744 (2017). - PubMed,10.1081/e-elis4-120049545,crossref,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02733744 (2017). - PubMed,99.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,131,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/NCT02218151 (2016). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/NCT02218151 (2016). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,133,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02144701 (2017). - PubMed,10.1081/e-elis4-120049545,crossref,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02144701 (2017). - PubMed,99.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,141,"Rausch P et al. Colonic mucosa-associated microbiota is influenced by an interaction of Crohn disease and FUT2 (Secretor) genotype. Proc. Natl Acad. Sci. USA 108, 19030–19035 (2011). - PMC - PubMed",10.1073/pnas.1106408108,crossref,"Rausch P et al. Colonic mucosa-associated microbiota is influenced by an interaction of Crohn disease and FUT2 (Secretor) genotype. Proc. Natl Acad. Sci. USA 108, 19030–19035 (2011). - PMC - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,142,"Rouquier S et al. Molecular cloning of a human genomic region containing the H blood group alpha(1,2)fucosyltransferase gene and two H locus-related DNA restriction fragments. Isolation of a candidate for the human Secretor blood group locus. J. Biol. Chem 270, 4632–4639 (1995). - PubMed",10.1074/jbc.270.9.4632,crossref,"Rouquier S et al. Molecular cloning of a human genomic region containing the H blood group alpha(1,2)fucosyltransferase gene and two H locus-related DNA restriction fragments. Isolation of a candidate for the human Secretor blood group locus. J. Biol. Chem 270, 4632–4639 (1995). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,146,"Kline KA, Falker S, Dahlberg S, Normark S & Henriques-Normark B Bacterial adhesins in host-microbe interactions. Cell Host Microbe 5, 580–592 (2009). - PubMed",10.1016/j.chom.2009.05.011,crossref,"Kline KA, Falker S, Dahlberg S, Normark S & Henriques-Normark B Bacterial adhesins in host-microbe interactions. Cell Host Microbe 5, 580–592 (2009). - PubMed",96.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,148,"Fiedler K, Kokai E, Bresch S & Brunner C MyD88 is involved in myeloid as well as lymphoid hematopoiesis independent of the presence of a pathogen. Am. J. Blood Res 3, 124–140 (2013). - PMC - PubMed",,blank,"Fiedler K, Kokai E, Bresch S & Brunner C MyD88 is involved in myeloid as well as lymphoid hematopoiesis independent of the presence of a pathogen. Am. J. Blood Res 3, 124–140 (2013). - PMC - PubMed",65.1
Shono&vandenBrink_2018,10.1038/nrc.2018.10,149,"Yanez A, Goodridge HS, Gozalbo D & Gil ML TLRs control hematopoiesis during infection. Eur. J. Immunol 43, 2526–2533 (2013). - PMC - PubMed",10.1002/eji.201343833,crossref,"Yanez A, Goodridge HS, Gozalbo D & Gil ML TLRs control hematopoiesis during infection. Eur. J. Immunol 43, 2526–2533 (2013). - PMC - PubMed",92.8
Shono&vandenBrink_2018,10.1038/nrc.2018.10,155,"Ursell LK, Metcalf JL, Parfrey LW & Knight R Defining the human microbiome. Nutr. Rev 70 (Suppl. 1), S38–44 (2012). - PMC - PubMed",10.1111/j.1753-4887.2012.00493.x,crossref,"Ursell LK, Metcalf JL, Parfrey LW & Knight R Defining the human microbiome. Nutr. Rev 70 (Suppl. 1), S38–44 (2012). - PMC - PubMed",88.6
Shono&vandenBrink_2018,10.1038/nrc.2018.10,157,"Baumgartner A et al. Revisiting nutritional support for allogeneic hematologic stem cell transplantation — a systematic review. Bone Marrow Transplant. 52, 506–513 (2017). - PubMed",10.1038/bmt.2016.310,crossref,"Baumgartner A et al. Revisiting nutritional support for allogeneic hematologic stem cell transplantation — a systematic review. Bone Marrow Transplant. 52, 506–513 (2017). - PubMed",100.0
Shono&vandenBrink_2018,10.1038/nrc.2018.10,159,"Martin-Salces M, de Paz R, Canales MA, Mesejo A & Hernandez-Navarro F Nutritional recommendations in hematopoietic stem cell transplantation. Nutrition 24, 769–775 (2008). - PubMed",10.1016/j.nut.2008.02.021,crossref,"Martin-Salces M, de Paz R, Canales MA, Mesejo A & Hernandez-Navarro F Nutritional recommendations in hematopoietic stem cell transplantation. Nutrition 24, 769–775 (2008). - PubMed",99.1
Shono&vandenBrink_2018,10.1038/nrc.2018.10,161,"Flowers ME et al. Long-Term Follow-Up After Hematopoietic Stem Cell Transplant. General Guidelines for Referring Physicians (Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance, Seattle, 2008).",,blank,"Flowers ME et al. Long-Term Follow-Up After Hematopoietic Stem Cell Transplant. General Guidelines for Referring Physicians (Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance, Seattle, 2008).",56.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,166,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT01955772 (2016). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT01955772 (2016). - PubMed,81.5
Shono&vandenBrink_2018,10.1038/nrc.2018.10,168,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03102060 (2017). - PubMed,10.1081/e-elis4-120049545,crossref,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03102060 (2017). - PubMed,99.3
Shono&vandenBrink_2018,10.1038/nrc.2018.10,169,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02461199 (2015). - PubMed,,no_doi_expected,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02461199 (2015). - PubMed,81.5
