citing_paper,citing_doi,local_number,full_citation,doi
Lakshmanan_2023,10.1097/TP.0000000000004629,131,"Takatsuka H, Takemoto Y, Yamada S, et al. Oral eicosapentaenoic acid for acute colonic graft-versus-host disease after bone marrow transplantation. Drugs Exp Clin Res. 2002;28:121‚Äì125. - PubMed",NA
Smibert_2020,10.1097/QCO.0000000000000683,2,"Gopalakrishnan V, Spencer CN, Nezi L, et al. Gut microbiome modulates response to anti-PD-1 immunotherapy in melanoma patients. Science 2018; 359:97‚Äì103.",NA
Riwes&Reddy_2020,10.1053/j.seminhematol.2020.06.001,1,"[1].Ferrara JL, Levine JE, Reddy P, Holler E. Graft-versus-host disease. Lancet. 2009;373(9674):1550‚Äì61. [DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Riwes&Reddy_2020,10.1053/j.seminhematol.2020.06.001,17,"[17].Vollaard EJ, Clasener HA. Colonization resistance. Antimicrob Agents Chemother. 1994;38(3):409‚Äì14. [DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Riwes&Reddy_2020,10.1053/j.seminhematol.2020.06.001,32,"[32].Eriguchi Y, Nakamura K, Hashimoto D, et al. Decreased secretion of Paneth cell alpha-defensins in graft-versus-host disease. Transpl Infect Dis. 2015;17(5):702‚Äì6. [DOI] [PubMed] [Google Scholar]",NA
Riwes&Reddy_2020,10.1053/j.seminhematol.2020.06.001,80,"[80].Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004;47(2):109‚Äì16. [PMC free article] [PubMed] [Google Scholar]",NA
Lindner&Peled_2020,10.1097/MOH.0000000000000616,5,"5.Ferrara JLM, Chaudhry MS. GVHD: biology matters. Blood Adv. 2018;2(22):3411‚Äì7. [DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Masetti_2020,10.1002/pbc.28711,46,"Girmenia C, Rossolini GM, Piciocchi A, et al. Infections by carbapenem-resistant Klebsiella pneumoniae in SCT recipients: a nationwide retrospective survey from Italy. Bone Marrow Transplant. 2015;50(2):282-288.",NA
Peled_2016,10.1182/blood-2016-06-716738,15,"Reyniers JA, Trexler PC, Ervin RF Rearing germ-free albino rats. Lobund Rep 1946(1):1-84. - PubMed",NA
Peled_2016,10.1182/blood-2016-06-716738,16,"Bauer H, Horowitz RE, Levenson SM, Popper H. The response of the lymphatic tissue to the microbial flora. Studies on germfree mice. Am J Pathol. 1963;42:471-483. - PMC - PubMed",NA
Peled_2016,10.1182/blood-2016-06-716738,124,"Levy DA, Wefald A. Gut mucosal mast cells and goblet cells during acute graft-versus-host disease in rats. Ann Inst Pasteur Immunol. 1986;137D(2):281-288. - PubMed",NA
Butters_2023,10.1080/14787210.2023.2171987,1,"Ssenyonga N, Stiller C, Nakata K, et al. Worldwide trends in population-based survival for children, adolescents, and young adults diagnosed with leukaemia, by subtype, during 2000‚Äì14 (Concord-3): analysis of individual data from 258 cancer registries in 61 countries. Lancet Child Adolesc Health. 2022;6(6):409‚Äì431.",NA
Ji_2024,10.1016/j.trim.2023.101977,7,"Chinese Society of Hematology CMA Chinese expert consensus on the management of hemorrhagic complications after hematopoietic stem cell transplantation(2021) Zhonghua Xue Ye Xue Za Zhi, 42 (4) (2021), pp. 276-280",NA
