ID,citing_paper,local_number,full_citation,Type,TypeOfIdentifier,Identifier
10.1016/j.critrevonc.2026.105229_1,Hsu_2026,1,"Faecal, 2021. Microbiota Transplantation for Prevention of Graft-versus-host Sisease After Allogeneic Stem Cell Transplantation for Haematological Malignancies, F. Ministry of Health and H. French Society of. Editors.",UNKNOWN,Original,"Faecal, 2021. Microbiota Transplantation for Prevention of Graft-versus-host Sisease After Allogeneic Stem Cell Transplantation for Haematological Malignancies, F. Ministry of Health and H. French Society of. Editors."
10.1016/j.critrevonc.2026.105229_3,Hsu_2026,3,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.,UNKNOWN,Original,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.
10.1097/TP.0000000000004629_32,Lakshmanan_2023,32,"Floch MH, Ringel Y, Walker WA, eds. The Microbiota in Gastrointestinal Pathophysiology Implications for Human Health, Prebiotics, Probiotics, and Dysbiosis. Elsevier Inc.; 2017.",Book,ISBN,978-0-12-804024-9
10.1097/TP.0000000000004629_91,Lakshmanan_2023,91,"NIH National Center for Complemenary and Integrative Health. Probiotics: what you need to know. 2019. Available at https://www.nccih.nih.gov/health/probiotics-what-you-need-to-know. Accessed May 1, 2022.",Guidelines,Website,https://www.nccih.nih.gov/health/probiotics-usefulness-and-safety
10.1097/TP.0000000000004629_100,Lakshmanan_2023,100,"American Cancer Society. Food safety during cancer treatment. 2019. Available at https://www.cancer.org/treatment/survivorship-during-and-after-treatment.... Accessed August 1, 2022.",Guidelines,Website,https://www.cancer.org/cancer/supportive-care/weak-immune-system.html
10.3389/fimmu.2023.1199422_63,Gail_2023,63,"Hakim FM. The immune system: effector and target of graft-versus-host-disease. In: Deeg HJ, Burakoff SJ, editors. Graft-vs.-Host disease. Marcel Dekker, New York: (1997). p. 257–89.",Book,ISBN,824797280
10.3389/fnut.2022.993668_1,Muratore_2022,1,"Carreras E, Dufour C, Mohty M, Kröger N. The EBMT Handbook?: Hematopoietic Stem Cell Transplantation and Cellular Therapies. Cham: Springer International Publishing; (2019). - PubMed",Book,DOI,10.1007/978-3-030-02278-5
10.6004/jadpro.2022.13.1.5_14,Thomas_2022,14,"Sahdev, I., & Abdel-Azim, H. (2016). Lanzkowsky's manual of pediatric hematology and oncology (6th ed.) (pp 577–604). Academic Press. [Google Scholar]",Book Chapter,ISBN,978-0-12-801368-7
10.1186/s40164-021-00240-3_2,Lin_2021,2,"Forman SJ NR, Antin JH, Appelbaum FR, editors. Thomas’ hematopoietic cell transplantation. 5rd ed. Chichester: Wiley. 2016.",Book,ISBN,978-1-118-41600-6
10.3324/haematol.2020.247395_1,Henig_2020,1,"D'Souza A, Fretham C. Current uses and outcomes of hematopoietic cell transplantation (HCT): CIBMTR Summary Slides, 2019. Available at https://www.cibmtr.org. Accessed April, 2020. 2019.",Reports,Website,https://cibmtr.org/CIBMTR/Resources/Summary-Slides-Reports
