Source,Target,Type,edge_type,valence,weight,claim_id,claim_label
Samarkhazan_2025,CLAIM_1,Directed,ASSERTS,favourable,5,1,Polysaccharide A reduces GVHD
Samarkhazan_2025,CLAIM_2,Directed,ASSERTS,favourable,5,2,SCFAs reduce GVHD
Samarkhazan_2025,CLAIM_3,Directed,ASSERTS,favourable,3,3,Clostridia reduce GVHD
Samarkhazan_2025,CLAIM_4,Directed,ASSERTS,favourable,3,4,Faecalibacterium prausnitzii reduces GVHD
Samarkhazan_2025,CLAIM_5,Directed,ASSERTS,favourable,3,5,Bifidobacterium reduces GVHD
Samarkhazan_2025,CLAIM_6,Directed,ASSERTS,favourable,1,6,Lactobacillus reduces GVHD
Samarkhazan_2025,CLAIM_7,Directed,ASSERTS,favourable,1,7,Indole-3-aldehyde reduces GVHD
Samarkhazan_2025,CLAIM_8,Directed,ASSERTS,unfavourable,1,8,Bacteroides thetaiotaomicron exacerbates GVHD
Samarkhazan_2025,CLAIM_9,Directed,ASSERTS,favourable,2,9,Clostridium scindens reduces GVHD
Samarkhazan_2025,CLAIM_10,Directed,ASSERTS,unfavourable,1,10,Enterococcus exacerbates GVHD
Samarkhazan_2025,CLAIM_11,Directed,ASSERTS,favourable,1,11,Clostridiales reduce GVHD
Samarkhazan_2025,CLAIM_12,Directed,ASSERTS,unfavourable,1,12,Lactobacillus exacerbates GVHD
Godefroy_2025,CLAIM_13,Directed,ASSERTS,favourable,2,13,Akkermansia reduces GVHD
Godefroy_2025,CLAIM_14,Directed,ASSERTS,favourable,1,14,Akkermansia muciniphila reduces GVHD
Godefroy_2025,CLAIM_15,Directed,ASSERTS,favourable,1,15,Bacillus reduces GVHD
Godefroy_2025,CLAIM_16,Directed,ASSERTS,favourable,2,16,Bacteroides fragilis reduces GVHD
Godefroy_2025,CLAIM_17,Directed,ASSERTS,favourable,1,17,Bacteroides ovatus reduces GVHD
Godefroy_2025,CLAIM_5,Directed,ASSERTS,favourable,1,5,Bifidobacterium reduces GVHD
Godefroy_2025,CLAIM_18,Directed,ASSERTS,favourable,6,18,Blautia reduces GVHD
Godefroy_2025,CLAIM_11,Directed,ASSERTS,favourable,2,11,Clostridiales reduce GVHD
Godefroy_2025,CLAIM_19,Directed,ASSERTS,favourable,1,19,Clostridium butyricum reduces GVHD
Godefroy_2025,CLAIM_20,Directed,ASSERTS,favourable,1,20,Coriobacteriaceae reduce GVHD
Godefroy_2025,CLAIM_21,Directed,ASSERTS,favourable,6,21,Faecalibacterium duncaniae reduces GVHD
Godefroy_2025,CLAIM_22,Directed,ASSERTS,favourable,1,22,Faecalibacterium reduces GVHD
Godefroy_2025,CLAIM_23,Directed,ASSERTS,favourable,3,23,Lachnospiraceae reduce GVHD
Godefroy_2025,CLAIM_6,Directed,ASSERTS,favourable,1,6,Lactobacillus reduces GVHD
Godefroy_2025,CLAIM_24,Directed,ASSERTS,favourable,3,24,Ruminococcaceae reduce GVHD
Godefroy_2025,CLAIM_25,Directed,ASSERTS,favourable,2,25,Veillonella reduces GVHD
Godefroy_2025,CLAIM_26,Directed,ASSERTS,favourable,2,26,Lactate-producing bacteria reduce GVHD
Godefroy_2025,CLAIM_27,Directed,ASSERTS,favourable,1,27,Gentamicin-resistant bacteria reduce GVHD
Godefroy_2025,CLAIM_28,Directed,ASSERTS,favourable,1,28,Vancomycin-resistant bacteria reduce GVHD
Junior_2025,CLAIM_29,Directed,ASSERTS,favourable,7,29,Higher gut microbiome diversity reduces GVHD
Junior_2025,CLAIM_30,Directed,ASSERTS,context,1,30,Higher pre-HSCT beta-diversity is associated with intestinal GVHD
Junior_2025,CLAIM_18,Directed,ASSERTS,favourable,2,18,Blautia reduces GVHD
Junior_2025,CLAIM_31,Directed,ASSERTS,favourable,1,31,Anaerostipes reduces GVHD
Junior_2025,CLAIM_22,Directed,ASSERTS,favourable,1,22,Faecalibacterium reduces GVHD
Junior_2025,CLAIM_32,Directed,ASSERTS,favourable,1,32,Lachnoclostridium reduces GVHD
Junior_2025,CLAIM_2,Directed,ASSERTS,favourable,3,2,SCFAs reduce GVHD
Junior_2025,CLAIM_33,Directed,ASSERTS,favourable,1,33,Butyrate-producing bacteria reduce GVHD
Junior_2025,CLAIM_10,Directed,ASSERTS,unfavourable,1,10,Enterococcus exacerbates GVHD
