qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
0032c1b0774112447c64e1b180d4e98a	NR_113098.1	99	400	4	0	1	400	339	738	0	717
005339596a9526c196433c234d915f50	NR_114789.1	100	400	0	0	1	400	347	746	0	739
0056778b151642e12cabeb82d48f1006	NR_118318.1	99.75	400	1	0	1	400	286	685	0	734
007e2c87480e1c79b97ba4af55730113	NR_114395.1	99	400	4	0	1	400	333	732	0	717
00adf920ff5ebd65bd57e5f95ff09c8a	NR_117139.2	99.5	400	2	0	1	400	346	745	0	728
00f618aa6d7207d4c15fa735951b9dc4	NR_114395.1	99.002	401	1	2	1	400	333	731	0	715
012082607ac3d477d6ec679fec72e227	NR_133753.1	100	400	0	0	1	400	290	689	0	739
013b0979cf1a7c838d43215b0a502eea	NR_176530.1	97.5	400	10	0	1	400	358	757	0	684
019bfcc8c4494ef983a739867082c874	NR_041343.1	99.75	400	1	0	1	400	340	739	0	734
01a7e060569912672ff869eadc2b7e5d	NR_189244.1	93.035	402	23	5	1	400	363	761	5.249999999999998e-166	582
01dad5b8fb35a8396e4bbb75724eecc4	NR_180833.1	99.5	400	2	0	1	400	337	736	0	728
0208727a957fd616286be4af480c9d1b	NR_171444.1	99.75	400	1	0	1	400	301	700	0	734
021b43c722fda652618906eabc7d768c	NR_044091.1	99.5	400	2	0	1	400	240	639	0	728
02226e6be8b88c24c9b251da86b47e84	NR_040783.1	99.5	400	2	0	1	400	328	727	0	728
0223fabb2caf38d4a76621623572d277	NR_200000.1	98	400	8	0	1	400	301	700	0	695
022e34ab568981aa51c3def88f15ecb6	NR_144749.1	99.75	400	1	0	1	400	347	746	0	734
025e97ff04ca50e90336bb9ee3b79271	NR_144738.1	100	400	0	0	1	400	326	725	0	739
026a52850a93916d8c1ed500fa0ee47a	NR_113114.1	99.5	400	2	0	1	400	338	737	0	728
027e8984790de97e764fb16a37c14c10	NR_147371.1	97.75	400	9	0	1	400	277	676	0	689
02a0fe5fbc3c98a3b704f9a56652f707	NR_114395.1	99.5	400	2	0	1	400	333	732	0	728
02c193287bbfe073618a7967a192b25d	NR_043589.1	100	400	0	0	1	400	343	742	0	739
02e1bcde1cd0d76aaf3b14b9d98bcaa8	NR_179325.1	99.5	400	2	0	1	400	300	699	0	728
033889ead871f62e8c139eb18ae4628b	NR_115189.1	99.75	400	1	0	1	400	313	712	0	734
034f59e0b5ade769b8046dab84028e44	NR_178280.1	99.75	400	1	0	1	400	331	730	0	734
035265e937e5d4cea882ab0ac750d119	NR_114789.1	94.75	400	21	0	1	400	347	746	3.0999999999999994e-178	623
035313162166684e50833f5098a2e766	NR_102936.1	99.25	400	3	0	1	400	331	730	0	723
035f8b589c6d2263106202152e801d19	NR_028816.1	100	400	0	0	1	400	310	709	0	739
036071812a3cec87f17eb5f163d0c57d	NR_113355.1	99.75	400	1	0	1	400	356	755	0	734
039e129ba19cf21dc7d76edc19867b7c	NR_179418.1	99.75	400	1	0	1	400	348	747	0	734
039ebbd932bd6018b662769dd0c70c5d	NR_173642.1	94.763	401	20	1	1	400	349	749	3.0999999999999994e-178	623
03ca0d6c62c6d3ac55249c555401df97	NR_147378.1	99.5	400	1	1	1	400	339	737	0	726
03e16b130d02ff97e6c758ef60b11426	NR_102895.1	99.5	400	2	0	1	400	349	748	0	728
0428cd3bf3cc41c6df6660fa7a17f78a	NR_144748.1	92.5	400	29	1	1	400	335	733	1.1399999999999998e-162	571
0448b204e518f7d20ace1e21e1f69816	NR_042007.1	97.5	400	10	0	1	400	343	742	0	684
044c13b7be4e203a065ce8bc4d1a0579	NR_074535.1	99.25	400	3	0	1	400	334	733	0	723
047dc7826c60b0d71055eb215b767784	NR_112553.1	99.002	401	3	1	1	400	348	748	0	717
0484830f7fa3227326a87d7219217d90	NR_074377.1	99.75	400	1	0	1	400	331	730	0	734
048de4cab0cb5e683e553ae10c8585e2	NR_113270.1	97.25	400	11	0	1	400	348	747	0	678
04f83ad7fbaf1ca015149b07108adca7	NR_074784.2	99.75	400	1	0	1	400	345	744	0	734
05146cb2276ccf355c5cc1da68c36bd9	NR_041750.1	99.5	400	2	0	1	400	324	723	0	728
0520291ef58f7171b2a652264c4596f7	NR_117814.1	100	400	0	0	1	400	338	737	0	739
053f81b1fecc5cc1527d5d10acf452c7	NR_112943.1	99.5	400	2	0	1	400	326	725	0	728
05dc9a353f052f4b02093b5eff7fc058	NR_036800.1	99.501	401	1	1	1	400	326	726	0	728
05ef5e012ee6728e8d452a601f6d85d8	NR_117840.1	99.5	400	2	0	1	400	342	741	0	728
05f13082b2307ee34cb4f1bef317d72d	NR_075051.2	99.75	400	1	0	1	400	370	769	0	734
05f34a3c1de4af1c0e3b369d85ecc8e8	NR_180622.1	97	400	12	0	1	400	335	734	0	673
060433efb5c79ffba076d59f1b1dc3ba	NR_025862.1	99.25	400	3	0	1	400	341	740	0	726
0656d8e465cbaeba03472a87d11d236b	NR_165747.1	99.75	400	1	0	1	400	318	717	0	734
066701bc902b62a3e5f8f7a9f9480760	NR_113152.1	99.75	400	1	0	1	400	337	736	0	734
068eef98fc90325101715cf2f1619bb1	NR_104846.1	98.5	400	6	0	1	400	288	687	0	706
072630dab718416f00c99aa308ddb072	NR_114395.1	99	400	4	0	1	400	333	732	0	717
0735d5c2cfa68f1eb05e03a90f283355	NR_117139.2	99.5	400	2	0	1	400	346	745	0	728
073e8282e925973ba643732755df8186	NR_146667.2	99.75	400	1	0	1	400	321	720	0	734
07481e648f3ca9c8559e5c5a0142a886	NR_044054.1	99.75	400	1	0	1	400	297	696	0	734
