qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
001bdfba7da69f15678b990c86c6f61e	NR_137408.1	99.504	403	2	0	1	403	307	709	0	734
004579a6a49a18005f5f34f28a698b5a	NR_159118.1	98.821	424	5	0	1	424	327	750	0	756
00d3b7254acaf7d9fd3caf440ff2e2b0	NR_178280.1	99.752	404	1	0	1	404	348	751	0	741
00dbfc72dddaf12b12f628619ea7ade9	NR_173659.1	88.056	427	45	6	1	424	351	774	1.6099999999999995e-141	501
00f9c282e8d6799a64003cc4d23d3a6d	NR_037115.2	99.758	413	1	0	1	413	345	757	0	758
00ffa432ea3445f71c4923b4cd5d954d	NR_114789.1	95.05	404	20	0	1	404	364	767	0	636
0109851da503c8ff6adf4b18b3965b87	NR_181277.1	95.283	424	20	0	1	424	326	749	0	673
0115d3e313fa9f2bd28c26b9572549e1	NR_112935.1	100	424	0	0	1	424	355	778	0	784
0123f1aeb06888dc354614756268c0cf	NR_041343.1	96.462	424	15	0	1	424	357	780	0	701
0151a2367908c9ae105a03982c552738	NR_113411.1	98.585	424	6	0	1	424	358	781	0	750
0181d78369ab5965137bb5a665213b7f	NR_189244.1	95.813	406	17	0	1	406	380	785	0	656
01b180acb593f73fbfdb975888ee125c	NR_179135.1	99.753	405	1	0	1	405	347	751	0	743
01dcab8f49edeb24c78454b80aeb6002	NR_200000.1	98.02	404	8	0	1	404	318	721	0	702
01e70c75e70bec04d75b30eb41bde4ba	NR_118554.1	94.595	407	22	0	1	407	346	752	1.8799999999999993e-180	630
01f896796fa4d6c00fe77dd9d4be483c	NR_169358.1	99.291	423	3	0	1	423	352	774	0	765
021e76d0756722079d7e1308913b1f9b	NR_074535.1	99.291	423	3	0	1	423	351	773	0	765
0228359998ad970a6301704d9f614860	NR_113901.1	99.534	429	2	0	1	429	349	777	0	782
02543512bd7fb7d334515272bf995522	NR_180148.1	88.725	408	44	2	1	407	366	772	1.9899999999999993e-140	497
0263c1dc766f163160e4dd2d047ab8d9	NR_114168.1	99.767	429	1	0	1	429	351	779	0	787
027dcfdb5d69f514cce9b58f328ee270	NR_176506.1	97.897	428	9	0	1	428	332	759	0	741
