qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
008e34a29b7c8dab27de9bf3adcb69de	NR_173688.1	100	394	0	0	1	394	344	737	0	728
009d22b23c83490f4d14ce7c44be94b0	NR_144605.1	96.193	394	15	0	1	394	390	783	0	645
00a2da77ec6cbedd466f72038d31d2c4	NR_179423.1	95.98	398	14	2	1	397	372	768	0	645
00b558e33fa9a738e039c9a8ac3e764f	NR_112089.1	97.462	394	10	0	1	394	359	752	0	673
00ea1bf5dd47afd1d2ee8c3aefa158fd	NR_179587.1	96.193	394	15	0	1	394	351	744	0	645
010403253c6b5970ac6373c550b3df3f	NR_024945.1	86.548	394	53	0	1	394	354	747	1.5299999999999996e-121	435
015f2cc1c825f0cd3b15f876be44cf0a	NR_179587.1	96.701	394	13	0	1	394	351	744	0	656
01ecf41366f97d07ce0d558a9f52a326	NR_181384.1	87.342	395	49	1	1	395	273	666	1.5299999999999995e-126	451
02506ac1706653df368214803fec95fa	NR_173688.1	93.909	394	24	0	1	394	344	737	6.639999999999997e-170	595
02a8187b1c5573cf37e0bbf7f9463e66	NR_158113.1	96.231	398	14	1	1	398	351	747	0	651
02c8c33a322d05c4523a37d102f7ea85	NR_179559.1	93.434	396	24	2	1	395	356	750	4.009999999999999e-167	586
02d245d41af2a92c3705692f50d7a62d	NR_024750.1	99.494	395	1	1	1	394	323	717	0	719
02d662d817a368ad246a01dab8c104aa	NR_028975.1	99.501	401	1	1	1	400	352	752	0	728
02e531573a73c3ee0388429b7db73380	NR_181387.1	96.222	397	14	1	1	397	325	720	0	649
03e30a3693be6442f5a066d3ad88950f	NR_074809.1	100	395	0	0	1	395	373	767	0	730
03e4867f67a720c3b2279cc4101817c1	NR_181392.1	100	396	0	0	1	396	347	742	0	732
04356cb47eb3c5b60d0cfda19bb820a0	NR_165013.1	86.616	396	49	3	1	394	322	715	1.5299999999999996e-121	435
04517025c1256d9a2b242f05bd38a0fe	NR_026151.1	96.203	395	13	2	1	394	327	720	0	645
04be85de655e5f4b226bc582d023468a	NR_044054.1	98.223	394	7	0	1	394	320	713	0	689
04ed545a65020f94bca2318fdc779cb7	NR_027558.1	99.746	393	1	0	1	393	315	707	0	721
04fd37238d0551562600d9a1c60fb80b	NR_179587.1	97.229	397	8	1	1	397	351	744	0	669
04fef3c38fe4684a6042a0d5f86135e5	NR_118730.1	93.182	396	23	3	1	394	378	771	3.089999999999999e-168	590
0508bb6e5c5cb4db6b087c80e5689428	NR_152093.1	98.985	394	4	0	1	394	305	698	0	706
0573c2e330ef57ade40abef2e74f3737	NR_104846.1	97.462	394	10	0	1	394	311	704	0	673
05c31bdb218166ab5f81344ca127d8fa	NR_042832.1	96.962	395	11	1	1	394	353	747	0	662
05c3aab9c70f771834fbf65876c2504d	NR_037117.1	99.501	401	2	0	1	401	354	754	0	730
06225dd75d9f4e921a619514ae28b047	NR_158113.1	96.709	395	12	1	1	395	351	744	0	656
063d250518bf57271846db1479f13eae	NR_043589.1	99.746	393	1	0	1	393	366	758	0	721
068e7e571eee5f5a60c0463923528c54	NR_043142.1	98.489	397	6	0	1	397	346	742	0	701
06c0f7838ad2f52b7b1cab87a1812e5d	NR_173688.1	88.972	399	37	7	1	397	344	737	4.199999999999999e-137	486
07f1fea582309d5c5e784a7db064bb16	NR_042007.1	98.99	396	4	0	1	396	366	761	0	710
081eb29725010426aac452ef713ed3da	NR_180622.1	99.746	394	1	0	1	394	358	751	0	723
084567c13008442bfef5d56cee079c32	NR_176530.1	97.727	396	9	0	1	396	381	776	0	682
08633564f992b92e1ef930611a67ddea	NR_179330.1	90.428	397	37	1	1	397	350	745	1.1499999999999997e-147	521
087061411cc2f5df7e3171dbb478d178	NR_197643.1	94.67	394	21	0	1	394	352	745	6.589999999999998e-175	612
088614228c6258962c5484c127b25a6b	NR_199945.1	97.97	394	8	0	1	394	358	751	0	684
08b9822da2ad7939966c75b02ccc7541	NR_179687.1	98.987	395	2	1	1	395	296	688	0	706
08e81c13a85f911c0b3c7bf089f709f3	NR_112943.1	100	254	0	0	1	254	509	762	2.6199999999999993e-132	470
0908d13f7c22882220ec3313e44f34a5	NR_104846.1	89.141	396	39	4	1	394	311	704	3.219999999999999e-138	490
09156516a7456e6ff5e2dd38d596f576	NR_104907.1	91.667	396	32	1	1	396	338	732	1.9e-155	547
095d2f5c45eeba08fb0463439d6eb5fd	NR_114789.1	94.937	395	18	2	1	394	370	763	1.4199999999999994e-176	617
095f4a58ea84bb1527c9156a205a7d4c	NR_044490.1	97.481	397	10	0	1	397	372	768	0	678
09d459d280390efddfb3377f672f4208	NR_181391.1	99.746	394	1	0	1	394	272	665	0	723
0a9f7973767a1143e46ff44bef7c7bd1	NR_179587.1	96.954	394	12	0	1	394	351	744	0	662
0aa3f0a797a6c5e307e02cf6c5f37615	NR_179587.1	97.97	394	8	0	1	394	351	744	0	684
0aa490a155c056fedbbeab15b7f9c648	NR_113188.1	100	395	0	0	1	395	354	748	0	730
0ad477c5b43ce661d4925f347a9759f2	NR_104846.1	99.239	394	3	0	1	394	311	704	0	712
0ae38741edb6ab1a95b5331d96c29c77	NR_137408.1	98.982	393	4	0	1	393	313	705	0	704
0afb5776982635bd3ec77f10264a4486	NR_043142.1	99.496	397	2	0	1	397	346	742	0	723
0b1a6ae8ccc8256b84b60a0880dc2a93	NR_181397.1	96.447	394	14	0	1	394	326	719	0	651
0b388a1c2044606ce38c7a1a458dbff2	NR_114789.1	94.684	395	19	2	1	394	370	763	6.589999999999998e-175	612
0b57a6552c58f973a360b1e28aac9f71	NR_199906.1	97.716	394	9	0	1	394	377	770	0	678
0b63e3d832610e171044261abf383892	NR_179418.1	98.741	397	5	0	1	397	371	767	0	706
0b6b55e61928329a04918ac52f502b41	NR_036800.1	99.746	394	1	0	1	394	349	742	0	723
0b7a254c48fabfb7da2e104ff66271d3	NR_171444.1	97.208	394	11	0	1	394	324	717	0	667
0bd6e78cbd887a5ee2bc7d1b47f70dd0	NR_113165.1	100	394	0	0	1	394	351	744	0	728
0bdf3a789d5165b2555ced669ea8a7b4	NR_029313.1	96.97	396	12	0	1	396	383	778	0	665
0c149fec2829cba9398b0c849f8afe21	NR_148574.1	90.633	395	33	4	1	393	354	746	1.1399999999999997e-147	521
0c468fe5739b454f66f7d11822b9c0fa	NR_179658.1	97.97	394	8	0	1	394	376	769	0	684
0c4a86a4c24e1239a8652b908f7c78df	NR_144605.1	94.162	394	23	0	1	394	390	783	1.4299999999999995e-171	601
0c51ef13de050d8ae633a86a83a70fcb	NR_113141.1	100	397	0	0	1	397	342	738	0	734
0c5aca13abbc46235e7dd2dc63e5a0b8	NR_200000.1	97.229	397	11	0	1	397	324	720	0	673
0c6e9ae5640bab0a6acaffd51e597f48	NR_178367.1	96.222	397	12	2	1	397	351	744	0	647
0ca9456f4aa36829cfed50fe78720f60	NR_179330.1	94.444	396	22	0	1	396	350	745	2.3799999999999994e-174	610
0ce7a7a577813b758f905f4ca31108b8	NR_151982.1	97.481	397	8	1	1	395	271	667	0	676
