qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
00018d3f623ee7401f834d27ba565897	NR_156081.1	97.761	402	9	0	1	402	353	754	0	693
000eda543346ebc15b292d9ed1b53906	NR_025862.1	89.72	428	42	2	1	427	358	784	5.709999999999999e-156	549
0013ba6c79e861212103814293f007d1	NR_133762.1	99.254	402	3	0	1	402	318	719	0	726
001f3c052fbd45f9fb7fbecb7f5b928b	NR_112947.1	92.908	423	28	2	1	422	343	764	1.9699999999999992e-175	614
002b2b4ef9edcb6dc1b5627ff0160e4f	NR_181880.1	89.786	421	43	0	1	421	311	731	3.389999999999999e-153	540
003e635a244fcca5ccbd1c59d8336444	NR_113244.1	89.524	420	26	12	1	420	348	749	5.689999999999998e-146	516
003e65ef3a35ed01715bc937d6d2d6e9	NR_181879.1	92.417	422	31	1	1	422	302	722	1.5399999999999995e-171	601
004b40041ea6278dd091db6a2af11de1	NR_170508.1	94.326	423	21	3	1	422	369	789	0	645
00520ab7bfd52857697881a8a294a685	NR_043142.1	97.778	405	9	0	1	405	340	744	0	699
005f6924cead40b2bf8605a49f78bcd2	NR_180622.1	96.766	402	13	0	1	402	352	753	0	671
006b62198f12ccc22e08cc47aea349d7	NR_180458.1	93.365	422	28	0	1	422	357	778	9.109999999999998e-179	625
0073bf0aeb313ae9cb22c117d9522ce7	NR_026204.1	96.543	405	14	0	1	405	345	749	0	673
008b7ea41df8faa206e0cdb64e9072a0	NR_074515.1	99.763	422	1	0	1	422	367	788	0	774
0093e6247d24ff45d65284a97345ea3a	NR_112900.1	92.892	408	23	6	1	405	358	762	1.1399999999999996e-167	588
00a2f7e2564becc62e71c46821779802	NR_125464.1	84.444	405	54	8	3	401	344	745	3.43e-108	390
00b944ee69ff51b3d856755a84028935	NR_179531.1	90.418	407	33	5	1	404	364	767	1.9499999999999996e-150	531
00ca5ca4389733fd22a45ba86f77d6c6	NR_179976.1	94.799	423	19	3	1	422	306	726	0	656
00cb3899424dcdff3a2a067af41ea2bd	NR_117574.1	99.766	427	1	0	1	427	366	792	0	784
00d0540947cd9da13616d520b093ced1	NR_026314.1	99.751	402	1	0	1	402	347	748	0	737
00d9e75ead821633274b5460a4487f74	NR_179449.1	90.33	424	37	4	1	422	359	780	4.3599999999999983e-157	553
00da68214f165cddab21dabae44eb3e4	NR_180148.1	96.296	405	15	0	1	405	366	770	0	665
00f75b55fa7e667e95e703030b59a300	NR_036800.1	90.394	406	34	4	1	406	343	743	7.069999999999998e-150	529
00f851b45b090853bcc037fea663d23b	NR_170508.1	94.799	423	18	3	1	421	369	789	0	656
00ff59e0901bdeaeb6bae96ae823646d	NR_165747.1	99.766	427	1	0	1	427	335	761	0	784
0116a6a0c5213091b405c3d2c84165ae	NR_112938.1	99.763	422	1	0	1	422	343	764	0	774
011755eb178e98e08caf70b914473557	NR_074515.1	99.763	422	1	0	1	422	367	788	0	774
012601257e6f55a903a366ac91dd3a44	NR_114326.1	99.502	402	2	0	1	402	351	752	0	732
0128daa5223a8d774729735b43ccb7c6	NR_116062.1	91.608	429	32	4	1	427	324	750	3.369999999999999e-168	590
0129288906b8e157640b03410e04cdcb	NR_181400.1	93.564	404	23	2	1	404	265	665	1.4699999999999997e-171	601
013294676ede34c290a25d5da1d2540d	NR_181532.1	100	422	0	0	1	422	339	760	0	780
0132d27b1ced8961e8f2afe32d25e071	NR_144606.1	84.977	426	56	8	1	422	357	778	9.919999999999996e-119	425
01353923e2e6219198b8d092099e0d9f	NR_042093.1	99.532	427	2	0	1	427	363	789	0	780
013ea1aa74da60f6d8a99f94d69974db	NR_025594.1	93.458	428	24	4	1	426	346	771	0	632
01401c052ad00d9e5d68c5a6028a15f4	NR_170508.1	92.654	422	29	2	1	421	369	789	3.289999999999999e-173	606
0143a56823b13e45ff9b35f66772ddb1	NR_181384.1	89.461	408	34	9	1	405	267	668	3.299999999999999e-143	507
01493d8bb6447df0f0b58e1aa38e5328	NR_074515.1	99.526	422	2	0	1	422	367	788	0	769
0151f03b4b034d21c496db9e2e2c6607	NR_114783.2	99.532	427	2	0	1	427	365	791	0	778
01526cee3fdf7ad501533f8e79cee802	NR_156081.1	96.766	402	13	0	1	402	353	754	0	671
0158745d9e5f8df0b6e52114f921321d	NR_174214.1	83.942	411	52	12	1	402	342	747	2.0699999999999997e-105	381
015ce998953e085dd4d5011f7edd05e2	NR_029355.1	93.58	405	22	4	1	404	349	750	1.4699999999999997e-171	601
