qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
000db46fcff4701589d112bc2a6044de	NR_189244.1	93.281	253	17	0	1	253	533	785	2.1099999999999996e-103	374
0036a4e11fe7a350076bd7cfb698d458	NR_112553.1	97.233	253	7	0	1	253	517	769	4.429999999999999e-120	429
0036e7c358923b756664444675edab30	NR_041364.1	97.628	253	6	0	1	253	525	777	9.53e-122	435
003e253932cf83d92de80661474011ca	NR_144742.1	100	253	0	0	1	253	523	775	9.399999999999997e-132	468
005b6c38246d5bf0050e4b671e511a32	NR_024750.1	94.488	254	13	1	1	253	468	721	5.819999999999999e-109	392
00718f71f0ae98b65cfa1ebcdbbad364	NR_113231.1	98.024	253	5	0	1	253	515	767	2.0499999999999997e-123	440
0081f9bbb620b603b00587a501f5e049	NR_074980.1	99.603	252	1	0	1	252	547	798	1.5699999999999994e-129	460
00a96fbd0ac34bfd245f9c24f8737f7d	NR_118692.1	100	253	0	0	1	253	481	733	9.399999999999997e-132	468
00d4b7160ad22d663768d55671aa5f6c	NR_118667.1	96.047	253	10	0	1	253	523	775	7.419999999999998e-118	422
00f9395bd7f0ab7e30ac3a3348a99321	NR_113199.1	100	253	0	0	1	253	534	786	9.399999999999997e-132	468
014bdb77fc6a21c58ba53e0d7555cad3	NR_181885.1	97.233	253	7	0	1	253	503	755	1.2299999999999997e-120	431
0167df5430d55fedfbd6dc71f5d2b77f	NR_179587.1	96.838	253	8	0	1	253	496	748	2.0599999999999994e-118	424
016d1328105a6b628434c16dd894fc16	NR_125593.1	98.419	253	2	2	1	252	531	782	1.5799999999999996e-124	444
018f05735bcde52b197ea57bf5b623d4	NR_179548.1	99.605	253	1	0	1	253	516	768	4.369999999999999e-130	462
01919c91f3ae1505309ed1e1d718accb	NR_189244.1	92.885	253	18	0	1	253	533	785	9.799999999999998e-102	368
019e4cd4c464f2bc395e5c7830925669	NR_179590.1	96.443	253	9	0	1	253	496	748	9.599999999999999e-117	418
01f1a5dc5eaa1448b3404d78a89e30c6	NR_114789.1	98.419	253	4	0	1	253	515	767	4.3999999999999994e-125	446
0243b68c76049aa1b8c51a20333da950	NR_074613.1	93.676	253	16	0	1	253	518	770	4.529999999999999e-105	379
0252a2fa2fdf9fd9e5cb8a4e54413397	NR_179410.1	100	253	0	0	1	253	520	772	9.399999999999997e-132	468
026646b0eb8def6af1c0ff731ff18a41	NR_199415.1	97.233	253	7	0	1	253	506	758	4.429999999999999e-120	429
