qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
001ae5aeabd34a9f6c01da44d2700023	NR_029355.1	95.522	402	17	1	1	401	349	750	0	641
002aac11b4bf277496b02597fad1c891	NR_074809.1	96.774	403	12	1	1	402	367	769	0	671
002f9fca71e2e2dd3cdcf2d401863f2c	NR_179330.1	90.617	405	37	1	1	405	344	747	4.199999999999998e-152	536
0030ef94ab5f8bed3418085b74448fc8	NR_147378.1	91.111	405	33	3	1	404	356	758	6.969999999999999e-155	545
0037aa1a7215b2464f7c4b58a6b86fd5	NR_041343.1	98.104	422	8	0	1	422	357	778	0	736
0043d8b2539b95e5574fe68470ba1e39	NR_144737.1	91.832	404	33	0	1	404	364	767	1.9199999999999994e-160	564
004b43218bda14a96f1d7aa6f0bd4ece	NR_144607.1	99.502	402	2	0	1	402	299	700	0	732
00520ab7bfd52857697881a8a294a685	NR_043142.1	97.778	405	9	0	1	405	340	744	0	699
00558596c5395134bf3c724db60bc862	NR_181277.1	88.18	423	48	2	1	422	326	747	4.449999999999999e-142	503
0057a65def4c08a61ff38992ec111a24	NR_074634.1	99.751	402	1	0	1	402	367	768	0	737
005e9174c570d965348b02d7c6e9d405	NR_116747.1	99.751	402	1	0	1	402	318	719	0	737
005f6924cead40b2bf8605a49f78bcd2	NR_180622.1	96.766	402	13	0	1	402	352	753	0	671
005f8f2eced0ed3accd8195c3bb6975b	NR_176530.1	97.03	404	12	0	1	404	375	778	0	680
00678fb7a131435734611f6e3c573d5c	NR_102852.1	96.543	405	11	1	1	405	365	766	0	667
006d24536e145cf9478cdbb07838071d	NR_025594.1	85.383	431	53	10	1	426	346	771	1.29e-122	438
007f6f8bae45a16acc4333c87af78b71	NR_156810.1	94.84	407	21	0	1	407	345	751	0	636
008b0f12e60190bfb0f7f98f3f679269	NR_042007.1	99.257	404	3	0	1	404	360	763	0	730
009a0df71afeb8bfa9ba578f5a804573	NR_074376.1	99.052	422	4	0	1	422	368	789	0	758
00a2f7e2564becc62e71c46821779802	NR_125464.1	84.444	405	54	8	3	401	344	745	3.43e-108	390
00aeae6aeb239f78f1a8ae8c8d359121	NR_199416.1	77.25	400	71	18	15	404	338	727	6.239999999999999e-56	217
00afe2c464332472ce6f0075019f2e85	NR_116747.1	96.517	402	14	0	1	402	318	719	0	665
00b5dc17b218fbf6ce59d2903a3eb7af	NR_179706.1	91.183	431	30	8	1	427	345	771	1.5699999999999994e-166	584
00b66fcfaff0852b8b0c0e66fcc44b99	NR_181184.1	99.751	402	1	0	1	402	299	700	0	737
00cd1e76826621ceaf374683bf83f8a3	NR_179506.1	100	408	0	0	1	408	348	755	0	754
00e08329eb5c643ad065300aefae0c3a	NR_179430.1	99.005	402	4	0	1	402	368	769	0	721
00f40c6efd5964d2cab46291ccc996bb	NR_044048.1	99.751	402	1	0	1	402	345	746	0	737
00fa19bf12305f3673ace611e83b0c12	NR_029161.2	99.532	427	2	0	1	427	350	776	0	778
00ff59e0901bdeaeb6bae96ae823646d	NR_165747.1	99.766	427	1	0	1	427	335	761	0	784
011755eb178e98e08caf70b914473557	NR_074515.1	99.763	422	1	0	1	422	367	788	0	774
