qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
0073277aea41a98544ae09f8ffd7f9a5	NR_181382.1	97.842	139	3	0	1	139	334	472	1.1199999999999997e-63	241
01322406b007cae89dde26cf62a2d8f2	NR_074784.2	99.074	108	0	1	1	107	43	150	2.34e-49	193
013709338b741205147461bf48d4fd4a	NR_114315.1	95.726	117	5	0	1	117	25	141	2.62e-49	193
0145778b593e83b91ca8a8ef431250ce	NR_178769.1	100	376	0	0	1	376	2	377	0	695
0167c04e783c30bc0e023eaf7c85a813	NR_189199.1	92.308	143	10	1	1	143	354	495	5.4899999999999995e-52	202
01ed06df7b145a5aa03da2f566d2d7a7	NR_042499.1	100	159	0	0	1	159	306	464	9.979999999999998e-80	294
024893cf88828858b51b51abf5ebeff1	NR_113039.1	98.742	159	1	1	1	158	347	505	7.709999999999999e-76	281
02868dd52ba3a04b3a08d5e04814aaf7	NR_147395.1	96.61	118	4	0	1	118	36	153	2.04e-50	196
02df2ad043ab91d5c433f69e43dfc237	NR_113345.1	99.597	496	1	1	1	495	16	511	0	904
0317b9f06aa7d09f708b5c5c1810b2f1	NR_177688.1	88.571	140	13	3	1	138	301	439	1.97e-41	167
033e1cd906ab53342ab3c45bbcf3977a	NR_181087.1	99.707	341	0	1	1	341	59	398	2.6099999999999996e-178	623
0348cbf233ee2325c274d82c36c4bcc9	NR_148624.1	100	139	0	0	1	139	267	405	1.1199999999999997e-68	257
03651ebefedc97883b0784b0e2289bd7	NR_074784.2	100	229	0	0	1	229	43	271	1.8599999999999995e-118	424
03d08c22dc983e83e4b9fe2dd33c0110	NR_074515.1	98.726	157	1	1	3	158	364	520	9.979999999999998e-75	278
03d4a73722b6b5d3184110531a69a39e	NR_181386.1	96.429	140	5	0	3	142	317	456	6.94e-61	231
03f1d5ce3881980cf6520dc6b172e91d	NR_180640.1	99.39	164	0	1	1	163	351	514	2.8599999999999998e-80	296
03f8c5e27d30fbd4c46a9802f6dd4c79	NR_112938.1	98.742	159	2	0	1	159	338	496	2.1599999999999994e-76	283
046184c8952d7f54c3003ac8901e669c	NR_042499.1	99.363	157	1	0	3	159	308	464	6.009999999999999e-77	285
049554ea7831685a3267f7e3f772ab8e	NR_028725.2	100	164	0	0	1	164	366	529	1.7199999999999995e-82	303
04ca83c3737127cebf6bf6a4d804ef22	NR_144722.1	98.319	119	1	1	1	119	26	143	9.549999999999999e-54	207
054c15d766163d1434e1fe4de2de50f5	NR_147378.1	95.952	420	15	2	1	420	37	454	0	680
05826a9ca6ce2eb8cd3c19682be492c5	NR_113243.1	100	151	0	0	1	151	36	186	2.63e-75	279
05e27d69d61873de55a1370f3ed3c5e5	NR_181198.1	100	164	0	0	1	164	280	443	1.7199999999999995e-82	303
066615549165656bcb0073a904203e04	NR_042186.1	90.278	144	10	4	1	142	301	442	5.479999999999999e-47	185
0666950bd021523ea716cc634dc1e10b	NR_114042.1	99.468	376	2	0	1	376	16	391	0	686
067f5b413d7657faf53908b14bd74c1a	NR_104718.1	90.164	488	48	0	1	488	16	503	0	636
06f45948c9fae665cc4ccfbeb09f9624	NR_074784.2	100	376	0	0	1	376	43	418	0	695
06feff0e2df0539e0e3535d9930bb442	NR_113268.1	99.074	108	0	1	1	107	36	143	2.34e-49	193
0741b7746249f578e6db2cf44b6f2eab	NR_043142.1	100	142	0	0	1	142	335	476	2.4599999999999998e-70	263
075c68390ba289137407745a9576041d	NR_114789.1	94.286	140	7	1	1	140	359	497	2.4699999999999996e-55	213
07d9e1c4d019d353acc848b8ad1dbcbc	NR_179418.1	96.479	142	5	0	1	142	360	501	5.369999999999999e-62	235
087dbf88c246a7f479899d8f25f9ba58	NR_074377.1	93.22	177	10	2	1	176	36	211	4.259999999999999e-69	259
08bbabcf5e9b65a173f15168344393f5	NR_036788.2	100	164	0	0	1	164	379	542	1.7199999999999995e-82	303
09119a1e2efdce2458db822ef644b26a	NR_181382.1	92.086	139	11	0	1	139	334	472	2.47e-50	196
092edb6e40caa5c72271a2450576f477	NR_181386.1	92.958	142	10	0	1	142	315	456	1.17e-53	207
0971a417b50fd9fd7daae1404064ff87	NR_104927.1	99.39	164	1	0	1	164	350	513	7.999999999999999e-81	298
09962fd942d2eb22939d782a44f83e1f	NR_042778.1	99.237	131	0	1	1	130	41	171	4.829999999999999e-62	235
09a92e361d6f3b5a67d791939f982d98	NR_163639.1	100	115	0	0	1	115	28	142	1.9699999999999995e-55	213
09d0eef4cd4fb0cd8d97c97e386b2761	NR_178955.1	90.714	140	11	1	3	140	302	441	5.389999999999999e-47	185
09d4d7e9e58bd9f65c5659d8ba82ef81	NR_152050.1	100	165	0	0	1	165	291	455	4.809999999999999e-83	305
0a0db6aa8b29cbdabb6569448b5b3ead	NR_074376.1	95.572	271	9	3	1	268	51	321	1.3099999999999998e-120	431
