qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
00007d802db2dc3d70a04e59fbc80d36	NR_179499.1	95.413	218	9	1	14	230	511	728	4.129999999999999e-95	346
0001e5c57e7ab3ee691031bc1c19c1d6	NR_025127.1	95.283	212	10	0	13	224	787	576	2.4899999999999993e-92	337
00045417e98566762065cb7ef471e73f	NR_036800.1	100	217	0	0	14	230	475	691	8.699999999999997e-112	401
000a0300febdc3315cff54e793f2e6ba	NR_117139.2	100	217	0	0	14	230	495	711	8.699999999999997e-112	401
000be6fd1310635daa589e217574a17f	NR_112945.1	99.543	219	1	0	12	230	788	570	3.1299999999999995e-111	399
000e78156281238c44131d1d91a3f3ac	NR_074809.1	100	217	0	0	14	230	500	716	8.699999999999997e-112	401
001c4cba5dd057c1753b296bb888364c	NR_025930.1	98.673	226	0	3	8	230	438	663	1.1299999999999998e-110	398
002205bea51a2ffe7a224aeeb8b76633	NR_118730.1	96.789	218	7	0	13	230	795	578	6.819999999999999e-103	372
00233400ffc53467a9693469b99ee749	NR_026151.1	94.495	218	10	2	14	230	456	672	8.949999999999998e-92	335
002869bcee7a66bb2d8f13e5feb7b0aa	NR_041307.1	100	218	0	0	13	230	502	719	2.4199999999999993e-112	403
00297f3eeeef46ba7818f14f8dd52913	NR_144737.1	96.774	217	7	0	14	230	499	715	4.11e-100	363
0035aafbf4c1650b978cafcb8fb4314b	NR_176530.1	99.083	218	2	0	13	230	800	583	5.239999999999999e-109	392
0037e752178f92402f4e6b2d4a896ab3	NR_118554.1	92.627	217	16	0	14	230	481	697	4.1899999999999994e-85	313
00418b76d3ceab4b8cc215f09b229d37	NR_112956.1	86.301	219	25	5	14	230	466	681	3.36e-61	233
00484ac0e676f4b72b9c407ae8bb4ca5	NR_179590.1	100	219	0	0	12	230	475	693	6.729999999999998e-113	405
0048b040a5a46fb2e0aa8b03037d408a	NR_133762.1	99.083	218	2	0	13	230	741	524	5.239999999999999e-109	392
005b7bd233831c73b71dd0260408870b	NR_042007.1	100	217	0	0	14	230	494	710	8.699999999999997e-112	401
